Date,Open,High,Low,Close,Volume,Change
2011-01-03,95208,96708,92508,92708,3111,-0.03438219333604142
2011-01-04,91708,94808,91608,93708,2216,0.010786555637053885
2011-01-05,93708,95008,92908,93908,1806,0.002134289495027142
2011-01-06,92208,94808,92108,92808,2403,-0.01171359202623845
2011-01-07,92208,94908,91608,94909,1869,0.022638134643565122
2011-01-10,93708,94908,92708,93908,1347,-0.010546944968338079
2011-01-11,92608,94708,92608,93708,1997,-0.0021297440047706173
2011-01-12,92508,92708,91808,92208,1827,-0.01600717121270334
2011-01-13,91008,91908,90008,90408,4789,-0.019521082769390907
2011-01-14,90008,91908,88607,91308,1892,0.009954871250331898
2011-01-17,89708,91808,89708,90808,1141,-0.005475971437333027
2011-01-18,89607,91908,89607,90008,983,-0.00880979649370095
2011-01-19,90408,92508,90008,90808,1437,0.008888098835658997
2011-01-20,90808,91308,89908,90808,1219,0.0
2011-01-21,90808,91008,89607,90708,1176,-0.001101224561712577
2011-01-24,89607,90708,88907,89508,1517,-0.01322926313004369
2011-01-25,89607,92508,88607,92208,2187,0.03016490146132189
2011-01-26,90708,93008,90508,92208,1010,0.0
2011-01-27,92208,92608,91308,91808,1153,-0.004338018393198029
2011-01-28,91308,91908,90508,91008,1139,-0.008713837574067629
2011-01-31,91008,91008,88607,88608,3597,-0.026371308016877593
2011-02-01,88607,95108,88007,89208,4058,0.006771397616468056
2011-02-07,91008,92608,90508,92208,2612,0.03362927091740642
2011-02-08,91408,93008,91408,92408,2609,0.0021690091965989033
2011-02-09,92008,92608,91308,92608,790,0.002164314777941323
2011-02-10,92408,92708,91108,91408,2324,-0.01295784381478926
2011-02-11,91508,92408,91108,91908,1367,0.005469980745667735
2011-02-14,91008,92308,90508,90508,921,-0.015232623928276068
2011-02-15,90107,90708,89407,90208,1217,-0.003314624121624643
2011-02-16,90908,92408,89708,92408,2185,0.024388080879744534
2011-02-17,92408,92508,91008,92208,1834,-0.002164314777941323
2011-02-18,93808,93808,92008,92908,1328,0.007591532188096384
2011-02-21,91508,92208,91008,92008,840,-0.009687002195720495
2011-02-22,92408,92408,89607,90408,1424,-0.017389792191983333
2011-02-23,90408,91908,89507,91608,1284,0.013273161667109123
2011-02-24,92208,92308,90608,91008,1263,-0.006549646319098823
2011-02-25,90308,92408,90008,92008,1712,0.010988045007032321
2011-02-28,92108,92608,90408,91908,2722,-0.0010868620119989236
2011-03-02,90708,92708,90508,91108,3932,-0.008704356530443436
2011-03-03,91208,91608,90108,90408,5787,-0.007683189182069672
2011-03-04,90708,92008,90108,91008,3862,0.006636580833554451
2011-03-07,90308,91508,89207,90008,1044,-0.010988045007032321
2011-03-08,90508,91608,89207,90708,3045,0.007777086481201678
2011-03-09,91008,92808,90308,92408,1395,0.01874145610089517
2011-03-10,93608,94708,92508,92908,3225,0.0054107869448531964
2011-03-11,93708,93708,91508,92508,1500,-0.004305334309209097
2011-03-14,91008,93708,87907,93408,2031,0.009728888312362072
2011-03-15,90808,94408,90308,90508,2362,-0.031046591298389825
2011-03-16,92008,94408,91008,94408,2252,0.043090113581119915
2011-03-17,94508,95808,94208,95709,3340,0.013780611812558297
2011-03-18,94408,98008,94408,97109,2694,0.014627673468534885
2011-03-21,97108,100809,97108,99509,1539,0.024714496081722492
2011-03-22,100609,102709,99808,102309,3409,0.028138158357535525
2011-03-23,102309,103309,101609,102809,1949,0.004887155577710578
2011-03-24,102909,103809,101509,103709,1933,0.008754097403923744
2011-03-25,102609,107009,102309,107010,2400,0.03182944585330105
2011-03-28,106909,107709,105109,105609,1668,-0.013092234370619571
2011-03-29,105609,106509,103009,105109,1437,-0.004734444981014829
2011-03-30,104309,106009,103209,104409,2714,-0.006659753208573926
2011-03-31,104509,107609,104409,107410,4401,0.028742732906167134
2011-04-01,107809,107809,106009,107110,2419,-0.002793036030164786
2011-04-04,105709,109009,105709,108810,4335,0.015871533937074078
2011-04-05,108009,108109,107109,107910,4300,-0.008271298593879206
2011-04-06,107609,108809,107009,107610,1660,-0.0027800945232138163
2011-04-07,108709,108709,104409,105710,2699,-0.01765635164018209
2011-04-08,104109,106309,103509,105209,1941,-0.0047393813262699425
2011-04-11,104309,105209,103909,104109,1360,-0.010455379292646061
2011-04-12,103109,103409,101509,101509,2046,-0.024973825509802206
2011-04-13,101009,103309,100308,102509,1420,0.009851343230649512
2011-04-14,102009,103609,100809,103609,2989,0.010730765103551976
2011-04-15,102609,106009,102609,105509,1372,0.01833817525504533
2011-04-18,108009,108009,105009,105509,2863,0.0
2011-04-19,105409,105909,102609,104909,2133,-0.00568671866854964
2011-04-20,104509,106709,103609,104709,3053,-0.0019064141303415383
2011-04-21,104609,106809,104609,106010,1789,0.012424910943662937
2011-04-22,106009,110909,104509,109510,3219,0.03301575323082728
2011-04-25,109409,114310,108309,112310,3018,0.02556844123824309
2011-04-26,113110,113110,111210,111910,2435,-0.0035615706526578306
2011-04-27,112010,115010,111910,114010,3301,0.01876507908140468
2011-04-28,114210,115010,112710,114010,4635,0.0
2011-04-29,113010,115410,112110,114810,2357,0.0070169283396193105
2011-05-02,114210,115510,114210,115010,3340,0.0017420085358417214
2011-05-03,114210,117610,114010,114210,3434,-0.006955916876793311
2011-05-04,113610,115210,113510,114310,4668,0.0008755800717976658
2011-05-06,112510,114010,110809,111210,4219,-0.02711923716210307
2011-05-09,109109,111009,103009,107110,3012,-0.03686718820249979
2011-05-11,105609,107909,105209,105410,3462,-0.015871533937074078
2011-05-12,105509,107409,103409,105509,3282,0.0009391898301869261
2011-05-13,105509,107309,104009,106410,2612,0.008539555867272064
2011-05-16,105409,112510,105209,108010,2313,0.015036180810074296
2011-05-17,108009,110009,107709,107910,1339,-0.0009258401999814314
2011-05-18,108109,109509,107009,109210,2842,0.01204707626725976
2011-05-19,108409,110909,107809,109210,2380,0.0
2011-05-20,109209,110409,107309,110010,2065,0.007325336507645774
2011-05-23,110609,110609,106009,107810,2776,-0.019998181983456043
2011-05-24,107809,109809,104709,106010,3545,-0.01669603932844821
2011-05-25,107109,107609,104809,106010,4230,0.0
2011-05-26,107509,117010,106809,110810,3890,0.04527874728799164
2011-05-27,110009,114110,107809,112810,4016,0.01804891255301877
2011-05-30,113410,113410,111409,112710,1448,-0.0008864462370357096
2011-05-31,112710,116610,112710,115810,6073,0.027504214355425383
2011-06-01,114910,116410,113510,116010,2387,0.0017269665831967096
2011-06-02,115010,115310,112009,112010,3061,-0.03447978622532544
2011-06-03,111910,116510,111910,116310,4452,0.03838942951522184
2011-06-07,114910,117010,114110,116511,6915,0.0017281403146762742
2011-06-08,116810,120010,116810,119011,3621,0.021457201465955977
2011-06-09,119010,119010,116810,118011,6684,-0.008402584635033739
2011-06-10,118810,122911,118810,122011,4624,0.03389514536780469
2011-06-13,122411,124111,119410,120211,4005,-0.014752768193031729
2011-06-14,120810,122510,118210,121011,4568,0.006654965019840198
2011-06-15,120910,125411,119710,124711,2883,0.030575732784622778
2011-06-16,126511,126911,123310,125911,2297,0.009622246634218401
2011-06-17,124811,130911,124811,130212,3627,0.03415904885196697
2011-06-20,130411,132011,129511,130212,2943,0.0
2011-06-21,131311,131911,129311,129812,1674,-0.0030719134949159788
2011-06-22,131111,132011,129111,130712,1989,0.006933103257017903
2011-06-23,131211,131211,126511,126911,1901,-0.0290791970132811
2011-06-24,126411,131511,116710,130312,2177,0.026798307475317307
2011-06-27,130311,130311,126811,128012,1217,-0.017649947817545586
2011-06-28,131011,131811,128011,128012,1459,0.0
2011-06-29,129011,131411,129011,129812,1646,0.014061181764209563
2011-06-30,127811,133811,127811,132012,3369,0.016947585739377047
2011-07-01,132711,135712,132211,133712,1036,0.012877617186316304
2011-07-04,135912,139412,133311,137512,2060,0.028419289218619026
2011-07-05,139012,139712,136212,136412,1713,-0.007999301879108689
2011-07-06,136712,137812,135512,136512,1442,0.00073307333665662
2011-07-07,136612,137812,134112,134512,2763,-0.014650726676043169
2011-07-08,133912,136312,132211,133912,1988,-0.0044605685738075
2011-07-11,133912,137012,132511,136012,2899,0.015681940378756254
2011-07-12,134512,137012,133912,136912,1666,0.006617063200305751
2011-07-13,135712,136912,134112,134812,1816,-0.015338319504499265
2011-07-14,136412,136412,130311,134012,2239,-0.005934189834732817
2011-07-15,134012,136912,132911,136412,1719,0.017908843984120848
2011-07-18,136412,137312,130811,133112,1924,-0.024191420109667794
2011-07-19,133912,142812,132711,138112,3282,0.037562353506821244
