Date,Open,High,Low,Close,Volume,Change
2011-01-03,4389,4441,4284,4295,402751,-0.003711435861749046
2011-01-04,4284,4373,4269,4369,230332,0.01722933643771829
2011-01-05,4389,4462,4326,4379,282470,0.002288853284504455
2011-01-06,4363,4797,4342,4614,1877435,0.053665220369947475
2011-01-07,4614,4629,4363,4374,639332,-0.052015604681404426
2011-01-10,4373,4420,4316,4322,264853,-0.011888431641518094
2011-01-11,4300,4405,4300,4389,175522,0.015502082369273529
2011-01-12,4405,4964,4368,4651,3050327,0.05969469127363869
2011-01-13,4786,4938,4441,4452,2156429,-0.04278649752741348
2011-01-14,4436,4561,4337,4358,538436,-0.021114106019766377
2011-01-17,4389,4540,4358,4416,412223,0.013308857273978791
2011-01-18,4321,4488,4321,4332,257005,-0.01902173913043481
2011-01-19,4337,4426,4274,4290,202633,-0.00969529085872578
2011-01-20,4295,4389,4154,4160,250526,-0.030303030303030276
2011-01-21,4164,4196,4023,4060,171397,-0.024038461538461564
2011-01-24,4065,4154,4023,4029,113291,-0.007635467980295574
2011-01-25,4039,4169,4039,4076,157743,0.011665425663936357
2011-01-26,4107,4211,4086,4175,179387,0.024288518155054062
2011-01-27,4185,4201,4075,4097,100813,-0.018682634730538883
2011-01-28,4096,4143,4002,4024,126208,-0.01781791554796197
2011-01-31,4002,4075,3934,3935,91488,-0.022117296222664007
2011-02-01,3934,3987,3908,3966,84869,0.007878017789072489
2011-02-07,4023,4164,4018,4107,132368,0.035552193645990826
2011-02-08,4055,4373,4055,4285,485768,0.04334063793523257
2011-02-09,4311,4358,4091,4118,249359,-0.03897316219369895
2011-02-10,4180,4206,4049,4050,84779,-0.01651287032540072
2011-02-11,4049,4112,3809,3888,196308,-0.040000000000000036
2011-02-14,3929,3981,3856,3935,104290,0.012088477366255068
2011-02-15,3940,4096,3940,4045,184231,0.027954256670902122
2011-02-16,4075,4201,4060,4107,170469,0.015327564894932033
2011-02-17,4284,4718,4284,4389,3876969,0.06866325785244709
2011-02-18,4384,4410,4211,4259,539164,-0.02961950330371388
2011-02-21,4284,4467,4258,4316,519260,0.013383423338811928
2011-02-22,4337,4593,4316,4593,742860,0.06417979610750701
2011-02-23,4603,4687,4258,4259,657459,-0.0727193555410407
2011-02-24,4264,4880,4264,4755,988681,0.11645926273773188
2011-02-25,4697,4817,4535,4604,772104,-0.03175604626708728
2011-02-28,4640,4922,4598,4598,637214,-0.0013032145960034658
2011-03-02,4556,4655,4420,4421,305974,-0.03849499782514132
2011-03-03,4399,4614,4389,4520,324931,0.022393123727663333
2011-03-04,4556,4577,4415,4442,209598,-0.01725663716814163
2011-03-07,4467,4520,4363,4395,191181,-0.010580819450697887
2011-03-08,4394,4702,4394,4562,474826,0.037997724687144574
2011-03-09,4598,4723,4551,4724,383056,0.03551074090311257
2011-03-10,4802,4812,4608,4698,340650,-0.00550381033022862
2011-03-11,4640,4645,4525,4588,217855,-0.023414218816517618
2011-03-14,4493,4572,4007,4259,421483,-0.07170880557977333
2011-03-15,4206,4415,3814,4107,314578,-0.03568912890349851
2011-03-16,4044,4159,3971,4060,246182,-0.011443876308741219
2011-03-17,3940,4013,3919,3987,183583,-0.01798029556650249
2011-03-18,4075,4284,4039,4180,304414,0.04840732380235768
2011-03-21,4295,4499,4284,4452,418517,0.06507177033492817
2011-03-22,4702,4770,4426,4473,795823,0.004716981132075526
2011-03-23,4514,4514,4337,4384,237063,-0.019897160742231135
2011-03-24,4352,4770,4352,4520,978238,0.031021897810219023
2011-03-25,4520,4588,4436,4452,218371,-0.015044247787610598
