Date,Open,High,Low,Close,Volume,Change
2011-01-03,36601,37750,35453,37063,2619176,0.025426073483842515
2011-01-04,37750,42574,37214,42577,7712996,0.1487737096295496
2011-01-05,43954,46712,43036,44108,10686336,0.03595838128567075
2011-01-06,43647,45484,40737,41198,6043362,-0.06597442640790785
2011-01-07,40585,44260,39819,43419,6709004,0.05391038399922321
2011-01-10,43418,46175,42729,44721,6539748,0.029986872106681384
2011-01-11,45025,45791,43034,44261,4080585,-0.010285995393662928
2011-01-12,44644,47477,43648,44338,5472581,0.001739680531393395
2011-01-13,44414,45027,40585,40969,4168821,-0.07598448283639314
2011-01-14,40662,41964,39819,39973,2199253,-0.02431106446337472
2011-01-17,40124,40813,39665,40509,1444077,0.01340905110949886
2011-01-18,40661,41044,39129,39207,1521774,-0.0321410057024365
2011-01-19,39665,39741,37750,38135,1575275,-0.027342056265462822
2011-01-20,38132,39282,37827,38442,1433045,0.008050347449849227
2011-01-21,38286,38669,36908,37063,1149343,-0.03587222308932936
2011-01-24,37521,37597,36372,36451,872096,-0.01651242479022208
2011-01-25,36449,36909,34459,34842,1262393,-0.04414145016597626
2011-01-26,34842,36144,34535,35455,902905,0.017593708742322578
2011-01-27,35682,36601,35682,36068,634932,0.017289521929205964
2011-01-28,36448,36678,35299,35378,692958,-0.01913053121880892
2011-01-31,34306,35149,34306,34919,571154,-0.012974164735146121
2011-02-01,35455,38594,34765,37523,2290985,0.07457258226180596
2011-02-07,38288,38518,36679,36833,918587,-0.018388721584095102
2011-02-08,36831,38056,36831,37369,733640,0.01455216789292213
2011-02-09,37673,37827,36142,36757,668228,-0.016377211057293506
2011-02-10,36756,37522,35531,35838,522598,-0.025002040427673622
2011-02-11,35530,36448,34917,35072,753209,-0.021373960600479913
2011-02-14,34686,35682,34534,34996,795708,-0.002166970802919721
2011-02-15,35147,37137,34764,35761,1784747,0.021859641101840133
2011-02-16,35225,36909,34918,36221,1356883,0.012863174967143065
2011-02-17,36603,36756,34688,34919,745327,-0.0359459981778526
2011-02-18,34535,35377,34459,34842,650531,-0.002205103238924422
2011-02-21,35225,35837,34612,35838,902480,0.028586189082142166
2011-02-22,35758,36908,35376,35685,2165770,-0.004269211451531918
2011-02-23,35683,35914,34076,34766,1231142,-0.0257531175563962
2011-02-24,34610,34764,33156,33387,1121123,-0.03966519012828629
2011-02-25,33997,33997,30628,30860,1613364,-0.07568814209123309
2011-02-28,30628,30628,28484,28563,1800321,-0.07443292287751135
2011-03-02,27718,29939,27718,29176,1078066,0.021461331092672342
2011-03-03,28716,29711,28716,29405,514301,0.007848916918014703
2011-03-04,29864,30094,29405,30018,463848,0.020846794762795495
2011-03-07,30323,31243,30094,30478,605043,0.015324138850023372
2011-03-08,30630,30936,29634,29788,524067,-0.022639280792702943
2011-03-09,30400,33846,29940,33081,4308285,0.11054787162615809
2011-03-10,33234,33540,32085,32162,1311649,-0.02778029684713279
2011-03-11,31473,31855,30477,31167,1274138,-0.03093713077544924
2011-03-14,30247,30401,27184,28793,1116630,-0.07617030833894822
2011-03-15,27489,27489,24502,24505,4123702,-0.1489250859583927
2011-03-16,23892,25576,23279,24275,1752187,-0.009385839624566406
2011-03-17,23431,24044,22129,23969,2378768,-0.012605561277033939
2011-03-18,23736,25268,23583,24045,2579676,0.0031707622345529263
2011-03-21,24579,25575,24502,25194,1222256,0.047785402370555286
2011-03-22,25880,25880,24273,24811,1099559,-0.015202032229896023
2011-03-23,25191,28484,25038,28487,3964444,0.14816009028253596
2011-03-24,30018,32697,29557,32086,9769049,0.12633832976445403
2011-03-25,31625,33003,30629,32086,4952902,0.0
2011-03-28,30629,31855,29711,31779,2772807,-0.009568035903509298
2011-03-29,31701,34458,29939,29941,5792219,-0.057836936341609246
2011-03-30,29556,31701,29480,30631,2097545,0.023045322467519558
2011-03-31,31090,32468,30630,31167,1936660,0.01749861251673135
2011-04-01,31549,33770,31166,31473,4577173,0.009818076812012633
2011-04-04,31855,32774,30859,32086,1432450,0.019477012042067754
2011-04-05,32314,32851,31473,31856,1411389,-0.007168235367449927
2011-04-06,31625,32468,30553,30707,1820092,-0.03606855851330992
2011-04-07,30245,31471,29862,30171,1179349,-0.017455303351027407
2011-04-08,30169,30705,29173,29176,1463077,-0.03297868814424443
2011-04-11,29556,29862,28867,29176,823960,0.0
2011-04-12,29249,29862,27871,29865,1060431,0.02361530024677827
2011-04-13,30475,31471,29403,29865,2613701,0.0
2011-04-14,29939,29939,28638,28946,958774,-0.030771806462414175
2011-04-15,29098,29175,27950,28333,892326,-0.021177364748151684
2011-04-18,28640,29022,27414,27414,824363,-0.03243567571383188
2011-04-19,27259,27259,26186,26419,1016578,-0.03629532355730647
2011-04-20,26493,28560,26416,27491,1938427,0.040576857564631474
2011-04-21,27871,28408,27182,27568,1057756,0.0028009166636353555
2011-04-22,27950,27950,26342,26342,843089,-0.044471851421938435
2011-04-25,26418,27031,25653,25960,898384,-0.01450155644977602
2011-04-26,25499,27490,25270,26266,1352931,0.011787365177195586
2011-04-27,26187,26647,25269,25883,997690,-0.01458158836518697
2011-04-28,26035,26418,25116,25270,573325,-0.023683498821620352
2011-04-29,25191,25880,24502,24734,457462,-0.021210922041946967
2011-05-02,25268,25268,24196,25117,409739,0.015484757823239326
2011-05-03,25116,25653,24887,25041,418399,-0.0030258390731376927
2011-05-04,25270,26188,25040,25577,655550,0.02140489597060813
2011-05-06,25574,26493,25421,26419,780896,0.03292020174375421
2011-05-09,26418,26955,25805,26036,622926,-0.014497142208259262
2011-05-11,25729,26188,24657,24964,750677,-0.04117375941004764
2011-05-12,24962,25497,24655,24734,598711,-0.009213267104630662
2011-05-13,24733,25116,24120,24198,475572,-0.0216705749171181
2011-05-16,24042,24579,23123,23356,640740,-0.03479626415406234
2011-05-17,24044,25270,24044,24198,676972,0.036050693611919815
2011-05-18,24044,24581,23662,23662,438585,-0.02215059095793037
2011-05-19,24198,24427,22973,22973,672404,-0.02911841771616941
2011-05-20,22207,22818,21594,22207,784562,-0.03334349018412919
2011-05-23,21592,22281,20673,20676,957992,-0.06894222542441575
2011-05-24,20139,21594,20139,20905,538568,0.011075643257883572
2011-05-25,20599,21518,20522,20599,551908,-0.014637646496053591
2011-05-26,21135,21135,20522,20829,417093,0.011165590562648653
2011-05-27,20673,22205,20521,21748,1100626,0.04412117720485864
2011-05-30,22053,22053,21211,21288,389028,-0.021151370240941714
2011-05-31,21286,21669,20979,21365,555139,0.003617061255167142
2011-06-01,21211,21977,20828,21212,597537,-0.007161245026913177
2011-06-02,20905,21211,20445,20446,404772,-0.03611163492362812
