Date,Open,High,Low,Close,Volume,Change
2014-10-06,42700,43000,37800,39500,558948,
2014-10-07,39800,41600,38300,39600,164599,0.0025316455696202667
2014-10-08,39600,41400,38800,40300,134062,0.017676767676767735
2014-10-10,40300,40600,38100,40400,119096,0.002481389578163684
2014-10-13,40000,40400,38100,39200,119033,-0.02970297029702973
2014-10-14,39000,39300,37100,38000,129121,-0.030612244897959218
2014-10-15,38000,39000,36300,37300,121505,-0.018421052631578894
2014-10-16,36600,37800,35400,37800,173990,0.013404825737265424
2014-10-17,37700,38300,37100,37500,55043,-0.007936507936507908
2014-10-20,38300,38700,37700,38200,70501,0.01866666666666661
2014-10-21,37800,38200,37100,37300,73228,-0.023560209424083767
2014-10-22,38000,38300,35900,36100,139723,-0.03217158176943702
2014-10-23,35800,36800,34600,35800,125005,-0.008310249307479256
2014-10-24,36100,36500,34200,36400,116021,0.016759776536312776
2014-10-27,36900,39100,36600,38000,133824,0.04395604395604402
2014-10-28,38000,40000,38000,39600,126584,0.042105263157894646
2014-10-29,40500,40600,39100,39300,69956,-0.007575757575757569
2014-10-30,39600,41000,38800,40700,99834,0.03562340966921118
2014-10-31,40900,41200,39900,40300,62168,-0.009828009828009798
2014-11-03,40000,40000,38000,38700,101112,-0.03970223325062039
2014-11-04,38300,38700,36200,38100,127495,-0.015503875968992276
2014-11-05,38200,38900,38100,38900,58055,0.0209973753280841
2014-11-06,38900,39100,36800,38400,1733127,-0.01285347043701801
2014-11-07,37500,38500,37300,37800,83729,-0.015625
2014-11-10,38100,39300,37300,37500,104072,-0.007936507936507908
2014-11-11,37500,39000,37500,38500,110762,0.026666666666666616
2014-11-12,38900,39500,38100,38800,49173,0.007792207792207684
2014-11-13,38700,39300,38500,38700,32685,-0.002577319587628857
2014-11-14,38400,38700,38000,38400,31835,-0.007751937984496138
2014-11-17,38600,38700,37300,37900,60378,-0.01302083333333337
2014-11-18,37900,38000,37200,37500,46368,-0.01055408970976257
2014-11-19,37500,37700,37000,37700,34137,0.005333333333333412
2014-11-20,37600,37800,37300,37700,31625,0.0
2014-11-21,37700,38000,36400,36900,75691,-0.021220159151193685
2014-11-24,36600,37000,36100,36600,62996,-0.008130081300813052
2014-11-25,36700,37100,36200,36500,64131,-0.002732240437158473
2014-11-26,36600,37600,36100,37000,66135,0.013698630136986356
2014-11-27,37000,38500,37000,38100,81890,0.029729729729729648
2014-11-28,38100,38400,37400,38000,28067,-0.002624671916010457
2014-12-01,38400,38400,36600,37000,47678,-0.02631578947368418
2014-12-02,36600,37900,36600,37800,25127,0.021621621621621623
2014-12-03,38700,38700,37900,38300,51284,0.013227513227513255
2014-12-04,38600,39400,37700,39400,97409,0.02872062663185382
2014-12-05,39500,39500,38600,39100,43268,-0.0076142131979695105
2014-12-08,39300,39300,38100,38900,60448,-0.005115089514066473
2014-12-09,38600,38700,37900,38700,73835,-0.005141388174807249
2014-12-10,38600,38600,37500,38200,61749,-0.012919896640826822
2014-12-11,37600,38200,37100,38200,63862,0.0
2014-12-12,38000,38100,36700,37600,100563,-0.015706806282722474
2014-12-15,37300,37900,36800,37900,91688,0.007978723404255428
2014-12-16,37900,38200,37400,37700,42060,-0.00527704485488123
2014-12-17,37700,38100,37400,37400,30510,-0.007957559681697646
2014-12-18,37400,37800,36600,37400,37592,0.0
2014-12-19,38000,38100,37100,37200,45248,-0.005347593582887722
2014-12-22,37200,37300,36700,37000,38109,-0.005376344086021501
2014-12-23,37200,37200,36400,36600,40406,-0.010810810810810811
2014-12-24,36500,36800,36400,36700,29024,0.002732240437158362
2014-12-26,36800,37600,36700,37600,37730,0.02452316076294281
2014-12-29,37300,37800,36300,36600,44641,-0.02659574468085102
2014-12-30,36600,36700,35800,36700,46127,0.002732240437158362
2015-01-02,36300,36500,36000,36500,27121,-0.00544959128065392
2015-01-05,36100,36400,35800,36400,32363,-0.002739726027397249
2015-01-06,36000,36200,35500,35800,32766,-0.016483516483516536
2015-01-07,35900,35900,35000,35500,40208,-0.008379888268156388
2015-01-08,35500,36300,35500,36200,42543,0.019718309859154903
2015-01-09,36400,36700,35200,35200,86460,-0.027624309392265234
2015-01-12,34800,35300,34600,34900,58692,-0.008522727272727293
2015-01-13,34900,34900,33800,34000,98436,-0.025787965616045794
