Date,Open,High,Low,Close,Volume,Change
2017-06-05,94000,94400,83000,85200,1272854,
2017-06-07,86600,86800,83100,84600,295881,-0.007042253521126751
2017-06-08,85700,87600,84300,84300,190654,-0.0035460992907800915
2017-06-09,83600,84900,82100,84600,238136,0.003558718861210064
2017-06-12,83800,84600,82200,82500,92004,-0.024822695035460973
2017-06-13,82600,87100,82600,84800,314946,0.027878787878787836
2017-06-14,84200,85500,83100,83700,99410,-0.01297169811320753
2017-06-15,83300,83400,80300,81300,152177,-0.028673835125448077
2017-06-16,80900,82300,80100,81400,65487,0.0012300123001229846
2017-06-19,82500,83200,81800,82600,49739,0.014742014742014753
2017-06-20,83000,83100,81600,82900,36948,0.00363196125907983
2017-06-21,82900,82900,80500,80500,68046,-0.02895054282267795
2017-06-22,80700,80700,77800,77800,88089,-0.03354037267080745
2017-06-23,77900,79100,77200,78200,51878,0.005141388174807249
2017-06-26,77800,80200,77000,80200,49069,0.025575447570332477
2017-06-27,80200,80200,78200,78500,36431,-0.021197007481296715
2017-06-28,78500,79300,76800,77000,56672,-0.019108280254777066
2017-06-29,77000,77300,74500,75400,90243,-0.020779220779220786
2017-06-30,76000,76000,74300,74700,44390,-0.009283819628647216
2017-07-03,74500,75700,73900,75000,28311,0.004016064257028162
2017-07-04,75100,78600,74700,77000,55812,0.026666666666666616
2017-07-05,77800,78800,77500,78300,33424,0.016883116883116944
2017-07-06,77200,77500,75600,76800,31592,-0.019157088122605415
2017-07-07,76800,76800,74700,75200,35395,-0.02083333333333337
2017-07-10,75200,75200,73000,73500,29775,-0.022606382978723416
2017-07-11,74000,74300,72600,73500,29365,0.0
2017-07-12,73500,74800,72100,73500,21412,0.0
2017-07-13,73300,73600,72100,72400,41933,-0.014965986394557818
2017-07-14,72400,73300,71400,72400,37553,0.0
2017-07-17,73900,76600,72700,76200,78169,0.05248618784530379
2017-07-18,78500,78900,76400,76900,75611,0.009186351706036655
2017-07-19,76900,78300,75000,76000,51425,-0.011703511053316018
2017-07-20,76300,77500,75400,76400,31715,0.0052631578947368585
2017-07-21,77000,78700,76400,76400,54794,0.0
2017-07-24,77900,79000,76700,78800,60745,0.03141361256544495
2017-07-25,78600,79600,77400,77600,46339,-0.015228426395939132
2017-07-26,78000,78400,76700,77700,24673,0.0012886597938144284
2017-07-27,77800,78000,76800,77900,18225,0.002574002574002643
2017-07-28,78000,78000,76200,76500,18955,-0.01797175866495504
2017-07-31,76700,76900,75300,75400,11709,-0.01437908496732021
2017-08-01,75800,76700,74900,75900,28043,0.006631299734747964
2017-08-02,75900,76700,75400,76700,16578,0.010540184453228019
2017-08-03,76700,77400,75200,76800,16196,0.0013037809647979959
2017-08-04,76800,76900,75600,75800,16358,-0.01302083333333337
