Date,Open,High,Low,Close,Volume,Change
2011-01-03,3661,3687,3646,3657,295416,-0.0021828103683492195
2011-01-04,3657,3665,3650,3661,317249,0.0010937927262784086
2011-01-05,3687,3687,3653,3665,184344,0.0010925976509150725
2011-01-06,3665,3669,3661,3668,285821,0.0008185538881309018
2011-01-07,3676,3676,3661,3668,181320,0.0
2011-01-10,3665,3665,3657,3665,178594,-0.0008178844056706547
2011-01-11,3657,3676,3650,3665,327851,0.0
2011-01-12,3661,3670,3650,3654,146950,-0.0030013642564802323
2011-01-13,3650,3657,3635,3638,887944,-0.004378762999452612
2011-01-14,3650,3650,3631,3645,134262,0.0019241341396372125
2011-01-17,3635,3646,3628,3631,304064,-0.0038408779149520234
2011-01-18,3646,3653,3623,3650,143170,0.005232718259432723
2011-01-19,3650,3650,3628,3643,115999,-0.0019178082191780854
2011-01-20,3641,3646,3619,3631,433480,-0.0032939884710403433
2011-01-21,3635,3639,3616,3631,273051,0.0
2011-01-24,3628,3631,3619,3624,149882,-0.0019278435692646756
2011-01-25,3623,3628,3612,3621,251730,-0.0008278145695364003
2011-01-26,3616,3631,3608,3624,182160,0.0008285004142503105
2011-01-27,3623,3623,3612,3627,99729,0.0008278145695364003
2011-01-28,3616,3628,3616,3627,994739,0.0
2011-01-31,3623,3639,3619,3627,113029,0.0
2011-02-01,3623,3661,3623,3657,103680,0.008271298593879317
2011-02-07,3665,3771,3661,3729,235986,0.01968826907301069
2011-02-08,3733,3737,3683,3702,177868,-0.007240547063555924
2011-02-09,3697,3697,3661,3665,252108,-0.009994597514856873
2011-02-10,3661,3699,3661,3680,76010,0.004092769440654953
2011-02-11,3702,3702,3661,3688,171266,0.0021739130434783593
2011-02-14,3699,3719,3683,3717,224996,0.007863340563991406
2011-02-15,3722,3729,3699,3721,164730,0.0010761366693570196
2011-02-16,3719,3722,3687,3698,209730,-0.006181134103735553
2011-02-17,3719,3719,3683,3688,138545,-0.0027041644131963194
2011-02-18,3702,3714,3680,3688,223320,0.0
2011-02-21,3692,3697,3670,3680,269870,-0.002169197396963085
2011-02-22,3706,3710,3673,3680,210937,0.0
2011-02-23,3676,3699,3676,3688,165370,0.0021739130434783593
2011-02-24,3687,3706,3680,3694,191310,0.0016268980477223138
2011-02-25,3697,3710,3683,3707,259033,0.0035192203573362058
2011-02-28,3714,3722,3699,3707,310830,0.0
2011-03-02,3714,3722,3702,3725,220648,0.004855678446182843
2011-03-03,3725,3763,3725,3744,347804,0.005100671140939594
2011-03-04,3737,3812,3737,3815,661301,0.018963675213675257
2011-03-07,3812,3812,3782,3793,214757,-0.005766710353866333
2011-03-08,3798,3812,3790,3809,391554,0.004218296862641635
2011-03-09,3805,3865,3798,3838,602380,0.007613546862693665
2011-03-10,3850,3881,3827,3884,518492,0.011985409067222452
2011-03-11,3881,3925,3865,3921,604734,0.0095262615859939
