Date,Open,High,Low,Close,Volume,Change
2015-12-18,5020,5190,3790,3800,8257472,
2015-12-21,3750,4050,3750,3775,1488514,-0.006578947368421018
2015-12-22,3870,3975,3805,3820,1010543,0.01192052980132452
2015-12-23,3855,3940,3820,3855,445017,0.009162303664921545
2015-12-24,3895,4150,3815,3835,929406,-0.005188067444876765
2015-12-28,3865,3920,3780,3780,311604,-0.014341590612777066
2015-12-29,3780,3780,3500,3690,354665,-0.023809523809523836
2015-12-30,3710,3765,3660,3755,261666,0.017615176151761558
2016-01-04,3710,3730,3510,3535,408424,-0.05858854860186413
2016-01-05,3460,4095,3425,3700,1583747,0.04667609618104662
2016-01-06,3750,3760,3540,3590,576405,-0.02972972972972976
2016-01-07,3550,3670,3510,3580,437940,-0.0027855153203342198
2016-01-08,3550,3990,3525,3800,1281958,0.06145251396648055
2016-01-11,4465,4700,3770,3865,4041297,0.017105263157894735
2016-01-12,3840,3930,3700,3700,869717,-0.04269081500646832
2016-01-13,3710,3785,3660,3705,534802,0.0013513513513514486
2016-01-14,3705,4075,3690,3870,1961764,0.044534412955465674
2016-01-15,3940,3950,3740,3740,672374,-0.03359173126614989
2016-01-18,3700,3735,3575,3680,462010,-0.016042780748663055
2016-01-19,3680,4160,3640,4005,3811493,0.08831521739130443
2016-01-20,4060,4295,3780,3855,1826963,-0.03745318352059923
2016-01-21,3885,4045,3835,3900,1110349,0.011673151750972721
2016-01-22,3900,4025,3815,3830,696987,-0.017948717948717996
2016-01-25,3850,3920,3810,3830,436399,0.0
2016-01-26,3795,3840,3700,3700,325665,-0.03394255874673624
2016-01-27,3730,3745,3615,3640,327545,-0.01621621621621616
2016-01-28,3640,3715,3620,3650,151794,0.0027472527472527375
2016-01-29,3660,3870,3660,3740,319014,0.024657534246575352
2016-02-01,3760,3820,3715,3755,228079,0.00401069518716568
2016-02-02,3755,3835,3625,3650,226779,-0.0279627163781625
2016-02-03,3620,3620,3520,3585,153123,-0.017808219178082174
2016-02-04,3600,3740,3560,3740,153275,0.04323570432357049
2016-02-05,3950,3980,3755,3795,420960,0.014705882352941124
2016-02-11,3750,3835,3600,3730,173582,-0.017127799736495364
2016-02-12,3695,3745,3440,3485,320119,-0.06568364611260058
2016-02-15,3485,3610,3485,3520,196808,0.010043041606886627
2016-02-16,3545,3715,3525,3700,210679,0.051136363636363535
2016-02-17,3700,3710,3560,3570,205929,-0.03513513513513511
2016-02-18,3600,3675,3595,3665,60852,0.026610644257702987
2016-02-19,3665,3770,3595,3765,65194,0.027285129604365688
2016-02-22,3800,3900,3790,3805,173348,0.010624169986719778
2016-02-23,3970,3990,3795,3870,574465,0.01708278580814726
2016-02-24,3890,4100,3890,4070,758632,0.05167958656330751
2016-02-25,4080,4145,4020,4125,434744,0.013513513513513598
2016-02-26,4080,4245,4050,4235,479123,0.026666666666666616
2016-02-29,4270,4395,4160,4210,478893,-0.005903187721369552
2016-03-02,4235,4250,4110,4110,311684,-0.02375296912114011
2016-03-03,4150,4280,4055,4255,371042,0.035279805352798066
2016-03-04,4245,4450,4190,4375,519152,0.02820211515863691
2016-03-07,4450,4450,4325,4375,169854,0.0
2016-03-08,4400,4400,4165,4215,378819,-0.03657142857142859
2016-03-09,4195,4300,4170,4245,118034,0.007117437722419906
2016-03-10,4245,4345,4200,4280,154345,0.008244994110718551
2016-03-11,4285,4310,4190,4220,143449,-0.014018691588784993
2016-03-14,4220,4290,4175,4210,189127,-0.0023696682464454666
2016-03-15,4210,4300,4200,4210,113551,0.0
2016-03-16,4210,4280,4195,4205,117359,-0.001187648456057011
2016-03-17,4200,4335,4190,4250,158677,0.010701545778834642
2016-03-18,4280,4280,4170,4245,252461,-0.0011764705882353343
2016-03-21,4230,4240,4090,4215,202191,-0.007067137809187329
2016-03-22,4200,4240,4170,4170,135421,-0.010676156583629859
2016-03-23,4160,4195,4110,4135,203648,-0.008393285371702586
2016-03-24,4100,4135,4030,4130,126264,-0.0012091898428052694
2016-03-25,4085,4175,4085,4125,67701,-0.001210653753026647
2016-03-28,4125,4215,4110,4125,61746,0.0
2016-03-29,4125,4165,4100,4160,69986,0.00848484848484854
2016-03-30,4160,4200,4100,4105,89842,-0.013221153846153855
2016-03-31,4105,4130,4040,4050,104970,-0.013398294762484775
2016-04-01,4040,4135,4040,4115,75441,0.016049382716049276
2016-04-04,4080,4150,4080,4130,66008,0.0036452004860267895
2016-04-05,4160,4165,4065,4110,115526,-0.004842615012106588
2016-04-06,4110,4110,4050,4090,48816,-0.0048661800486617945
2016-04-07,4090,4130,4070,4100,73211,0.0024449877750611915
2016-04-08,4100,4100,4045,4045,47152,-0.013414634146341475
2016-04-11,4045,4845,4015,4400,1308384,0.08776266996291726
2016-04-12,4440,4470,4320,4320,322948,-0.018181818181818188
2016-04-14,4370,4755,4320,4720,1291700,0.09259259259259256
2016-04-15,4730,4730,4530,4700,335104,-0.004237288135593209
2016-04-18,4700,4765,4535,4595,330940,-0.022340425531914843
2016-04-19,4620,4650,4480,4560,207110,-0.007616974972796564
2016-04-20,4600,4635,4490,4600,205057,0.00877192982456143
2016-04-21,4675,4675,4505,4515,108274,-0.018478260869565166
2016-04-22,4530,4620,4500,4560,121535,0.009966777408637828
2016-04-25,4600,4600,4500,4500,72507,-0.013157894736842146
2016-04-26,4480,4500,4380,4495,91435,-0.0011111111111110628
2016-04-27,4450,4495,4385,4450,136731,-0.010011123470522798
2016-04-28,4450,4640,4405,4550,152019,0.022471910112359605
2016-04-29,4575,4575,4430,4450,63912,-0.02197802197802201
2016-05-02,4420,4425,4220,4235,152950,-0.04831460674157306
2016-05-03,4240,4310,4240,4295,56557,0.01416765053128688
2016-05-04,4290,4290,4210,4245,59291,-0.011641443538998875
2016-05-09,4205,4275,4010,4095,135215,-0.035335689045936425
2016-05-10,4150,4190,4105,4190,71172,0.023199023199023117
2016-05-11,4200,4260,4150,4205,38889,0.0035799522673030104
2016-05-12,4205,4240,4150,4215,30694,0.0023781212841855748
2016-05-13,4260,4260,4105,4135,48067,-0.018979833926453193
2016-05-16,4135,4145,4015,4030,96779,-0.025392986698911768
2016-05-17,4030,4160,3980,4000,101164,-0.007444168734491274
2016-05-18,4000,4060,3850,3885,133311,-0.028750000000000053
2016-05-19,3885,3920,3775,3815,119835,-0.018018018018018056
2016-05-20,3850,3895,3815,3840,39438,0.006553079947575258
2016-05-23,3850,3940,3840,3880,60399,0.01041666666666674
2016-05-24,3915,3950,3860,3925,39453,0.011597938144329856
2016-05-25,3950,3990,3895,3955,61818,0.007643312101910826
2016-05-26,3940,4025,3920,3940,74169,-0.0037926675094817064
2016-05-27,3980,3980,3885,3885,58022,-0.013959390862944177
2016-05-30,3835,3885,3775,3800,47396,-0.02187902187902191
2016-05-31,3800,3890,3780,3840,38891,0.010526315789473717
2016-06-01,3865,3950,3775,3860,115608,0.005208333333333259
2016-06-02,3900,3965,3850,3850,52608,-0.002590673575129543
2016-06-03,3850,3900,3785,3900,40239,0.01298701298701288
2016-06-07,3860,4000,3830,3850,56848,-0.012820512820512775
2016-06-08,3890,3890,3825,3850,47265,0.0
2016-06-09,3835,3850,3630,3695,212718,-0.04025974025974022
2016-06-10,3655,3820,3610,3690,205196,-0.0013531799729363803
2016-06-13,3690,3740,3635,3710,64147,0.005420054200542035
2016-06-14,3645,3745,3640,3730,76282,0.005390835579514919
2016-06-15,3750,3750,3670,3700,25729,-0.008042895442359255
2016-06-16,3725,3725,3640,3650,48991,-0.013513513513513487
2016-06-17,3670,3720,3640,3675,102841,0.006849315068493178
2016-06-20,3700,3735,3640,3665,115929,-0.0027210884353741083
