Date,Open,High,Low,Close,Volume,Change
2011-01-03,889,896,884,895,1037928,0.011299435028248483
2011-01-04,898,914,895,913,1067988,0.02011173184357551
2011-01-05,911,924,903,912,936711,-0.0010952902519167917
2011-01-06,914,951,914,933,1843955,0.023026315789473673
2011-01-07,928,942,924,933,888460,0.0
2011-01-10,933,937,919,920,771408,-0.01393354769560562
2011-01-11,919,956,919,942,1619081,0.023913043478260843
2011-01-12,942,969,942,961,1877874,0.02016985138004257
2011-01-13,969,974,951,956,2123248,-0.005202913631633721
2011-01-14,960,983,956,974,2118925,0.01882845188284521
2011-01-17,978,992,960,961,1916204,-0.013347022587268942
2011-01-18,960,960,924,961,1707136,0.0
2011-01-19,965,969,946,961,995899,0.0
2011-01-20,956,983,951,961,852791,0.0
2011-01-21,965,965,937,956,1303094,-0.005202913631633721
2011-01-24,951,956,933,956,1095452,0.0
2011-01-25,960,965,942,956,944220,0.0
2011-01-26,956,983,951,974,1035316,0.01882845188284521
2011-01-27,965,974,951,965,1047444,-0.00924024640657084
2011-01-28,956,974,951,965,1081720,0.0
2011-01-31,951,965,946,961,1209164,-0.004145077720207224
2011-02-01,965,969,956,956,418119,-0.005202913631633721
2011-02-07,969,969,956,965,517778,0.009414225941422494
2011-02-08,969,969,951,952,504290,-0.013471502590673534
2011-02-09,946,956,937,938,1006243,-0.014705882352941124
2011-02-10,933,942,919,938,803150,0.0
2011-02-11,933,942,924,929,670312,-0.009594882729211052
2011-02-14,928,951,928,952,842712,0.02475780409041972
2011-02-15,942,956,942,952,906921,0.0
2011-02-16,942,956,937,947,722717,-0.005252100840336116
2011-02-17,946,956,919,938,908058,-0.009503695881731833
2011-02-18,937,951,933,947,439867,0.009594882729211163
2011-02-21,946,951,924,929,910062,-0.019007391763463555
2011-02-22,919,924,896,905,1041586,-0.0258342303552207
2011-02-23,901,913,897,905,392310,0.0
2011-02-24,896,905,892,906,680101,0.0011049723756906271
2011-02-25,911,937,904,933,760206,0.0298013245033113
2011-02-28,933,946,913,942,1581606,0.009646302250803762
2011-03-02,933,937,914,915,786101,-0.0286624203821656
2011-03-03,919,937,914,938,369377,0.025136612021857907
2011-03-04,942,951,933,947,568118,0.009594882729211163
2011-03-07,946,951,928,952,585647,0.0052798310454065245
2011-03-08,942,960,937,947,778578,-0.005252100840336116
2011-03-09,951,956,937,942,522083,-0.0052798310454065245
2011-03-10,946,946,933,942,539008,0.0
2011-03-11,937,937,913,920,1661292,-0.023354564755838636
2011-03-14,913,919,892,910,2096750,-0.010869565217391353
2011-03-15,902,910,841,901,1481574,-0.009890109890109855
2011-03-16,901,905,888,901,649208,0.0
2011-03-17,888,900,882,897,392133,-0.004439511653718142
2011-03-18,898,908,894,901,300747,0.004459308807134965
2011-03-21,902,914,902,911,384369,0.011098779134295134
2011-03-22,914,919,908,913,330277,0.002195389681668436
2011-03-23,914,914,906,914,301528,0.0010952902519167917
2011-03-24,914,933,913,924,736952,0.010940919037199182
2011-03-25,933,937,919,920,1321312,-0.0043290043290042934
2011-03-28,928,928,913,915,690354,-0.005434782608695676
2011-03-29,914,924,912,915,525105,0.0
2011-03-30,913,913,902,910,972893,-0.005464480874316946
2011-03-31,914,924,912,924,712285,0.01538461538461533
2011-04-01,933,937,914,929,1283872,0.005411255411255311
2011-04-04,937,960,928,942,1521732,0.013993541442411273
2011-04-05,951,956,942,952,690169,0.010615711252653925
2011-04-06,956,956,937,938,667687,-0.014705882352941124
2011-04-07,937,942,919,924,620901,-0.014925373134328401
2011-04-08,919,928,914,920,726627,-0.0043290043290042934
2011-04-11,919,924,905,908,1015892,-0.013043478260869601
2011-04-12,907,909,901,903,854546,-0.005506607929515406
2011-04-13,897,905,887,892,1106007,-0.01218161683277963
2011-04-14,882,882,858,874,2000970,-0.020179372197309364
2011-04-15,873,888,870,887,834484,0.014874141876430214
2011-04-18,886,886,864,878,928947,-0.01014656144306647
2011-04-19,871,879,861,866,1389411,-0.013667425968109326
2011-04-20,867,879,864,874,871459,0.009237875288683695
2011-04-21,878,880,862,868,852903,-0.006864988558352381
2011-04-22,874,942,874,892,4453869,0.02764976958525356
2011-04-25,896,896,864,869,1347075,-0.02578475336322872
2011-04-26,869,870,849,851,1174545,-0.020713463751438455
2011-04-27,851,876,851,855,1955981,0.004700352526439522
2011-04-28,862,862,848,856,1448881,0.0011695906432749315
2011-04-29,857,863,851,860,1069411,0.004672897196261738
2011-05-02,864,870,855,859,1168850,-0.0011627906976744429
2011-05-03,859,861,846,851,631874,-0.0093131548311991
2011-05-04,850,852,840,843,705130,-0.009400705052878933
2011-05-06,840,846,835,842,910454,-0.0011862396204033177
2011-05-09,847,848,837,841,336779,-0.001187648456057011
2011-05-11,838,860,838,858,570020,0.02021403091557672
2011-05-12,852,855,842,855,341702,-0.0034965034965035446
2011-05-13,855,857,832,846,676374,-0.010526315789473717
2011-05-16,841,849,837,843,382750,-0.0035460992907800915
2011-05-17,837,844,834,843,407288,0.0
2011-05-18,842,845,841,844,249653,0.0011862396204034287
2011-05-19,846,846,830,837,604941,-0.008293838862559189
2011-05-20,838,849,837,845,596217,0.009557945041815952
2011-05-23,842,846,832,837,259535,-0.009467455621301801
2011-05-24,824,838,824,839,311663,0.002389486260454099
2011-05-25,838,839,826,827,636037,-0.014302741358760418
2011-05-26,826,834,824,826,396839,-0.0012091898428052694
2011-05-27,827,829,823,827,254414,0.001210653753026536
2011-05-30,826,832,811,812,485344,-0.01813784764207982
2011-05-31,814,819,810,820,509271,0.009852216748768461
2011-06-01,819,824,812,815,488239,-0.0060975609756097615
2011-06-02,800,810,798,804,243136,-0.013496932515337456
2011-06-03,805,828,802,823,533048,0.023631840796019876
2011-06-07,822,831,822,830,296912,0.008505467800729027
2011-06-08,832,832,822,830,201640,0.0
2011-06-09,824,833,823,833,231160,0.0036144578313253017
2011-06-10,833,849,828,833,269613,0.0
2011-06-13,825,837,824,833,217504,0.0
2011-06-14,834,841,828,833,215304,0.0
2011-06-15,835,839,829,837,111789,0.004801920768307433
2011-06-16,837,837,823,837,519110,0.0
2011-06-17,834,840,824,837,215804,0.0
2011-06-20,828,842,828,842,469041,0.005973715651135025
2011-06-21,838,852,838,851,387054,0.010688836104512989
2011-06-22,859,859,849,855,328718,0.004700352526439522
2011-06-23,850,857,846,856,102617,0.0011695906432749315
2011-06-24,855,859,850,857,353257,0.001168224299065379
2011-06-27,857,860,849,859,312405,0.002333722287047868
2011-06-28,860,866,856,861,423780,0.002328288707799775
2011-06-29,862,867,856,862,254188,0.0011614401858304202
2011-06-30,859,869,857,869,326633,0.008120649651972123
2011-07-01,873,876,850,855,665261,-0.016110471806674354
2011-07-04,858,864,850,855,517716,0.0
2011-07-05,851,853,846,851,429582,-0.004678362573099393
2011-07-06,851,857,846,847,254797,-0.004700352526439522
2011-07-07,847,852,846,848,267918,0.0011806375442739991
2011-07-08,850,850,846,846,267370,-0.002358490566037763
2011-07-11,845,845,837,837,317627,-0.010638297872340385
2011-07-12,830,831,825,830,350225,-0.008363201911589013
2011-07-13,828,832,825,830,253488,0.0
2011-07-14,830,832,827,830,253697,0.0
2011-07-15,831,839,828,837,172576,0.008433734939758963
2011-07-18,841,841,830,832,344042,-0.005973715651135025
2011-07-19,832,835,828,832,254360,0.0
2011-07-20,836,841,833,837,268955,0.006009615384615419
2011-07-21,840,840,831,837,250200,0.0
2011-07-22,839,848,833,836,427057,-0.0011947431302270495
2011-07-25,834,837,828,836,506619,0.0
2011-07-26,833,844,832,839,464234,0.0035885167464115852
2011-07-27,837,840,836,840,328196,0.0011918951132301459
2011-07-28,837,841,831,837,349742,-0.0035714285714285587
2011-07-29,837,840,832,841,472901,0.004778972520907976
2011-08-01,842,849,838,840,655022,-0.0011890606420927874
2011-08-02,839,839,828,829,467494,-0.013095238095238049
2011-08-03,823,828,818,826,903965,-0.003618817852834688
2011-08-04,828,828,818,820,413103,-0.007263922518159771
2011-08-05,793,800,785,787,1098799,-0.040243902439024426
2011-08-08,780,789,710,737,1161923,-0.06353240152477768
2011-08-09,733,733,629,695,1406230,-0.056987788331071876
2011-08-10,718,731,714,715,474331,0.02877697841726623
2011-08-11,693,727,686,713,291108,-0.002797202797202747
2011-08-12,722,730,712,714,563140,0.0014025245441795509
2011-08-16,723,752,723,749,422962,0.0490196078431373
