Date,Open,High,Low,Close,Volume,Change
2012-01-20,35000,37750,29750,29750,3034391,
2012-01-25,28800,29400,26800,27600,765188,-0.07226890756302518
2012-01-26,27950,28350,27150,28150,375129,0.019927536231884035
2012-01-27,28450,28800,26650,26650,407632,-0.05328596802841923
2012-01-30,26400,27100,26350,26500,147650,-0.0056285178236398226
2012-01-31,26650,26750,25350,25500,263162,-0.037735849056603765
2012-02-01,25450,26150,25250,25450,133185,-0.0019607843137254832
2012-02-02,25900,26150,25500,25750,133447,0.011787819253438192
2012-02-03,25850,26800,25500,26350,156704,0.023300970873786353
2012-02-06,26400,26450,24750,24850,238271,-0.05692599620493355
2012-02-07,24800,25200,24300,24850,106813,0.0
2012-02-08,24800,25750,24600,24850,102903,0.0
2012-02-09,25000,26400,24950,26300,152598,0.05835010060362178
2012-02-10,26500,26500,25200,25700,102998,-0.02281368821292773
2012-02-13,25700,26250,25450,25700,77042,0.0
2012-02-14,25750,25900,25200,25300,83670,-0.015564202334630295
2012-02-15,25350,25450,25050,25350,43553,0.0019762845849802257
2012-02-16,25200,25250,24300,24350,119737,-0.03944773175542404
2012-02-17,24650,24650,23800,23950,104611,-0.01642710472279263
2012-02-20,23950,24400,23100,23250,135713,-0.029227557411273475
2012-02-21,23500,23500,22400,22600,128409,-0.027956989247311825
2012-02-22,22850,23250,22700,23250,89228,0.028761061946902755
2012-02-23,23000,23900,23000,23250,66424,0.0
2012-02-24,22400,22500,21150,21550,209890,-0.07311827956989247
2012-02-27,21200,21550,19500,19600,179360,-0.09048723897911837
2012-02-28,19500,19750,18350,18550,208833,-0.0535714285714286
2012-02-29,18750,19250,18550,19000,128326,0.0242587601078168
2012-03-02,19150,19350,18350,18500,149935,-0.02631578947368418
2012-03-05,18450,19150,18450,18850,99953,0.018918918918918948
2012-03-06,19100,19600,18950,19200,114204,0.018567639257294433
2012-03-07,19050,19800,18850,19400,79220,0.01041666666666674
2012-03-08,19400,19750,19100,19400,71488,0.0
2012-03-09,19700,20950,19400,20500,198453,0.05670103092783507
2012-03-12,20850,21250,20400,21000,120511,0.024390243902439046
2012-03-13,21250,21350,20600,21200,159788,0.00952380952380949
2012-03-14,21200,21200,20350,20350,95449,-0.04009433962264153
2012-03-15,20200,20650,20050,20550,71189,0.00982800982800991
2012-03-16,21300,21300,20550,20550,85518,0.0
2012-03-19,20300,20650,19700,20000,98644,-0.02676399026763987
2012-03-20,20000,20100,19350,19700,53577,-0.015000000000000013
2012-03-21,19650,19800,19200,19450,36623,-0.012690355329949221
2012-03-22,19350,19950,19350,19950,32803,0.02570694087403602
2012-03-23,19800,20150,19550,20050,32647,0.005012531328320913
2012-03-26,20100,20750,20050,20400,47944,0.0174563591022443
2012-03-27,20550,20550,19850,19950,41673,-0.022058823529411797
2012-03-28,19650,20200,19200,19950,52893,0.0
2012-03-29,19350,19900,19300,19700,34882,-0.01253132832080206
2012-03-30,19800,20200,19600,19850,34164,0.0076142131979695105
2012-04-02,19950,19950,19400,19400,18795,-0.02267002518891692
2012-04-03,19500,19550,17950,18200,135514,-0.061855670103092786
2012-04-04,18500,18500,17400,17650,63552,-0.030219780219780223
2012-04-05,17350,18100,17350,17700,46318,0.0028328611898016387
2012-04-06,17850,18300,17800,18150,30021,0.025423728813559254
2012-04-09,17900,18150,17350,17400,48629,-0.04132231404958675
2012-04-10,17200,17600,17050,17400,34138,0.0
2012-04-12,17700,17700,17150,17250,22951,-0.008620689655172376
2012-04-13,17350,17800,17350,17450,27910,0.011594202898550732
2012-04-16,17400,17650,17250,17400,28492,-0.002865329512893977
2012-04-17,17550,17550,16900,17000,64702,-0.02298850574712641
2012-04-18,17250,17300,16750,16950,67413,-0.002941176470588225
2012-04-19,17350,17450,16950,17150,33036,0.01179941002949847
