Date,Open,High,Low,Close,Volume,Change
2017-12-06,43000,44000,36700,38500,2238668,
2017-12-07,39000,40500,38150,39100,355217,0.01558441558441559
2017-12-08,39700,40350,38700,39400,127728,0.007672634271099765
2017-12-11,39750,39950,37500,38350,125305,-0.026649746192893398
2017-12-12,38100,38100,35900,36950,175065,-0.03650586701434155
2017-12-13,36950,39700,36950,39000,182069,0.05548037889039237
2017-12-14,39950,43750,39500,42700,535374,0.09487179487179498
2017-12-15,41600,43000,40700,42700,142751,0.0
2017-12-18,42500,44900,40500,43900,184514,0.02810304449648715
2017-12-19,44100,45000,42150,44500,125135,0.013667425968109326
2017-12-20,44750,44750,43100,43700,52602,-0.017977528089887618
2017-12-21,42700,43200,40850,41050,100925,-0.060640732265446196
2017-12-22,41100,42550,40150,41300,104939,0.006090133982947554
2017-12-26,41250,41250,39150,40050,125067,-0.030266343825665842
2017-12-27,40600,40600,38900,40050,81672,0.0
2017-12-28,39700,42950,38700,42450,155246,0.059925093632958726
2018-01-02,43200,43500,41650,42700,100310,0.005889281507656108
2018-01-03,43000,43500,41900,43350,85414,0.015222482435597096
2018-01-04,43350,43350,41750,41950,52676,-0.032295271049596286
2018-01-05,41900,44100,41700,43400,85521,0.03456495828367112
2018-01-08,41800,42500,40850,41400,269585,-0.04608294930875578
2018-01-09,41800,42500,39800,40350,137568,-0.025362318840579712
2018-01-10,40800,41150,38750,39350,132133,-0.024783147459727428
2018-01-11,39100,41050,39100,40500,85498,0.029224904701397714
2018-01-12,41150,41150,38800,40000,101508,-0.012345679012345734
2018-01-15,40800,41000,40000,40500,74185,0.012499999999999956
2018-01-16,40500,41200,39500,41200,62156,0.01728395061728394
2018-01-17,41100,41450,39300,39850,81321,-0.03276699029126218
2018-01-18,40200,40300,39600,39700,43427,-0.0037641154328732496
2018-01-19,40100,40200,39350,39700,34651,0.0
2018-01-22,39900,39900,38200,38450,82904,-0.03148614609571787
2018-01-23,38300,39200,38300,38750,49508,0.007802340702210753
2018-01-24,38950,39600,38750,39300,36663,0.014193548387096744
2018-01-25,39100,39300,37800,39050,77773,-0.006361323155216314
2018-01-26,39250,39950,38450,39900,63078,0.02176696542893719
2018-01-29,40400,40400,39300,39300,66376,-0.015037593984962405
2018-01-30,39400,39550,38800,38800,41100,-0.012722646310432517
2018-01-31,38450,38800,38000,38600,63696,-0.005154639175257714
2018-02-01,38550,39000,37750,38150,56962,-0.011658031088082943
2018-02-02,38450,38750,37250,37250,48208,-0.023591087811271283
2018-02-05,36700,37000,34300,34950,119238,-0.06174496644295302
2018-02-06,32550,34800,32550,34500,88336,-0.012875536480686733
2018-02-07,34950,35900,33250,33450,56625,-0.0304347826086957
2018-02-08,33450,36450,33000,35500,71425,0.06128550074738426
2018-02-09,37200,38600,35900,37450,215421,0.05492957746478866
2018-02-12,37000,37350,35350,35900,78811,-0.041388518024032095
2018-02-13,36350,36350,34200,34500,67350,-0.03899721448467963
2018-02-14,34200,36800,33950,35950,56799,0.04202898550724643
2018-02-19,36500,36600,35350,35800,43987,-0.004172461752433909
2018-02-20,35900,36400,35250,36000,31069,0.005586592178770999
2018-02-21,36200,36650,35400,36400,28394,0.011111111111111072
2018-02-22,36600,36650,35900,36500,20172,0.0027472527472527375
2018-02-23,36550,36800,35850,36000,21002,-0.013698630136986356
