Date,Open,High,Low,Close,Volume,Change
2017-08-04,7319,7608,6346,6433,2001760,
2017-08-07,6567,7348,6462,6741,1048999,0.04787812840043526
2017-08-08,6789,6837,6471,6549,266178,-0.028482421005785463
2017-08-09,6548,6625,6307,6327,195573,-0.03389830508474578
2017-08-10,6240,6404,5990,6125,167140,-0.03192666350561091
2017-08-11,5980,6115,5816,5971,107300,-0.025142857142857133
2017-08-14,6144,6635,6115,6279,243049,0.05158264947245028
2017-08-16,6279,6317,5884,5942,153578,-0.053670966714444934
2017-08-17,6028,6124,5941,6125,102264,0.03079771120834729
2017-08-18,6067,6182,6009,6086,49961,-0.006367346938775498
2017-08-21,6240,6240,6038,6038,76405,-0.007886953664147267
2017-08-22,6067,6144,6019,6067,50305,0.0048029148724744175
2017-08-23,6067,6259,6056,6106,114087,0.00642821822976769
2017-08-24,6105,6134,5922,6000,56200,-0.01735997379626597
2017-08-25,6019,6038,5922,6038,61206,0.006333333333333302
2017-08-28,6038,6057,5932,5971,30736,-0.011096389532957884
2017-08-29,5913,5950,5845,5865,38811,-0.0177524702729861
2017-08-30,5864,5970,5816,5923,31526,0.009889173060528611
2017-08-31,5951,5990,5836,5855,38708,-0.01148066858011143
2017-09-01,5893,6067,5855,6048,67245,0.032963279248505506
2017-09-04,5807,6019,5778,5971,70984,-0.01273148148148151
2017-09-05,6240,6250,6105,6144,108456,0.028973371294590544
2017-09-06,6124,6230,6104,6173,51393,0.004720052083333259
2017-09-07,6288,6307,6220,6308,62753,0.02186943139478381
2017-09-08,6307,6307,6240,6279,46052,-0.004597336715282174
2017-09-11,6279,6307,6221,6279,44181,0.0
2017-09-12,6279,6279,6115,6163,43504,-0.018474279343844602
2017-09-13,6173,6211,6047,6077,35931,-0.013954243063443172
2017-09-14,6086,6211,6076,6135,33456,0.009544182985025573
2017-09-15,6163,6182,6086,6163,29132,0.004563977180114032
2017-09-18,6153,6173,6086,6135,33045,-0.0045432419276326685
2017-09-19,6163,6279,6134,6231,61839,0.015647921760391093
2017-09-20,6202,6230,6115,6125,31001,-0.01701171561547099
2017-09-21,6153,6202,6076,6202,43938,0.012571428571428678
2017-09-22,6105,6163,5970,6048,41189,-0.02483069977426633
2017-09-25,6076,6076,5797,5817,29450,-0.03819444444444442
2017-09-26,5701,5932,5624,5653,87431,-0.028193226749183453
2017-09-27,5662,5759,5653,5720,22462,0.011852113921811513
2017-09-28,5749,5836,5710,5778,15357,0.010139860139860124
2017-09-29,5913,6229,5903,6067,135543,0.050017307026652746
2017-10-10,6076,6076,5855,5884,22506,-0.030163177847370992
2017-10-11,5912,5970,5816,5961,14154,0.013086335825968742
