Date,Open,High,Low,Close,Volume,Change
2011-01-03,9150,9350,9110,9320,200037,0.027563395810363822
2011-01-04,9360,9410,9210,9380,217235,0.006437768240343367
2011-01-05,9400,9550,9240,9460,285034,0.008528784648187626
2011-01-06,9510,10800,9510,10100,1788691,0.06765327695560264
2011-01-07,10300,10300,9860,9950,643475,-0.014851485148514865
2011-01-10,9950,10250,9900,9910,364968,-0.004020100502512558
2011-01-11,9880,9950,9630,9750,460562,-0.016145307769929396
2011-01-12,9850,10100,9800,9900,354206,0.01538461538461533
2011-01-13,10000,10050,9580,9650,321483,-0.025252525252525304
2011-01-14,9650,9800,9530,9560,197993,-0.00932642487046631
2011-01-17,9610,9710,9260,9260,281039,-0.03138075313807531
2011-01-18,9180,9490,9160,9330,174316,0.0075593952483801186
2011-01-19,9390,9500,9300,9500,215930,0.018220793140407254
2011-01-20,9500,9760,9450,9520,246585,0.002105263157894832
2011-01-21,9580,9580,9260,9270,226585,-0.02626050420168069
2011-01-24,9270,9420,9200,9350,134197,0.008629989212513456
2011-01-25,9400,9910,9390,9800,658070,0.048128342245989275
2011-01-26,9900,9920,9630,9660,292143,-0.014285714285714235
2011-01-27,9750,10100,9720,9940,750680,0.02898550724637672
2011-01-28,10000,10150,9790,9880,405088,-0.006036217303822977
2011-01-31,9700,9910,9570,9630,355471,-0.0253036437246964
2011-02-01,9700,9980,9700,9970,459942,0.03530633437175501
2011-02-07,10250,10350,9970,9970,552505,0.0
2011-02-08,9980,10250,9730,9750,520046,-0.0220661985957874
2011-02-09,9800,9820,9410,9570,329100,-0.018461538461538418
2011-02-10,9510,10350,9490,10300,1109182,0.0762800417972831
2011-02-11,10250,10800,10150,10450,1999487,0.014563106796116498
2011-02-14,10800,11050,10350,10500,1294300,0.004784688995215225
2011-02-15,10500,10900,10350,10900,851089,0.03809523809523818
2011-02-16,10950,11250,9510,9800,2061511,-0.1009174311926605
2011-02-17,9800,9960,9200,9380,683084,-0.042857142857142816
2011-02-18,9410,9730,9400,9670,332099,0.030916844349680117
2011-02-21,9610,9700,9360,9400,386452,-0.02792140641158225
2011-02-22,9160,9300,8960,9030,534642,-0.03936170212765955
2011-02-23,8900,9290,8900,9110,466502,0.008859357696566983
2011-02-24,9010,9140,8780,8800,379119,-0.034028540065861645
2011-02-25,8900,9050,8750,9000,234213,0.022727272727272707
2011-02-28,9050,9090,8770,8770,205751,-0.025555555555555554
2011-03-02,8670,9300,8670,9000,413775,0.026225769669327326
2011-03-03,9100,9370,8890,9350,346938,0.03888888888888897
2011-03-04,9420,9500,9180,9300,269425,-0.005347593582887722
2011-03-07,9390,9450,9260,9310,168046,0.0010752688172042113
2011-03-08,9360,9620,9350,9600,350356,0.031149301825993625
2011-03-09,9690,9700,9290,9400,254048,-0.02083333333333337
2011-03-10,9340,9380,9080,9240,211494,-0.017021276595744705
2011-03-11,9080,9150,8980,9020,177756,-0.023809523809523836
2011-03-14,8940,9460,8790,9460,605138,0.04878048780487809
2011-03-15,9500,9870,8500,9330,1362650,-0.01374207188160681
2011-03-16,9420,9600,9060,9200,421423,-0.01393354769560562
2011-03-17,9000,9150,8880,8900,371466,-0.03260869565217395
2011-03-18,8930,9000,8850,8900,320562,0.0
2011-03-21,9100,9380,9060,9230,377038,0.03707865168539315
2011-03-22,9240,10100,9240,9920,1366668,0.07475622968580709
2011-03-23,9900,10500,9790,9980,1113423,0.006048387096774244
2011-03-24,10050,10250,9930,10200,436264,0.022044088176352616
2011-03-25,10400,11100,10300,11100,1949576,0.08823529411764697
2011-03-28,11100,11700,10950,11300,1456341,0.018018018018018056
2011-03-29,11250,11450,10950,11200,763750,-0.008849557522123908
2011-03-30,11300,11600,11050,11050,615028,-0.013392857142857095
2011-03-31,11150,11600,10700,11600,770761,0.04977375565610864
2011-04-01,11750,11900,11400,11400,1087597,-0.017241379310344862
2011-04-04,11000,11250,10700,10750,1220993,-0.05701754385964908
2011-04-05,10950,11300,10800,11200,804938,0.041860465116279055
2011-04-06,11300,11650,10600,10700,1107438,-0.044642857142857095
2011-04-07,10750,10950,10400,10500,656637,-0.01869158878504673
2011-04-08,10500,10950,10500,10900,510788,0.03809523809523818
2011-04-11,11150,11200,10550,10750,532097,-0.013761467889908285
2011-04-12,10650,10750,10050,10100,954046,-0.06046511627906981
2011-04-13,10150,10250,9720,9900,673452,-0.01980198019801982
2011-04-14,10050,10200,9870,10100,421891,0.02020202020202011
2011-04-15,10100,10350,9960,10100,406580,0.0
2011-04-18,10300,10350,9690,9690,511125,-0.04059405940594063
2011-04-19,9590,10400,9510,10350,740951,0.06811145510835903
