Date,Open,High,Low,Close,Volume,Change
2011-01-03,3778,4031,3778,3949,77826,0.03702731092436973
2011-01-04,4041,4041,3939,3949,41151,0.0
2011-01-05,3903,3962,3843,3859,42199,-0.02279057989364397
2011-01-06,3820,4031,3820,4032,71634,0.04483026690852543
2011-01-07,4077,4187,4008,4188,74286,0.038690476190476275
2011-01-10,4224,4702,4224,4364,215539,0.042024832855778405
2011-01-11,4361,4444,4192,4202,90640,-0.037121906507791014
2011-01-12,4302,4302,4059,4152,67646,-0.011899095668729154
2011-01-13,4132,4205,4059,4152,9803,0.0
2011-01-14,4298,4315,4068,4134,22229,-0.00433526011560692
2011-01-17,4168,4298,4136,4254,41832,0.029027576197387495
2011-01-18,4178,4278,4178,4225,35165,-0.006817113305124578
2011-01-19,4224,4398,4224,4327,16718,0.024142011834319632
2011-01-20,4356,4361,4210,4254,23553,-0.01687081118557887
2011-01-21,4234,4234,4123,4175,29517,-0.018570756934649713
2011-01-24,4192,4403,4187,4344,45497,0.04047904191616758
2011-01-25,4315,4822,4315,4570,114083,0.05202578268876601
2011-01-26,4541,4839,4513,4749,79381,0.03916849015317281
2011-01-27,4913,5427,4785,5144,427812,0.08317540534849432
2011-01-28,5281,5308,5060,5144,85520,0.0
2011-01-31,5078,5712,5014,5585,214518,0.08573094867807152
2011-02-01,5693,5932,5583,5796,137847,0.0377797672336615
2011-02-07,5795,5869,5602,5603,58499,-0.03329882677708762
2011-02-08,5602,5759,5317,5484,82777,-0.021238622166696364
2011-02-09,5546,5730,5446,5649,100374,0.030087527352297583
2011-02-10,5822,5822,5418,5603,137817,-0.008143034165339014
2011-02-11,5639,5767,5510,5612,79950,0.0016062823487417166
2011-02-14,5648,5693,5501,5631,33565,0.0033856022808267383
2011-02-15,5629,5676,5418,5494,43005,-0.02432960397797901
2011-02-16,5510,5510,5308,5347,37333,-0.02675646159446665
2011-02-17,5344,5409,4776,5117,80861,-0.04301477463998504
2011-02-18,4913,5217,4776,5126,45973,0.0017588430721124926
2011-02-21,5179,5234,4720,4914,41943,-0.04135778384705424
2011-02-22,4858,4949,4554,4786,55711,-0.02604802604802603
2011-02-23,4646,4785,4551,4629,58059,-0.032804011700793945
2011-02-24,4518,4776,4518,4731,32842,0.022034996759559222
2011-02-25,4793,4793,4646,4712,8119,-0.004016064257028162
2011-02-28,4674,4913,4637,4914,16042,0.04286926994906626
2011-03-02,4866,5482,4866,5327,125041,0.08404558404558404
2011-03-03,5391,5501,5234,5337,75113,0.0018772292096864707
2011-03-04,5344,5454,5254,5337,45056,0.0
2011-03-07,5308,5372,5023,5052,39696,-0.05340078695896566
2011-03-08,5051,5207,5004,5117,32814,0.012866191607284305
2011-03-09,5161,5188,4904,4905,47798,-0.04143052569865158
2011-03-10,4913,5217,4822,5061,31126,0.03180428134556568
2011-03-11,5060,5179,4959,5098,27775,0.007310808140683633
2011-03-14,5106,5106,4913,5016,26374,-0.01608473911337782
2011-03-15,5142,5142,4619,4767,25176,-0.04964114832535882
2011-03-16,4702,5014,4702,4942,23232,0.03671071953010285
2011-03-17,4729,4849,4646,4649,37865,-0.059287737757992676
2011-03-18,4766,4766,4637,4657,24862,0.0017208001720800947
2011-03-21,4609,5298,4609,5199,81346,0.11638393815761217
2011-03-22,5198,5583,5198,5466,137280,0.05135603000577027
2011-03-23,5556,5932,5482,5879,173145,0.0755579948774241
2011-03-24,5969,6264,5924,6191,209200,0.05307025004252419
2011-03-25,6162,6309,6061,6191,167429,0.0
2011-03-28,6117,6208,6015,6145,44329,-0.007430140526570872
2011-03-29,6244,6759,6199,6659,219910,0.0836452400325467
2011-03-30,6796,7090,6668,6981,189577,0.04835560895029278
2011-03-31,6997,6997,6686,6705,103545,-0.03953588311130207
2011-04-01,6749,6869,6548,6852,75627,0.021923937360178947
2011-04-04,6970,6970,6281,6494,134337,-0.052247518972562745
2011-04-05,6492,6796,6355,6705,55859,0.03249153064367105
2011-04-06,6659,6769,6512,6732,47593,0.00402684563758382
2011-04-07,6732,6742,6557,6642,70114,-0.013368983957219305
2011-04-08,6639,6778,6244,6247,126251,-0.05947003914483584
2011-04-11,6364,6484,6244,6485,86631,0.03809828717784547
2011-04-12,6374,6557,6374,6467,26935,-0.0027756360832690286
2011-04-13,6429,6512,6318,6512,39671,0.006958404205968716
2011-04-14,6512,7347,6512,7201,283651,0.10580466830466828
2011-04-15,7301,7301,7071,7247,71055,0.006388001666435272
2011-04-18,7247,7301,7044,7193,129059,-0.00745135918311024
2011-04-19,7017,7365,6961,7320,76028,0.01765605449742802
2011-04-20,7439,7475,7100,7320,52583,0.0
2011-04-21,7310,7393,6980,6981,50358,-0.046311475409836045
2011-04-22,6980,7127,6603,6614,84098,-0.052571264861767664
2011-04-25,6566,6676,6437,6549,33700,-0.009827638342909006
2011-04-26,6502,6612,6244,6329,62264,-0.0335929149488472
2011-04-27,6327,6594,6309,6522,27216,0.030494548901880192
2011-04-28,6474,6529,6291,6430,32770,-0.01410610242256971
2011-04-29,6520,6796,6162,6164,74459,-0.04136858475894245
2011-05-02,6107,6374,5997,6137,35524,-0.0043802725502920525
2011-05-03,6107,6272,6107,6200,13945,0.010265602085709702
2011-05-04,6199,6355,6190,6200,28937,0.0
2011-05-06,6117,6236,6061,6182,20104,-0.002903225806451637
2011-05-09,6181,6217,6070,6173,20669,-0.001455839534131309
2011-05-11,6144,6281,6052,6237,54811,0.010367730439008627
2011-05-12,6236,6281,6015,6090,43834,-0.023569023569023573
2011-05-13,6244,6244,6070,6173,10347,0.013628899835796293
2011-05-16,6089,6401,6089,6247,28460,0.011987688320103773
2011-05-17,6162,6346,6117,6173,24029,-0.011845685929246064
2011-05-18,6337,6337,6097,6127,40847,-0.00745180625303743
2011-05-19,6236,6236,5969,5989,27548,-0.022523257711767553
2011-05-20,6024,6024,5510,5585,51153,-0.0674570045082652
2011-05-23,5666,5666,5519,5576,17908,-0.0016114592658907911
2011-05-24,5244,5583,5244,5521,6936,-0.009863701578192274
2011-05-25,5519,5583,5446,5494,4263,-0.004890418402463292
2011-05-26,5492,5924,5464,5925,19385,0.07844921732799426
2011-05-27,5924,6117,5786,6117,21972,0.032405063291139236
2011-05-30,6227,6227,5942,6035,10797,-0.01340526401830966
2011-05-31,6042,6052,5859,5925,10375,-0.01822700911350461
2011-06-01,5997,5997,5832,5944,11134,0.0032067510548523526
2011-06-02,5759,5832,5602,5778,23349,-0.027927321668909877
2011-06-03,5776,5776,5510,5585,26469,-0.03340256143994458
2011-06-07,5391,5546,5151,5327,19508,-0.04619516562220227
2011-06-08,5482,5482,5198,5318,12618,-0.0016895062887178902
2011-06-09,5317,5454,5161,5410,13208,0.01729973674313645
2011-06-10,5409,5418,5142,5190,13958,-0.0406654343807763
2011-06-13,5188,5254,4776,4776,25207,-0.07976878612716765
2011-06-14,4822,5032,4692,4988,7101,0.04438860971524283
2011-06-15,5004,5482,5004,5244,10694,0.05132317562149158
2011-06-16,5372,5391,5069,5208,8913,-0.006864988558352381
2011-06-17,5198,5391,5014,5181,11419,-0.005184331797234987
2011-06-20,5492,5492,5179,5227,1579,0.008878594865856071
2011-06-21,5400,5400,5097,5237,5899,0.0019131432944328175
2011-06-22,5234,5336,5170,5327,6949,0.017185411495130865
2011-06-23,5327,5454,5170,5281,5785,-0.00863525436455792
2011-06-24,5372,5437,5124,5429,29159,0.02802499526604807
2011-06-27,5427,5427,5271,5401,8045,-0.005157487566771035
2011-06-28,5400,5474,5179,5281,10271,-0.022218107757822625
2011-06-29,5537,5537,5281,5401,3985,0.022722969134633564
2011-06-30,5400,5474,5244,5410,1559,0.001666358081836794
2011-07-01,5464,5942,5418,5944,41969,0.09870609981515721
2011-07-04,6042,6107,5832,5915,14633,-0.004878869448183054
2011-07-05,5877,5969,5841,5952,29320,0.006255283178359994
2011-07-06,5960,5960,5841,5925,16856,-0.004536290322580627
2011-07-07,5749,6042,5749,6044,33692,0.020084388185654056
2011-07-08,6042,6042,5832,5879,21846,-0.027299801455989425
2011-07-11,5795,5914,5759,5915,9853,0.0061234903895219794
2011-07-12,5877,5877,5722,5879,28066,-0.006086221470836817
2011-07-13,5877,5969,5869,5925,12260,0.007824459942167072
2011-07-14,5932,6309,5932,6310,32836,0.06497890295358655
2011-07-15,6374,6374,6117,6154,33598,-0.02472266244057053
2011-07-18,6291,6548,6190,6255,119287,0.016412089697757537
2011-07-19,6190,6327,6181,6210,20389,-0.007194244604316502
2011-07-20,6392,6456,6244,6449,26739,0.03848631239935596
2011-07-21,6429,6695,6429,6586,54669,0.02124360365948208
2011-07-22,6805,6805,6374,6586,54951,0.0
2011-07-25,6539,6539,6162,6255,35876,-0.0502581232918311
2011-07-26,6244,6327,6154,6182,24189,-0.01167066346922463
2011-07-27,6181,6309,6107,6137,32705,-0.007279197670656767
2011-07-28,6061,6281,5960,6200,21595,0.010265602085709702
2011-07-29,6254,6732,6244,6476,94386,0.04451612903225799
2011-08-01,6612,6732,6474,6732,35982,0.03953057442865959
2011-08-02,6796,7255,6566,6889,104171,0.023321449792037985
2011-08-03,6749,7255,6566,7257,86589,0.053418493250108945
2011-08-04,7255,7577,6520,6568,206704,-0.09494281383491798
2011-08-05,6199,6374,5914,6127,87451,-0.06714372716199757
2011-08-08,5877,6382,5207,5649,132690,-0.07801534192916604
2011-08-09,5234,5556,4922,5244,54713,-0.07169410515135421
2011-08-10,5739,6024,5501,5971,143851,0.13863463005339427
2011-08-11,5519,6217,5510,5787,123737,-0.030815608775749403
2011-08-12,6006,6125,5565,5631,75865,-0.026956972524624145
2011-08-16,5924,5960,5739,5879,64720,0.044041910850648236
2011-08-17,5877,5932,5767,5879,51393,0.0
2011-08-18,5924,5969,5602,5722,63240,-0.026705221976526583
2011-08-19,5327,5474,5106,5117,78480,-0.1057322614470465
2011-08-22,4959,5234,4913,5024,40528,-0.018174711745163163
2011-08-23,5051,5188,4959,5190,44583,0.03304140127388533
2011-08-24,5207,5335,5106,5144,47342,-0.008863198458574195
2011-08-25,5151,5344,5151,5171,22704,0.005248833592534918
2011-08-26,5271,5271,4996,5244,17101,0.014117192032488957
2011-08-29,5244,5409,5188,5318,17151,0.014111365369946505
2011-08-30,5372,5454,5234,5273,32334,-0.008461827754794982
2011-08-31,5290,5308,5188,5244,11979,-0.005499715531955274
2011-09-01,5188,5298,5106,5144,42238,-0.019069412662090057
2011-09-02,5078,5188,5051,5071,20551,-0.014191290824261293
2011-09-05,5004,5004,4656,4805,48247,-0.05245513705383553
2011-09-06,4683,4793,4513,4579,21546,-0.0470343392299688
2011-09-07,4637,4793,4637,4685,22493,0.02314915920506655
