Date,Open,High,Low,Close,Volume,Change
2011-01-03,12357,12601,12357,12601,196,0.011722199919711018
2011-01-04,12503,12844,12357,12552,361,-0.0038885802714070383
2011-01-05,12649,12795,12503,12504,128,-0.003824091778202643
2011-01-06,12649,12698,12260,12504,748,0.0
2011-01-07,12649,12698,12260,12455,215,-0.003918746001279616
2011-01-10,12649,12649,12309,12552,263,0.0077880369329585974
2011-01-11,12357,12698,12309,12309,396,-0.0193594646271511
2011-01-12,12357,12406,12260,12406,276,0.00788041270615003
2011-01-13,12552,12552,12357,12552,672,0.01176849911333222
2011-01-14,12552,12698,12455,12698,1147,0.011631612492033039
2011-01-17,12747,12844,12455,12601,1381,-0.007638998267443742
2011-01-18,12649,12649,12503,12552,432,-0.0038885802714070383
2011-01-19,12747,12747,12649,12747,720,0.015535372848948459
2011-01-20,12747,12747,12649,12650,2364,-0.007609633639287683
2011-01-21,12649,12795,12649,12650,524,0.0
2011-01-24,12503,12552,12260,12406,766,-0.01928853754940707
2011-01-25,12406,12455,12309,12358,517,-0.0038690955989038045
2011-01-26,12357,12455,12357,12455,593,0.007849166531801233
2011-01-27,12455,12649,12357,12601,485,0.011722199919711018
2011-01-28,12844,12844,12455,12504,729,-0.007697801761764933
2011-01-31,12455,12698,12406,12650,647,0.011676263595649328
2011-02-01,12649,12795,12552,12650,490,0.0
2011-02-07,12892,14352,12357,12747,681,0.007667984189723365
2011-02-08,12844,12844,12649,12650,136,-0.007609633639287683
2011-02-09,12649,12844,12552,12796,639,0.011541501976284563
2011-02-10,12844,13038,12503,12552,515,-0.01906845889340414
2011-02-11,13233,13233,12455,12504,261,-0.003824091778202643
2011-02-14,12503,12601,12455,12601,285,0.007757517594369823
2011-02-15,12455,12941,12065,12650,1896,0.0038885802714070383
2011-02-16,12552,12649,12357,12455,475,-0.015415019762845872
2011-02-17,12260,12649,12260,12650,1046,0.015656362906463217
2011-02-18,12649,12649,12357,12601,193,-0.003873517786561309
2011-02-21,12406,12844,12406,12844,742,0.019284183794936904
2011-02-22,12747,12941,12552,12893,419,0.003815010900031224
2011-02-23,12357,12795,12357,12504,144,-0.03017141084309316
2011-02-24,12649,13136,12309,13039,893,0.04278630838131803
2011-02-25,13038,13136,12601,12942,1894,-0.007439220799141055
2011-02-28,12941,12941,12698,12942,101,0.0
2011-03-02,12990,13038,12649,12698,114,-0.01885334569618302
2011-03-03,13038,13038,12698,12844,148,0.01149787368089461
2011-03-04,12990,12990,12795,12893,127,0.003815010900031224
2011-03-07,12844,12941,12649,12698,446,-0.01512448615527806
2011-03-08,12844,13136,12747,12990,1022,0.02299574736178922
2011-03-09,12941,13184,12941,13136,975,0.01123941493456515
