Date,Open,High,Low,Close,Volume,Change
2014-12-29,36724,36724,36450,36451,247053,
2014-12-30,36450,36450,36359,36451,62921,0.0
2015-01-02,36450,36633,36359,36451,21865,0.0
2015-01-05,36541,36541,36450,36451,79177,0.0
2015-01-06,36541,36541,36359,36542,21001,0.002496502153576108
2015-01-07,36541,36541,36450,36542,79699,0.0
2015-01-08,36541,36997,36541,36633,48862,0.0024902851513326496
2015-01-09,36815,38273,36815,38273,64730,0.04476837823820046
2015-01-12,38273,38273,37726,38182,55157,-0.0023776552661144423
2015-01-13,38182,38273,38091,38273,14505,0.0023833219841811193
2015-01-14,38273,38455,36724,38000,124157,-0.007132965798343438
2015-01-15,37908,38182,37362,38182,7869,0.004789473684210455
2015-01-16,38182,38546,38182,38456,9564,0.007176156304017578
2015-01-19,39093,39093,38091,38182,29669,-0.007125026003744539
2015-01-20,38273,38364,38000,38273,19815,0.0023833219841811193
2015-01-21,40095,40095,38364,38638,5380,0.009536749144305467
2015-01-22,39093,39366,38273,38273,33007,-0.009446658729747925
2015-01-23,39002,39093,38091,38182,36490,-0.0023776552661144423
2015-01-26,38182,40460,37908,39002,19472,0.02147608820910385
2015-01-27,39184,39640,38546,39640,20419,0.016358135480231795
2015-01-28,40095,40095,39093,40096,26403,0.011503531786074772
2015-01-29,40460,40460,40004,40369,27476,0.0068086592178771
2015-01-30,40460,41736,40369,41372,35582,0.024845797517897505
2015-02-02,41827,41827,41371,41736,14745,0.008798221019046704
2015-02-03,43558,43558,42009,42192,17447,0.010925819436457651
2015-02-04,43376,43376,42282,42739,9977,0.012964543041334764
2015-02-05,43741,43741,41280,42101,12579,-0.014927817684082467
2015-02-06,42282,42282,41098,41189,2835,-0.021662193297071308
2015-02-09,41918,41918,40369,40552,9421,-0.015465294131928431
2015-02-10,42465,42465,39184,40096,6183,-0.01124482146379957
2015-02-11,40095,40278,39366,39914,7796,-0.004539106145251437
2015-02-12,40460,40642,39913,40643,46802,0.018264268176579668
2015-02-13,41827,41827,39184,39549,31305,-0.026917304332849445
2015-02-16,39731,45381,39731,41098,43843,0.039166603453943294
2015-02-17,42738,43741,41645,42830,74949,0.04214316998394074
2015-02-23,42829,47659,42465,42465,43876,-0.008522063973850136
2015-02-24,44470,44470,41736,41827,21407,-0.015024137525020631
2015-02-25,43741,43741,40460,41007,34002,-0.019604561646783147
2015-02-26,42282,42829,40369,40825,28744,-0.004438266637403321
2015-02-27,43649,43649,40187,41281,58604,0.011169626454378356
2015-03-02,43923,43923,40095,41098,24969,-0.00443303214553914
2015-03-03,42374,42374,41736,41736,1041,0.015523869774684895
2015-03-04,41918,42829,41098,42283,51497,0.013106191297680647
2015-03-05,41918,43011,41918,42647,18635,0.008608660691057812
2015-03-06,42374,43741,42374,43012,21382,0.008558632494665597
2015-03-09,43923,43923,41098,43559,24909,0.012717381195945343
2015-03-10,43923,43923,41007,43285,2183,-0.006290318877843815
2015-03-11,41371,43103,41371,43012,1280,-0.006307034769550635
2015-03-12,43741,43741,40187,41189,51681,-0.04238352087789454
2015-03-13,41280,41280,39822,40643,24032,-0.013255966398795782
2015-03-16,40733,41462,40095,41463,6107,0.020175676008168608
2015-03-17,42556,42556,40095,41918,12260,0.010973639148156078
2015-03-18,43649,43649,41645,42830,3695,0.02175676320435138
2015-03-19,43376,43376,41462,42739,1785,-0.0021246789633434515
2015-03-20,42738,44561,42465,42465,16524,-0.006411006340812819
2015-03-23,42738,43649,41918,43194,28503,0.017167078770752298
2015-03-24,43194,47021,43194,45564,99050,0.054868731768301204
2015-03-25,47750,48935,43376,45928,114844,0.007988763058554893
2015-03-26,45928,45928,44743,45290,50999,-0.01389130813447137
2015-03-27,45290,46383,44652,46384,48673,0.024155442702583407
2015-03-30,47386,48844,46565,48753,88371,0.05107364608485687
2015-03-31,50118,56043,50118,56043,959531,0.14952925973786235
2015-04-01,0,0,0,56043,0,0.0
2015-04-02,0,0,0,56043,0,0.0
2015-04-03,0,0,0,56043,0,0.0
2015-04-06,0,0,0,56043,0,0.0
2015-04-07,0,0,0,56043,0,0.0
2015-04-08,0,0,0,56043,0,0.0
2015-04-09,0,0,0,56043,0,0.0
2015-04-10,0,0,0,56043,0,0.0
2015-04-13,0,0,0,56043,0,0.0
2015-04-14,0,0,0,56043,0,0.0
2015-04-15,0,0,0,56043,0,0.0
2015-04-16,0,0,0,56043,0,0.0
2015-04-17,0,0,0,56043,0,0.0
2015-04-20,0,0,0,56043,0,0.0
2015-04-21,0,0,0,56043,0,0.0
2015-04-22,0,0,0,56043,0,0.0
2015-04-23,0,0,0,56043,0,0.0
2015-04-24,0,0,0,56043,0,0.0
2015-04-27,0,0,0,56043,0,0.0
2015-04-28,0,0,0,56043,0,0.0
2015-04-29,0,0,0,56043,0,0.0
2015-04-30,0,0,0,56043,0,0.0
2015-05-04,0,0,0,56043,0,0.0
2015-05-06,0,0,0,56043,0,0.0
2015-05-07,0,0,0,56043,0,0.0
2015-05-08,0,0,0,56043,0,0.0
2015-05-11,0,0,0,56043,0,0.0
2015-05-12,0,0,0,56043,0,0.0
2015-05-13,0,0,0,56043,0,0.0
2015-05-14,0,0,0,56043,0,0.0
2015-05-15,0,0,0,56043,0,0.0
2015-05-18,0,0,0,56043,0,0.0
2015-05-19,0,0,0,56043,0,0.0
2015-05-20,0,0,0,56043,0,0.0
2015-05-21,0,0,0,56043,0,0.0
2015-05-22,0,0,0,56043,0,0.0
2015-05-26,0,0,0,56043,0,0.0
2015-05-27,0,0,0,56043,0,0.0
2015-05-28,0,0,0,56043,0,0.0
2015-05-29,0,0,0,56043,0,0.0
2015-06-01,56043,56043,47659,47659,632733,-0.14959941473511407
2015-06-02,40551,47294,40551,41098,2027539,-0.13766549864663546
2015-06-03,41007,45107,40278,43377,513901,0.05545282008856889
2015-06-04,42829,43695,39366,41007,190425,-0.05463725015561238
2015-06-05,41006,41827,35949,35950,444384,-0.12332040871070793
2015-06-08,36177,39093,33762,37362,474779,0.03927677329624468
2015-06-09,36496,39913,36450,38273,294960,0.02438306300519244
2015-06-10,39230,43741,38273,41463,376632,0.0833485747132443
2015-06-11,41462,47659,39640,47477,564925,0.1450449798615634
2015-06-12,49573,52671,45107,48024,491266,0.011521368241464325
2015-06-15,46839,50119,45062,45564,180224,-0.05122438780609695
2015-06-16,45563,46110,42784,45564,150951,0.0
2015-06-17,45563,46292,44971,46019,64826,0.009985953823193672
2015-06-18,46019,46383,44652,44926,92138,-0.02375105934505317
2015-06-19,44470,46019,43741,46019,64436,0.024328896407425527
2015-06-22,45745,48023,45290,46019,76980,0.0
2015-06-23,46019,46110,44652,45472,69771,-0.011886394749994533
2015-06-24,46383,46383,44561,45108,63916,-0.008004926108374333
2015-06-25,45153,47294,44652,46930,104104,0.04039194821317715
2015-06-26,47021,49573,45745,47751,92421,0.017494140208821563
2015-06-29,47386,51942,47386,49209,247295,0.03053339197084881
2015-06-30,49117,53764,49117,52216,141296,0.061106708122497855
2015-07-01,54220,54676,50940,54676,126847,0.04711199632296603
2015-07-02,54220,55131,54220,54950,137925,0.005011339527397851
2015-07-03,54949,55587,54220,55588,76098,0.011610555050045601
2015-07-06,55677,62422,55677,61055,201334,0.09834856443836792
2015-07-07,63788,74359,59232,63698,443337,0.04328883793301119
2015-07-08,62786,66522,58321,66341,204836,0.04149266852962419
2015-07-09,61966,67434,61966,67070,131328,0.010988679700336235
2015-07-10,67434,70714,63333,63698,82899,-0.05027583122111223
2015-07-13,63788,70076,63788,68983,149879,0.08296963797921442
2015-07-14,70988,72810,66522,69803,87380,0.011886986648884434
2015-07-15,71624,71624,64700,66523,113851,-0.046989384410412116
2015-07-16,66613,68254,61055,61146,142796,-0.08082918689776464
2015-07-17,63606,63971,61055,62513,132676,0.022356327478494142
2015-07-20,63424,65338,62513,64700,91869,0.03498472317757906
2015-07-21,66522,66522,62057,62878,70379,-0.028160741885626006
2015-07-22,62239,66340,62239,64427,46579,0.024635007474792525
2015-07-23,64517,68253,64517,67434,68153,0.0466729787201019
2015-07-24,67707,67889,66067,66796,44528,-0.009461102707832847
2015-07-27,67707,67707,63515,64427,35969,-0.035466195580573734
2015-07-28,64426,64426,59232,61055,101243,-0.05233830536886708
2015-07-29,64973,64973,61055,61237,86799,0.002980918843665581
2015-07-30,63697,63697,59961,61237,87189,0.0
2015-07-31,63515,63515,60781,63424,40268,0.0357137025001224
2015-08-03,62239,65520,61966,65065,95433,0.025873486377396615
2015-08-04,65064,66249,63697,64609,41137,-0.0070083762391455195
2015-08-05,64062,64700,63697,64700,35633,0.0014084725038308044
2015-08-06,64609,65611,63242,63971,70099,-0.011267387944358553
2015-08-07,63971,64882,61055,62513,102148,-0.022791577433524557
2015-08-10,61237,62513,59414,60691,42569,-0.029145937644969866
2015-08-11,62877,62877,58321,58321,46231,-0.03905027104513026
2015-08-12,58230,58230,54676,55770,107618,-0.04374067660019543
2015-08-13,55769,58139,55769,56590,50466,0.014703245472476256
2015-08-17,56407,59050,55952,56134,50130,-0.008057960770454176
2015-08-18,55223,56316,54038,55041,36971,-0.019471265186874254
2015-08-19,53764,56043,50118,55314,49578,0.004959938954597565
2015-08-20,51577,56225,49299,54676,62613,-0.011534150486314454
2015-08-21,48661,53400,46930,49209,90682,-0.09998902626380857
2015-08-24,46930,50484,45107,45108,85586,-0.0833384137048101
2015-08-25,45153,52853,43467,50302,98165,0.11514587212911231
2015-08-26,49208,54676,49208,53765,68484,0.06884418114587887
2015-08-27,56589,56589,52853,54221,50488,0.008481354040732914
2015-08-28,57683,57683,52124,56043,46312,0.033603216465944996
2015-08-31,55769,57410,54949,56317,22413,0.0048891030101885224
2015-09-01,56316,57227,53764,55770,14349,-0.009712875330717186
2015-09-02,54676,55678,50393,55314,36112,-0.008176438945669662
2015-09-03,56681,58321,53856,55041,15143,-0.004935459377372831
2015-09-04,56407,56407,51942,54950,30916,-0.001653312984865818
2015-09-07,54676,54949,52580,53856,24459,-0.019909008189263
2015-09-08,54676,54676,52671,53583,18496,-0.005069073083779019
2015-09-09,53582,54402,52853,53127,20918,-0.008510161805050154
2015-09-10,54585,54676,50940,51942,56304,-0.022305042633689043
2015-09-11,39184,39639,36358,36360,5255123,-0.2999884486542682
2015-09-14,31894,35721,31302,33444,18754778,-0.08019801980198016
2015-09-15,33762,34719,32122,32669,6745599,-0.02317306542279629
2015-09-16,33306,34400,32532,32897,10767994,0.006979093330068187
2015-09-17,32805,33124,29023,29981,13898024,-0.08864030154725355
2015-09-18,29980,30846,29434,30710,5667493,0.02431539975317709
2015-09-21,30482,32577,30117,32122,6409346,0.045978508629111126
2015-09-22,32076,32395,31347,31439,2788018,-0.021262686009588472
2015-09-23,31347,31347,29251,29252,3037157,-0.06956328127484968
2015-09-24,29525,30709,28978,30528,2440148,0.04362094899494062
2015-09-25,30436,30664,29525,29981,1085909,-0.017917976939203384
2015-09-30,28568,28978,28067,28295,2029349,-0.05623561589006376
2015-10-01,28659,30299,28249,29799,5190174,0.05315426753843444
2015-10-02,29387,29661,28431,28523,2232060,-0.04282022886674053
2015-10-05,28796,29115,27201,27293,3127197,-0.04312309364372613
2015-10-06,27338,27520,25286,25789,4340699,-0.05510570475946208
2015-10-07,25561,25788,24147,24285,3312482,-0.058319438520299305
2015-10-08,25059,27930,25014,25835,9079947,0.06382540662960667
2015-10-12,26609,27839,26016,26564,3233687,0.02821753435262231
2015-10-13,26654,26791,25606,25835,1908606,-0.02744315615118209
2015-10-14,25971,26244,25242,25333,1438679,-0.01943100445132573
2015-10-15,25788,26654,25605,25743,2044007,0.016184423479256305
2015-10-16,25925,25925,25378,25743,1122451,0.0
2015-10-19,26107,27155,26016,26791,3472484,0.04071009594841324
2015-10-20,27064,27201,26290,26882,1899536,0.003396663058489846
2015-10-21,27064,27429,26471,27429,2194416,0.02034818837884078
2015-10-22,27792,28932,27247,28842,6294520,0.05151482008093633
2015-10-23,29525,29525,27611,28978,3614087,0.00471534567644416
2015-10-26,28932,29206,28294,29161,2171175,0.006315135620125645
2015-10-27,29388,29434,27884,27885,2637323,-0.0437570728027159
2015-10-28,27839,28386,26973,27293,1625544,-0.02123005199928274
2015-10-29,27611,28705,27520,27612,1146427,0.011687978602572091
2015-10-30,27657,28978,27657,28887,1729590,0.04617557583659271
2015-11-02,28978,30800,28705,30436,3547133,0.05362273687125696
2015-11-03,30208,31028,29980,30072,2767960,-0.011959521619135272
2015-11-04,29434,30071,28705,30072,2011429,0.0
2015-11-05,30527,31302,29297,30254,4226591,0.006052141527001842
2015-11-06,31211,32258,30573,31393,6691808,0.037647914325378506
2015-11-09,31438,31621,27793,28432,5295098,-0.09432038989583669
2015-11-10,28340,28340,25970,26472,3723671,-0.06893640967923464
2015-11-11,26244,27201,26244,26974,1381937,0.018963433061347734
2015-11-12,27292,27792,26882,27384,1270175,0.015199822050863787
2015-11-13,26791,27338,26426,26427,1084643,-0.03494741454864159
2015-11-16,25561,26290,25014,25060,1549218,-0.051727400007568036
2015-11-17,25378,27155,25378,26381,1573126,0.05271348762968864
2015-11-18,26107,26745,24923,25561,1242467,-0.03108297638451918
2015-11-19,26335,26654,25697,25835,1555359,0.010719455420366897
2015-11-20,26153,26745,25743,26655,1124580,0.031739887749177464
2015-11-23,26882,27565,26426,26427,1290717,-0.008553742262239705
2015-11-24,26700,26700,25834,26427,1032041,0.0
2015-11-25,26517,26836,26016,26017,890654,-0.01551443599349156
2015-11-26,26609,26700,25924,25971,1334235,-0.0017680747203751013
2015-11-27,26107,26244,25652,26017,1192897,0.001771206345539289
2015-11-30,25561,25971,24877,25288,1495910,-0.02802014067724945
2015-12-01,25605,25697,24741,25197,1546970,-0.0035985447643150925
2015-12-02,26107,27976,25880,26609,6645755,0.05603841727189751
2015-12-03,26654,27976,26517,26609,4238131,0.0
2015-12-04,26381,26381,25515,25652,3006324,-0.03596527490698631
2015-12-07,26381,28658,26153,27794,10137349,0.0835022610322782
2015-12-08,28158,28158,26517,27065,4631943,-0.026228682449449536
2015-12-09,27884,31165,27611,29753,26479462,0.09931646037317576
2015-12-10,29250,31621,29023,31029,14169190,0.04288643162034078
2015-12-11,31165,31256,29342,29981,5132416,-0.03377485578007666
2015-12-14,28886,29160,27201,27201,5576052,-0.09272539274874092
2015-12-15,27474,28021,26335,26427,4458927,-0.028454836219256596
2015-12-16,26562,27656,26380,26518,3985177,0.003443447988799253
2015-12-17,26928,27019,26244,26245,3126063,-0.010294894034240887
2015-12-18,26836,30026,26609,28887,16870623,0.10066679367498566
2015-12-21,29160,30664,28978,29343,9549536,0.015785647523107293
2015-12-22,29707,29935,28157,28842,4527698,-0.017073918822206324
2015-12-23,29525,30163,28522,28614,9029682,-0.007905138339920903
2015-12-24,28978,29342,27793,27976,5628387,-0.022296777801076417
2015-12-28,28477,29935,28157,29935,9981331,0.07002430654847003
2015-12-29,30345,32441,30163,31393,16580022,0.048705528645398344
2015-12-30,31484,35174,30618,33763,19395506,0.0754945369986939
2016-01-04,33762,36314,33443,35540,20126164,0.05263157894736836
2016-01-05,35539,36541,34446,36086,20552453,0.015362971299943684
2016-01-06,35038,37544,34673,36542,21516172,0.012636479521143995
2016-01-07,36906,37954,35448,35676,13689673,-0.02369875759400142
2016-01-08,34582,37270,33899,36451,13266255,0.021723287364054267
2016-01-11,36906,37407,35174,35403,8023080,-0.02875092590052397
2016-01-12,35812,36405,34172,34218,6357088,-0.033471739683077706
2016-01-13,34992,36314,34035,36269,8300572,0.05993921327956042
2016-01-14,35357,35857,34764,35540,5964777,-0.02009980975488712
2016-01-15,36177,37589,35402,35950,13693592,0.011536297129994377
2016-01-18,35266,36268,35083,35084,4277684,-0.024089012517385266
2016-01-19,34490,35812,34172,34446,6982801,-0.018184927602325818
2016-01-20,35630,38637,35630,37362,31416382,0.08465424142135514
2016-01-21,0,0,0,37362,0,0.0
2016-01-22,0,0,0,37362,0,0.0
2016-01-25,0,0,0,37362,0,0.0
2016-01-26,0,0,0,37362,0,0.0
2016-01-27,0,0,0,37362,0,0.0
2016-01-28,0,0,0,37362,0,0.0
2016-01-29,0,0,0,37362,0,0.0
2016-02-01,0,0,0,37362,0,0.0
2016-02-02,0,0,0,37362,0,0.0
2016-02-03,0,0,0,37362,0,0.0
2016-02-04,0,0,0,37362,0,0.0
2016-02-05,0,0,0,37362,0,0.0
2016-02-11,0,0,0,37362,0,0.0
2016-02-12,34628,35494,26199,26381,2501646,-0.29390824902307155
2016-02-15,26882,28158,25196,26153,888228,-0.008642583677646809
2016-02-16,26882,29980,26700,29161,1075938,0.11501548579512866
2016-02-17,28613,29434,27793,27839,489989,-0.045334522135729194
2016-02-18,29069,29069,28021,28022,302239,0.00657351197959688
2016-02-19,27976,28021,27019,27384,320831,-0.02276782528013699
2016-02-22,27383,29297,27064,28978,498758,0.05820917323984798
2016-02-23,29661,30527,28932,29024,492525,0.0015874111394851287
2016-02-24,29570,29980,29206,29343,362895,0.010990904079382524
2016-02-25,29388,29616,28522,29070,253298,-0.009303752172579505
2016-02-26,29160,29251,28249,28295,237338,-0.026659786721706213
2016-02-29,28294,28613,27338,27338,291420,-0.03382223007598517
2016-03-02,27839,30117,27611,29297,903116,0.07165849732972429
2016-03-03,29707,29707,28613,28705,334830,-0.020206847117452353
2016-03-04,29069,29069,27884,28158,288961,-0.019055913603901797
2016-03-07,28294,28294,26836,27201,508243,-0.03398678883443429
2016-03-08,27155,27201,26153,26746,397585,-0.01672732620124262
