Date,Open,High,Low,Close,Volume,Change
2011-01-03,4266,4326,4208,4246,170787,0.01264011447650848
2011-01-04,4241,4795,4190,4688,1610229,0.10409797456429581
2011-01-05,4634,4803,4453,4494,701788,-0.04138225255972694
2011-01-06,4455,4525,4311,4364,503570,-0.02892745883400094
2011-01-07,4353,4540,4319,4382,416649,0.004124656278643446
2011-01-10,4429,4558,4386,4390,333780,0.0018256503879507946
2011-01-11,4395,4453,4352,4390,244402,0.0
2011-01-12,4394,4607,4386,4494,587502,0.02369020501138963
2011-01-13,4524,4622,4260,4297,527062,-0.04383622607921678
2011-01-14,4326,4679,4326,4425,957858,0.029788224342564673
2011-01-17,4502,4539,4403,4416,254741,-0.0020338983050847137
2011-01-18,4497,4702,4411,4654,921260,0.05389492753623193
2011-01-19,4686,4805,4482,4483,626313,-0.036742587021916684
2011-01-20,4488,4558,4396,4467,297183,-0.003569038590229723
2011-01-21,4464,4498,4303,4305,344606,-0.03626595030221624
2011-01-24,4345,4693,4310,4451,834937,0.033914053426248536
2011-01-25,4464,4565,4326,4348,274334,-0.023140867220849293
2011-01-26,4346,4396,4320,4321,189649,-0.006209751609935643
2011-01-27,4335,4445,4309,4331,295169,0.002314279102059613
2011-01-28,4411,4411,4218,4228,258461,-0.023782036481182156
2011-01-31,4156,4206,4087,4135,211236,-0.021996215704825017
2011-02-01,4128,4275,4128,4212,199059,0.018621523579201993
2011-02-07,4262,4293,4210,4220,138419,0.0018993352326686086
2011-02-08,4224,4309,4224,4236,133481,0.0037914691943128354
2011-02-09,4243,4309,4208,4246,133593,0.0023607176581681433
2011-02-10,4293,4293,4167,4220,165074,-0.00612341026848795
2011-02-11,4190,4412,4190,4348,363801,0.03033175355450246
2011-02-14,4346,4677,4285,4611,1355555,0.06048758049678016
2011-02-15,4530,4607,4360,4416,625141,-0.042290175666883534
2011-02-16,4464,5069,4439,4859,3060367,0.10031702898550732
2011-02-17,4934,4943,4439,4621,1397555,-0.04898127186663925
2011-02-18,4635,5096,4540,4962,2043528,0.07379355117939834
2011-02-21,4899,5137,4856,4927,1293896,-0.007053607416364405
2011-02-22,4861,5220,4829,4893,1216096,-0.006900750964075497
2011-02-23,4805,5011,4516,4621,716755,-0.0555896178213775
2011-02-24,4617,4882,4531,4723,734134,0.022073144341051787
2011-02-25,4645,4686,4517,4637,525400,-0.018208765615075118
2011-02-28,4635,4794,4539,4569,427698,-0.014664653871037325
2011-03-02,4617,4737,4574,4664,515637,0.020792295907200664
2011-03-03,4721,4976,4583,4587,1722435,-0.01650943396226412
2011-03-04,4602,4668,4456,4459,844724,-0.02790494876825811
2011-03-07,4463,4487,4276,4297,601960,-0.036331015922852705
2011-03-08,4290,4428,4290,4356,287110,0.013730509657900791
2011-03-09,4394,4622,4333,4416,753020,0.01377410468319562
2011-03-10,4548,4593,4405,4483,447490,0.015172101449275388
2011-03-11,4429,4480,4367,4374,234947,-0.024314075395940216
2011-03-14,4397,4421,3979,4066,677258,-0.07041609510745317
