Date,Open,High,Low,Close,Volume,Change
2011-01-03,3287,3388,3225,3235,2460,-0.030275779376498835
2011-01-04,3128,3287,3128,3239,210,0.0012364760432765909
2011-01-05,3278,3278,3225,3227,370,-0.003704847175054038
2011-01-06,3225,3225,3201,3227,240,0.0
2011-01-07,3225,3225,3184,3211,482,-0.0049581654787728136
2011-01-10,3238,3238,3120,3207,3140,-0.001245717844908123
2011-01-11,3307,3307,3172,3239,920,0.009978172747115766
2011-01-12,3238,3238,3136,3198,710,-0.012658227848101222
2011-01-13,3221,3221,3209,3211,65,0.004065040650406582
2011-01-14,3218,3218,3168,3193,353,-0.005605730302086553
2011-01-17,3214,3214,3172,3193,1360,0.0
2011-01-18,3177,3193,3152,3193,760,0.0
2011-01-19,3161,3193,3145,3191,580,-0.0006263701847791792
2011-01-20,3189,3221,3161,3223,1504,0.010028204324663115
2011-01-21,3193,3254,3193,3239,3780,0.004964318957493052
2011-01-24,3238,3238,3197,3239,840,0.0
2011-01-25,3177,3408,3177,3207,850,-0.009879592466810694
2011-01-26,3205,3246,3172,3243,250,0.011225444340505097
2011-01-27,3274,3274,3250,3251,540,0.0024668516805426144
2011-01-28,3290,3290,3189,3243,170,-0.0024607812980621535
2011-01-31,3246,3250,3241,3251,340,0.0024668516805426144
2011-02-01,3262,3262,3193,3247,120,-0.0012303906490310768
2011-02-07,3290,3290,3168,3211,740,-0.01108715737603938
2011-02-08,3168,3209,3006,3211,780,0.0
2011-02-09,3209,3209,3205,3207,233,-0.001245717844908123
2011-02-10,3217,3225,3217,3227,250,0.006236357966947326
2011-02-11,3225,3225,3168,3211,690,-0.0049581654787728136
2011-02-14,3230,3230,3161,3214,110,0.0009342883836811477
2011-02-15,3172,3205,3164,3166,560,-0.014934660858742954
2011-02-16,3209,3209,3201,3211,631,0.014213518635502131
2011-02-17,3209,3209,3209,3211,10,0.0
2011-02-18,3209,3209,3120,3186,780,-0.007785736530675824
2011-02-21,3184,3184,3104,3166,120,-0.006277463904582503
2011-02-22,3088,3161,3083,3161,150,-0.0015792798483891257
2011-02-23,3156,3156,2989,3056,2700,-0.033217336285985444
2011-02-24,3047,3047,2978,3032,162,-0.007853403141361293
2011-02-25,3030,3177,2924,3177,3600,0.04782321899736153
2011-02-28,3030,3107,2924,3088,3620,-0.028013849543594538
2011-03-02,3079,3079,2924,3035,2191,-0.01716321243523311
2011-03-03,2986,3063,2969,3064,1770,0.009555189456342594
2011-03-04,3022,3112,3022,3113,340,0.015992167101827715
2011-03-07,3088,3112,3047,3113,440,0.0
2011-03-08,2973,3095,2973,3032,164,-0.02601991647928048
2011-03-09,3030,3055,2986,3056,310,0.0079155672823219
2011-03-10,3042,3088,2986,3048,1970,-0.002617801047120394
2011-03-11,3124,3124,2916,3011,3511,-0.012139107611548572
2011-03-14,3014,3055,2965,3056,1050,0.014945200929923574
2011-03-15,3006,3051,2924,3048,501,-0.002617801047120394
2011-03-16,3104,3104,3002,3088,2310,0.013123359580052396
2011-03-17,3128,3128,2940,3064,910,-0.007772020725388629
2011-03-18,3079,3079,3047,3068,290,0.0013054830287206887
2011-03-21,3071,3071,3051,3052,120,-0.0052151238591916504
2011-03-22,3071,3088,3030,3081,590,0.009501965923984335
2011-03-23,3120,3120,3047,3072,370,-0.0029211295034079487
2011-03-24,3059,3088,3059,3088,1960,0.005208333333333259
2011-03-25,3051,3120,3051,3072,2030,-0.005181347150259086
2011-03-28,3051,3071,3030,3068,490,-0.0013020833333333703
2011-03-29,3051,3128,3047,3129,2940,0.01988265971316827
2011-03-30,3112,3209,3112,3211,2807,0.02620645573665703
2011-03-31,3209,3278,3201,3276,2020,0.020242914979757165
2011-04-01,3294,3294,3250,3287,3240,0.003357753357753346
2011-04-04,3209,3327,3209,3292,1390,0.0015211439002129623
2011-04-05,3287,3319,3250,3320,2100,0.008505467800729027
2011-04-06,3290,3510,3278,3494,8217,0.052409638554216764
2011-04-07,3445,3547,3421,3494,3796,0.0
2011-04-08,3469,3494,3445,3446,1225,-0.013737836290784178
2011-04-11,3453,3522,3453,3494,2250,0.013929193267556483
2011-04-12,3453,3465,3405,3467,1204,-0.007727532913566093
2011-04-13,3465,3494,3465,3494,1340,0.007787712719930839
2011-04-14,3494,3517,3485,3519,480,0.007155123068116831
2011-04-15,3535,3884,3485,3751,4932,0.06592782040352363
2011-04-18,3738,3884,3701,3844,4826,0.024793388429751984
2011-04-19,3838,3880,3811,3881,1753,0.009625390218522378
2011-04-20,3859,3981,3818,3983,3221,0.026281886111826802
2011-04-21,3900,4095,3900,4096,6939,0.02837057494350992
2011-04-22,3994,4575,3994,4316,8457,0.0537109375
2011-04-25,4453,4550,4347,4502,4756,0.043095458758109384
2011-04-26,4477,4591,4258,4300,6185,-0.044868947134606874
2011-04-27,4371,4371,3921,4137,5679,-0.03790697674418608
2011-04-28,4063,4306,3835,4007,7335,-0.031423737007493346
2011-04-29,4001,4001,3738,3930,4420,-0.019216371350137207
2011-05-02,3758,3981,3758,3983,780,0.013486005089058617
2011-05-03,3948,4021,3738,3967,3750,-0.004017072558373136
2011-05-04,3964,3981,3835,3983,2453,0.004033274514746665
2011-05-06,3973,4095,3941,4064,1720,0.020336429826763647
2011-05-09,4128,4128,4038,4104,280,0.009842519685039353
2011-05-11,4144,4144,4063,4104,1159,0.0
2011-05-12,4087,4087,4038,4072,2860,-0.007797270955165692
2011-05-13,3989,4103,3985,4096,3798,0.005893909626718985
2011-05-16,4030,4144,4030,4088,1303,-0.001953125
2011-05-17,4087,4087,3948,4015,2043,-0.017857142857142905
2011-05-18,4201,4201,4103,4178,3860,0.04059775840597757
2011-05-19,4103,4160,4026,4161,1649,-0.004068932503590195
2011-05-20,4063,4136,4038,4104,567,-0.013698630136986356
2011-05-23,4010,4063,3978,4056,958,-0.011695906432748537
2011-05-24,4021,4034,3953,4031,262,-0.006163708086785014
2011-05-25,3941,4038,3819,3865,1460,-0.04118084842470848
2011-05-26,3863,3969,3802,3958,520,0.024062095730918553
2011-05-27,3843,3924,3746,3779,4852,-0.04522486104092971
2011-05-30,3778,3782,3494,3568,3793,-0.05583487695157452
2011-05-31,3567,3599,3445,3601,10704,0.009248878923766801
2011-06-01,3652,3652,3535,3653,1890,0.014440433212996373
2011-06-02,3542,3656,3542,3653,1226,0.0
2011-06-03,3579,3652,3538,3653,801,0.0
2011-06-07,3574,3574,3574,3576,230,-0.021078565562551277
2011-06-08,3656,3656,3567,3634,4670,0.016219239373601813
2011-06-09,3656,3696,3599,3698,1960,0.017611447440836647
2011-06-10,3656,3696,3599,3618,1320,-0.021633315305570555
2011-06-13,3538,3611,3538,3597,1560,-0.005804311774461057
2011-06-14,3595,3615,3547,3551,710,-0.012788434806783378
2011-06-15,3514,3628,3514,3629,1060,0.021965643480709618
2011-06-16,3547,3591,3514,3593,700,-0.009920088178561604
2011-06-17,3530,3656,3526,3588,1250,-0.0013915947676036433
2011-06-20,3588,3608,3535,3609,380,0.005852842809364489
2011-06-21,3535,3852,3535,3604,411,-0.0013854253255749516
2011-06-22,3628,3758,3628,3751,780,0.04078801331853499
2011-06-23,3749,3749,3656,3751,400,0.0
2011-06-24,3847,3847,3847,3848,10,0.025859770727805875
2011-06-27,3713,3738,3696,3739,602,-0.02832640332640335
2011-06-28,3685,3746,3615,3734,1340,-0.0013372559507889292
2011-06-29,3676,3778,3656,3734,1420,0.0
2011-06-30,3730,3730,3615,3723,1380,-0.0029459025174075615
2011-07-01,3721,3721,3640,3698,600,-0.0067150147730324905
2011-07-04,3696,3770,3647,3714,2050,0.004326663061114067
2011-07-05,3713,3725,3615,3726,930,0.003231017770597644
2011-07-06,3778,3782,3677,3768,3360,0.011272141706924366
2011-07-07,3802,3802,3693,3714,2110,-0.014331210191082855
2011-07-08,3713,3738,3680,3739,460,0.006731287022078591
2011-07-11,3738,3738,3680,3718,150,-0.005616474993313747
2011-07-12,3717,3717,3640,3641,490,-0.020710059171597628
2011-07-13,3631,3647,3574,3637,1300,-0.0010985992859104954
2011-07-14,3588,3664,3535,3666,1695,0.00797360461919161
2011-07-15,3656,3656,3588,3658,230,-0.0021822149481723896
2011-07-18,3558,3656,3558,3618,740,-0.010934937124111532
2011-07-19,3574,3574,3542,3576,300,-0.011608623548922004
2011-07-20,3555,3583,3530,3584,1020,0.0022371364653244186
2011-07-21,3624,3624,3489,3618,820,0.009486607142857206
2011-07-22,3551,3631,3551,3593,740,-0.006909894969596486
2011-07-25,3595,3595,3551,3593,850,0.0
2011-07-26,3624,3656,3574,3658,2060,0.018090731978847696
2011-07-27,3595,3656,3579,3658,760,0.0
2011-07-28,3656,4021,3656,3926,13692,0.07326407873154728
2011-07-29,3981,4063,3891,3901,5280,-0.006367804381049447
2011-08-01,3891,4042,3822,3893,1280,-0.0020507562163547544
2011-08-02,4021,4021,3754,3812,1420,-0.020806575905471414
