Date,Open,High,Low,Close,Volume,Change
2011-01-03,1985,2030,1970,1995,1220,0.017857142857142794
2011-01-04,1820,2030,1820,2030,40,0.01754385964912286
2011-01-05,2004,2004,2004,2005,10,-0.012315270935960632
2011-01-06,2000,2000,2000,2000,130,-0.0024937655860348684
2011-01-07,1865,1950,1850,1950,960,-0.025000000000000022
2011-01-10,1855,1945,1855,1940,47970,-0.00512820512820511
2011-01-11,1940,1940,1850,1920,1370,-0.010309278350515427
2011-01-12,1910,1910,1885,1910,180,-0.00520833333333337
2011-01-13,1945,1945,1870,1940,420,0.015706806282722585
2011-01-14,1935,1935,1875,1925,220,-0.0077319587628865705
2011-01-17,1925,1974,1885,1975,579,0.025974025974025983
2011-01-18,1975,1975,1885,1940,1110,-0.017721518987341756
2011-01-19,1985,1985,1880,1970,1020,0.015463917525773141
2011-01-20,1925,1970,1900,1955,810,-0.0076142131979695105
2011-01-21,1890,1945,1885,1895,890,-0.03069053708439895
2011-01-24,1880,1985,1880,1900,110750,0.0026385224274405594
2011-01-25,1910,1980,1910,1980,280,0.042105263157894646
2011-01-26,1910,1980,1910,1975,639,-0.002525252525252486
2011-01-27,1920,1990,1920,1980,721,0.0025316455696202667
2011-01-28,1975,1975,1964,1965,30,-0.007575757575757569
2011-01-31,1910,1965,1910,1960,440,-0.0025445292620864812
2011-02-01,1924,2044,1924,1965,520,0.0025510204081633514
2011-02-07,1920,2030,1900,1945,670,-0.010178117048346036
2011-02-08,1915,1940,1905,1940,310,-0.0025706940874036244
2011-02-09,1910,1995,1900,1960,560,0.010309278350515427
2011-02-10,1910,1920,1904,1905,430,-0.028061224489795866
2011-02-11,1960,1960,1884,1885,900,-0.01049868766404205
2011-02-14,1885,1974,1885,1975,400,0.04774535809018565
2011-02-15,1955,1955,1900,1925,90,-0.025316455696202556
2011-02-16,1890,1920,1880,1920,380,-0.0025974025974025983
2011-02-17,1890,1920,1890,1920,240,0.0
2011-02-18,1890,1920,1890,1920,30,0.0
2011-02-21,1900,1900,1890,1890,1110,-0.015625
2011-02-22,1950,1950,1890,1915,1700,0.013227513227513255
2011-02-23,1890,1975,1890,1900,6870,-0.007832898172323799
2011-02-24,1900,1995,1890,1905,3420,0.002631578947368318
2011-02-25,1990,1990,1900,1905,3080,0.0
2011-02-28,1880,1990,1880,1915,4230,0.005249343832020914
2011-03-02,1885,1980,1885,1915,4170,0.0
2011-03-03,1895,1910,1895,1910,3640,-0.0026109660574412663
2011-03-04,1910,1970,1895,1950,4010,0.020942408376963373
2011-03-07,1895,1975,1880,1910,7390,-0.02051282051282055
2011-03-08,1895,1910,1890,1910,6390,0.0
2011-03-09,1975,1975,1880,1900,4260,-0.005235602094240788
2011-03-10,1960,1995,1895,1940,13200,0.021052631578947434
2011-03-11,1905,2040,1905,1980,8430,0.020618556701030855
2011-03-14,2010,2030,1900,2000,13000,0.010101010101010166
2011-03-15,2000,2000,1945,2000,294100,0.0
2011-03-16,1995,2010,1990,2000,10820,0.0
2011-03-17,1990,2000,1930,2000,10230,0.0
2011-03-18,1990,2000,1960,1990,11665,-0.0050000000000000044
2011-03-21,1985,2045,1980,2035,13050,0.022613065326633208
2011-03-22,2035,2055,1995,2030,14620,-0.002457002457002422
2011-03-23,2035,2060,2004,2045,14600,0.00738916256157629
2011-03-24,2045,2060,2005,2040,295893,-0.0024449877750610804
2011-03-25,2050,2055,2015,2050,12050,0.004901960784313708
2011-03-28,2030,2050,1990,2050,17240,0.0
2011-03-29,2050,2050,1984,2005,20680,-0.02195121951219514
2011-03-30,1990,2000,1980,2000,21250,-0.0024937655860348684
2011-03-31,1980,2005,1970,2000,220400,0.0
2011-04-01,0,0,0,2000,0,0.0
2011-04-04,1955,2000,1955,1970,30221,-0.015000000000000013
2011-04-05,2000,2050,1984,1985,21890,0.0076142131979695105
2011-04-06,1990,2040,1980,1980,21760,-0.0025188916876573986
2011-04-07,1995,2000,1980,1980,23760,0.0
2011-04-08,1980,2000,1980,1995,25710,0.007575757575757569
2011-04-11,1995,2000,1990,2000,20260,0.0025062656641603454
2011-04-12,1985,2000,1980,1980,20210,-0.010000000000000009
2011-04-13,1980,2000,1980,1995,20030,0.007575757575757569
2011-04-14,1990,2000,1940,1940,260601,-0.027568922305764465
2011-04-15,1975,2000,1975,2000,20080,0.030927835051546282
2011-04-18,2000,2000,1990,1995,23563,-0.0024999999999999467
2011-04-19,2000,2000,1990,1995,20820,0.0
2011-04-20,1990,2000,1985,2000,23790,0.0025062656641603454
2011-04-21,1995,2000,1995,2000,20940,0.0
2011-04-22,1985,2000,1985,2000,20580,0.0
2011-04-25,1975,2000,1975,2000,20390,0.0
2011-04-26,1985,2000,1985,2000,23890,0.0
2011-04-27,2000,2000,1950,2000,21040,0.0
2011-04-28,2000,2000,1980,2000,20680,0.0
2011-04-29,1995,2100,1980,2100,41175,0.050000000000000044
2011-05-02,2100,2200,2065,2200,354070,0.04761904761904767
2011-05-03,2385,2400,2185,2185,11360,-0.006818181818181834
2011-05-04,2185,2305,2050,2270,13030,0.0389016018306636
2011-05-06,2270,2270,2100,2140,13570,-0.05726872246696035
2011-05-09,2040,2100,2040,2050,39410,-0.04205607476635509
2011-05-11,2050,2050,1970,2050,12640,0.0
2011-05-12,2015,2040,1975,2025,3280,-0.012195121951219523
2011-05-13,1970,2025,1955,1990,1790,-0.01728395061728394
2011-05-16,1990,2000,1930,1990,3520,0.0
2011-05-17,1995,2000,1940,1990,20680,0.0
2011-05-18,1960,2000,1960,2000,21000,0.005025125628140614
2011-05-19,1994,2000,1890,1975,47900,-0.012499999999999956
2011-05-20,1920,2000,1915,1985,25510,0.005063291139240533
2011-05-23,1984,1984,1975,1985,5220,0.0
2011-05-24,1985,2100,1985,2070,7200,0.04282115869017633
2011-05-25,2090,2100,2020,2070,10710,0.0
2011-05-26,2050,2050,1900,1940,13220,-0.0628019323671497
2011-05-27,1920,2040,1910,1930,7340,-0.005154639175257714
2011-05-30,1930,1970,1820,1860,2140,-0.03626943005181349
2011-05-31,1860,1930,1860,1880,200,0.010752688172043001
2011-06-01,1880,1885,1840,1840,1030,-0.021276595744680882
2011-06-02,1840,1900,1830,1840,920,0.0
2011-06-03,1874,1874,1874,1875,10,0.01902173913043481
2011-06-07,1870,1870,1870,1870,90,-0.002666666666666706
2011-06-08,1780,1780,1780,1780,150,-0.048128342245989275
2011-06-09,1880,1880,1864,1865,60,0.047752808988763995
2011-06-10,1900,1900,1775,1840,380,-0.013404825737265424
2011-06-13,1884,2000,1884,1945,600,0.057065217391304435
2011-06-14,1960,1960,1770,1870,530,-0.03856041131105403
2011-06-15,1870,1914,1870,1915,60,0.02406417112299475
2011-06-16,1895,1900,1844,1845,490,-0.036553524804177506
2011-06-17,1845,1914,1760,1915,7960,0.03794037940379402
2011-06-20,1930,1930,1930,1930,10,0.007832898172323688
2011-06-21,1910,1910,1910,1910,20,-0.010362694300518172
2011-06-22,1815,1860,1810,1850,620,-0.03141361256544506
2011-06-23,1930,1930,1770,1835,1100,-0.008108108108108136
2011-06-24,1775,1844,1775,1845,61032,0.005449591280654031
2011-06-27,1790,1850,1790,1850,1540,0.0027100271002709064
2011-06-28,1800,1850,1800,1800,350,-0.027027027027026973
2011-06-29,1920,1920,1770,1855,2290,0.030555555555555447
2011-06-30,1894,1914,1894,1915,1490,0.032345013477088846
2011-07-01,1825,1920,1825,1900,300,-0.007832898172323799
2011-07-04,1810,1904,1810,1865,6021,-0.018421052631578894
2011-07-05,1815,1884,1804,1885,510,0.01072386058981234
2011-07-06,1885,1885,1820,1870,1010,-0.007957559681697646
2011-07-07,1830,1840,1830,1830,270,-0.021390374331550777
2011-07-08,1870,1870,1845,1850,210,0.010928961748633892
2011-07-11,1850,1874,1710,1875,2430,0.013513513513513598
2011-07-12,1800,1880,1800,1880,1150,0.002666666666666595
2011-07-13,1880,1900,1825,1900,330,0.010638297872340496
2011-07-14,1960,2185,1905,1980,6000,0.042105263157894646
2011-07-15,1840,1985,1840,1975,390,-0.002525252525252486
2011-07-18,0,0,0,1970,0,-0.0025316455696202667
2011-07-19,1830,1830,1830,1830,510,-0.07106598984771573
2011-07-20,1900,1934,1834,1935,1230,0.05737704918032782
2011-07-21,1870,1934,1870,1935,530,0.0
2011-07-22,1880,1934,1880,1935,310,0.0
2011-07-25,1974,1974,1880,1935,620,0.0
2011-07-26,1850,1930,1850,1930,1400,-0.0025839793281653423
2011-07-27,1860,1920,1855,1920,780,-0.005181347150259086
2011-07-28,1860,2000,1860,1930,2460,0.005208333333333259
2011-07-29,1950,1950,1900,1945,430,0.007772020725388629
2011-08-01,1995,1995,1875,1990,300,0.023136246786632286
2011-08-02,1990,1990,1890,1950,500,-0.02010050251256279
2011-08-03,1870,1995,1840,1905,1320,-0.023076923076923106
2011-08-04,1860,1980,1860,1950,1170,0.023622047244094446
2011-08-05,1944,1964,1864,1965,1970,0.007692307692307665
2011-08-08,1840,1964,1815,1965,1000,0.0
2011-08-09,1800,1920,1680,1915,3182,-0.025445292620865145
2011-08-10,1820,1894,1820,1895,600,-0.010443864229765065
2011-08-11,1800,1990,1800,1985,720,0.0474934036939314
2011-08-12,1950,1950,1870,1870,2300,-0.057934508816120944
2011-08-16,1870,1950,1850,1895,350,0.013368983957219305
2011-08-17,1855,1965,1855,1910,710,0.0079155672823219
2011-08-18,1870,1900,1850,1900,830,-0.005235602094240788
2011-08-19,1814,1920,1814,1895,460,-0.0026315789473684292
2011-08-22,1835,1970,1710,1780,2930,-0.06068601583113453
2011-08-23,1850,1890,1790,1840,770,0.03370786516853941
2011-08-24,1820,1895,1810,1840,940,0.0
2011-08-25,1810,1864,1810,1865,190,0.013586956521739024
2011-08-26,1865,1880,1794,1875,960,0.00536193029490617
2011-08-29,1830,1930,1830,1910,570,0.01866666666666661
