Date,Open,High,Low,Close,Volume,Change
2011-01-03,1918,1947,1894,1949,37989,0.006195147134744561
2011-01-04,2007,2007,1894,1970,28740,0.010774756285274467
2011-01-05,1990,2037,1944,1970,23800,0.0
2011-01-06,1969,2001,1899,1966,50620,-0.0020304568527919065
2011-01-07,1966,1966,1899,1901,34160,-0.03306205493387593
2011-01-10,1876,1923,1876,1907,11210,0.0031562335612835835
2011-01-11,1894,1894,1833,1835,15940,-0.03775563712637653
2011-01-12,1839,1851,1792,1820,22147,-0.008174386920980936
2011-01-13,1836,1935,1803,1843,18473,0.012637362637362592
2011-01-14,1863,1930,1833,1913,22970,0.037981551817688475
2011-01-17,1890,1996,1890,1919,31391,0.003136434918975528
2011-01-18,1890,1971,1872,1922,6260,0.0015633142261595179
2011-01-19,1920,1920,1839,1859,20060,-0.03277835587929245
2011-01-20,1857,1887,1842,1889,5471,0.016137708445400856
2011-01-21,1857,1887,1839,1877,8600,-0.0063525674960296374
2011-01-24,1863,1875,1803,1811,19940,-0.03516249334043686
2011-01-25,1821,1860,1792,1796,7350,-0.008282716731087825
2011-01-26,1794,1830,1784,1823,23721,0.015033407572383028
2011-01-27,1836,1836,1784,1820,3530,-0.001645639056500281
2011-01-28,1809,1828,1803,1816,6090,-0.00219780219780219
2011-01-31,1803,1815,1749,1805,14451,-0.006057268722466924
2011-02-01,1779,1815,1773,1789,11480,-0.008864265927977844
2011-02-07,1828,1828,1773,1777,8254,-0.006707657909446607
2011-02-08,1770,1797,1745,1771,15818,-0.003376477208778872
2011-02-09,1770,1770,1743,1744,1670,-0.015245623941276154
2011-02-10,1749,1752,1713,1738,14562,-0.0034403669724770714
2011-02-11,1740,1803,1700,1712,13144,-0.014959723820483273
2011-02-14,1767,1767,1710,1714,1870,0.001168224299065379
2011-02-15,1725,1757,1710,1738,2270,0.014002333722286986
2011-02-16,1706,1749,1706,1748,5070,0.005753739930955071
2011-02-17,1749,1749,1706,1732,8380,-0.009153318077803174
2011-02-18,1730,1749,1725,1750,1940,0.010392609699769073
2011-02-21,1749,1752,1725,1750,5072,0.0
2011-02-22,1728,1749,1713,1750,4200,0.0
2011-02-23,1700,1761,1700,1763,6130,0.00742857142857134
2011-02-24,1761,1761,1700,1721,4500,-0.02382302892796373
2011-02-25,1767,1767,1761,1763,210,0.02440441603718768
