Date,Open,High,Low,Close,Volume,Change
2011-01-03,7845,7945,7711,7745,87161,-0.01274697259400892
2011-01-04,7778,8045,7645,8012,106879,0.034473854099418944
2011-01-05,8012,8112,7845,7912,70915,-0.01248127808287569
2011-01-06,7945,8045,7745,7812,81277,-0.012639029322548012
2011-01-07,7878,8145,7845,7845,113935,0.004224270353302639
2011-01-10,7878,8012,7845,7879,47966,0.004333970681962951
2011-01-11,7878,8312,7878,8213,154924,0.04239116639167406
2011-01-12,8312,8312,8045,8079,79828,-0.016315597223913292
2011-01-13,8145,8212,7945,8112,65866,0.004084663943557443
2011-01-14,8212,8446,7945,8313,212430,0.024778106508875686
2011-01-17,8479,8846,8279,8413,301638,0.012029351617947714
2011-01-18,8579,8780,7812,7879,311295,-0.06347319624390824
2011-01-19,8012,8212,7912,7946,150555,0.008503617210305903
2011-01-20,8012,8045,7778,7879,98437,-0.008431915429146786
2011-01-21,7912,7912,7578,7578,65899,-0.038202817616448836
2011-01-24,7578,7812,7578,7745,42619,0.022037476906835662
2011-01-25,7845,7845,7578,7612,45077,-0.017172369270497145
2011-01-26,7544,7645,7411,7445,45691,-0.021939043615344156
2011-01-27,7444,7645,7411,7445,39812,0.0
2011-01-28,7444,7544,7211,7244,60175,-0.0269979852249832
2011-01-31,7010,7344,7010,7278,34078,0.004693539480949749
2011-02-01,7311,7611,7277,7512,42482,0.03215169002473206
2011-02-07,7611,7711,7511,7578,46954,0.0087859424920127
2011-02-08,7544,7678,7444,7445,30261,-0.017550804961731337
2011-02-09,7544,7578,7277,7345,28682,-0.013431833445265329
2011-02-10,7344,7411,7010,7211,75744,-0.018243703199455452
2011-02-11,7277,7544,7277,7445,59822,0.03245042296491474
2011-02-14,7478,7578,7344,7512,26731,0.008999328408327845
2011-02-15,7544,7678,7444,7578,47571,0.0087859424920127
2011-02-16,7678,7945,7444,7545,73344,-0.004354711005542411
2011-02-17,7578,7711,7244,7512,74677,-0.004373757455268357
2011-02-18,7544,7812,7511,7812,46332,0.039936102236421744
2011-02-21,7912,7912,7711,7712,50064,-0.01280081925243215
2011-02-22,7578,7711,7478,7712,44865,0.0
2011-02-23,7645,8012,7645,7979,89898,0.0346213692946058
2011-02-24,7912,8012,7678,7678,64947,-0.03772402556711363
2011-02-25,7778,8145,7711,7912,136419,0.03047668663714509
2011-02-28,7912,7912,7745,7845,38176,-0.008468149646107204
2011-03-02,7778,8145,7745,7812,83952,-0.004206500956022929
2011-03-03,7878,7945,7678,7745,50191,-0.00857654889912951
2011-03-04,7845,7978,7745,7946,61294,0.025952227243382753
2011-03-07,7945,8246,7878,8046,91728,0.012584948401711538
2011-03-08,7978,8145,7945,8079,58647,0.004101416853094619
2011-03-09,8079,8112,7845,7879,58262,-0.024755539051862896
2011-03-10,7845,7912,7711,7812,44302,-0.008503617210305903
2011-03-11,7678,7812,7511,7545,46528,-0.03417818740399381
2011-03-14,7344,7344,6944,6977,92157,-0.07528164347249833
2011-03-15,6944,7110,6590,6810,99266,-0.023935789021069187
2011-03-16,6743,6977,6743,6944,38117,0.01967694566813516
2011-03-17,6810,6877,6670,6844,30581,-0.01440092165898621
2011-03-18,6877,7077,6843,6977,31938,0.019433080070134334
2011-03-21,6977,7144,6944,7044,42867,0.0096029812240217
2011-03-22,7077,7244,7044,7144,29986,0.014196479273140161
2011-03-23,7144,7344,7044,7211,35447,0.009378499440089616
2011-03-24,7277,7277,7144,7211,25646,0.0
2011-03-25,7211,7344,7144,7244,50946,0.004576341700180286
2011-03-28,7344,7344,7110,7178,23675,-0.009110988404196552
2011-03-29,7110,7211,6977,7078,31701,-0.013931457230426325
2011-03-30,7077,7311,7044,7211,38296,0.018790618818875338
2011-03-31,7177,7511,7177,7411,40483,0.027735404243516948
2011-04-01,7411,7478,7311,7411,19912,0.0
2011-04-04,7411,7511,7344,7411,20547,0.0
2011-04-05,7411,7544,7311,7545,28487,0.018081230603157472
2011-04-06,7544,7611,7444,7545,27188,0.0
2011-04-07,7611,7611,7311,7411,33793,-0.017760106030483724
2011-04-08,7411,7478,7277,7378,28815,-0.004452840372419331
2011-04-11,7478,7511,7277,7411,45957,0.004472756844673409
2011-04-12,7378,7444,7277,7411,31835,0.0
2011-04-13,7344,7711,7344,7545,51580,0.018081230603157472
2011-04-14,7578,7678,7444,7545,24018,0.0
2011-04-15,7544,7678,7511,7612,24535,0.008880053015241973
2011-04-18,7578,7678,7377,7378,37864,-0.03074093536521283
2011-04-19,7311,7377,7211,7244,31149,-0.01816210355109782
2011-04-20,7244,7411,7177,7345,38948,0.013942573163997718
2011-04-21,7511,7745,7378,7745,87933,0.05445881552076237
2011-04-22,7745,7812,7645,7678,60401,-0.008650742414460955
2011-04-25,7678,8045,7611,7812,79593,0.017452461578536083
2011-04-26,7845,7878,7478,7545,57712,-0.03417818740399381
2011-04-27,7745,7912,7711,7712,79161,0.022133863485752192
2011-04-28,7745,7845,7611,7745,28211,0.004279045643153623
2011-04-29,7678,7812,7578,7779,27997,0.004389928986442859
2011-05-02,7845,8079,7745,8079,69132,0.038565368299267266
2011-05-03,8012,8179,7945,7979,43275,-0.012377769525931392
2011-05-04,7878,8045,7878,8046,34191,0.008397042235869234
2011-05-06,8012,8045,7812,7979,26953,-0.008327119065374089
2011-05-09,7978,8212,7812,8179,67868,0.025065797719012517
2011-05-11,8212,8312,8045,8213,53826,0.004156987406773505
2011-05-12,8145,8346,8012,8313,46083,0.01217581882381591
2011-05-13,8212,8379,8179,8246,29801,-0.008059665584025044
2011-05-16,8179,8312,8112,8146,20293,-0.012127091923356814
2011-05-17,8112,8279,7778,7812,71227,-0.041001718634912865
2011-05-18,7845,7945,7678,7745,25457,-0.00857654889912951
2011-05-19,7778,7978,7711,7946,46411,0.025952227243382753
2011-05-20,8012,8079,7878,7979,35693,0.004153032972564752
2011-05-23,8145,8312,8012,8146,76795,0.02092994109537538
2011-05-24,8079,9214,8079,8914,448171,0.09427940093297327
2011-05-25,8913,9280,8780,8980,259901,0.007404083464213507
2011-05-26,9114,9347,8880,9314,179624,0.037193763919821876
2011-05-27,9280,9614,8947,9047,198354,-0.02866652351299115
2011-05-30,9147,9447,8947,8980,126903,-0.00740576986846464
2011-05-31,9180,9381,9047,9348,114255,0.04097995545657018
2011-06-01,9347,9381,8947,8947,88952,-0.04289687633718442
2011-06-02,8646,9013,8613,8747,85107,-0.022353861629596516
2011-06-03,8746,9614,8746,9147,198027,0.04572996455927747
2011-06-07,9147,9881,9114,9815,306441,0.0730294085492511
2011-06-08,9748,9815,9347,9481,173815,-0.03402954661232804
2011-06-09,9414,9748,9347,9414,117424,-0.007066765109165707
2011-06-10,9514,9514,8846,8880,133435,-0.05672402804333976
2011-06-13,8947,9113,8479,8613,69374,-0.030067567567567566
2011-06-14,8780,8947,8412,8914,68922,0.034947172878207367
2011-06-15,8980,9314,8813,9047,104586,0.014920350011218275
2011-06-16,8880,8947,8613,8613,54160,-0.04797170332706979
2011-06-17,8713,8880,8379,8546,59490,-0.007778938813421621
2011-06-20,8546,8846,8312,8313,53965,-0.027264217177626948
2011-06-21,8346,8579,8079,8413,60026,0.012029351617947714
2011-06-22,8513,8646,8446,8647,33411,0.027814097230476564
2011-06-23,8546,8646,8212,8346,70452,-0.03480976061061636
2011-06-24,8346,8746,8346,8546,57614,0.023963575365444578
2011-06-27,8412,8613,8346,8513,28697,-0.0038614556517668763
2011-06-28,8546,8680,8412,8546,26300,0.003876424292258873
2011-06-29,8746,8880,8579,8613,99693,0.00783992511116316
2011-06-30,8913,8913,8613,8680,35478,0.00777893881342151
2011-07-01,8713,8846,8613,8847,45772,0.019239631336405605
2011-07-04,8913,9881,8680,8947,463241,0.011303266644060228
2011-07-05,9147,9180,8846,8980,109818,0.0036883871688835335
2011-07-06,8980,9481,8947,9114,155466,0.01492204899777283
2011-07-07,9047,9147,8880,8880,64730,-0.025674786043449638
2011-07-08,8846,9013,8746,8847,57445,-0.003716216216216206
2011-07-11,8846,9114,8780,9114,62074,0.03017972193964047
2011-07-12,8947,9447,8947,9147,113309,0.0036208031599735957
2011-07-13,9114,9347,9080,9314,79626,0.018257352137312832
2011-07-14,9347,9514,9180,9281,90082,-0.003543053467897739
2011-07-15,9280,9514,9214,9448,126773,0.017993750673418907
2011-07-18,9648,10850,9648,10850,1337311,0.14839119390347166
2011-07-19,12300,12450,12000,12450,1185469,0.14746543778801846
2011-07-20,13400,14250,12950,13200,3674506,0.06024096385542177
2011-07-21,13100,13200,12000,12800,1775289,-0.030303030303030276
2011-07-22,12700,14700,12450,14700,2218452,0.1484375
2011-07-25,15350,15600,13500,13500,3039848,-0.08163265306122447
2011-07-26,14000,15250,13250,14450,3432821,0.07037037037037042
2011-07-27,14300,15350,14100,14300,2021117,-0.01038062283737029
2011-07-28,14650,15850,13850,14350,3121063,0.0034965034965035446
2011-07-29,14550,14750,13100,13200,1396895,-0.08013937282229966
2011-08-01,13300,13600,12750,13100,977902,-0.007575757575757569
2011-08-02,13100,13650,12400,12700,954451,-0.03053435114503822
2011-08-03,12600,13200,12500,12950,966361,0.019685039370078705
2011-08-04,12500,12950,11050,11050,1733248,-0.14671814671814676
2011-08-05,10000,10750,9700,10300,779279,-0.0678733031674208
2011-08-08,10300,11150,9200,10300,1571176,0.0
2011-08-09,9800,9820,8800,9230,1325160,-0.10388349514563111
2011-08-10,9880,10550,9570,10250,1613803,0.11050920910075845
2011-08-11,9500,11000,9400,10500,2013469,0.024390243902439046
2011-08-12,10850,11450,10300,10650,1818238,0.014285714285714235
2011-08-16,11150,11550,10800,11000,1544950,0.032863849765258246
2011-08-17,11200,11650,11150,11200,1282726,0.018181818181818077
2011-08-18,11300,11450,10250,10350,1268661,-0.0758928571428571
2011-08-19,9800,9970,9050,9150,663409,-0.1159420289855072
2011-08-22,9230,9830,8900,9340,762539,0.02076502732240426
2011-08-23,9550,10000,9510,9740,590397,0.04282655246252687
2011-08-24,9950,9980,9190,9190,442189,-0.056468172484599566
2011-08-25,9420,9570,8900,8900,418643,-0.031556039173014194
2011-08-26,8850,9190,8850,9070,324107,0.019101123595505642
2011-08-29,9230,9940,9170,9700,599268,0.06945975744211697
2011-08-30,9890,10150,9590,9590,476132,-0.01134020618556697
2011-08-31,9790,10050,9670,9880,493280,0.030239833159541263
2011-09-01,10050,10150,9520,9600,404690,-0.028340080971659964
2011-09-02,9440,9600,9330,9540,296767,-0.006249999999999978
2011-09-05,9440,9540,9190,9210,256693,-0.03459119496855345
2011-09-06,8900,9150,8080,8610,386398,-0.06514657980456029
2011-09-07,8900,8940,8710,8880,144694,0.03135888501742157
2011-09-08,8990,8990,8460,8600,161655,-0.03153153153153154
2011-09-09,8520,8720,8300,8340,174279,-0.03023255813953485
2011-09-14,8340,8400,7600,7640,257068,-0.08393285371702641
2011-09-15,7900,8050,7220,7500,302520,-0.01832460732984298
2011-09-16,7650,7910,7620,7820,244224,0.04266666666666663
2011-09-19,7700,8380,7680,7960,377475,0.01790281329923271
2011-09-20,7920,8130,7600,8010,187028,0.00628140703517599
2011-09-21,8070,8380,8010,8280,274316,0.03370786516853941
2011-09-22,8060,9060,8050,8350,552814,0.008454106280193274
2011-09-23,7930,8080,7190,7190,444156,-0.13892215568862276
2011-09-26,7250,7460,6120,6120,635568,-0.1488178025034771
2011-09-27,6230,6620,6230,6520,292201,0.065359477124183
2011-09-28,6880,6880,6300,6300,192347,-0.033742331288343586
2011-09-29,6120,6700,6120,6580,221432,0.04444444444444451
2011-09-30,6580,6870,6570,6700,159938,0.01823708206686936
2011-10-04,6090,6210,5940,6140,243411,-0.08358208955223878
2011-10-05,6180,6290,5450,5520,322446,-0.10097719869706845
2011-10-06,5800,5970,5710,5730,206875,0.03804347826086962
2011-10-07,5910,6580,5910,6580,175231,0.14834205933682365
2011-10-10,7030,7190,6660,6950,398032,0.05623100303951367
2011-10-11,7240,7840,7010,7680,701641,0.10503597122302155
2011-10-12,7570,7730,7350,7670,421971,-0.0013020833333333703
2011-10-13,7900,8210,7800,7960,441915,0.03780964797913944
2011-10-14,8100,8100,7710,7820,209990,-0.017587939698492483
2011-10-17,8000,8250,8000,8230,259956,0.052429667519181544
2011-10-18,8000,9460,7910,9460,1142090,0.14945321992709593
2011-10-19,10400,10750,9510,9710,2194262,0.026427061310782207
2011-10-20,9950,10800,9630,9950,2412871,0.02471678681771361
2011-10-21,10300,10800,9580,9700,1343003,-0.025125628140703515
2011-10-24,9910,10350,9870,10250,872025,0.05670103092783507
2011-10-25,10300,11450,9960,10000,1951529,-0.024390243902439046
2011-10-26,10500,11300,10400,11000,2414117,0.10000000000000009
2011-10-27,11200,12150,10650,11100,3198617,0.009090909090909038
2011-10-28,11300,11300,9450,9450,1711861,-0.14864864864864868
2011-10-31,9300,9660,8910,9050,1001855,-0.042328042328042326
2011-11-01,9310,9850,9200,9230,1238088,0.019889502762430844
2011-11-02,8840,9150,8560,8950,574330,-0.03033586132177679
2011-11-03,9020,9270,8650,8650,356281,-0.03351955307262566
2011-11-04,8950,9070,8820,8930,217263,0.032369942196531776
2011-11-07,9000,9550,8930,9320,429398,0.043673012318029114
2011-11-08,9480,9480,8970,8990,308475,-0.035407725321888406
2011-11-09,9050,9330,8900,9050,275324,0.006674082313681939
2011-11-10,8610,8800,8340,8350,281527,-0.07734806629834257
2011-11-11,8500,8670,8360,8510,177074,0.01916167664670665
2011-11-14,8840,9770,8780,9770,794718,0.14806110458284372
2011-11-15,9500,9670,9260,9260,403768,-0.05220061412487209
2011-11-16,9440,9460,8640,8660,572564,-0.06479481641468687
2011-11-17,8730,8920,8500,8750,274839,0.010392609699769073
2011-11-18,8490,9090,8490,8750,251456,0.0
