Date,Open,High,Low,Close,Volume,Change
2011-01-03,3899,3899,3681,3690,6630,-0.05360348807386506
2011-01-04,3689,3760,3605,3715,1250,0.006775067750677488
2011-01-05,3664,3693,3664,3694,461,-0.005652759084791348
2011-01-06,3689,3714,3639,3639,1273,-0.014889009204114734
2011-01-07,3656,3714,3639,3643,710,0.0010992030777685624
2011-01-10,3605,3605,3551,3568,580,-0.020587427944002146
2011-01-11,3580,3865,3580,3790,4057,0.06221973094170408
2011-01-12,3773,4192,3769,3874,5090,0.022163588390501365
2011-01-13,3874,3903,3786,3895,690,0.0054207537429014074
2011-01-14,3832,3895,3823,3895,2440,0.0
2011-01-17,3827,4150,3798,3941,2130,0.011810012836970474
2011-01-18,3895,3983,3878,3983,7070,0.010657193605683846
2011-01-19,3983,4192,3983,4100,4290,0.02937484308310312
2011-01-20,4096,4188,3811,4189,3390,0.02170731707317075
2011-01-21,4180,4318,4150,4214,1360,0.0059680114585820565
2011-01-24,4188,4192,4129,4193,390,-0.004983388704318914
2011-01-25,4146,4234,4146,4193,2550,0.0
2011-01-26,4129,4234,4129,4235,3080,0.01001669449081799
2011-01-27,4108,4234,4025,4235,4490,0.0
2011-01-28,4192,4318,4134,4277,2360,0.009917355371900749
2011-01-31,4318,4318,4117,4277,9470,0.0
2011-02-01,4234,4234,4087,4088,1400,-0.04418985270049103
2011-02-07,4075,4075,3991,3991,151,-0.023727984344422692
2011-02-08,3983,3983,3547,3547,40641,-0.11125031320471057
2011-02-09,3547,3555,3492,3501,3480,-0.012968705948689041
2011-02-10,3500,3576,3500,3501,760,0.0
2011-02-11,3475,3479,3446,3446,3660,-0.01570979720079979
2011-02-14,3446,3517,3446,3463,65260,0.004933255948926352
2011-02-15,3463,3647,3454,3480,6970,0.004909038406006427
2011-02-16,3396,3479,3396,3476,7970,-0.0011494252873562871
2011-02-17,3438,3463,3396,3463,580,-0.003739930955120818
2011-02-18,3450,3459,3412,3434,1470,-0.008374241986716768
2011-02-21,3433,3433,3358,3358,1990,-0.022131624927198557
2011-02-22,3396,3479,3354,3354,90600,-0.001191185229303171
2011-02-23,3354,3354,3266,3354,1960,0.0
2011-02-24,3345,3471,3345,3472,700,0.03518187239117476
2011-02-25,3467,3530,3370,3430,1520,-0.012096774193548376
2011-02-28,3467,3689,3463,3677,3751,0.07201166180758012
2011-03-02,3454,3622,3454,3476,977,-0.054664128365515374
2011-03-03,3492,3559,3492,3560,110,0.024165707710011475
2011-03-04,3505,3559,3496,3560,1500,0.0
2011-03-07,3555,3559,3555,3560,50,0.0
2011-03-08,3438,3588,3438,3585,230,0.0070224719101124045
2011-03-09,3563,3563,3467,3564,440,-0.0058577405857740406
2011-03-10,0,0,0,3564,0,0.0
2011-03-11,0,0,0,3560,0,-0.001122334455667784
2011-03-14,3375,3559,3354,3560,2220,0.0
2011-03-15,3580,3580,3454,3534,190,-0.007303370786516883
2011-03-16,3475,3534,3446,3534,1270,0.0
2011-03-17,3479,3534,3459,3526,960,-0.002263723825693287
2011-03-18,3526,3563,3526,3564,710,0.010777084515031232
2011-03-21,3542,3563,3538,3564,1100,0.0
2011-03-22,3563,3727,3542,3727,1470,0.04573512906846244
2011-03-23,3723,3723,3442,3694,3350,-0.008854306412664381
2011-03-24,3668,3769,3647,3727,1480,0.008933405522468796
2011-03-25,3609,4108,3609,3841,2750,0.030587603971022226
2011-03-28,3744,3857,3739,3853,1413,0.003124186409789065
2011-03-29,3836,3983,3832,3983,2010,0.03373994290163518
2011-03-30,3920,4192,3781,4142,8020,0.039919658548832615
2011-03-31,4117,4402,4066,4402,11570,0.06277160791887981
