Date,Open,High,Low,Close,Volume,Change
2014-12-15,13824,15733,12754,13405,2315193,
2014-12-16,12945,13213,11570,11724,461647,-0.1254009697873928
2014-12-17,11914,12449,11609,11648,241730,-0.006482429205049489
2014-12-18,11914,13364,11799,12450,827219,0.0688530219780219
2014-12-19,12983,13594,12639,13252,311083,0.06441767068273085
2014-12-22,13250,13250,12601,12717,126477,-0.04037126471476005
2014-12-23,12563,13594,12372,13328,214314,0.048045922780530104
2014-12-24,13174,14014,12945,13672,215505,0.025810324129651896
2014-12-26,13441,14090,13060,13328,311476,-0.025160912814511383
2014-12-29,13136,13327,12601,12870,156397,-0.034363745498199316
2014-12-30,12869,13557,12601,13557,191582,0.05337995337995327
2015-01-02,13403,14701,13364,14321,221254,0.05635465073393808
2015-01-05,14321,14473,13824,14207,91114,-0.007960337965225883
2015-01-06,13900,14321,12869,13176,109432,-0.07256985992820442
2015-01-07,13060,13327,12601,12908,78201,-0.020340012143290842
2015-01-08,13174,13518,12831,13443,74691,0.04144716454911679
2015-01-09,13594,13594,13021,13214,60530,-0.017034888045823093
2015-01-12,13213,13518,12831,13367,68786,0.011578628727107576
2015-01-13,13441,14014,13441,13596,178444,0.017131742350564805
2015-01-14,13518,13671,12831,13596,137298,0.0
2015-01-15,13518,15618,13518,15276,789819,0.12356575463371589
2015-01-16,15275,17222,15007,17071,687422,0.11750458235140093
2015-01-19,17757,18521,16917,17224,265986,0.008962568097943935
2015-01-20,17566,17795,16420,17262,219841,0.002206223873664648
2015-01-21,17528,19132,16917,17568,589962,0.01772679874869665
2015-01-22,17452,17833,16573,17415,272883,-0.00870901639344257
2015-01-23,17605,20010,17261,20012,671507,0.14912431811656623
2015-01-26,20850,21385,19819,19973,515817,-0.0019488307015790296
2015-01-27,19819,20698,19399,20470,280293,0.024883592850347913
2015-01-28,20392,21118,20049,20088,155131,-0.018661455788959502
2015-01-29,20316,20927,19819,20699,211780,0.030416168857029025
2015-01-30,20850,21729,18521,18866,459299,-0.08855500265713323
2015-02-02,18712,18902,18101,18484,197152,-0.020248065302660878
2015-02-03,18559,19209,18292,18560,171990,0.004111664141960514
2015-02-04,18559,18941,18215,18445,296641,-0.006196120689655138
2015-02-05,19209,21193,19132,21196,613201,0.14914611005692602
2015-02-06,20774,21385,20545,20775,285634,-0.01986223815814303
2015-02-09,20698,21232,18941,18942,287298,-0.08823104693140793
2015-02-10,19018,19209,18177,18713,111753,-0.012089536479780394
2015-02-11,18941,19323,18521,18636,113205,-0.004114786512050439
2015-02-12,18788,18902,17642,18026,132813,-0.03273234599699504
2015-02-13,18024,18788,17833,18790,126691,0.042383224231665295
2015-02-16,18368,18712,17986,18255,79186,-0.02847259180415118
2015-02-17,18253,18712,17948,18331,49469,0.00416324294713788
2015-02-23,18368,19170,18138,18752,83688,0.0229665593802848
2015-02-24,19094,20278,18902,19745,184987,0.052954351535836164
2015-02-25,19781,20049,19246,19745,79397,0.0
2015-02-26,19819,19934,19056,19706,63299,-0.0019751835907825255
2015-02-27,19513,20813,19323,20661,152471,0.048462397239419364
2015-03-02,20774,21614,20468,20775,125006,0.005517641934078776
2015-03-03,20889,20889,19628,19973,95117,-0.03860409145607702
2015-03-04,20239,20239,19475,19782,72574,-0.009562909928403363
2015-03-05,19934,20010,18826,18942,83651,-0.0424628450106157
2015-03-06,18941,19399,18559,19171,72078,0.012089536479780394
2015-03-09,19285,19285,18330,18484,74485,-0.0358353763496948
2015-03-10,18368,19170,17261,17873,155133,-0.0330556156676044
2015-03-11,17337,17795,16726,16918,94831,-0.053432551893918157
2015-03-12,17108,18330,16993,17949,128972,0.0609410095756
2015-03-13,17948,18406,17337,18064,85420,0.006407042175051503
2015-03-16,17872,17909,17222,17415,161670,-0.0359278122232064
2015-03-17,17681,18253,17108,17376,105921,-0.0022394487510766226
2015-03-18,17490,17872,17145,17301,90744,-0.004316298342541436
2015-03-19,17490,17566,15886,16498,264709,-0.04641350210970463
2015-03-20,16534,18559,16497,18102,310778,0.09722390592799135
2015-03-23,18215,18559,17681,18331,141436,0.012650535852392064
2015-03-24,18330,19094,17948,18522,160163,0.010419507937373895
2015-03-25,18330,19323,18292,19095,145572,0.030936183997408495
2015-03-26,18712,19475,18521,19019,150312,-0.003980099502487566
2015-03-27,19018,19323,18521,18905,65239,-0.005994005994006013
2015-03-30,19056,19170,18521,19019,90922,0.0060301507537687815
2015-03-31,19246,19246,18598,18981,62626,-0.0019980019980020414
2015-04-01,18749,19056,18406,18636,71549,-0.018176070807649714
2015-04-02,18598,19705,18138,19324,168292,0.03691779351792235
2015-04-03,19475,20813,19475,20164,206704,0.043469261022562655
2015-04-06,20163,20392,19666,20012,74337,-0.007538186867685037
2015-04-07,20049,20927,19896,20432,113372,0.020987407555466797
2015-04-08,20506,21308,20278,21196,179105,0.03739232576350826
2015-04-09,21232,21614,20850,21196,78380,0.0
2015-04-10,21193,24363,21042,24327,378554,0.14771655029250796
2015-04-13,24326,26427,23868,24365,263534,0.0015620503966786714
2015-04-14,24478,24975,22149,22341,202846,-0.08306997742663658
2015-04-15,22226,24631,21805,24365,211057,0.09059576563269323
2015-04-16,24554,25051,23104,23372,127925,-0.04075518161296943
2015-04-17,23523,24287,22989,24290,86357,0.03927776826972451
2015-04-20,23600,24898,23371,24059,113291,-0.009510086455331357
2015-04-21,24058,26427,23868,26313,353131,0.09368635437881867
2015-04-22,25967,26961,22912,24900,290959,-0.053699692167369695
2015-04-23,25051,25434,22569,22761,269257,-0.08590361445783135
2015-04-24,23142,23600,21500,22608,147018,-0.006722024515618874
2015-04-27,22607,23333,22378,22990,85112,0.016896673743807433
2015-04-28,22989,23218,21614,21768,123478,-0.0531535450195737
2015-04-29,21538,22836,21538,22189,87606,0.019340316060271867
