Date,Open,High,Low,Close,Volume,Change
2011-01-03,1575,1762,1565,1725,1797478,0.11290322580645151
2011-01-04,1750,1877,1720,1733,1848862,0.004637681159420204
2011-01-05,1762,1792,1672,1695,599661,-0.021927293710328866
2011-01-06,1747,1747,1600,1625,460471,-0.041297935103244865
2011-01-07,1660,1822,1610,1783,1188109,0.09723076923076923
2011-01-10,1752,1895,1725,1815,863356,0.01794727986539546
2011-01-11,1795,1852,1695,1758,478812,-0.031404958677686
2011-01-12,1720,1985,1720,1825,1977961,0.03811149032992045
2011-01-13,1825,2042,1765,1945,2097848,0.0657534246575342
2011-01-14,2000,2040,1907,1945,805125,0.0
2011-01-17,1950,2057,1890,2010,828450,0.033419023136246784
2011-01-18,1987,2110,1957,1960,861496,-0.02487562189054726
2011-01-19,1960,1980,1880,1925,338822,-0.017857142857142905
2011-01-20,1950,1970,1880,1905,280045,-0.010389610389610393
2011-01-21,1865,1890,1802,1803,428198,-0.053543307086614145
2011-01-24,1820,1945,1820,1905,383358,0.056572379367720416
2011-01-25,1910,1920,1835,1850,218916,-0.02887139107611547
2011-01-26,1850,1850,1790,1808,150279,-0.022702702702702693
2011-01-27,1835,1890,1802,1875,149432,0.037057522123893794
2011-01-28,1875,1875,1800,1800,159119,-0.040000000000000036
2011-01-31,1825,1825,1700,1753,128044,-0.026111111111111085
2011-02-01,1752,1785,1700,1715,139251,-0.02167712492869367
2011-02-07,1697,1792,1665,1750,150490,0.020408163265306145
2011-02-08,1717,1922,1717,1850,290946,0.05714285714285716
2011-02-09,1857,1887,1757,1770,114860,-0.043243243243243246
2011-02-10,1772,1822,1725,1725,122214,-0.025423728813559365
2011-02-11,1767,1770,1650,1655,182284,-0.04057971014492756
2011-02-14,1670,1725,1655,1700,73699,0.027190332326284095
2011-02-15,1700,1717,1630,1640,109507,-0.03529411764705881
2011-02-16,1650,1855,1640,1835,467012,0.11890243902439024
2011-02-17,1817,1897,1750,1780,269336,-0.02997275204359673
2011-02-18,1855,1855,1772,1800,132012,0.011235955056179803
2011-02-21,1802,1890,1770,1858,241912,0.03222222222222215
2011-02-22,1785,1845,1752,1785,157219,-0.03928955866523143
2011-02-23,1800,1972,1770,1970,426371,0.10364145658263313
2011-02-24,1937,1945,1785,1785,302501,-0.09390862944162437
2011-02-25,1800,1860,1797,1835,149349,0.028011204481792618
2011-02-28,1835,1860,1737,1775,163538,-0.032697547683923744
2011-03-02,1795,1815,1737,1760,91814,-0.008450704225352101
