Date,Open,High,Low,Close,Volume,Change
2011-01-03,3758,3876,3758,3856,77468,0.028266666666666662
2011-01-04,3861,3921,3846,3885,64518,0.007520746887966778
2011-01-05,3891,3982,3847,3939,86328,0.013899613899613916
2011-01-06,3899,3966,3838,3856,98671,-0.02107133790302107
2011-01-07,3869,3982,3861,3985,63467,0.03345435684647313
2011-01-10,3982,4110,3921,3985,126755,0.0
2011-01-11,3982,4052,3907,3939,80517,-0.011543287327478002
2011-01-12,3937,3974,3922,3939,99548,0.0
2011-01-13,3937,3974,3785,3803,148920,-0.034526529576034526
2011-01-14,3816,3906,3785,3885,104082,0.02156192479621355
2011-01-17,3870,3922,3832,3841,77931,-0.011325611325611273
2011-01-18,3831,3937,3770,3864,90398,0.0059880239520957446
2011-01-19,3899,3899,3792,3825,67230,-0.010093167701863304
2011-01-20,3817,3846,3713,3753,117853,-0.018823529411764683
2011-01-21,3721,3808,3721,3742,52472,-0.002930988542499291
2011-01-24,3785,3792,3732,3753,63807,0.0029396044895777518
2011-01-25,3752,3785,3679,3685,91095,-0.018118838262723203
2011-01-26,3710,3778,3665,3712,79584,0.0073270013568520476
2011-01-27,3762,3770,3644,3648,63115,-0.017241379310344862
2011-01-28,3638,3675,3516,3663,82725,0.004111842105263053
2011-01-31,3603,3656,3573,3613,45977,-0.013650013650013615
2011-02-01,3612,3673,3552,3560,66505,-0.014669249930805428
2011-02-07,3559,3589,3464,3470,102976,-0.0252808988764045
2011-02-08,3422,3536,3373,3432,102797,-0.010951008645533111
2011-02-09,3460,3497,3384,3446,30052,0.004079254079254024
2011-02-10,3411,3474,3411,3416,34832,-0.00870574579222283
2011-02-11,3445,3475,3369,3371,69544,-0.01317330210772838
2011-02-14,3337,3384,3296,3299,66089,-0.02135864728567194
2011-02-15,3297,3517,3297,3371,58025,0.021824795392543228
2011-02-16,3369,3596,3338,3560,91170,0.056066449124888784
2011-02-17,3562,3656,3369,3371,78584,-0.05308988764044942
2011-02-18,3399,3512,3384,3516,70027,0.04301394245031154
2011-02-21,3596,3718,3546,3621,150857,0.029863481228668887
2011-02-22,3625,3808,3570,3704,174527,0.02292184479425563
2011-02-23,3643,3729,3562,3609,106158,-0.02564794816414684
2011-02-24,3592,3634,3361,3386,108554,-0.06178996952064286
2011-02-25,3384,3520,3384,3457,55221,0.02096869462492612
2011-02-28,3460,3589,3433,3492,112345,0.010124385305178007
2011-03-02,3491,3512,3422,3492,45646,0.0
2011-03-03,3504,3504,3399,3439,74035,-0.015177548682703268
2011-03-04,3467,3596,3418,3584,74735,0.04216341959872061
2011-03-07,3611,3618,3456,3499,72919,-0.023716517857142905
2011-03-08,3486,3527,3441,3511,57048,0.0034295513003714806
2011-03-09,3517,3573,3460,3473,55430,-0.010823127314155467
2011-03-10,3482,3505,3380,3496,102308,0.0066225165562914245
2011-03-11,3467,3512,3414,3485,77641,-0.0031464530892448828
2011-03-14,3368,3471,3270,3296,123296,-0.05423242467718792
2011-03-15,3274,3349,3001,3136,116654,-0.04854368932038833
2011-03-16,3104,3187,3027,3113,74806,-0.0073341836734693855
2011-03-17,3044,3126,2995,3053,77732,-0.019274012206874414
2011-03-18,3050,3138,3046,3136,80016,0.027186374058303375
2011-03-21,3134,3175,3085,3148,76520,0.003826530612244916
2011-03-22,3202,3229,3133,3139,74010,-0.002858958068615025
2011-03-23,3150,3175,3141,3174,48072,0.011150047785918993
2011-03-24,3167,3210,3119,3129,76173,-0.01417769376181477
2011-03-25,3144,3149,3054,3071,110075,-0.018536273569830564
2011-03-28,3059,3167,3059,3167,88196,0.03126017583848917
