Date,Open,High,Low,Close,Volume,Change
2011-01-03,23572,24067,23572,24015,17364,0.009627511981838088
2011-01-04,24025,24211,23794,24236,18516,0.009202581719758518
2011-01-05,24204,24368,23697,23910,27497,-0.013451064532100987
2011-01-06,24368,24368,23621,23689,20364,-0.009242994562944418
2011-01-07,23596,24068,23508,23521,13309,-0.007091899193718554
2011-01-10,23838,24178,23508,23654,13299,0.005654521491433195
2011-01-11,23401,23916,23401,23557,13032,-0.004100786336349027
2011-01-12,23501,25226,23501,24042,74159,0.020588360147726803
2011-01-13,24024,24211,23508,23521,22061,-0.021670410115630978
2011-01-14,23508,24069,23486,23654,16886,0.005654521491433195
2011-01-17,23669,23987,23669,23980,16402,0.01378202418195662
2011-01-18,23957,24508,23858,24104,21986,0.005170975813177714
2011-01-19,23985,24643,23985,24174,25439,0.0029040823099899526
2011-01-20,24083,24896,24083,24492,24475,0.0131546289401836
2011-01-21,25000,25505,23957,24068,28248,-0.01731177527355876
2011-01-24,24321,24672,23859,24598,20272,0.022020940668107114
2011-01-25,25030,25228,24600,25109,34014,0.02077404667046112
2011-01-26,25120,25701,24998,25242,22977,0.005296905492054638
2011-01-27,25252,25384,24802,25145,11510,-0.00384280167974016
2011-01-28,25255,25355,24739,24951,12149,-0.007715251541061896
2011-01-31,24667,25116,24667,24712,12736,-0.009578774397819734
2011-02-01,24644,24644,21402,24042,22647,-0.02711233408870184
2011-02-07,24023,24409,23924,24015,13263,-0.001123034689293756
2011-02-08,24209,24672,24089,24104,9857,0.003706017072662826
2011-02-09,24205,24643,24150,24174,8515,0.0029040823099899526
2011-02-10,24021,24283,23734,23945,11255,-0.009472987507239128
2011-02-11,23569,25680,23569,23945,41697,0.0
2011-02-14,24508,24706,23629,23742,16937,-0.00847776153685531
2011-02-15,23537,24174,23537,24210,7421,0.019711902956785377
2011-02-16,24864,24864,24150,24174,13556,-0.0014869888475836923
2011-02-17,24061,24368,23302,23460,8571,-0.029535864978902926
2011-02-18,23804,24156,23276,23883,8895,0.018030690537084393
2011-02-21,24178,24673,23803,24686,14716,0.033622241761922744
2011-02-22,24668,26635,24370,25595,69762,0.03682249048043418
2011-02-23,25772,26838,24673,24686,41388,-0.035514748974409094
2011-02-24,24670,25230,23801,23848,21262,-0.03394636636150039
2011-02-25,23854,24502,23800,24527,8805,0.02847198926534711
2011-02-28,24797,25400,24367,24854,20265,0.013332246096138922
2011-03-02,25089,25089,23990,24651,13375,-0.008167699364287406
2011-03-03,24343,24706,24245,24686,11293,0.0014198206969291416
2011-03-04,24698,25500,24698,25074,17009,0.01571741067811705
2011-03-07,25028,25469,24600,24624,16807,-0.017946877243359638
2011-03-08,24644,25083,24469,24624,12502,0.0
2011-03-09,24541,24904,23893,24236,10520,-0.01575698505523071
2011-03-10,24288,24288,23925,24236,7593,0.0
2011-03-11,23860,24123,23628,23883,9794,-0.01456510975408487
2011-03-14,23434,23567,22566,22877,16686,-0.04212201147259553
2011-03-15,22566,23018,20556,21492,20215,-0.060541154871705194
2011-03-16,21294,21657,19394,20901,19514,-0.027498604131769966
2011-03-17,20814,20814,18528,19772,30750,-0.05401655423185492
2011-03-18,19563,20980,19563,20707,17773,0.047289095690876026
2011-03-21,20394,21426,20394,21166,13347,0.022166417153619555
2011-03-22,20972,21852,20972,21360,12065,0.009165643012378322
2011-03-23,21210,21925,21078,21422,5923,0.002902621722846499
2011-03-24,21820,21853,21402,21580,8209,0.007375595182522732
2011-03-25,21278,21760,21278,21554,5299,-0.001204819277108471
2011-03-28,21761,21761,20849,21192,7826,-0.01679502644520736
2011-03-29,21079,21344,20661,20839,10585,-0.016657229143072882
2011-03-30,21071,21105,20654,20866,8822,0.0012956475838572512
2011-03-31,20793,21991,20793,21104,8764,0.01140611521134871
2011-04-01,21531,21926,21343,21642,6693,0.025492797573919646
2011-04-04,21988,22899,21988,22551,13203,0.04200166343221512
2011-04-05,22490,22896,22139,22745,8466,0.00860272271739615
2011-04-06,22897,23886,22721,23460,15613,0.031435480325346266
2011-04-07,23828,23852,23270,23557,3972,0.004134697357203843
2011-04-08,23541,23927,23486,23742,7688,0.007853292015112201
2011-04-11,23952,24151,23734,23812,8976,0.0029483615533654195
2011-04-12,23800,24151,23085,23363,10427,-0.018856038971946876
2011-04-13,23405,23922,23154,23486,6971,0.005264734837135743
2011-04-14,23483,23988,23372,23398,6872,-0.003746913054585743
2011-04-15,23806,24455,23279,24457,9543,0.04526027865629545
2011-04-18,24453,24902,24245,24686,9845,0.00936337244960539
2011-04-19,25030,25537,24119,24210,15007,-0.01928218423397876
2011-04-20,24338,24569,23854,24395,5735,0.007641470466749345
2011-04-21,24403,24702,23834,24210,6130,-0.0075835212133633645
2011-04-22,24119,24504,23438,23980,7344,-0.00950020652622885
2011-04-25,23405,23955,23405,23486,8025,-0.020600500417014223
