Date,Open,High,Low,Close,Volume,Change
2011-01-03,3341,3380,3312,3366,236568,0.008992805755395628
2011-01-04,3467,3642,3428,3487,1226701,0.03594771241830075
2011-01-05,3491,3924,3443,3798,2542145,0.08918841410954981
2011-01-06,3749,3822,3690,3701,657965,-0.02553975776724593
2011-01-07,3695,3807,3695,3720,582213,0.005133747635774011
2011-01-10,3836,3880,3754,3846,851288,0.03387096774193554
2011-01-11,3890,4093,3686,3686,4766452,-0.04160166406656263
2011-01-12,3700,3933,3652,3885,1212805,0.05398806294085734
2011-01-13,3933,4448,3856,4361,5019861,0.1225225225225226
2011-01-14,4375,4385,4123,4366,1350847,0.0011465260261407373
2011-01-17,4361,4390,4181,4181,653829,-0.0423728813559322
2011-01-18,4176,4220,3958,3968,839131,-0.050944750059794264
2011-01-19,4011,4123,3885,4123,1015164,0.0390625
2011-01-20,4079,4293,4040,4293,1083722,0.04123211253941306
2011-01-21,4336,4336,4079,4177,674300,-0.027020731423247124
2011-01-24,4176,4191,3846,3846,787604,-0.0792434761790759
2011-01-25,3885,3933,3647,3769,818191,-0.02002080083203328
2011-01-26,3792,3846,3724,3807,327766,0.010082249933669463
2011-01-27,3836,3856,3729,3769,302749,-0.009981612818492303
2011-01-28,3773,3846,3545,3594,654638,-0.04643141416821439
2011-01-31,3603,3763,3545,3720,554413,0.03505843071786319
2011-02-01,3783,3826,3642,3822,434499,0.02741935483870961
2011-02-07,3802,4011,3797,3987,723821,0.043171114599686033
2011-02-08,4030,4186,3972,4167,1161272,0.04514672686230248
2011-02-09,4064,4093,3904,3963,1252446,-0.048956083513318926
2011-02-10,4021,4108,3962,4007,666546,0.011102699974766539
2011-02-11,4079,4210,3992,4031,1494632,0.005989518342899958
2011-02-14,4001,4273,3826,4274,1134175,0.060282808236169716
2011-02-15,4302,4370,4195,4371,1571747,0.02269536733738886
2011-02-16,4395,5021,4336,5022,4251041,0.14893617021276606
2011-02-17,5031,5128,4273,4274,7972100,-0.1489446435682995
2011-02-18,4341,4399,4108,4366,2583515,0.021525503041647243
2011-02-21,4458,4773,4448,4609,5204911,0.055657352267521665
2011-02-22,4467,5147,4375,4750,3849724,0.030592319375135624
2011-02-23,4788,5041,4506,4584,3395738,-0.034947368421052616
2011-02-24,4589,4788,4414,4419,2226142,-0.03599476439790572
2011-02-25,4574,5050,4492,4526,4378985,0.024213622991626993
2011-02-28,4531,4613,4283,4283,1355032,-0.0536897923110915
2011-03-02,4137,4249,3933,3987,1036936,-0.06911043660985294
2011-03-03,4026,4157,4026,4109,884667,0.030599448206671598
2011-03-04,4186,4249,4084,4201,870473,0.022389875882209864
2011-03-07,4176,4239,4045,4070,672912,-0.031183051654367966
2011-03-08,4060,4336,4060,4254,1045465,0.04520884520884527
2011-03-09,4268,4375,4157,4157,818874,-0.02280206864127876
2011-03-10,4205,4254,4074,4254,722042,0.023334135193649352
2011-03-11,4191,4370,4127,4322,981702,0.015984955336154183
2011-03-14,4273,4302,3729,3861,1244602,-0.10666358167515044
2011-03-15,3797,3943,3355,3594,1191536,-0.06915306915306918
2011-03-16,3593,3671,3550,3599,622007,0.0013912075681692393
2011-03-17,3642,3890,3603,3701,1295995,0.028341205890525245
2011-03-18,3768,3768,3681,3701,518064,0.0
2011-03-21,3754,4026,3734,3934,1180031,0.06295595784923003
2011-03-22,3967,3982,3846,3856,559200,-0.019827147941026912
2011-03-23,3972,4351,3890,4128,4442181,0.0705394190871369
2011-03-24,4108,4123,3953,3987,872812,-0.03415697674418605
2011-03-25,4026,4210,3987,3987,992535,0.0
2011-03-28,4035,4089,3943,3948,508075,-0.009781790820165503
2011-03-29,3982,4026,3885,3895,431073,-0.01342451874366768
2011-03-30,3943,3948,3841,3875,519752,-0.005134788189987138
2011-03-31,3914,3982,3875,3982,403900,0.027612903225806562
2011-04-01,4011,4045,3938,3963,380971,-0.004771471622300405
2011-04-04,3962,4021,3938,4002,383173,0.009841029523088629
2011-04-05,4064,4259,4021,4021,1910854,0.004747626186906606
2011-04-06,4026,4069,3953,3987,568071,-0.008455608057697073
2011-04-07,3987,4050,3933,4021,605957,0.008527715073990416
2011-04-08,4021,4050,3933,3943,474653,-0.019398159661775716
2011-04-11,3958,4205,3933,4099,1584995,0.03956378392087245
2011-04-12,4089,4089,3856,3871,952784,-0.05562332276164916
2011-04-13,3885,3943,3822,3885,414038,0.003616636528029016
2011-04-14,3919,4006,3875,3885,512880,0.0
2011-04-15,3890,3977,3885,3895,316382,0.002574002574002643
2011-04-18,3914,3972,3836,3837,427705,-0.014890885750962757
2011-04-19,3788,3875,3754,3769,473410,-0.017722178785509524
2011-04-20,3836,3851,3744,3749,367481,-0.005306447333510267
2011-04-21,3797,3797,3598,3603,588427,-0.038943718324886634
2011-04-22,3593,3637,3491,3536,496636,-0.018595614765473223
2011-04-25,3525,3618,3511,3511,262455,-0.00707013574660631
2011-04-26,3457,3501,3365,3380,576633,-0.03731130731985188
2011-04-27,3428,3491,3370,3429,320743,0.014497041420118428
2011-04-28,3423,3516,3404,3438,189284,0.002624671916010568
2011-04-29,3428,3472,3302,3312,294397,-0.03664921465968585
2011-05-02,3316,3428,3316,3429,198219,0.03532608695652173
2011-05-03,3462,3496,3414,3434,212776,0.0014581510644502416
2011-05-04,3399,3486,3399,3463,196485,0.008444962143273171
2011-05-06,3472,3477,3404,3429,206932,-0.009818076812012744
2011-05-09,3433,3554,3423,3424,260771,-0.0014581510644502416
2011-05-11,3399,3452,3355,3380,212121,-0.012850467289719614
2011-05-12,3331,3370,3312,3322,192081,-0.017159763313609466
2011-05-13,3326,3360,3302,3307,142056,-0.004515352197471456
2011-05-16,3268,3467,3263,3390,450682,0.025098276383429097
2011-05-17,3389,3486,3346,3400,276295,0.002949852507374562
2011-05-18,3399,3467,3360,3424,238530,0.007058823529411784
2011-05-19,3545,3627,3302,3327,1108247,-0.02832943925233644
2011-05-20,3326,3360,3176,3205,403239,-0.03666967237751728
2011-05-23,3161,3219,2991,3011,396283,-0.06053042121684871
2011-05-24,2928,3074,2928,3035,231853,0.007970773829292677
2011-05-25,3035,3078,2962,2982,230841,-0.017462932454695212
2011-05-26,2986,3127,2986,3079,189285,0.032528504359490285
2011-05-27,3127,3127,3030,3030,133732,-0.0159142578759337
2011-05-30,3088,3127,3006,3011,141993,-0.006270627062706313
2011-05-31,3011,3078,3011,3040,113178,0.009631351710395197
2011-06-01,3059,3127,3040,3074,175189,0.011184210526315796
2011-06-02,3006,3244,2991,3021,635811,-0.017241379310344862
2011-06-03,3040,3088,2977,2982,114967,-0.012909632571996066
