Date,Open,High,Low,Close,Volume,Change
2018-12-26,18036,18562,13376,18287,3025901,
2018-12-27,18211,19514,15681,15681,1385880,-0.14250560507464316
2018-12-28,15681,16533,14779,14855,1099929,-0.052675212040048436
2019-01-02,14904,16783,14479,15130,1047401,0.01851228542578265
2019-01-03,16583,16984,15030,15080,737825,-0.0033046926635822427
2019-01-04,14804,14904,13953,14204,316084,-0.05809018567639257
2019-01-07,14228,14378,13802,14103,194077,-0.00711067304984514
2019-01-08,14103,15405,14028,14604,492349,0.03552435651988928
2019-01-09,14679,15005,14554,14755,182064,0.010339632977266477
2019-01-10,15606,15706,14454,14454,301787,-0.0203998644527279
2019-01-11,14328,14454,14128,14128,84378,-0.022554310225543106
2019-01-14,13927,14053,13477,13577,119599,-0.03900056625141568
2019-01-15,13702,13852,13477,13627,64120,0.0036826986815938767
2019-01-16,13627,13652,12525,12776,165918,-0.062449548690100554
2019-01-17,12700,12775,12024,12024,121841,-0.058860363180964326
2019-01-18,12149,12324,11698,12049,74907,0.0020791749833666273
2019-01-21,12049,12224,11848,12149,45554,0.008299443937256124
2019-01-22,12399,12675,12174,12225,55018,0.006255658901967331
2019-01-23,12149,12174,11898,12024,35473,-0.016441717791411015
2019-01-24,12024,12024,11648,11824,40094,-0.016633399866932796
2019-01-25,11923,12149,11748,11974,35618,0.012686062246278773
2019-01-28,12124,13301,12024,12926,188113,0.07950559545682312
2019-01-29,12925,12951,12324,12325,62982,-0.04649543555624325
2019-01-30,12550,12650,12174,12225,46183,-0.008113590263691739
2019-01-31,12374,12825,12074,12826,40206,0.04916155419222901
2019-02-01,12925,13176,12525,12826,85743,0.0
2019-02-07,12825,13051,12625,12801,23263,-0.0019491657570559484
2019-02-08,12525,12750,12374,12375,38461,-0.033278650105460494
2019-02-11,12525,13251,12424,13151,98227,0.06270707070707071
2019-02-12,13251,13577,12900,13026,58977,-0.009504980609839508
2019-02-13,13101,13326,12850,13327,37759,0.023107630892062136
2019-02-14,13226,13426,12925,13076,34238,-0.01883394612440914
2019-02-15,13076,13201,12775,12801,22924,-0.02103089629856225
2019-02-18,12800,12951,12675,12701,37062,-0.007811889696117458
2019-02-19,12875,13076,12775,12976,26519,0.02165183843791829
2019-02-20,13226,13226,12725,13026,27937,0.0038532675709002095
2019-02-21,13101,13902,12725,13677,123445,0.0499769691386458
2019-02-22,13527,13777,13401,13552,69875,-0.00913943116180449
2019-02-25,13877,14353,13802,14279,143862,0.05364521841794567
2019-02-26,14428,14754,14028,14679,104320,0.02801316618810845
2019-02-27,14779,14804,14454,14579,60866,-0.006812453164384502
2019-02-28,14403,14829,13827,14078,71672,-0.034364496879072615
2019-03-04,14504,14779,14278,14504,42341,0.030259980110811213
2019-03-05,14629,15280,14328,15206,120477,0.048400441257584026
2019-03-06,15205,15255,14529,14529,44031,-0.04452189925029593
2019-03-07,14378,14929,14053,14554,40000,0.0017206965379585881
2019-03-08,14454,15380,14454,15281,106734,0.049951903256836516
2019-03-11,15280,16257,15080,15982,127871,0.045873961128198415
2019-03-12,16357,16483,15430,15832,111650,-0.009385558753597811
2019-03-13,15931,17535,15731,16909,240530,0.06802678120262762
2019-03-14,16934,17409,16733,17034,74213,0.007392512862972378
2019-03-15,17485,20541,17134,18788,1049794,0.10297052952917696
2019-03-18,18737,23096,18737,21844,1091100,0.1626570151160316
2019-03-19,21919,22620,21217,21844,371006,0.0
2019-03-20,22420,22445,20190,21042,407669,-0.03671488738326312
2019-03-21,21042,21468,20215,21293,217124,0.011928523904571886
2019-03-22,21092,21242,20140,20191,161880,-0.05175409759075755
2019-03-25,19589,20390,19363,19690,209298,-0.024813035510871218
2019-03-26,19965,20691,19564,20491,202316,0.0406805485017776
2019-03-27,20942,21919,19589,19740,316496,-0.03665023668927825
2019-03-28,19714,19940,18587,18888,106170,-0.04316109422492398
2019-03-29,18737,19213,18286,18838,116233,-0.00264718339686576
2019-04-01,19038,20340,19038,19790,120589,0.050536150334430374
2019-04-02,19814,19940,19113,19214,70087,-0.02910560889338054
2019-04-03,19213,19363,18887,18988,53103,-0.011762256687831818
2019-04-04,19188,19664,19013,19289,73174,0.01585211712660617
2019-04-05,19439,19464,17961,18011,122414,-0.06625537871325626
2019-04-08,17860,18712,17309,18688,141422,0.0375881405807561
2019-04-09,18687,18938,18111,18337,45922,-0.018782106164383583
2019-04-10,18336,19263,18136,19063,85842,0.039592081583683214
2019-04-11,19288,19489,19063,19414,76085,0.018412631799821666
2019-04-12,19413,19439,19038,19189,48240,-0.011589574533841573
2019-04-15,19313,19338,18311,18537,73624,-0.033977799781124585
2019-04-16,18537,18737,17860,18487,64493,-0.0026973080865296817
2019-04-17,18487,19664,18487,18788,149998,0.016281711472927007
2019-04-18,18712,18787,17835,17836,173280,-0.05067064083457529
2019-04-19,17986,18236,17735,17736,50379,-0.005606638259699537
2019-04-22,17635,18086,17585,17660,27744,-0.004285069914298556
2019-04-23,17610,18386,17485,18387,60556,0.04116647791619488
2019-04-24,18386,18612,17936,17961,52076,-0.02316854299233151
2019-04-25,17986,18086,17485,17510,26396,-0.02510996046990699
2019-04-26,17234,17585,16683,17009,62725,-0.02861222158766419
2019-04-29,17009,17334,16934,17084,19934,0.004409430301605122
2019-04-30,17109,17735,17009,17385,30027,0.017618824631233876
2019-05-02,17384,17810,17309,17711,28148,0.018751797526603387
2019-05-03,17785,17785,17209,17360,33563,-0.019818192084015585
2019-05-07,17009,17610,16883,17159,18586,-0.011578341013824933
2019-05-08,17359,18186,17184,17610,102610,0.026283582959379936
2019-05-09,17735,17835,16382,16884,60600,-0.041226575809199306
2019-05-10,16758,16984,15856,16132,43624,-0.044539208718313184
2019-05-13,15982,16282,15180,15180,57264,-0.059013141581948925
2019-05-14,14779,15706,14654,15331,46455,0.00994729907773384
2019-05-15,15731,15957,14929,15431,36269,0.00652273172004425
2019-05-16,15405,15656,15105,15105,21892,-0.021126304192858547
2019-05-17,15180,15531,15030,15105,28120,0.0
2019-05-20,15005,15506,14779,15030,18582,-0.0049652432969214955
2019-05-21,15055,15756,15055,15707,33522,0.045043246839653994
2019-05-22,15681,16132,15681,15782,22758,0.004774941109059627
2019-05-23,15681,16207,15380,15707,33968,-0.004752249398048414
2019-05-24,15706,15706,15030,15431,23759,-0.01757178328133957
2019-05-27,15380,15831,15130,15832,22293,0.025986650249497867
2019-05-28,15831,16082,15681,15957,15048,0.007895401718039485
2019-05-29,15881,16232,15230,15531,17861,-0.026696747508930252
2019-05-30,15481,15706,14955,15556,22813,0.0016096838580903494
2019-05-31,15556,16032,15430,15807,21848,0.016135253278477757
2019-06-03,15781,15856,15456,15581,10481,-0.014297463149237633
2019-06-04,15581,15781,15130,15281,20224,-0.019254219883191093
2019-06-05,15481,15481,14955,15030,28509,-0.016425626595118148
2019-06-07,15030,15230,14904,15105,23430,0.004990019960079861
2019-06-10,15230,15255,14654,14654,25583,-0.0298576630254882
2019-06-11,14729,14955,14654,14780,20322,0.008598334925617568
2019-06-12,14704,15155,14704,14830,22190,0.003382949932341006
2019-06-13,14854,15506,14804,15381,38264,0.03715441672285902
2019-06-14,15481,15556,14879,14930,21818,-0.029321890644301463
2019-06-17,15055,15205,14178,14178,39388,-0.05036838580040193
2019-06-18,14278,14328,13301,13452,49771,-0.05120609394837072
2019-06-19,13552,14754,13552,14153,43366,0.05211121022896226
2019-06-20,14153,15105,14028,14930,39088,0.05490002119691928
2019-06-21,14929,15380,14729,14830,20677,-0.0066979236436705
2019-06-24,14704,14829,14403,14554,14213,-0.01861092380310181
2019-06-25,14403,15681,14403,15331,57773,0.05338738491136463
2019-06-26,15155,15330,14529,14529,28548,-0.05231230839475576
2019-06-27,14529,17535,14529,15231,369477,0.04831715878587661
2019-06-28,15506,15831,14980,15231,52793,0.0
2019-07-01,15180,15706,14879,15130,35512,-0.006631212658394059
2019-07-02,15030,15330,14904,15180,28637,0.0033046926635822427
2019-07-03,15155,15330,14729,14855,20611,-0.02140974967061926
2019-07-04,14604,14879,13802,14404,43996,-0.030360148098283357
2019-07-05,14228,14529,14078,14379,18805,-0.0017356289919466805
2019-07-08,14203,14479,13627,13778,23705,-0.04179706516447601
2019-07-09,13577,14053,13201,13202,25540,-0.04180577732617219
2019-07-10,13226,13652,13226,13402,13940,0.015149219815179471
2019-07-11,13376,13552,13151,13327,20815,-0.0055961796746754056
2019-07-12,13176,13226,12675,12876,40500,-0.03384107451039242
2019-07-15,12875,13051,12575,13051,17660,0.013591177384280728
2019-07-16,12925,13076,12800,13076,6948,0.0019155620258983763
2019-07-17,13026,13927,12951,13252,21775,0.013459773631079752
2019-07-18,13076,13376,13026,13051,11649,-0.015167521883489243
2019-07-19,13001,13251,12925,13101,7486,0.0038311240517967526
2019-07-22,13101,13326,12976,13101,7888,0.0
2019-07-23,13026,13226,12951,12976,5579,-0.009541256392641806
2019-07-24,12875,13076,12575,12876,10372,-0.007706535141800197
2019-07-25,12675,12875,12500,12675,11895,-0.015610438024231121
2019-07-26,12625,12725,12024,12625,12235,-0.0039447731755424265
2019-07-29,12424,12625,11748,11924,18349,-0.055524752475247574
2019-07-30,11523,12174,11523,11924,9228,0.0
2019-07-31,11773,13452,11447,11949,40906,0.0020966118752097085
2019-08-01,11999,12299,11748,12149,16482,0.01673780232655453
2019-08-02,11723,11974,11623,11949,14320,-0.01646226026833486
2019-08-05,11798,11823,10521,10521,31537,-0.11950790861159932
2019-08-06,9995,10546,9594,10020,43177,-0.04761904761904767
2019-08-07,10045,10370,9919,10045,16774,0.0024950099800398196
2019-08-08,10170,10771,10070,10446,58411,0.03992035838725738
2019-08-09,10445,10646,10320,10421,15511,-0.0023932605782117644
2019-08-12,10420,10871,10320,10696,10388,0.02638902216677863
2019-08-13,10471,10721,10345,10521,6939,-0.0163612565445026
2019-08-14,10721,11122,10471,10947,22202,0.04049044767607635
2019-08-16,10746,10896,10596,10772,9764,-0.01598611491732893
2019-08-19,10771,11022,10596,10696,7146,-0.007055328629780866
2019-08-20,10646,10997,10596,10872,9503,0.01645474943904257
2019-08-21,10896,11798,10696,11122,49725,0.022994849153789465
2019-08-22,11122,11397,10946,10947,20833,-0.01573458011149076
2019-08-23,10946,11197,10796,11022,10968,0.006851192107426796
2019-08-26,10846,10846,10245,10446,15393,-0.0522591181273816
2019-08-27,10621,10621,10270,10321,7263,-0.011966302891058822
2019-08-28,10471,11022,10270,10972,19501,0.06307528340277102
2019-08-29,10871,11222,10721,11047,19562,0.006835581480131303
2019-08-30,11272,11548,11022,11298,25488,0.022721100751335266
2019-09-02,11297,11498,11147,11348,13149,0.004425562046379783
2019-09-03,11347,11473,11222,11373,8626,0.0022030313711667304
2019-09-04,11473,11974,11347,11949,27413,0.05064626747560008
2019-09-05,12024,12174,11447,11673,15677,-0.023098167210645282
2019-09-06,11673,11898,11523,11623,9518,-0.00428338901739056
2019-09-09,11748,11748,11247,11348,6477,-0.023659984513464627
2019-09-10,11347,11473,11172,11348,7338,0.0
2019-09-11,11247,11498,11172,11398,4572,0.004406062742333461
2019-09-16,11523,11523,11272,11423,8559,0.002193367257413481
2019-09-17,11272,11898,11147,11899,24105,0.04167031427821066
2019-09-18,11898,11923,11698,11749,15457,-0.012606101353054844
2019-09-19,11748,11848,11573,11698,11029,-0.004340794961273264
2019-09-20,11898,11898,11473,11573,12052,-0.010685587279876896
2019-09-23,11422,11823,11147,11172,10607,-0.034649615484317
2019-09-24,11247,11422,11122,11348,7810,0.01575366988900817
2019-09-25,11347,11898,10997,10997,28268,-0.03093056045118081
2019-09-26,10997,11222,10546,10847,13625,-0.013640083659179791
2019-09-27,10921,10921,10596,10772,2119,-0.00691435419931774
2019-09-30,10671,10821,10546,10546,5918,-0.020980319346453724
2019-10-01,10521,10972,10521,10671,4872,0.011852835198179479
2019-10-02,10571,10946,10571,10671,4123,0.0
2019-10-04,10596,10871,10521,10772,5375,0.0094649048823916
2019-10-07,10746,11147,10746,10922,13968,0.013924990716672747
2019-10-08,10946,10997,10771,10972,7162,0.0045779161325765205
2019-10-10,10972,11247,10771,11223,12542,0.022876412686839265
2019-10-11,11297,11322,10972,10972,7243,-0.022364786598948583
2019-10-14,11022,11097,10871,10972,6694,0.0
2019-10-15,11047,11197,10871,11197,8700,0.020506744440393687
2019-10-16,11397,11397,11122,11248,7480,0.004554791461998775
2019-10-17,11272,11473,11097,11423,11274,0.015558321479374193
2019-10-18,11473,11498,11272,11498,9028,0.006565700779129768
2019-10-21,11498,11498,11297,11398,10220,-0.008697164724299933
2019-10-22,11397,11498,11222,11323,10016,-0.006580101772240776
2019-10-23,11247,12349,11197,12300,82017,0.08628455356354325
2019-10-24,12299,12399,11773,11974,29358,-0.026504065040650393
2019-10-25,11999,12074,11523,11598,19611,-0.03140136963420748
2019-10-28,11598,11748,11372,11698,14928,0.00862217623728223
2019-10-29,11623,11648,11322,11498,19474,-0.01709693964780301
2019-10-30,11498,11498,10972,11273,17030,-0.019568620629674682
2019-10-31,11272,11473,10921,11423,11212,0.013306129690410673
2019-11-01,11372,11548,11272,11523,7594,0.008754267705506358
2019-11-04,11598,11698,11422,11648,11587,0.010847869478434413
2019-11-05,11648,12174,11523,11949,28972,0.025841346153846256
2019-11-06,11948,12149,11573,11573,20447,-0.031467068373922547
2019-11-07,11573,14980,11573,13703,1266444,0.18404907975460127
2019-11-08,13326,13702,13076,13227,227543,-0.03473691892286357
2019-11-11,13502,15255,13301,13978,1168399,0.056777802978755565
2019-11-12,13777,14028,13326,14028,131020,0.00357704964944916
2019-11-13,13902,14178,13226,13352,93786,-0.04818933561448535
2019-11-14,13301,14103,12650,13126,219226,-0.016926303175554214
2019-11-15,13051,13301,12775,13302,55799,0.013408502209355522
2019-11-18,13176,13301,12875,13001,29127,-0.02262817621410318
2019-11-19,13076,13101,12525,12776,54184,-0.017306361049150065
2019-11-20,12750,13627,12424,12726,275111,-0.0039135879774577775
2019-11-21,12900,13702,12500,12801,234153,0.005893446487506004
2019-11-22,12725,12925,12525,12826,66638,0.0019529724240294755
2019-11-25,12900,13452,12900,13076,60617,0.019491657570559706
2019-11-26,13026,13301,12976,13302,50439,0.01728357295809113
2019-11-27,13577,13577,12850,12851,49636,-0.03390467598857316
2019-11-28,12700,12900,12049,12174,65340,-0.05268072523539025
2019-11-29,12124,12274,12024,12250,27029,0.006242812551338961
2019-12-02,12174,12475,12099,12250,25265,0.0
2019-12-03,12249,12424,11873,11924,39376,-0.026612244897959214
2019-12-04,11823,11873,11447,11498,40264,-0.03572626635357268
2019-12-05,11498,11748,11047,11047,38935,-0.039224212906592504
2019-12-06,11047,11473,11047,11473,25895,0.03856250565764463
2019-12-09,11598,11923,11197,11749,33264,0.024056480432319338
2019-12-10,11773,11798,11447,11523,17402,-0.0192356796323091
2019-12-11,11473,12074,11473,11749,27392,0.019612948017009524
2019-12-12,11648,12475,11623,11849,51493,0.008511362669163303
2019-12-13,12049,12049,11723,11949,19470,0.008439530762089698
2019-12-16,11848,12174,11773,11824,18963,-0.010461126454096581
2019-12-17,11848,12024,11673,11724,12858,-0.008457374830852515
2019-12-18,11648,11848,11648,11774,13248,0.004264756055953667
2019-12-19,11698,12099,11698,11774,17442,0.0
2019-12-20,11723,11999,11523,11598,15651,-0.014948190929165994
2019-12-23,11598,11673,11247,11248,29423,-0.03017761683048803
2019-12-24,11422,11422,11072,11122,17632,-0.01120199146514933
2019-12-26,11072,11272,11022,11223,24788,0.009081100521489027
2019-12-27,11322,11473,11222,11473,27213,0.022275683863494544
2019-12-30,11623,11648,11322,11598,21952,0.010895145123333005
2020-01-02,11623,11748,11523,11724,34918,0.010863942058975784
2020-01-03,11673,12024,11573,11924,65603,0.017059024223814445
2020-01-06,11823,11823,11372,11473,62056,-0.037822878228782275
2020-01-07,11573,11823,11523,11598,24419,0.010895145123333005
2020-01-08,11598,11773,10871,10897,52489,-0.06044145542334889
2020-01-09,11097,11447,11097,11323,17649,0.0390933284390198
2020-01-10,11322,11523,11197,11373,12454,0.004415790868144587
2020-01-13,11573,14479,11498,12876,1173525,0.132155104194144
2020-01-14,12775,12825,12324,12776,175336,-0.00776638707673194
2020-01-15,12875,13176,12424,12550,156965,-0.01768941765810894
2020-01-16,12625,12625,12224,12325,45441,-0.017928286852589626
2020-01-17,12475,12475,12199,12275,31534,-0.0040567951318458695
2020-01-20,12224,12525,12199,12199,43884,-0.006191446028513292
2020-01-21,12299,12450,11823,11874,33117,-0.026641527994097913
2020-01-22,11798,12500,11798,12124,23805,0.02105440458143848
2020-01-23,12124,12274,11923,12124,16638,0.0
2020-01-28,11698,12374,11347,12275,59296,0.01245463543385017
2020-01-29,12274,12399,12074,12225,36040,-0.004073319755600768
2020-01-30,12074,12324,11648,11999,36994,-0.0184867075664622
2020-01-31,11848,11948,11297,11298,34156,-0.05842153512792736
