Date,Open,High,Low,Close,Volume,Change
2011-01-03,16400,16700,16050,16100,44122,0.02547770700636942
2011-01-04,16150,16150,15650,15950,21412,-0.009316770186335366
2011-01-05,16000,16850,15950,16300,32690,0.021943573667711602
2011-01-06,16100,16250,16000,16200,13829,-0.006134969325153339
2011-01-07,16150,16850,16000,16700,37420,0.030864197530864113
2011-01-10,17450,19100,17450,17900,550869,0.0718562874251496
2011-01-11,18550,18700,17000,17350,254144,-0.030726256983240274
2011-01-12,17950,19950,17900,19950,461934,0.1498559077809798
2011-01-13,19900,19950,17200,18300,834547,-0.08270676691729328
2011-01-14,18050,18250,17400,18050,165013,-0.013661202185792365
2011-01-17,18250,18250,16750,16800,132453,-0.06925207756232687
2011-01-18,16850,17800,16800,16900,669653,0.005952380952380931
2011-01-19,17300,17550,16500,16900,85670,0.0
2011-01-20,16750,17200,16600,17000,51620,0.00591715976331364
2011-01-21,17300,17350,16200,16450,50123,-0.032352941176470584
2011-01-24,16650,16750,16250,16400,33386,-0.003039513677811523
2011-01-25,16500,16950,16200,16250,48848,-0.009146341463414642
2011-01-26,16300,16350,15900,16350,47541,0.006153846153846176
2011-01-27,16350,16400,15950,16250,42600,-0.006116207951070374
2011-01-28,16300,16850,16150,16750,58410,0.03076923076923066
2011-01-31,16900,16900,16200,16700,34110,-0.0029850746268657025
2011-02-01,16650,16750,16200,16650,27816,-0.0029940119760478723
2011-02-07,16550,16800,16450,16550,21340,-0.006006006006005982
2011-02-08,16550,16700,16300,16500,14653,-0.0030211480362537513
2011-02-09,16500,16600,16300,16550,12090,0.003030303030302939
2011-02-10,16650,16650,16200,16500,17530,-0.0030211480362537513
2011-02-11,16500,16650,16450,16550,20230,0.003030303030302939
2011-02-14,16650,16850,16600,16800,16168,0.015105740181268867
2011-02-15,17100,19200,17100,18900,321988,0.125
2011-02-16,19300,20800,17600,17950,590408,-0.050264550264550234
2011-02-17,18000,18000,16300,17350,124533,-0.03342618384401119
2011-02-18,17250,17800,17050,17500,46436,0.008645533141210304
2011-02-21,17300,19300,17200,17900,153943,0.02285714285714291
2011-02-22,17600,17900,17100,17250,41349,-0.03631284916201116
2011-02-23,16950,17300,16500,17100,50500,-0.008695652173912993
2011-02-24,16850,17100,16550,16700,29601,-0.023391812865497075
2011-02-25,16700,16950,16450,16850,21750,0.008982035928143617
2011-02-28,16600,17700,16600,16900,33124,0.0029673590504450953
2011-03-02,16900,16950,16650,16850,19725,-0.00295857988165682
2011-03-03,16850,17500,16850,17150,25212,0.017804154302670572
2011-03-04,17200,17400,17050,17350,14810,0.011661807580174877
2011-03-07,17600,18000,17350,17350,22961,0.0
2011-03-08,17650,19100,17650,17900,155978,0.03170028818443793
2011-03-09,18150,18400,17300,17350,42855,-0.030726256983240274
2011-03-10,17350,18850,17350,18200,67211,0.04899135446685876
2011-03-11,18000,19000,18000,18400,64820,0.01098901098901095
2011-03-14,19000,21150,18200,21150,448084,0.14945652173913038
2011-03-15,22900,23000,18000,19050,412934,-0.099290780141844
2011-03-16,19350,21900,19100,19700,777081,0.034120734908136496
2011-03-17,19350,21200,19050,19300,268883,-0.02030456852791873
2011-03-18,19700,19750,18400,19000,129238,-0.015544041450777257
2011-03-21,19100,19200,18450,18900,62278,-0.0052631578947368585
2011-03-22,19750,21200,19350,19500,460762,0.031746031746031855
2011-03-23,19200,19500,18750,19100,100741,-0.02051282051282055
2011-03-24,19200,19350,18600,19200,66410,0.005235602094240788
2011-03-25,19300,20250,19300,19900,84880,0.03645833333333326
2011-03-28,20200,20900,19500,19500,191561,-0.02010050251256279
2011-03-29,19400,19450,18500,19000,94451,-0.02564102564102566
2011-03-30,18900,19100,18550,19050,58564,0.002631578947368318
2011-03-31,19150,20250,19000,19000,81051,-0.002624671916010457
2011-04-01,19300,19500,19000,19300,27430,0.015789473684210575
2011-04-04,19550,19600,18600,18750,42539,-0.02849740932642486
2011-04-05,18900,19000,18500,18600,54870,-0.008000000000000007
2011-04-06,18650,18650,17650,18500,104160,-0.005376344086021501
2011-04-07,18450,18750,17850,18700,51656,0.0108108108108107
2011-04-08,18900,19050,18400,19000,29844,0.016042780748663166
2011-04-11,19000,19000,18650,18700,12470,-0.015789473684210575
2011-04-12,18700,18900,18300,18750,16280,0.002673796791443861
2011-04-13,18550,18750,18350,18550,15121,-0.010666666666666713
2011-04-14,18500,18700,18400,18550,25940,0.0
2011-04-15,18550,18800,18400,18600,27290,0.0026954177897573484
2011-04-18,19050,19050,18600,18600,23833,0.0
