Date,Open,High,Low,Close,Volume,Change
2011-01-03,3679,3679,3589,3607,65969,-0.008793624622148943
2011-01-04,3661,3661,3589,3616,96340,0.002495148322705809
2011-01-05,3625,3625,3557,3562,63675,-0.014933628318584025
2011-01-06,3552,3593,3502,3503,81900,-0.01656372824256036
2011-01-07,3498,3552,3493,3498,50151,-0.0014273479874393757
2011-01-10,3498,3525,3489,3503,54210,0.0014293882218410214
2011-01-11,3525,3525,3484,3498,37020,-0.0014273479874393757
2011-01-12,3502,3607,3502,3530,135605,0.00914808461978267
2011-01-13,3539,3584,3507,3548,57248,0.005099150141643083
2011-01-14,3539,3570,3507,3553,23683,0.0014092446448703555
2011-01-17,3575,3625,3534,3557,104075,0.0011258091753447719
2011-01-18,3561,3593,3521,3521,49833,-0.010120888389091975
2011-01-19,3580,3584,3498,3498,73105,-0.006532235160465749
2011-01-20,3489,3525,3462,3467,38720,-0.00886220697541451
2011-01-21,3448,3484,3425,3444,63701,-0.006633977502163213
2011-01-24,3421,3480,3407,3430,44634,-0.004065040650406471
2011-01-25,3448,3457,3407,3435,40118,0.001457725947521915
2011-01-26,3462,3462,3398,3399,36362,-0.010480349344978213
2011-01-27,3435,3435,3357,3358,34631,-0.012062371285672224
2011-01-28,3367,3493,3357,3363,75916,0.0014889815366290193
2011-01-31,3353,3357,3271,3276,54547,-0.025869759143621773
2011-02-01,3308,3326,3226,3285,77683,0.0027472527472527375
2011-02-07,3285,3321,3271,3308,55998,0.007001522070015254
2011-02-08,3335,3344,3290,3335,35021,0.008162031438935902
2011-02-09,3326,3439,3321,3363,33450,0.008395802098950522
2011-02-10,3308,3362,3299,3299,27673,-0.019030627415997592
2011-02-11,3299,3335,3258,3258,19553,-0.012428008487420428
2011-02-14,3262,3294,3199,3267,36578,0.0027624309392264568
2011-02-15,3262,3290,3190,3227,51378,-0.012243648607284996
2011-02-16,3226,3262,3149,3172,33096,-0.017043693833281637
2011-02-17,3163,3199,3009,3014,61769,-0.04981084489281207
2011-02-18,3045,3045,2959,3023,65196,0.0029860650298605407
2011-02-21,3045,3054,3013,3032,32464,0.0029771749917300028
2011-02-22,2995,3049,2918,2937,73675,-0.031332453825857476
2011-02-23,2931,2972,2900,2909,30292,-0.009533537623425237
2011-02-24,2959,2990,2882,2964,62247,0.01890684083877625
2011-02-25,2995,2999,2941,2941,15692,-0.007759784075573539
2011-02-28,2931,2959,2891,2891,32017,-0.01700102006120363
2011-03-02,2773,2895,2773,2846,64216,-0.015565548253199557
2011-03-03,2859,2873,2827,2850,27126,0.0014054813773718422
2011-03-04,2864,2864,2773,2810,69607,-0.01403508771929829
2011-03-07,2814,2845,2809,2828,50296,0.006405693950177982
2011-03-08,2818,2909,2818,2909,61016,0.028642149929278604
2011-03-09,2895,2977,2873,2900,42055,-0.003093846682708845
