Date,Open,High,Low,Close,Volume,Change
2011-01-03,62800,63400,61600,61800,233022,-0.01904761904761909
2011-01-04,62100,62500,61400,61900,233388,0.0016181229773462036
2011-01-05,61600,61800,60200,60300,312596,-0.02584814216478193
2011-01-06,60400,60700,57800,58400,770467,-0.031509121061359835
2011-01-07,58300,58400,57300,57600,691516,-0.013698630136986356
2011-01-10,58100,59600,58000,59400,623254,0.03125
2011-01-11,59700,59700,58400,59400,159035,0.0
2011-01-12,59300,59500,58700,59100,155021,-0.005050505050505083
2011-01-13,58800,59400,57900,58000,284160,-0.0186125211505922
2011-01-14,57900,58000,57200,57300,250945,-0.012068965517241348
2011-01-17,57100,57700,56700,56900,190636,-0.006980802792321161
2011-01-18,56500,56800,55800,56000,384348,-0.01581722319859402
2011-01-19,56000,58000,55900,57000,271104,0.017857142857142794
2011-01-20,57200,58000,57100,57700,189297,0.012280701754386003
2011-01-21,58200,58200,55500,55700,255557,-0.03466204506065862
2011-01-24,55400,56500,54900,56500,128573,0.014362657091562037
2011-01-25,57300,59200,57200,57500,496166,0.017699115044247815
2011-01-26,57800,59000,57600,58500,220829,0.017391304347825987
2011-01-27,58100,58500,57100,57300,185481,-0.02051282051282055
2011-01-28,57000,57200,56000,56600,252291,-0.012216404886561949
2011-01-31,55800,57100,55200,55400,168493,-0.021201413427561877
2011-02-01,55500,56000,55100,56000,166314,0.010830324909747224
2011-02-07,56600,57100,55100,55100,174557,-0.016071428571428625
2011-02-08,55200,55500,54900,55000,85836,-0.001814882032667886
2011-02-09,55000,55600,52600,52800,399400,-0.040000000000000036
2011-02-10,52800,53800,52800,53000,301696,0.0037878787878788955
2011-02-11,53100,53600,51300,51300,236693,-0.0320754716981132
2011-02-14,51500,53100,51400,52800,191626,0.029239766081871288
2011-02-15,52400,53000,50900,51200,221570,-0.030303030303030276
2011-02-16,51000,51900,50700,51000,213202,-0.00390625
2011-02-17,51000,51600,49500,50600,151024,-0.007843137254901933
2011-02-18,50200,54900,50200,53200,510324,0.05138339920948609
2011-02-21,53700,54400,51000,51600,284371,-0.03007518796992481
2011-02-22,51500,52000,50600,50600,298460,-0.019379844961240345
2011-02-23,50600,52500,50500,50600,419837,0.0
2011-02-24,51300,52600,50600,52300,199186,0.03359683794466406
2011-02-25,52000,53400,52000,52800,173961,0.009560229445506607
2011-02-28,53100,53300,51600,52500,117403,-0.005681818181818232
2011-03-02,52700,54800,52700,53900,283463,0.026666666666666616
2011-03-03,54100,55800,53300,55300,351870,0.025974025974025983
2011-03-04,56200,56300,54700,56000,246807,0.012658227848101333
2011-03-07,55600,55900,54600,55000,173886,-0.017857142857142905
2011-03-08,54700,56900,54500,56500,247992,0.027272727272727337
2011-03-09,56000,57100,55700,56600,159621,0.001769911504424737
2011-03-10,56000,56600,54700,55500,260080,-0.019434628975265045
2011-03-11,54500,56400,54500,55300,150861,-0.003603603603603567
2011-03-14,54500,55500,53400,55200,161246,-0.001808318264014508
2011-03-15,54600,55800,52800,53600,217917,-0.02898550724637683
2011-03-16,53600,54800,53600,54100,98918,0.009328358208955168
