Date,Open,High,Low,Close,Volume,Change
2017-11-29,25750,26400,23250,23800,3263099,
2017-11-30,24100,25300,23000,23550,1026668,-0.010504201680672232
2017-12-01,23750,24000,22850,23000,449758,-0.023354564755838636
2017-12-04,22900,23400,22150,22150,341503,-0.036956521739130443
2017-12-05,22300,22350,21450,21550,334691,-0.02708803611738153
2017-12-06,21550,21950,20800,20850,332844,-0.0324825986078886
2017-12-07,20750,20800,19950,20150,375103,-0.033573141486810565
2017-12-08,20050,22400,20050,21300,648962,0.05707196029776673
2017-12-11,21300,21850,20850,21150,115103,-0.007042253521126751
2017-12-12,21000,21200,20700,20850,100802,-0.014184397163120588
2017-12-13,20850,21050,20550,20700,74645,-0.007194244604316502
2017-12-14,20650,21250,20600,20700,80220,0.0
2017-12-15,20950,21550,20700,21450,76749,0.03623188405797095
2017-12-18,21600,21600,20850,20950,88536,-0.023310023310023298
2017-12-19,21000,21000,20000,20150,128426,-0.03818615751789978
2017-12-20,20150,20500,20000,20150,61711,0.0
2017-12-21,20150,20250,19650,20100,102644,-0.002481389578163795
2017-12-22,20100,20400,19900,20100,43314,0.0
2017-12-26,20200,20300,19900,19900,50288,-0.00995024875621886
2017-12-27,20000,20100,19750,20000,58412,0.005025125628140614
2017-12-28,20000,20600,19850,20250,38704,0.012499999999999956
2018-01-02,20300,20500,20150,20450,35697,0.009876543209876631
2018-01-03,20350,21600,20300,21550,105373,0.05378973105134466
2018-01-04,21700,22500,21250,21900,151978,0.016241299303944245
2018-01-05,22150,22750,21950,22200,129844,0.013698630136986356
2018-01-08,22250,22400,21500,21600,88266,-0.027027027027026973
2018-01-09,21600,22500,21450,21800,61200,0.0092592592592593
2018-01-10,21850,22650,21850,22500,80790,0.032110091743119185
2018-01-11,22550,23000,22400,22600,79955,0.004444444444444473
2018-01-12,22850,22850,22100,22200,55082,-0.017699115044247815
2018-01-15,22350,22350,21900,22000,41391,-0.009009009009009028
2018-01-16,22000,22250,21900,22000,39652,0.0
2018-01-17,22000,22600,21950,22200,59504,0.009090909090909038
2018-01-18,22200,22450,21950,22150,43565,-0.0022522522522522292
2018-01-19,22250,23200,22150,23100,119700,0.04288939051918739
2018-01-22,23350,23350,22850,22950,46082,-0.00649350649350644
2018-01-23,23000,23250,22800,23000,43700,0.002178649237472685
2018-01-24,23100,23800,22900,23450,83210,0.019565217391304346
2018-01-25,23550,23950,23450,23600,85112,0.006396588486140775
2018-01-26,23550,24500,23400,24250,109351,0.02754237288135597
2018-01-29,24450,24850,24400,24650,120036,0.016494845360824684
2018-01-30,24750,24950,24200,24700,124164,0.0020283975659229903
2018-01-31,24700,24700,23850,24100,56961,-0.02429149797570851
2018-02-01,24000,24350,23150,23400,77761,-0.02904564315352698
2018-02-02,23250,23600,22800,23150,38747,-0.010683760683760646
2018-02-05,23000,23000,22450,22500,48950,-0.02807775377969768
2018-02-06,21750,22050,21200,21950,116700,-0.02444444444444449
2018-02-07,22450,22550,21550,21550,38905,-0.018223234624145768
2018-02-08,21650,21900,21350,21550,20485,0.0
2018-02-09,21000,21500,21000,21500,32881,-0.002320185614849146
2018-02-12,21600,21850,21500,21700,18242,0.009302325581395321
2018-02-13,21900,22000,21000,21200,41461,-0.02304147465437789
2018-02-14,21200,21200,20800,21000,40983,-0.009433962264150941
2018-02-19,21300,21550,21000,21450,11485,0.021428571428571352
2018-02-20,21450,21750,21300,21600,17918,0.006993006993007089
2018-02-21,21400,21800,21300,21650,17354,0.0023148148148148806
2018-02-22,21650,21650,21300,21350,16041,-0.01385681293302543
2018-02-23,21500,21550,21150,21400,22955,0.0023419203747072626
2018-02-26,21400,21650,21350,21500,9898,0.004672897196261738
2018-02-27,21650,21650,21200,21250,19240,-0.011627906976744207
2018-02-28,21400,21400,21000,21300,10784,0.0023529411764706687
2018-03-02,21250,21600,21000,21150,22505,-0.007042253521126751
2018-03-05,21150,21200,20850,20900,16736,-0.011820330969267157
2018-03-06,20900,21350,20850,20950,13092,0.0023923444976077235
2018-03-07,21150,21150,20800,20950,16863,0.0
2018-03-08,21200,21300,20800,21250,14815,0.014319809069212486
2018-03-09,21300,21600,21000,21550,24226,0.014117647058823568
2018-03-12,21400,21850,21400,21850,15332,0.0139211136890951
2018-03-13,21850,21900,21600,21700,16847,-0.006864988558352381
2018-03-14,21750,21750,21250,21350,26384,-0.016129032258064502
2018-03-15,21200,21900,21200,21850,36364,0.023419203747072626
2018-03-16,22000,22000,21200,21450,32078,-0.01830663615560646
2018-03-19,21150,21700,21100,21200,24858,-0.011655011655011704
2018-03-20,21250,21250,20950,21150,11856,-0.002358490566037763
2018-03-21,21050,21150,20750,21100,36883,-0.0023640661938534313
2018-03-22,20900,21550,20850,21450,16467,0.016587677725118377
