Date,Open,High,Low,Close,Volume,Change
2011-01-03,5360,5400,5290,5320,46370,-0.007462686567164201
2011-01-04,5320,5340,5250,5270,73481,-0.009398496240601517
2011-01-05,5300,5500,5300,5410,84171,0.026565464895635715
2011-01-06,5490,5490,5350,5450,64776,0.007393715341959428
2011-01-07,5510,5510,5350,5400,102335,-0.00917431192660545
2011-01-10,5440,5450,5380,5400,38480,0.0
2011-01-11,5400,5440,5300,5320,61470,-0.014814814814814836
2011-01-12,5320,5460,5320,5430,134190,0.020676691729323293
2011-01-13,5480,5570,5460,5480,99783,0.009208103130755152
2011-01-14,5540,5570,5440,5570,49732,0.01642335766423364
2011-01-17,5580,5750,5550,5550,92865,-0.0035906642728904536
2011-01-18,5580,5580,5380,5420,58897,-0.023423423423423406
2011-01-19,5480,5500,5420,5500,33892,0.014760147601476037
2011-01-20,5520,5670,5520,5650,66290,0.027272727272727337
2011-01-21,5690,5790,5580,5650,129234,0.0
2011-01-24,5640,5680,5560,5560,55508,-0.015929203539822967
2011-01-25,5580,5590,5410,5410,78149,-0.026978417266187105
2011-01-26,5430,5490,5330,5360,68690,-0.009242144177449174
2011-01-27,5340,5400,5340,5370,28094,0.001865671641791078
2011-01-28,5380,5380,5190,5300,133668,-0.013035381750465591
2011-01-31,5250,5320,5060,5060,57134,-0.04528301886792452
2011-02-01,5060,5140,5030,5060,62393,0.0
2011-02-07,5080,5250,5080,5250,44058,0.03754940711462451
2011-02-08,5160,5250,5100,5160,54038,-0.017142857142857126
2011-02-09,5190,5190,5100,5120,31400,-0.007751937984496138
2011-02-10,5140,5140,5050,5100,33420,-0.00390625
2011-02-11,5100,5150,5000,5000,41590,-0.019607843137254943
2011-02-14,5090,5090,5000,5010,14580,0.0020000000000000018
2011-02-15,5030,5070,4820,4935,45381,-0.014970059880239472
2011-02-16,4900,4975,4880,4920,16415,-0.003039513677811523
2011-02-17,4950,4960,4760,4760,32161,-0.03252032520325199
2011-02-18,4780,4840,4750,4810,23185,0.010504201680672232
2011-02-21,4800,4860,4750,4765,50500,-0.009355509355509328
2011-02-22,4990,5340,4940,5070,268210,0.06400839454354679
2011-02-23,5130,5130,4870,4870,59300,-0.03944773175542404
2011-02-24,4845,4940,4770,4860,48501,-0.002053388090349051
2011-02-25,4890,4890,4760,4880,39258,0.004115226337448652
2011-02-28,4890,4900,4800,4885,26621,0.0010245901639345245
2011-03-02,4805,4900,4805,4890,23501,0.0010235414534287557
2011-03-03,4815,5120,4815,5080,44545,0.03885480572597144
2011-03-04,5170,5170,5050,5060,37310,-0.003937007874015741
2011-03-07,5060,5130,4980,4980,20940,-0.015810276679841917
2011-03-08,5040,5040,4910,4990,31170,0.002008032128514081
2011-03-09,5010,5020,4945,4960,23840,-0.006012024048096198
2011-03-10,5010,5010,4935,4960,12350,0.0
2011-03-11,4955,4960,4880,4920,23503,-0.008064516129032251
2011-03-14,4865,4865,4670,4700,60610,-0.04471544715447151
2011-03-15,4700,4705,4325,4505,52506,-0.04148936170212769
2011-03-16,4425,4520,4425,4485,29315,-0.004439511653718142
