Date,Open,High,Low,Close,Volume,Change
2011-01-03,596,596,582,590,889,-0.015025041736227096
2011-01-04,589,592,581,590,383,0.0
2011-01-05,584,589,582,590,130,0.0
2011-01-06,589,592,582,590,405,0.0
2011-01-07,588,590,581,590,307,0.0
2011-01-10,588,592,582,590,471,0.0
2011-01-11,589,591,584,591,203,0.0016949152542373724
2011-01-12,589,594,580,590,1150,-0.0016920473773265332
2011-01-13,582,597,582,588,2036,-0.003389830508474523
2011-01-14,583,596,572,591,1372,0.005102040816326481
2011-01-17,590,592,583,591,211,0.0
2011-01-18,586,590,576,585,472,-0.010152284263959421
2011-01-19,583,583,566,579,2448,-0.01025641025641022
2011-01-20,571,578,568,570,1715,-0.015544041450777257
2011-01-21,566,587,566,588,3132,0.03157894736842115
2011-01-24,587,594,580,593,673,0.008503401360544283
2011-01-25,596,598,583,584,489,-0.015177065767284947
2011-01-26,595,595,584,593,51,0.015410958904109595
2011-01-27,596,598,584,597,324,0.006745362563237878
2011-01-28,600,600,586,599,135,0.003350083752093891
2011-01-31,582,598,580,599,848,0.0
2011-02-01,597,597,584,597,40,-0.0033388981636059967
2011-02-07,582,592,580,590,1404,-0.011725293132328285
2011-02-08,581,592,576,593,1632,0.005084745762711895
2011-02-09,591,598,581,595,212,0.003372681281618828
2011-02-10,593,593,580,591,213,-0.006722689075630228
2011-02-11,587,587,577,580,99,-0.0186125211505922
2011-02-14,585,585,564,575,124,-0.008620689655172376
2011-02-15,584,597,554,585,550,0.017391304347825987
2011-02-16,594,594,586,587,53,0.0034188034188034067
2011-02-17,563,585,563,586,132,-0.0017035775127768327
2011-02-18,585,585,567,581,501,-0.008532423208191142
2011-02-21,579,598,568,573,381,-0.013769363166953541
2011-02-22,572,580,544,564,1021,-0.015706806282722474
2011-02-23,563,563,532,557,3558,-0.012411347517730542
2011-02-24,574,578,536,558,551,0.0017953321364452268
2011-02-25,570,570,544,560,635,0.0035842293906809264
2011-02-28,538,572,526,555,1132,-0.008928571428571397
2011-03-02,550,559,536,554,272,-0.0018018018018017834
2011-03-03,557,557,540,553,720,-0.0018050541516245744
2011-03-04,560,560,540,557,1274,0.00723327305605781
2011-03-07,558,558,544,554,273,-0.0053859964093356805
2011-03-08,542,557,542,554,392,0.0
2011-03-09,553,635,553,599,6666,0.08122743682310474
2011-03-10,598,598,572,593,967,-0.01001669449081799
2011-03-11,591,596,568,586,846,-0.01180438448566612
2011-03-14,565,590,565,586,404,0.0
2011-03-15,585,590,558,579,428,-0.011945392491467532
2011-03-16,560,583,553,584,795,0.008635578583765069
2011-03-17,560,582,549,577,399,-0.011986301369863006
2011-03-18,575,575,569,571,90,-0.010398613518197597
2011-03-21,554,569,554,570,255,-0.0017513134851138146
2011-03-22,569,586,560,578,67,0.01403508771929829
2011-03-23,585,588,555,571,573,-0.01211072664359858
2011-03-24,576,578,557,571,273,0.0
2011-03-25,587,587,551,570,1069,-0.0017513134851138146
2011-03-28,569,576,540,553,2897,-0.029824561403508754
2011-03-29,550,563,546,555,333,0.003616636528029016
2011-03-30,554,554,542,551,572,-0.007207207207207245
2011-03-31,550,566,541,547,922,-0.007259528130671544
2011-04-01,550,566,550,561,189,0.025594149908592323
2011-04-04,550,578,550,569,633,0.01426024955436711
2011-04-05,580,586,560,581,82,0.02108963093145877
2011-04-06,580,586,560,583,155,0.0034423407917383297
2011-04-07,582,587,556,588,559,0.00857632933104635
2011-04-08,576,587,566,571,730,-0.028911564625850317
2011-04-11,582,582,562,565,186,-0.010507880910682998
2011-04-12,564,572,564,571,177,0.010619469026548645
2011-04-13,580,580,556,576,218,0.008756567425569184
2011-04-14,560,575,559,576,76,0.0
2011-04-15,575,575,562,575,72,-0.0017361111111111605
2011-04-18,561,570,550,560,963,-0.02608695652173909
2011-04-19,550,561,550,559,3153,-0.0017857142857142794
2011-04-20,550,558,550,559,1105,0.0
2011-04-21,558,558,550,558,761,-0.0017889087656529634
2011-04-22,560,560,550,559,382,0.0017921146953405742
2011-04-25,550,576,550,567,1371,0.014311270125223707
2011-04-26,566,569,505,523,2127,-0.07760141093474426
2011-04-27,525,583,522,539,13739,0.030592734225621365
2011-04-28,540,540,530,534,980,-0.00927643784786647
2011-04-29,534,534,520,527,1574,-0.01310861423220977
2011-05-02,540,540,492,521,1025,-0.011385199240986688
2011-05-03,520,526,510,521,688,0.0
2011-05-04,514,522,514,523,303,0.0038387715930903177
2011-05-06,536,536,524,535,270,0.02294455066921608
2011-05-09,534,534,523,533,34,-0.0037383177570093906
2011-05-11,532,532,520,531,414,-0.0037523452157598447
2011-05-12,530,532,510,530,907,-0.0018832391713747842
2011-05-13,529,529,510,528,966,-0.0037735849056603765
2011-05-16,527,531,522,531,93,0.005681818181818121
2011-05-17,529,529,529,530,1,-0.0018832391713747842
2011-05-18,512,529,512,529,149,-0.0018867924528301883
2011-05-19,520,528,514,515,41,-0.026465028355387554
2011-05-20,514,530,514,529,99,0.027184466019417375
2011-05-23,528,536,502,503,1134,-0.04914933837429114
2011-05-24,503,577,503,578,38802,0.14910536779324057
2011-05-25,583,607,502,525,50545,-0.09169550173010377
2011-05-26,524,602,509,603,39215,0.14857142857142858
2011-05-27,615,626,543,560,29574,-0.0713101160862355
2011-05-30,556,593,545,563,6900,0.005357142857142838
2011-05-31,551,560,523,543,7792,-0.035523978685612745
2011-06-01,542,568,524,550,6917,0.012891344383057168
2011-06-02,540,556,530,531,3107,-0.034545454545454546
2011-06-03,530,539,520,537,2719,0.011299435028248483
2011-06-07,544,544,522,526,1592,-0.020484171322160183
2011-06-08,521,535,520,521,2313,-0.009505703422053258
2011-06-09,538,538,520,535,637,0.026871401151631558
2011-06-10,532,534,520,533,809,-0.0037383177570093906
2011-06-13,536,558,522,525,383,-0.015009380863039379
2011-06-14,520,537,520,530,208,0.00952380952380949
2011-06-15,539,539,524,533,656,0.005660377358490676
2011-06-16,546,546,503,520,2174,-0.024390243902439046
2011-06-17,530,530,512,527,277,0.013461538461538414
2011-06-20,526,534,511,517,183,-0.018975332068311146
2011-06-21,534,593,510,594,28364,0.14893617021276606
2011-06-22,596,625,545,581,39632,-0.02188552188552184
2011-06-23,561,600,550,551,2841,-0.05163511187607572
2011-06-24,569,577,546,559,1237,0.014519056261343088
2011-06-27,568,568,537,538,2206,-0.03756708407871201
2011-06-28,564,564,526,537,2917,-0.0018587360594795044
2011-06-29,536,557,530,540,1901,0.005586592178770999
2011-06-30,547,548,529,548,1468,0.014814814814814836
2011-07-01,536,546,536,545,267,-0.005474452554744547
2011-07-04,550,568,544,551,439,0.011009174311926495
2011-07-05,536,568,536,559,600,0.014519056261343088
2011-07-06,564,564,550,564,31,0.008944543828264706
2011-07-07,570,570,548,566,120,0.0035460992907800915
2011-07-08,560,578,553,572,69,0.010600706713780994
2011-07-11,584,584,562,577,136,0.00874125874125875
2011-07-12,575,583,546,577,213,0.0
2011-07-13,576,598,530,597,1854,0.03466204506065851
2011-07-14,598,598,553,585,1466,-0.02010050251256279
2011-07-15,596,610,561,593,223,0.013675213675213627
2011-07-18,593,593,552,554,3259,-0.06576728499156825
2011-07-19,560,568,554,567,901,0.023465703971119023
2011-07-20,571,573,551,574,841,0.012345679012345734
2011-07-21,557,585,557,559,482,-0.026132404181184676
2011-07-22,587,589,555,577,199,0.03220035778175312
2011-07-25,580,608,572,589,40,0.020797227036395194
2011-07-26,592,648,587,600,3360,0.018675721561969505
2011-07-27,610,610,580,588,44,-0.020000000000000018
2011-07-28,596,596,553,584,2842,-0.006802721088435382
2011-07-29,583,587,564,567,147,-0.02910958904109584
2011-08-01,570,650,570,651,34591,0.14814814814814814
2011-08-02,654,685,564,568,89320,-0.12749615975422424
2011-08-03,560,560,538,541,7766,-0.047535211267605626
2011-08-04,540,551,537,543,3183,0.003696857670979714
2011-08-05,511,540,487,513,4733,-0.05524861878453036
2011-08-08,490,510,483,502,8583,-0.021442495126705707
2011-08-09,480,496,472,489,7224,-0.02589641434262946
2011-08-10,508,514,500,514,958,0.05112474437627812
2011-08-11,467,511,467,510,638,-0.0077821011673151474
2011-08-12,543,543,494,501,291,-0.01764705882352946
2011-08-16,504,562,504,552,715,0.10179640718562877
2011-08-17,522,573,522,564,452,0.021739130434782705
2011-08-18,559,559,532,533,653,-0.054964539007092195
2011-08-19,516,540,510,511,716,-0.0412757973733584
2011-08-22,512,531,512,528,179,0.03326810176125239
2011-08-23,540,548,507,532,76,0.007575757575757569
2011-08-24,548,548,519,532,309,0.0
2011-08-25,558,576,510,530,448,-0.003759398496240629
2011-08-26,530,544,510,525,249,-0.009433962264150941
2011-08-29,524,547,502,525,276,0.0
2011-08-30,530,535,520,528,118,0.005714285714285783
2011-08-31,527,527,518,528,143,0.0
2011-09-01,523,534,521,530,168,0.0037878787878788955
2011-09-02,522,548,522,539,168,0.016981132075471805
2011-09-05,523,538,522,538,210,-0.0018552875695733162
2011-09-06,537,542,504,526,849,-0.022304832713754608
2011-09-07,538,578,521,561,844,0.06653992395437269
2011-09-08,576,576,540,560,715,-0.0017825311942959443
2011-09-09,560,587,520,529,634,-0.05535714285714288
2011-09-14,530,539,524,525,438,-0.007561436672967825
2011-09-15,526,527,524,525,131,0.0
2011-09-16,526,539,526,533,206,0.015238095238095273
2011-09-19,531,544,524,545,100,0.022514071294559068
2011-09-20,568,568,530,544,23,-0.0018348623853210455
2011-09-21,544,544,525,545,756,0.0018382352941177516
2011-09-22,544,564,521,528,408,-0.031192660550458662
2011-09-23,527,527,502,518,232,-0.018939393939393923
2011-09-26,520,520,463,493,155,-0.04826254826254828
2011-09-27,422,512,422,508,567,0.030425963488843744
2011-09-28,510,518,481,511,16,0.0059055118110236116
2011-09-29,536,536,520,525,16,0.027397260273972712
2011-09-30,544,570,501,552,1014,0.05142857142857138
2011-10-04,552,552,487,547,196,-0.009057971014492794
2011-10-05,512,530,474,492,217,-0.10054844606946989
2011-10-06,496,549,495,496,109,0.008130081300812941
2011-10-07,520,535,495,533,71,0.07459677419354849
2011-10-10,534,549,534,539,7,0.011257035647279645
2011-10-11,542,542,504,536,191,-0.005565862708719838
2011-10-12,528,535,495,536,210,0.0
2011-10-13,545,545,545,546,1,0.018656716417910557
2011-10-14,544,544,520,537,34,-0.016483516483516536
2011-10-17,503,534,503,524,50,-0.02420856610800748
2011-10-18,547,547,498,537,28,0.024809160305343525
2011-10-19,535,535,535,536,1,-0.0018621973929237035
2011-10-20,539,540,520,535,96,-0.001865671641791078
2011-10-21,534,540,515,541,72,0.01121495327102795
2011-10-24,540,540,523,539,89,-0.003696857670979714
2011-10-25,538,540,528,537,720,-0.0037105751391465214
2011-10-26,536,536,528,533,152,-0.007448789571694592
2011-10-27,541,541,512,533,7,0.0
2011-10-28,541,541,516,535,173,0.0037523452157599557
2011-10-31,534,534,524,535,28,0.0
2011-11-01,531,534,520,535,684,0.0
2011-11-02,530,530,512,523,7,-0.02242990654205612
2011-11-03,526,534,520,535,28,0.02294455066921608
2011-11-04,536,540,536,541,2,0.01121495327102795
2011-11-07,542,560,527,533,94,-0.014787430683918634
2011-11-08,555,555,520,527,69,-0.011257035647279534
2011-11-09,524,558,514,553,112,0.04933586337760909
2011-11-10,554,554,482,509,257,-0.07956600361663657
2011-11-11,497,526,496,510,166,0.0019646365422396617
2011-11-14,511,530,510,513,190,0.00588235294117645
2011-11-15,512,542,512,533,47,0.03898635477582846
2011-11-16,520,526,510,525,138,-0.015009380863039379
2011-11-17,526,530,524,531,18,0.011428571428571344
2011-11-18,532,532,504,517,15,-0.026365348399246757
2011-11-21,500,546,500,504,178,-0.025145067698259194
2011-11-22,506,531,500,513,40,0.017857142857142794
2011-11-23,514,537,497,499,515,-0.02729044834307992
2011-11-24,500,517,477,501,394,0.004008016032064132
2011-11-25,500,537,500,516,183,0.029940119760478945
2011-11-28,481,515,481,514,360,-0.003875968992248069
2011-11-29,513,539,504,505,68,-0.017509727626459193
2011-11-30,500,533,500,505,1084,0.0
2011-12-01,510,527,490,522,1627,0.03366336633663369
2011-12-02,543,543,514,515,514,-0.013409961685823757
2011-12-05,520,528,514,528,2440,0.025242718446601975
2011-12-06,540,540,512,534,163,0.011363636363636465
2011-12-07,533,533,533,534,3,0.0
2011-12-08,551,551,516,549,376,0.028089887640449396
2011-12-09,548,559,548,560,12,0.020036429872495543
2011-12-12,561,564,530,539,287,-0.03749999999999998
2011-12-13,547,551,547,552,2,0.024118738404452778
2011-12-14,549,549,520,547,109,-0.009057971014492794
2011-12-15,522,546,522,547,11,0.0
2011-12-16,545,545,542,543,2,-0.007312614259597838
2011-12-19,542,542,490,507,906,-0.06629834254143652
2011-12-20,500,520,500,521,343,0.027613412228796763
2011-12-21,507,541,507,532,154,0.02111324376199608
2011-12-22,548,548,510,514,585,-0.03383458646616544
