Date,Open,High,Low,Close,Volume,Change
2017-01-25,4250,4285,3570,3570,6226331,
2017-01-26,3525,4640,3520,4640,15233126,0.2997198879551821
2017-01-31,4640,4665,4270,4605,6582636,-0.007543103448275912
2017-02-01,4750,4750,4370,4750,6117771,0.03148751357220414
2017-02-02,4565,4580,4205,4475,2650152,-0.05789473684210522
2017-02-03,4380,4400,4025,4025,2424878,-0.1005586592178771
2017-02-06,4165,4295,3900,3990,2323735,-0.008695652173912993
2017-02-07,3955,4045,3865,3980,1381402,-0.0025062656641604564
2017-02-08,4010,4065,3780,3875,1970213,-0.02638190954773867
2017-02-09,3825,3880,3715,3775,963238,-0.02580645161290318
2017-02-10,3830,4135,3775,3815,3717494,0.01059602649006619
2017-02-13,3915,4025,3815,3845,1352443,0.007863695937090354
2017-02-14,3925,3925,3730,3750,1114341,-0.024707412223667125
2017-02-15,3775,3800,3680,3690,703315,-0.016000000000000014
2017-02-16,3690,3695,3565,3610,651547,-0.02168021680216803
2017-02-17,3610,3690,3595,3650,399115,0.011080332409972193
2017-02-20,3670,3720,3535,3540,608828,-0.03013698630136985
2017-02-21,3600,3720,3555,3720,957163,0.05084745762711873
2017-02-22,3710,3710,3630,3660,413226,-0.016129032258064502
2017-02-23,3720,3860,3660,3715,1523504,0.015027322404371546
2017-02-24,3730,3805,3555,3575,832166,-0.037685060565275874
2017-02-27,3560,3585,3390,3500,655326,-0.020979020979020935
2017-02-28,3800,4125,3605,3605,9922690,0.030000000000000027
2017-03-02,3675,3765,3570,3570,1455486,-0.009708737864077666
2017-03-03,3570,3635,3400,3400,870323,-0.04761904761904767
2017-03-06,3390,3425,3290,3310,650566,-0.026470588235294135
2017-03-07,3350,3535,3350,3395,975467,0.025679758308157163
2017-03-08,3430,3610,3410,3560,837628,0.048600883652430094
2017-03-09,3560,3565,3415,3430,440779,-0.0365168539325843
2017-03-10,3420,3465,3230,3440,504030,0.00291545189504383
2017-03-13,3450,3480,3375,3450,359774,0.0029069767441860517
2017-03-14,3460,3665,3460,3580,1256740,0.037681159420289934
2017-03-15,3595,3625,3470,3495,461447,-0.023743016759776525
2017-03-16,3540,3610,3475,3515,504939,0.005722460658083017
2017-03-17,3535,3620,3485,3605,592122,0.02560455192034139
2017-03-20,3585,3675,3575,3670,544627,0.018030513176144236
2017-03-21,3665,3665,3555,3570,311298,-0.027247956403269713
2017-03-22,3550,3585,3460,3485,321168,-0.023809523809523836
2017-03-23,3490,3510,3360,3405,333981,-0.022955523672883782
2017-03-24,3400,3440,3345,3355,215960,-0.014684287812041119
2017-03-27,3350,3365,3295,3305,242996,-0.014903129657228065
2017-03-28,3335,3400,3305,3370,216965,0.01966717095310133
2017-03-29,3385,3395,3315,3335,213313,-0.010385756676557834
2017-03-30,3375,3375,3315,3330,164768,-0.0014992503748125774
2017-03-31,3330,3425,3300,3405,215517,0.022522522522522515
2017-04-03,3440,3515,3400,3425,368821,0.005873715124816492
2017-04-04,3400,3440,3360,3360,179111,-0.01897810218978102
2017-04-05,3360,3410,3355,3360,126704,0.0
2017-04-06,3360,3395,3325,3330,118265,-0.008928571428571397
2017-04-07,3365,3365,3275,3300,152363,-0.009009009009009028
2017-04-10,3300,3320,3185,3185,181300,-0.034848484848484795
2017-04-11,3245,3245,3075,3155,288096,-0.009419152276295084
2017-04-12,3135,3150,3070,3095,142171,-0.019017432646592725
2017-04-13,3100,3215,3040,3180,187231,0.02746365105008075
2017-04-14,3180,3180,3075,3080,207316,-0.03144654088050314
2017-04-17,3100,3180,3100,3165,109821,0.02759740259740262
2017-04-18,3180,3285,3155,3245,166894,0.025276461295418606
2017-04-19,3265,3345,3225,3245,150371,0.0
2017-04-20,3250,3265,3175,3195,108259,-0.015408320493066285
2017-04-21,3205,3240,3185,3195,57130,0.0
2017-04-24,3205,3225,3110,3120,124713,-0.023474178403755874
2017-04-25,3125,3215,3125,3190,76289,0.022435897435897356
2017-04-26,3230,3295,3195,3215,153566,0.00783699059561127
2017-04-27,3225,3230,3185,3190,71860,-0.007776049766718529
2017-04-28,3160,3190,3090,3095,159906,-0.029780564263322873
2017-05-02,3090,3150,3090,3115,69865,0.00646203554119551
