Date,Open,High,Low,Close,Volume,Change
2011-01-03,23750,24000,23350,23650,186984,0.00424628450106157
2011-01-04,23800,25200,23800,25200,659456,0.06553911205074003
2011-01-05,25150,25850,24850,25300,396635,0.003968253968253954
2011-01-06,25550,25750,25100,25650,309505,0.01383399209486158
2011-01-07,25650,25800,25100,25100,223432,-0.021442495126705707
2011-01-10,25100,25600,24900,25050,219690,-0.0019920318725099584
2011-01-11,25100,25300,24450,24700,207311,-0.013972055888223589
2011-01-12,25350,25700,24950,25000,736253,0.012145748987854255
2011-01-13,25100,25200,24550,24800,266438,-0.008000000000000007
2011-01-14,24850,26250,24700,26200,933567,0.056451612903225756
2011-01-17,26500,26550,25750,26200,437738,0.0
2011-01-18,26200,26200,25500,25850,282560,-0.013358778625954248
2011-01-19,25850,26250,25250,26000,344361,0.005802707930367523
2011-01-20,25900,25900,25300,25350,182552,-0.025000000000000022
2011-01-21,25100,25250,23900,23950,464474,-0.05522682445759364
2011-01-24,23900,24200,23600,24000,193104,0.0020876826722338038
2011-01-25,24200,24400,23150,23300,434901,-0.029166666666666674
2011-01-26,23400,23650,23200,23400,206674,0.0042918454935623185
2011-01-27,23550,23950,23000,23050,256552,-0.014957264957264904
2011-01-28,23050,23150,22350,22350,474717,-0.030368763557483747
2011-01-31,22000,22400,21650,21700,357583,-0.029082774049216997
2011-02-01,21750,22500,21750,22150,237120,0.02073732718894017
2011-02-07,22300,22650,22250,22300,183059,0.006772009029345272
2011-02-08,22350,22700,22100,22200,194808,-0.004484304932735439
2011-02-09,22450,22450,20900,21200,507826,-0.04504504504504503
2011-02-10,21000,21150,19950,20100,561823,-0.05188679245283023
2011-02-11,20050,20450,19850,19900,249039,-0.00995024875621886
2011-02-14,20100,20550,18950,19700,751231,-0.01005025125628145
2011-02-15,19700,19800,19050,19200,428282,-0.025380710659898442
2011-02-16,19500,20350,19300,20150,539058,0.04947916666666674
2011-02-17,20150,20400,19150,19500,369392,-0.032258064516129004
2011-02-18,19500,20250,19500,20200,204159,0.03589743589743599
2011-02-21,20400,20700,20050,20200,217212,0.0
