Date,Open,High,Low,Close,Volume,Change
2011-01-03,2595,2635,2565,2600,336539,0.011673151750972721
2011-01-04,2650,2775,2600,2700,840276,0.03846153846153855
2011-01-05,2705,2705,2570,2570,568277,-0.04814814814814816
2011-01-06,2580,2630,2525,2630,437424,0.023346303501945442
2011-01-07,2675,2805,2655,2665,1019020,0.013307984790874583
2011-01-10,2640,3060,2625,3060,2877847,0.14821763602251403
2011-01-11,3260,3505,3150,3270,6788365,0.06862745098039214
2011-01-12,3220,3360,3140,3245,2485236,-0.007645259938837912
2011-01-13,3290,3645,3250,3395,4707627,0.046224961479198745
2011-01-14,3480,3570,3100,3100,2183126,-0.08689248895434465
2011-01-17,3110,3345,3015,3270,2161691,0.05483870967741944
2011-01-18,3295,3470,3060,3060,2157464,-0.06422018348623848
2011-01-19,3150,3170,2980,3000,1054306,-0.019607843137254943
2011-01-20,3050,3245,3000,3245,1744964,0.08166666666666678
2011-01-21,3300,3420,3210,3220,2411224,-0.007704160246533087
2011-01-24,3265,3315,3080,3235,958971,0.004658385093167627
2011-01-25,3275,3385,3170,3215,1735919,-0.0061823802163832875
2011-01-26,3215,3285,3090,3175,721534,-0.01244167962674958
2011-01-27,3150,3210,3055,3100,656670,-0.023622047244094446
2011-01-28,3100,3195,3070,3150,562196,0.016129032258064502
2011-01-31,3150,3150,2890,2890,707261,-0.08253968253968258
2011-02-01,2910,2950,2775,2800,792065,-0.03114186851211076
2011-02-07,2860,2960,2835,2920,389311,0.04285714285714293
2011-02-08,3000,3240,3000,3080,2200315,0.0547945205479452
2011-02-09,3080,3080,2915,2915,616464,-0.0535714285714286
2011-02-10,2935,2985,2900,2910,290769,-0.0017152658662092923
2011-02-11,2920,3070,2915,2940,663486,0.010309278350515427
2011-02-14,2940,2985,2815,2845,435901,-0.03231292517006801
2011-02-15,2845,2870,2770,2850,283718,0.0017574692442883233
2011-02-16,2885,3270,2865,2930,1444373,0.02807017543859658
2011-02-17,3000,3075,2820,2820,466524,-0.03754266211604096
2011-02-18,2820,2950,2820,2950,252324,0.046099290780141855
2011-02-21,2995,2995,2905,2960,293420,0.003389830508474523
2011-02-22,2980,3165,2960,3130,1279901,0.057432432432432456
2011-02-23,3195,3375,3090,3095,3177134,-0.011182108626198062
2011-02-24,3160,3410,3020,3310,3001412,0.06946688206785145
2011-02-25,3310,3480,3245,3380,1848987,0.02114803625377637
2011-02-28,3400,3450,3165,3165,1327527,-0.06360946745562135
2011-03-02,3160,3215,2990,3000,1452247,-0.05213270142180093
2011-03-03,3055,3180,3015,3160,1145907,0.05333333333333323
2011-03-04,3185,3195,3060,3085,780805,-0.02373417721518989
2011-03-07,3055,3240,3055,3240,825805,0.050243111831442366
2011-03-08,3220,3265,3150,3225,766170,-0.00462962962962965
2011-03-09,3260,3325,3085,3085,857544,-0.04341085271317835
2011-03-10,3110,3110,2995,3060,606340,-0.008103727714748765
2011-03-11,3030,3110,2980,3000,568304,-0.019607843137254943
2011-03-14,2960,2990,2550,2650,1324586,-0.1166666666666667
2011-03-15,2680,2780,2255,2600,1005668,-0.018867924528301883
2011-03-16,2600,2670,2535,2620,513236,0.007692307692307665
2011-03-17,2510,2570,2490,2540,515680,-0.03053435114503822
2011-03-18,2575,2630,2555,2610,376006,0.027559055118110187
2011-03-21,2675,2790,2645,2790,387293,0.06896551724137923
2011-03-22,2830,2840,2730,2780,356770,-0.0035842293906810374
2011-03-23,2825,2825,2700,2740,241893,-0.014388489208633115
2011-03-24,2750,2820,2750,2750,202072,0.0036496350364962904
2011-03-25,2755,2840,2720,2835,390944,0.030909090909090997
2011-03-28,2820,2845,2730,2755,309833,-0.02821869488536155
2011-03-29,2740,2800,2725,2725,235700,-0.010889292196007205
2011-03-30,2740,2790,2710,2715,203813,-0.003669724770642202
2011-03-31,2750,2760,2700,2715,328671,0.0
2011-04-01,2740,2810,2705,2795,418910,0.02946593001841613
2011-04-04,2800,2885,2785,2805,462202,0.003577817531305927
2011-04-05,2820,2855,2775,2800,335349,-0.0017825311942959443
2011-04-06,2790,2805,2710,2720,458995,-0.02857142857142858
2011-04-07,2735,2760,2720,2730,225407,0.003676470588235281
2011-04-08,2760,2785,2735,2780,307650,0.01831501831501825
2011-04-11,2815,2840,2720,2735,314470,-0.01618705035971224
2011-04-12,2740,2740,2635,2635,393316,-0.03656307129798908
2011-04-13,2645,2720,2645,2690,263536,0.020872865275142205
2011-04-14,2740,2740,2670,2685,231879,-0.0018587360594795044
2011-04-15,2695,2740,2685,2725,270341,0.014897579143389184
2011-04-18,2795,2795,2725,2730,316921,0.0018348623853210455
2011-04-19,2690,2760,2670,2690,279790,-0.0146520146520146
2011-04-20,2735,2835,2710,2830,602560,0.052044609665427455
2011-04-21,2890,2950,2815,2840,719935,0.0035335689045936647
2011-04-22,2850,2865,2760,2850,418560,0.0035211267605634866
2011-04-25,2840,3065,2840,3065,1126623,0.07543859649122808
2011-04-26,3080,3215,3020,3095,1049485,0.00978792822185981
2011-04-27,3125,3200,3000,3060,700711,-0.011308562197092087
2011-04-28,3060,3115,2970,3050,372801,-0.0032679738562091387
2011-04-29,3055,3210,3050,3120,576744,0.022950819672131084
2011-05-02,3135,3325,3120,3300,1066774,0.05769230769230771
2011-05-03,3280,3320,3210,3315,568366,0.00454545454545463
2011-05-04,3320,3390,3210,3290,499473,-0.007541478129713397
2011-05-06,3205,3275,3130,3130,395451,-0.04863221884498481
2011-05-09,3130,3180,3040,3080,346883,-0.015974440894568676
2011-05-11,3120,3350,3105,3310,519774,0.07467532467532467
2011-05-12,3320,3475,3240,3285,1234644,-0.007552870090634434
2011-05-13,3350,3460,3320,3375,1096149,0.027397260273972712
2011-05-16,3400,3455,3320,3365,684800,-0.002962962962962945
2011-05-17,3290,3320,3115,3115,768000,-0.0742942050520059
2011-05-18,3070,3145,2935,3000,643435,-0.036918138041733495
2011-05-19,3030,3030,2810,2820,378230,-0.06000000000000005
2011-05-20,2845,2880,2810,2810,218834,-0.0035460992907800915
2011-05-23,2845,2845,2720,2740,163531,-0.02491103202846978
2011-05-24,2680,2780,2675,2745,237771,0.0018248175182482562
2011-05-25,2760,2795,2690,2750,155870,0.0018214936247722413
2011-05-26,2755,2820,2725,2800,173714,0.018181818181818077
2011-05-27,2780,2825,2750,2785,159300,-0.005357142857142838
2011-05-30,2825,2920,2790,2895,162880,0.039497307001795434
2011-05-31,2910,2920,2850,2895,185668,0.0
2011-06-01,2880,2950,2880,2915,108172,0.006908462867012188
2011-06-02,2830,2910,2830,2910,151340,-0.0017152658662092923
2011-06-03,2950,2950,2850,2910,113860,0.0
2011-06-07,2880,2910,2840,2870,56671,-0.013745704467353903
2011-06-08,2845,2870,2765,2770,166040,-0.03484320557491294
2011-06-09,2755,2840,2755,2815,47525,0.016245487364620947
2011-06-10,2840,2870,2780,2815,60395,0.0
2011-06-13,2780,2805,2680,2710,137480,-0.03730017761989346
2011-06-14,2620,2730,2620,2715,113700,0.0018450184501845879
2011-06-15,2740,2745,2690,2730,68111,0.005524861878453136
2011-06-16,2710,2800,2705,2790,66774,0.0219780219780219
2011-06-17,2835,2840,2690,2695,134420,-0.03405017921146958
2011-06-20,2690,2750,2600,2600,55730,-0.03525046382189234
2011-06-21,2620,2750,2620,2720,111399,0.04615384615384621
2011-06-22,2720,2785,2700,2720,80417,0.0
2011-06-23,2750,2760,2695,2735,70300,0.005514705882353033
2011-06-24,2735,2780,2700,2780,107521,0.01645338208409508
2011-06-27,2780,2780,2720,2750,49829,-0.010791366906474864
2011-06-28,2770,2830,2730,2730,124511,-0.0072727272727273196
2011-06-29,2770,2785,2740,2760,75361,0.01098901098901095
2011-06-30,2750,2815,2750,2790,112077,0.010869565217391353
2011-07-01,2805,2820,2750,2790,87348,0.0
2011-07-04,2805,2920,2805,2875,356428,0.03046594982078843
2011-07-05,2880,2950,2840,2930,236090,0.019130434782608674
2011-07-06,2930,3015,2900,2995,294681,0.022184300341296925
2011-07-07,2980,3025,2945,2960,155881,-0.011686143572620988
2011-07-08,2960,3005,2930,2975,142181,0.0050675675675675436
