Date,Open,High,Low,Close,Volume,Change
2011-01-03,2580,2590,2525,2560,930,-0.01158301158301156
2011-01-04,2530,2570,2525,2530,290,-0.01171875
2011-01-05,2495,2550,2485,2550,1210,0.007905138339920903
2011-01-06,2560,2700,2545,2700,1960,0.05882352941176472
2011-01-07,2600,2680,2535,2540,3950,-0.059259259259259234
2011-01-10,2570,2595,2530,2570,500,0.011811023622047223
2011-01-11,2585,2585,2520,2525,2726,-0.017509727626459193
2011-01-12,2565,2565,2510,2515,1760,-0.003960396039603964
2011-01-13,2520,2530,2505,2510,730,-0.001988071570576566
2011-01-14,2510,2545,2495,2495,910,-0.005976095617529875
2011-01-17,2550,2550,2490,2535,1591,0.01603206412825653
2011-01-18,2525,2590,2495,2590,1970,0.021696252465483346
2011-01-19,2550,2615,2500,2505,971,-0.032818532818532864
2011-01-20,2500,2505,2470,2500,950,-0.001996007984031989
2011-01-21,2460,2460,2400,2445,3610,-0.02200000000000002
2011-01-24,2460,2495,2430,2450,810,0.002044989775051187
2011-01-25,2425,2525,2425,2450,3310,0.0
2011-01-26,2415,2490,2415,2490,140,0.01632653061224487
2011-01-27,2435,2470,2435,2470,60,-0.008032128514056214
2011-01-28,2470,2470,2385,2430,330,-0.01619433198380571
2011-01-31,2410,2410,2340,2400,930,-0.012345679012345734
2011-02-01,2390,2410,2350,2410,270,0.004166666666666652
2011-02-07,2440,2450,2440,2450,30,0.016597510373443924
2011-02-08,0,0,0,2430,0,-0.008163265306122436
2011-02-09,2425,2425,2320,2400,1441,-0.012345679012345734
2011-02-10,2345,2390,2345,2345,50,-0.022916666666666696
2011-02-11,2390,2390,2370,2370,44,0.010660980810234477
2011-02-14,2335,2370,2330,2370,320,0.0
2011-02-15,2370,2370,2290,2290,791,-0.03375527426160341
2011-02-16,2360,2360,2360,2360,20,0.03056768558951961
2011-02-17,2360,2360,2350,2350,57,-0.004237288135593209
2011-02-18,2380,2380,2380,2380,11,0.012765957446808418
2011-02-21,2285,2320,2285,2320,311,-0.025210084033613467
2011-02-22,2310,2320,2310,2320,71,0.0
2011-02-23,2320,2320,2275,2275,707,-0.0193965517241379
2011-02-24,2300,2495,2275,2385,210,0.0483516483516484
2011-02-25,2445,2445,2395,2410,110,0.01048218029350112
2011-02-28,2420,2420,2420,2420,130,0.004149377593360981
2011-03-02,2260,2380,2260,2380,281,-0.016528925619834656
2011-03-03,2460,2460,2300,2300,151,-0.03361344537815125
2011-03-04,2370,2370,2370,2370,10,0.0304347826086957
2011-03-07,0,0,0,2340,0,-0.012658227848101222
2011-03-08,2380,2615,2300,2350,1030,0.004273504273504258
2011-03-09,2365,2365,2220,2250,1960,-0.04255319148936165
2011-03-10,2260,2430,2135,2360,2830,0.04888888888888898
2011-03-11,2425,2425,2160,2330,1690,-0.012711864406779627
2011-03-14,2280,2370,2200,2245,3111,-0.03648068669527893
2011-03-15,2215,2240,2170,2170,501,-0.03340757238307346
2011-03-16,2200,2225,2105,2195,1150,0.011520737327188835
2011-03-17,2120,2175,2110,2175,511,-0.009111617312072884
2011-03-18,2180,2185,2105,2180,1121,0.0022988505747125743
2011-03-21,2180,2180,2100,2140,2990,-0.01834862385321101
2011-03-22,2180,2295,2100,2130,1996,-0.004672897196261627
2011-03-23,2130,2160,2080,2130,3160,0.0
2011-03-24,2130,2350,2130,2350,553,0.10328638497652576
2011-03-25,2320,2320,2215,2230,840,-0.051063829787234005
2011-03-28,2220,2220,2180,2220,1080,-0.004484304932735439
