Date,Open,High,Low,Close,Volume,Change
2011-01-03,346,352,346,349,154681,0.0
2011-01-04,346,350,342,343,201594,-0.017191977077363862
2011-01-05,343,366,336,361,748887,0.05247813411078717
2011-01-06,360,365,358,362,740070,0.0027700831024930483
2011-01-07,365,399,362,390,1802143,0.07734806629834257
2011-01-10,393,425,393,420,1956758,0.07692307692307687
2011-01-11,414,434,358,420,1532551,0.0
2011-01-12,419,470,414,463,3112933,0.10238095238095246
2011-01-13,462,508,448,471,2791600,0.017278617710583255
2011-01-14,451,481,436,478,1348480,0.014861995753715496
2011-01-17,477,498,462,465,842990,-0.027196652719665315
2011-01-18,460,469,446,465,1369116,0.0
2011-01-19,480,534,470,534,3503106,0.1483870967741936
2011-01-20,614,614,614,614,165140,0.14981273408239693
2011-01-21,706,706,690,706,10336604,0.14983713355048867
2011-01-24,755,811,730,754,18255253,0.06798866855524088
2011-01-25,754,867,703,754,24261807,0.0
2011-01-26,778,867,642,665,26074243,-0.11803713527851456
2011-01-27,656,698,648,679,6221405,0.021052631578947434
2011-01-28,692,693,657,671,3042292,-0.01178203240058906
2011-01-31,652,759,646,690,8315240,0.028315946348733245
2011-02-01,705,724,598,622,8148302,-0.09855072463768111
2011-02-07,620,665,610,635,3914550,0.020900321543408262
2011-02-08,635,681,622,664,4301271,0.045669291338582774
2011-02-09,671,763,661,763,10275326,0.14909638554216875
2011-02-10,800,800,695,727,7439817,-0.047182175622542566
2011-02-11,759,774,636,663,6695097,-0.08803301237964234
2011-02-14,667,711,640,706,4462604,0.06485671191553544
2011-02-15,716,744,694,731,4004258,0.03541076487252126
2011-02-16,733,840,733,840,9868098,0.1491108071135432
2011-02-17,850,961,749,930,15526555,0.1071428571428572
2011-02-18,936,1050,930,1015,7704108,0.09139784946236551
2011-02-21,998,1140,960,1105,6726735,0.08866995073891615
2011-02-22,1070,1270,1060,1145,8345873,0.03619909502262453
2011-02-23,1130,1240,1095,1165,7191895,0.017467248908296984
2011-02-24,1170,1190,1000,1095,5854295,-0.06008583690987124
