Date,Open,High,Low,Close,Volume,Change
2011-01-03,1152,1152,1105,1142,70180,-0.01211072664359858
2011-01-04,1138,1147,1120,1147,44911,0.004378283712784592
2011-01-05,1147,1152,1128,1156,17822,0.007846556233652935
2011-01-06,1162,1162,1131,1149,13737,-0.006055363321799345
2011-01-07,1143,1152,1128,1134,16396,-0.01305483028720622
2011-01-10,1135,1152,1120,1134,36727,0.0
2011-01-11,1135,1135,1112,1130,25075,-0.003527336860670194
2011-01-12,1124,1135,1110,1134,44515,0.003539823008849474
2011-01-13,1135,1183,1120,1184,64137,0.04409171075837737
2011-01-14,1171,1208,1143,1188,45784,0.0033783783783782884
2011-01-17,1183,1193,1147,1153,27455,-0.02946127946127941
2011-01-18,1138,1158,1135,1147,13163,-0.005203816131829964
2011-01-19,1135,1155,1135,1149,17602,0.0017436791630340842
2011-01-20,1143,1152,1120,1134,36389,-0.01305483028720622
2011-01-21,1112,1143,1099,1121,22329,-0.011463844797178102
2011-01-24,1120,1120,1105,1121,38956,0.0
2011-01-25,1112,1143,1110,1123,17266,0.001784121320249854
2011-01-26,1128,1177,1105,1111,51890,-0.010685663401602818
2011-01-27,1128,1131,1102,1111,33927,0.0
2011-01-28,1105,1117,1084,1099,39860,-0.010801080108010841
2011-01-31,1099,1128,1084,1090,14168,-0.008189262966333044
2011-02-01,1102,1102,1087,1099,14472,0.008256880733944927
2011-02-07,1099,1117,1099,1121,9798,0.020018198362147466
2011-02-08,1128,1143,1117,1142,16647,0.01873327386262269
2011-02-09,1141,1141,1120,1130,12411,-0.010507880910682998
2011-02-10,1124,1131,1110,1130,9807,0.0
2011-02-11,1124,1128,1099,1113,24261,-0.015044247787610598
2011-02-14,1102,1152,1102,1147,25162,0.03054806828391743
2011-02-15,1155,1166,1120,1160,16207,0.011333914559721103
2011-02-16,1155,1166,1128,1153,17081,-0.0060344827586207295
2011-02-17,1143,1158,1064,1117,19446,-0.031222896790980004
2011-02-18,1117,1117,1084,1121,10648,0.0035810205908684
2011-02-21,1120,1128,1102,1128,6960,0.006244424620874156
2011-02-22,1124,1131,1094,1117,4585,-0.009751773049645363
2011-02-23,1110,1112,1090,1103,12484,-0.0125335720680394
2011-02-24,1084,1110,1075,1090,13490,-0.011786038077969185
2011-02-25,1087,1162,1071,1117,43661,0.02477064220183478
2011-02-28,1120,1147,1084,1139,40260,0.01969561324977609
2011-03-02,1138,1197,1128,1192,113791,0.04653204565408253
2011-03-03,1188,1193,1147,1156,58938,-0.030201342281879207
2011-03-04,1158,1190,1158,1181,96929,0.021626297577854725
2011-03-07,1162,1183,1138,1142,115372,-0.03302286198137172
2011-03-08,1138,1162,1138,1164,60110,0.019264448336252293
2011-03-09,1162,1188,1143,1192,42507,0.02405498281786933
2011-03-10,1190,1190,1152,1192,52994,0.0
2011-03-11,1193,1193,1141,1181,24429,-0.009228187919463116
2011-03-14,1177,1197,1143,1166,47795,-0.012701100762066098
2011-03-15,1162,1193,1112,1176,77252,0.00857632933104635
2011-03-16,1171,1183,1155,1181,35600,0.00425170068027203
2011-03-17,1177,1177,1094,1130,43018,-0.04318374259102453
2011-03-18,1158,1158,1138,1147,18797,0.01504424778761071
2011-03-21,1141,1193,1141,1181,46196,0.0296425457715781
2011-03-22,1188,1230,1171,1220,201821,0.03302286198137172
2011-03-23,1223,1269,1219,1226,137582,0.004918032786885185
2011-03-24,1215,1255,1201,1255,115375,0.023654159869494373
2011-03-25,1264,1264,1211,1230,89680,-0.019920318725099584
2011-03-28,1234,1260,1226,1236,54524,0.004878048780487809
2011-03-29,1246,1299,1230,1252,72675,0.012944983818770295
2011-03-30,1238,1264,1211,1236,61224,-0.012779552715655007
2011-03-31,1219,1243,1211,1236,48230,0.0
2011-04-01,1226,1260,1215,1252,63807,0.012944983818770295
2011-04-04,1269,1276,1243,1267,96941,0.01198083067092659
2011-04-05,1276,1287,1246,1269,32321,0.0015785319652723562
2011-04-06,1260,1291,1250,1255,58951,-0.011032308904649346
2011-04-07,1257,1276,1238,1279,40343,0.01912350597609569
2011-04-08,1282,1296,1257,1286,51611,0.005473025801407294
2011-04-11,1287,1399,1276,1370,207637,0.06531881804043538
2011-04-12,1341,1393,1296,1366,75550,-0.0029197080291970545
2011-04-13,1359,1393,1326,1355,30552,-0.008052708638360162
2011-04-14,1356,1356,1296,1328,41194,-0.019926199261992572
2011-04-15,1317,1344,1276,1347,84854,0.014307228915662717
2011-04-18,1375,1397,1282,1361,76319,0.010393466963622755
2011-04-19,1352,1367,1326,1366,22133,0.0036737692872887973
2011-04-20,1367,1389,1291,1370,51131,0.002928257686676483
2011-04-21,1371,1375,1322,1377,65152,0.005109489051094984
2011-04-22,1371,1389,1341,1370,12033,-0.005083514887436413
2011-04-25,1367,1367,1276,1308,28585,-0.045255474452554734
2011-04-26,1322,1322,1211,1264,55651,-0.033639143730886834
2011-04-27,1257,1269,1219,1264,46371,0.0
2011-04-28,1279,1279,1226,1264,27123,0.0
2011-04-29,1226,1264,1226,1264,36447,0.0
2011-05-02,1260,1282,1238,1284,33428,0.015822784810126667
2011-05-03,1279,1279,1208,1250,20116,-0.026479750778816147
2011-05-04,1260,1260,1201,1252,46692,0.0016000000000000458
2011-05-06,1246,1257,1188,1226,52832,-0.02076677316293929
2011-05-09,1211,1226,1177,1202,61621,-0.019575856443719397
2011-05-11,1219,1219,1177,1202,6016,0.0
2011-05-12,1193,1234,1188,1210,28284,0.006655574043261225
2011-05-13,1205,1257,1205,1264,91386,0.044628099173553704
2011-05-16,1230,1311,1230,1308,60188,0.034810126582278444
2011-05-17,1291,1322,1241,1302,14940,-0.004587155963302725
2011-05-18,1276,1304,1246,1252,11568,-0.03840245775729645
2011-05-19,1241,1260,1197,1245,32603,-0.005591054313099031
2011-05-20,1257,1269,1197,1259,34329,0.011244979919678766
2011-05-23,1230,1279,1183,1196,46611,-0.05003971405877683
2011-05-24,1197,1197,1147,1160,43391,-0.030100334448160515
2011-05-25,1158,1208,1128,1199,53761,0.03362068965517251
2011-05-26,1152,1193,1147,1176,31251,-0.019182652210175122
2011-05-27,1174,1211,1152,1181,18989,0.00425170068027203
2011-05-30,1177,1193,1155,1181,13452,0.0
2011-05-31,1177,1183,1135,1166,31545,-0.012701100762066098
2011-06-01,1188,1188,1141,1156,43705,-0.00857632933104635
2011-06-02,1152,1158,1117,1153,36453,-0.002595155709342545
2011-06-03,1143,1143,1112,1147,33476,-0.005203816131829964
2011-06-07,1120,1155,1120,1149,36631,0.0017436791630340842
2011-06-08,1128,1171,1117,1134,37300,-0.01305483028720622
2011-06-09,1131,1166,1131,1169,18428,0.030864197530864113
2011-06-10,1174,1181,1141,1164,8497,-0.004277159965782706
2011-06-13,1152,1183,1120,1188,30416,0.020618556701030855
2011-06-14,1183,1183,1141,1184,28372,-0.0033670033670033517
2011-06-15,1181,1193,1152,1184,13089,0.0
2011-06-16,1181,1190,1141,1196,27472,0.010135135135135087
2011-06-17,1341,1359,1135,1139,167776,-0.047658862876254204
2011-06-20,1155,1215,1135,1202,49646,0.05531167690956984
2011-06-21,1226,1226,1158,1188,17457,-0.011647254575707144
2011-06-22,1171,1187,1138,1166,60123,-0.01851851851851849
2011-06-23,1171,1174,1138,1176,34110,0.00857632933104635
2011-06-24,1174,1211,1143,1149,59824,-0.022959183673469385
2011-06-27,1143,1174,1124,1153,32084,0.003481288076588429
2011-06-28,1147,1174,1124,1149,25031,-0.003469210754553309
2011-06-29,1155,1190,1141,1166,19991,0.014795474325500546
