Date,Open,High,Low,Close,Volume,Change
2011-01-03,1890,1935,1880,1930,672533,0.03208556149732611
2011-01-04,1940,1980,1920,1935,1128200,0.002590673575129543
2011-01-05,1935,1940,1900,1910,458649,-0.012919896640826822
2011-01-06,1915,1935,1890,1900,599253,-0.005235602094240788
2011-01-07,1900,1955,1885,1955,732307,0.02894736842105261
2011-01-10,1950,2025,1940,1975,1693275,0.010230179028132946
2011-01-11,1990,2040,1935,1950,1374164,-0.012658227848101222
2011-01-12,1955,1985,1945,1960,714322,0.00512820512820511
2011-01-13,1970,2015,1945,1960,1276933,0.0
2011-01-14,1960,1990,1930,1985,890201,0.012755102040816313
2011-01-17,2035,2100,2005,2005,1905315,0.010075566750629816
2011-01-18,2015,2020,1985,2000,697426,-0.0024937655860348684
2011-01-19,2010,2100,1990,2100,1754203,0.050000000000000044
2011-01-20,2105,2150,2080,2100,1457830,0.0
2011-01-21,2100,2100,1985,1990,1315272,-0.05238095238095242
2011-01-24,1995,2010,1970,1975,504481,-0.007537688442211032
2011-01-25,2030,2030,1970,1970,508954,-0.0025316455696202667
2011-01-26,1970,1995,1955,1960,450137,-0.005076142131979711
2011-01-27,1960,1980,1925,1955,680323,-0.0025510204081632404
2011-01-28,1970,1975,1930,1935,364189,-0.010230179028132946
2011-01-31,1925,1930,1850,1850,804112,-0.043927648578811374
2011-02-01,1860,1905,1855,1865,527875,0.008108108108108025
2011-02-07,1895,1960,1895,1925,546776,0.03217158176943702
2011-02-08,2140,2210,2125,2210,3378898,0.148051948051948
2011-02-09,2330,2390,2210,2350,13394982,0.06334841628959276
2011-02-10,2350,2415,2240,2240,6624949,-0.04680851063829783
2011-02-11,2250,2300,2100,2100,3985084,-0.0625
2011-02-14,2140,2190,2110,2185,3332588,0.040476190476190554
2011-02-15,2160,2235,2120,2200,3414535,0.006864988558352492
2011-02-16,2165,2240,2100,2110,2783896,-0.040909090909090895
2011-02-17,2115,2175,2030,2055,2022437,-0.026066350710900466
2011-02-18,2060,2100,2030,2100,1054429,0.021897810218978186
2011-02-21,2125,2190,2105,2145,1772453,0.021428571428571352
2011-02-22,2100,2130,2025,2040,1389083,-0.04895104895104896
2011-02-23,2035,2115,1990,2035,1350472,-0.002450980392156854
2011-02-24,2020,2255,2005,2180,5397868,0.07125307125307123
2011-02-25,2155,2215,2130,2195,1922550,0.006880733944954143
2011-02-28,2190,2210,2060,2060,1899133,-0.06150341685649208
2011-03-02,2000,2080,1985,2045,889601,-0.007281553398058249
2011-03-03,2050,2125,2045,2100,1031282,0.02689486552567244
2011-03-04,2130,2160,2090,2095,957605,-0.0023809523809523725
2011-03-07,2115,2125,2045,2055,826997,-0.019093078758949833
2011-03-08,2075,2130,2055,2125,1018712,0.03406326034063256
2011-03-09,2135,2140,2080,2080,776315,-0.02117647058823524
2011-03-10,2080,2105,2025,2080,982978,0.0
2011-03-11,2025,2060,2010,2045,629581,-0.016826923076923128
2011-03-14,2030,2070,1900,1945,942729,-0.0488997555012225
2011-03-15,1940,1965,1745,1845,1651363,-0.05141388174807193
