Date,Open,High,Low,Close,Volume,Change
2019-07-30,16625,17950,15075,16675,2846253,
2019-07-31,16350,19000,16100,16925,1319368,0.014992503748125996
2019-08-01,16700,17925,16200,17500,500848,0.033973412112259904
2019-08-02,17100,17725,16775,17150,205667,-0.020000000000000018
2019-08-05,17125,17125,14849,15300,281506,-0.10787172011661805
2019-08-06,14575,16375,14400,14850,209617,-0.02941176470588236
2019-08-07,15950,16975,14675,16000,316054,0.07744107744107742
2019-08-08,16000,16900,15950,16750,176930,0.046875
2019-08-09,16900,18100,16475,18100,227535,0.08059701492537319
2019-08-12,18425,19200,17575,17875,343049,-0.012430939226519389
2019-08-13,17700,17725,16800,16900,193591,-0.054545454545454564
2019-08-14,17150,17325,16575,16575,163996,-0.019230769230769273
2019-08-16,16350,16350,14725,15275,252620,-0.07843137254901966
2019-08-19,15475,15675,14425,14575,221802,-0.04582651391162029
2019-08-20,14749,15900,14525,15900,250731,0.09090909090909083
2019-08-21,15925,16875,15900,16475,210789,0.036163522012578664
2019-08-22,16475,17400,15750,16775,271169,0.018209408194233667
2019-08-23,16525,17250,16125,16350,126986,-0.025335320417287588
2019-08-26,15775,16350,15550,16000,94993,-0.021406727828746197
2019-08-27,16400,16700,15875,15900,74815,-0.006249999999999978
2019-08-28,16000,16250,15800,16125,44417,0.014150943396226356
2019-08-29,16125,16200,15400,15500,88502,-0.03875968992248058
2019-08-30,15800,15950,15250,15350,100050,-0.009677419354838679
2019-09-02,15500,15625,15150,15625,61277,0.01791530944625408
2019-09-03,15625,16150,15600,15975,129726,0.022399999999999975
2019-09-04,16000,16750,15750,16750,108331,0.04851330203442883
2019-09-05,16800,17225,16625,16875,122634,0.00746268656716409
2019-09-06,16850,17125,16125,16400,114280,-0.028148148148148144
2019-09-09,16750,17225,16325,16850,154609,0.027439024390243816
2019-09-10,17125,17600,16700,16975,196474,0.007418397626112849
2019-09-11,17000,17000,16250,16575,103608,-0.02356406480117823
2019-09-16,16600,17050,16200,16450,85375,-0.007541478129713397
2019-09-17,16350,16400,15675,15950,148153,-0.03039513677811545
2019-09-18,15875,16175,15800,16050,68593,0.006269592476489061
2019-09-19,16150,17000,16125,16950,165833,0.05607476635514019
2019-09-20,17075,17450,16675,16950,147630,0.0
2019-09-23,16900,17500,16625,17500,137284,0.032448377581120846
2019-09-24,17500,18300,17350,18000,236827,0.02857142857142847
2019-09-25,18225,18850,17775,18100,263280,0.005555555555555536
2019-09-26,18600,18800,18125,18350,130151,0.013812154696132506
2019-09-27,18450,19850,18425,19850,310438,0.08174386920980936
