Date,Open,High,Low,Close,Volume,Change
2011-01-03,15450,15850,15450,15800,34852,0.016077170418006492
2011-01-04,15800,16350,15700,16050,101800,0.015822784810126667
2011-01-05,16200,16250,15900,16050,62230,0.0
2011-01-06,17100,17650,16250,16350,276175,0.01869158878504673
2011-01-07,16350,16500,16200,16500,53950,0.00917431192660545
2011-01-10,16500,16500,16100,16300,48510,-0.012121212121212088
2011-01-11,16250,16450,16050,16450,35290,0.009202453987730008
2011-01-12,16500,16800,16350,16500,83933,0.003039513677811634
2011-01-13,16500,16600,16050,16550,95996,0.003030303030302939
2011-01-14,16650,17050,16200,16900,111830,0.02114803625377637
2011-01-17,17100,17300,16800,17000,110426,0.00591715976331364
2011-01-18,17100,18000,16800,18000,203906,0.05882352941176472
2011-01-19,18200,18650,17600,17700,109535,-0.01666666666666672
2011-01-20,17550,17800,17350,17650,75860,-0.0028248587570621764
2011-01-21,17700,17950,17500,17600,50360,-0.0028328611898017497
2011-01-24,17600,17800,17400,17700,38340,0.005681818181818121
2011-01-25,17900,17900,17050,17400,79950,-0.016949152542372836
2011-01-26,17350,17400,17050,17400,46760,0.0
2011-01-27,17500,17700,17250,17600,43078,0.011494252873563315
2011-01-28,17650,17650,17000,17000,107680,-0.03409090909090906
2011-01-31,16800,17150,16700,17000,28954,0.0
2011-02-01,17000,17500,16800,17400,49610,0.0235294117647058
2011-02-07,17450,17950,17450,17700,46913,0.01724137931034475
2011-02-08,17550,17850,17450,17850,23940,0.008474576271186418
2011-02-09,17900,17950,17650,17950,20870,0.0056022408963585235
2011-02-10,17850,18000,17550,17800,14604,-0.00835654596100277
2011-02-11,17800,18000,17650,17950,78370,0.008426966292134797
2011-02-14,18200,18300,17750,17800,32293,-0.00835654596100277
2011-02-15,17600,17900,17100,17300,49442,-0.028089887640449396
2011-02-16,17200,17550,17050,17500,20680,0.011560693641618602
2011-02-17,17300,17650,16750,17000,32000,-0.02857142857142858
2011-02-18,17000,17150,16450,16500,74020,-0.02941176470588236
2011-02-21,16700,16700,16250,16600,15250,0.0060606060606061
2011-02-22,16550,16600,15950,16100,40728,-0.030120481927710885
2011-02-23,16000,16250,15750,16100,37511,0.0
2011-02-24,15900,16000,15700,15950,15255,-0.009316770186335366
2011-02-25,15950,15950,15750,15950,16830,0.0
2011-02-28,16350,16700,15750,15900,16701,-0.0031347962382445305
2011-03-02,15900,16000,15650,15650,15821,-0.01572327044025157
2011-03-03,15600,15850,15400,15600,37580,-0.0031948881789137795
2011-03-04,15800,15800,14900,15000,202410,-0.038461538461538436
2011-03-07,14950,15150,14750,14950,74114,-0.0033333333333332993
2011-03-08,14950,15100,14850,15100,40350,0.010033444816053505
2011-03-09,15150,15150,14900,15100,47232,0.0
2011-03-10,15100,15200,14950,15150,15318,0.0033112582781456013
2011-03-11,14900,15200,14800,15100,27790,-0.0033003300330033403
