Date,Open,High,Low,Close,Volume,Change
2011-01-03,2075,2075,2025,2045,74045,0.002450980392156854
2011-01-04,2050,2180,2030,2145,260846,0.0488997555012225
2011-01-05,2150,2300,2120,2295,629712,0.06993006993007
2011-01-06,2355,2490,2170,2170,1399429,-0.05446623093681913
2011-01-07,2230,2495,2185,2495,2057984,0.14976958525345618
2011-01-10,2680,2865,2550,2620,9244747,0.05010020040080154
2011-01-11,2585,2930,2470,2495,5637732,-0.04770992366412219
2011-01-12,2505,2560,2265,2325,4605252,-0.06813627254509014
2011-01-13,2335,2465,2280,2305,2735124,-0.008602150537634357
2011-01-14,2320,2435,2320,2365,1740897,0.026030368763557465
2011-01-17,2385,2475,2280,2280,1367711,-0.03594080338266381
2011-01-18,2275,2310,2220,2240,782266,-0.01754385964912286
2011-01-19,2250,2570,2220,2390,5138574,0.06696428571428581
2011-01-20,2405,2625,2315,2505,5903925,0.04811715481171541
2011-01-21,2480,2535,2390,2440,1996423,-0.02594810379241519
2011-01-24,2450,2705,2440,2550,4548561,0.04508196721311486
2011-01-25,2540,2605,2340,2340,1507947,-0.08235294117647063
2011-01-26,2390,2400,2320,2330,487387,-0.004273504273504258
2011-01-27,2355,2525,2355,2455,1297299,0.05364806866952798
2011-01-28,2470,2820,2400,2575,9016602,0.048879837067209886
2011-01-31,2550,2690,2510,2595,2332728,0.007766990291262044
2011-02-01,2630,2720,2500,2550,1177635,-0.017341040462427793
2011-02-07,2550,2930,2550,2930,6786264,0.14901960784313717
2011-02-08,3130,3365,3065,3365,10980133,0.1484641638225257
2011-02-09,3450,3530,3240,3420,18752945,0.01634472511144125
2011-02-10,3420,3570,3135,3230,8536044,-0.05555555555555558
2011-02-11,3275,3350,2995,3080,6651933,-0.04643962848297212
2011-02-14,3090,3185,2980,3090,7894235,0.0032467532467532756
2011-02-15,3235,3550,3190,3550,3885520,0.1488673139158576
2011-02-16,3880,3980,3500,3650,11253400,0.028169014084507005
2011-02-17,3560,3600,3105,3125,6061970,-0.14383561643835618
2011-02-18,3190,3315,3150,3235,4465577,0.0351999999999999
2011-02-21,3240,3720,3150,3720,8996373,0.14992272024729525
2011-02-22,3600,4070,3370,3460,14239394,-0.06989247311827962
2011-02-23,3520,3975,3460,3975,5184620,0.14884393063583823
2011-02-24,4150,4490,3660,3850,16677619,-0.03144654088050314
2011-02-25,3935,4335,3820,4140,14641187,0.07532467532467524
2011-02-28,4240,4285,3960,4070,8805988,-0.016908212560386437
2011-03-02,4140,4310,3730,3835,8765040,-0.057739557739557745
2011-03-03,3900,4115,3830,4000,6542073,0.0430247718383312
2011-03-04,4100,4455,4100,4200,9560797,0.050000000000000044
2011-03-07,4115,4225,4010,4090,3326975,-0.02619047619047621
2011-03-08,4070,4195,3815,4000,4559339,-0.022004889975550168
2011-03-09,4005,4170,3755,3760,6073102,-0.06000000000000005
2011-03-10,3810,4050,3770,3810,6317826,0.013297872340425565
2011-03-11,3880,3885,3465,3560,5118168,-0.06561679790026242
2011-03-14,3440,3545,3325,3475,3450142,-0.023876404494381998
2011-03-15,3470,3780,3090,3280,6038216,-0.05611510791366903
2011-03-16,3360,3480,3250,3315,2891820,0.010670731707317138
2011-03-17,3200,3420,3150,3280,2903947,-0.010558069381598756
2011-03-18,3300,3415,3280,3290,2308547,0.0030487804878047697
2011-03-21,3320,3405,3305,3405,1448767,0.0349544072948329
2011-03-22,3460,3650,3410,3460,4042154,0.01615271659324513
2011-03-23,3495,3525,3370,3370,2231622,-0.026011560693641633
2011-03-24,3380,3465,3220,3245,1544645,-0.0370919881305638
2011-03-25,3265,3385,3160,3350,1763132,0.03235747303543923
2011-03-28,3360,3445,3295,3315,1451319,-0.010447761194029903
2011-03-29,3350,3455,3340,3430,1934211,0.03469079939668185
2011-03-30,3450,3485,3375,3390,1852528,-0.011661807580174877
2011-03-31,3455,3710,3405,3470,5567692,0.02359882005899716
2011-04-01,3505,3570,3405,3530,1423525,0.01729106628242083
2011-04-04,3565,3610,3505,3505,1389755,-0.007082152974504208
2011-04-05,3520,3560,3420,3420,1166979,-0.024251069900142697
2011-04-06,3460,3705,3410,3465,4813232,0.013157894736842035
2011-04-07,3515,3560,3410,3410,1289588,-0.015873015873015928
2011-04-08,3440,3545,3400,3520,1931365,0.032258064516129004
2011-04-11,3515,3690,3490,3550,3444704,0.008522727272727293
2011-04-12,3560,3625,3420,3460,1503816,-0.025352112676056304
2011-04-13,3460,3520,3390,3420,1267316,-0.011560693641618491
2011-04-14,3485,3700,3455,3695,2719920,0.08040935672514626
2011-04-15,3685,3830,3555,3615,3224071,-0.021650879566982417
2011-04-18,3635,3660,3480,3500,1329267,-0.0318118948824343
2011-04-19,3490,3680,3450,3480,1753411,-0.005714285714285672
2011-04-20,3500,3620,3470,3470,1455595,-0.002873563218390829
2011-04-21,3500,3500,3105,3170,2101997,-0.08645533141210371
2011-04-22,3150,3270,3020,3055,1793783,-0.0362776025236593
2011-04-25,3040,3170,3025,3030,1174188,-0.008183306055646433
2011-04-26,3035,3100,2850,2855,1194611,-0.05775577557755773
2011-04-27,2855,2950,2825,2850,1151370,-0.0017513134851138146
2011-04-28,2900,3050,2820,2820,1775995,-0.010526315789473717
2011-04-29,2910,2975,2805,2850,978812,0.010638297872340496
2011-05-02,2870,2980,2860,2930,861469,0.02807017543859658
2011-05-03,2950,3245,2915,3245,3140682,0.10750853242320813
2011-05-04,3245,3305,3120,3170,2949501,-0.023112480739599373
2011-05-06,3180,3490,3145,3255,3859337,0.02681388012618302
2011-05-09,3310,3435,3240,3270,1695502,0.004608294930875667
2011-05-11,3300,3395,3185,3185,1497783,-0.025993883792048922
2011-05-12,3120,3190,2960,2965,994886,-0.06907378335949765
2011-05-13,3010,3020,2905,2940,665606,-0.00843170320404718
2011-05-16,2905,3060,2905,2940,634481,0.0
2011-05-17,2970,3015,2895,2910,590719,-0.010204081632653073
2011-05-18,2915,2995,2915,2940,553997,0.010309278350515427
2011-05-19,2970,2970,2600,2640,1014820,-0.10204081632653061
2011-05-20,2605,2705,2545,2650,723710,0.0037878787878788955
2011-05-23,2640,2650,2445,2445,498417,-0.07735849056603772
2011-05-24,2400,2580,2390,2530,633772,0.03476482617586907
2011-05-25,2505,2855,2495,2710,2297930,0.07114624505928857
2011-05-26,2720,2950,2575,2720,2478524,0.0036900369003689537
2011-05-27,2760,2840,2645,2685,1004128,-0.012867647058823484
2011-05-30,2815,2930,2765,2765,1607474,0.029795158286778367
2011-05-31,2780,2810,2630,2670,605598,-0.03435804701627487
2011-06-01,2690,2920,2675,2800,2255267,0.04868913857677892
2011-06-02,2710,2890,2690,2770,1849360,-0.010714285714285676
2011-06-03,2810,3185,2785,2990,7687024,0.07942238267148016
2011-06-07,3075,3180,2975,3035,3383908,0.015050167224080369
2011-06-08,3010,3065,2930,2965,1373958,-0.023064250411861664
2011-06-09,2925,3035,2875,2930,1551991,-0.01180438448566612
2011-06-10,2955,3000,2815,2835,1220522,-0.03242320819112632
2011-06-13,2845,2925,2685,2730,866988,-0.03703703703703709
2011-06-14,2730,2800,2720,2800,691521,0.02564102564102555
2011-06-15,2800,2890,2790,2850,615107,0.017857142857142794
2011-06-16,2810,2940,2790,2840,750881,-0.0035087719298245723
2011-06-17,2885,3200,2760,3035,2717563,0.06866197183098599
2011-06-20,3035,3075,2920,2935,1364454,-0.0329489291598023
2011-06-21,2940,3115,2940,3100,2442236,0.05621805792163537
2011-06-22,3165,3220,3045,3110,1868574,0.003225806451612856
2011-06-23,3145,3225,3120,3160,1565191,0.016077170418006492
2011-06-24,3195,3320,3125,3170,2126137,0.0031645569620253333
2011-06-27,3140,3230,3080,3230,1469641,0.018927444794952786
2011-06-28,3230,3410,3165,3310,2394332,0.024767801857585203
2011-06-29,3320,3460,3275,3400,2559324,0.027190332326284095
2011-06-30,3410,3430,3310,3310,1012946,-0.026470588235294135
2011-07-01,3335,3370,3210,3275,885649,-0.010574018126888185
2011-07-04,3260,3450,3255,3360,1891035,0.025954198473282508
2011-07-05,3410,3630,3390,3445,3950789,0.02529761904761907
2011-07-06,3475,3495,3385,3425,951281,-0.005805515239477477
2011-07-07,3400,3440,3345,3345,723013,-0.023357664233576658
2011-07-08,3345,3785,3265,3560,6741700,0.06427503736920781
2011-07-11,3635,4090,3580,4090,9535828,0.148876404494382
2011-07-12,4075,4660,4040,4385,17147455,0.07212713936430326
2011-07-13,4400,4530,3875,3925,7929447,-0.10490307867730897
2011-07-14,4035,4510,3970,4510,7674155,0.1490445859872611
2011-07-15,4780,5180,4765,5180,6953141,0.14855875831485577
2011-07-18,5680,5730,5130,5220,20841133,0.007722007722007707
2011-07-19,5170,6000,5020,5810,24212735,0.11302681992337171
2011-07-20,5800,6080,5500,5500,16161812,-0.05335628227194489
2011-07-21,5420,5720,5090,5360,8888336,-0.025454545454545507
2011-07-22,5550,5680,5290,5370,8746201,0.001865671641791078
2011-07-25,5320,5650,5070,5160,6759966,-0.03910614525139666
2011-07-26,5260,5760,5250,5420,10879933,0.050387596899224896
2011-07-27,5470,6230,5420,6230,16172287,0.14944649446494473
2011-07-28,6410,6950,6230,6450,20863579,0.035313001605136396
2011-07-29,6600,7150,6530,6810,18301453,0.05581395348837215
2011-08-01,6700,6890,6450,6640,8538379,-0.02496328928046987
2011-08-02,6720,7350,6670,7030,16375701,0.05873493975903621
2011-08-03,6890,6970,6320,6460,6860889,-0.08108108108108103
2011-08-04,6620,6870,5700,5900,9786867,-0.08668730650154799
2011-08-05,5500,5600,5020,5590,8553457,-0.05254237288135588
2011-08-08,5520,6060,4865,5400,11066555,-0.03398926654740608
2011-08-09,5090,5260,4590,4770,5912242,-0.1166666666666667
2011-08-10,5240,5330,4940,5120,5840261,0.0733752620545074
2011-08-11,4650,5480,4640,5280,6800244,0.03125
2011-08-12,5470,5800,5280,5280,8175380,0.0
2011-08-16,5560,5680,5460,5630,3649609,0.0662878787878789
2011-08-17,5600,6330,5540,6050,11071012,0.07460035523978692
2011-08-18,6150,6270,5570,5750,5387928,-0.04958677685950408
2011-08-19,5310,5440,4890,4890,4601444,-0.14956521739130435
2011-08-22,4900,5170,4700,4950,3547654,0.012269938650306678
2011-08-23,5100,5570,5060,5230,5647818,0.056565656565656486
2011-08-24,5370,5660,5100,5100,4111586,-0.0248565965583174
2011-08-25,5330,5460,4910,5200,2194070,0.019607843137254832
2011-08-26,5170,5550,5110,5450,5148049,0.04807692307692313
2011-08-29,5570,5640,5420,5470,3192818,0.003669724770642091
2011-08-30,5600,5740,5430,5490,3835555,0.003656307129798808
2011-08-31,5570,5860,5510,5800,4435345,0.0564663023679417
2011-09-01,5800,5880,5260,5450,3858162,-0.06034482758620685
2011-09-02,5440,5610,5200,5410,2286370,-0.007339449541284404
2011-09-05,5270,5570,5050,5050,2873116,-0.06654343807763397
2011-09-06,4860,5300,4500,4600,3998608,-0.08910891089108908
2011-09-07,4790,5110,4790,5080,3011760,0.10434782608695659
2011-09-08,5060,5070,4320,4350,3880839,-0.14370078740157477
2011-09-09,4275,4540,4275,4450,1524561,0.02298850574712641
2011-09-14,4455,4890,4350,4350,3263484,-0.022471910112359605
2011-09-15,4510,4620,3790,4050,2887702,-0.06896551724137934
2011-09-16,4180,4335,3940,4245,3759452,0.04814814814814805
2011-09-19,4245,4620,4105,4340,4057258,0.022379269729092988
2011-09-20,4280,4450,4190,4220,2247156,-0.027649769585253448
2011-09-21,4285,4850,4260,4850,8012232,0.14928909952606628
2011-09-22,4890,4995,4590,4600,12075829,-0.05154639175257736
2011-09-23,4350,4405,3950,3950,5042502,-0.14130434782608692
2011-09-26,4050,4125,3360,3360,4996525,-0.14936708860759496
2011-09-27,3530,3740,3480,3685,3469499,0.09672619047619047
2011-09-28,3790,3990,3505,3505,3308593,-0.048846675712347354
2011-09-29,3505,3930,3470,3795,5526114,0.08273894436519269
2011-09-30,3840,4060,3755,3895,4233061,0.026350461133069825
2011-10-04,3565,3795,3430,3675,3175053,-0.056482670089858744
2011-10-05,3775,3870,3540,3600,3502168,-0.020408163265306145
2011-10-06,3800,4075,3765,3830,5776564,0.06388888888888888
2011-10-07,3960,4135,3915,4060,3554469,0.06005221932114879
2011-10-10,4130,4420,4105,4280,4381980,0.054187192118226646
2011-10-11,4410,4510,4170,4175,4452699,-0.02453271028037385
2011-10-12,4250,4355,4115,4250,3194751,0.017964071856287456
2011-10-13,4350,4440,4300,4315,3242339,0.015294117647058902
2011-10-14,4315,4625,4090,4520,6944334,0.04750869061413665
2011-10-17,4530,4765,4460,4480,4252213,-0.008849557522123908
2011-10-18,4350,4610,4255,4400,4322238,-0.017857142857142905
2011-10-19,4540,4830,4465,4570,6416409,0.03863636363636358
2011-10-20,4575,4725,4285,4325,3969830,-0.05361050328227568
2011-10-21,4440,4675,4360,4560,3718917,0.054335260115606854
2011-10-24,4650,4725,4530,4560,3056504,0.0
2011-10-25,4600,4665,4480,4500,2946074,-0.013157894736842146
2011-10-26,4515,4690,4410,4580,4369962,0.01777777777777767
2011-10-27,4650,4965,4500,4740,8510205,0.03493449781659397
