Date,Open,High,Low,Close,Volume,Change
2011-01-03,11600,11600,11000,11400,2213,-0.012987012987012991
2011-01-04,11649,11700,11000,11600,1943,0.01754385964912286
2011-01-05,11550,11700,11400,11500,1133,-0.008620689655172376
2011-01-06,11550,11600,11300,11500,1841,0.0
2011-01-07,11400,11700,11300,11500,516,0.0
2011-01-10,11400,11599,11250,11250,2002,-0.021739130434782594
2011-01-11,11400,11400,10950,11200,1110,-0.004444444444444473
2011-01-12,11200,11450,11100,11450,894,0.022321428571428603
2011-01-13,11450,11500,11100,11350,448,-0.008733624454148492
2011-01-14,11150,11400,11150,11350,58,0.0
2011-01-17,11400,11400,10799,10950,1346,-0.03524229074889873
2011-01-18,10799,11200,10799,11150,559,0.0182648401826484
2011-01-19,11000,11450,11000,11450,964,0.026905829596412634
2011-01-20,11450,11950,11150,11800,7783,0.03056768558951961
2011-01-21,11800,11899,11550,11800,902,0.0
2011-01-24,12000,13399,12000,13100,13900,0.11016949152542366
2011-01-25,13100,13200,12550,12950,1232,-0.011450381679389277
2011-01-26,12650,13400,12600,13150,1972,0.015444015444015413
2011-01-27,13300,13450,13150,13250,2214,0.0076045627376426506
2011-01-28,13400,13750,13200,13700,1599,0.03396226415094339
2011-01-31,13700,13700,13050,13600,3965,-0.007299270072992692
2011-02-01,13600,13650,13350,13650,445,0.003676470588235281
2011-02-07,13550,13650,13300,13650,587,0.0
2011-02-08,13200,13750,13200,13600,583,-0.00366300366300365
2011-02-09,13399,13800,13100,13100,1289,-0.03676470588235292
2011-02-10,13000,13400,13000,13400,2339,0.022900763358778553
2011-02-11,13000,13650,12500,12850,830,-0.04104477611940294
2011-02-14,12200,13300,12150,12350,4240,-0.03891050583657585
2011-02-15,12350,12600,11700,12050,1161,-0.02429149797570851
2011-02-16,11850,12400,11850,12300,1261,0.020746887966804906
2011-02-17,12650,12650,12050,12200,143,-0.008130081300813052
2011-02-18,12050,12800,12050,12700,3242,0.040983606557376984
2011-02-21,12850,12900,12450,12800,704,0.007874015748031482
2011-02-22,12850,12850,12400,12700,76,-0.0078125
2011-02-23,12700,12700,12150,12550,170,-0.011811023622047223
2011-02-24,12550,12700,12150,12700,2320,0.01195219123505975
2011-02-25,12350,12699,12299,12600,59,-0.007874015748031482
2011-02-28,12200,12900,12150,12700,333,0.007936507936507908
2011-03-02,12150,12800,11950,11950,347,-0.05905511811023623
2011-03-03,11950,13000,11950,12450,831,0.04184100418410042
2011-03-04,12600,12600,12050,12400,165,-0.004016064257028162
2011-03-07,12350,12400,12200,12200,363,-0.016129032258064502
2011-03-08,12000,12300,12000,12300,418,0.008196721311475308
2011-03-09,12300,12300,12050,12250,354,-0.004065040650406471
2011-03-10,12000,12500,11950,12500,598,0.020408163265306145
2011-03-11,12450,12450,12200,12350,28,-0.01200000000000001
2011-03-14,12400,12400,11800,12400,315,0.004048582995951344
2011-03-15,12300,12300,11100,11650,1082,-0.06048387096774188
2011-03-16,11400,11900,11400,11650,68,0.0
2011-03-17,11650,11650,10900,11100,395,-0.047210300429184504
2011-03-18,11200,11550,11200,11300,307,0.018018018018018056
2011-03-21,11400,11900,11400,11750,654,0.03982300884955747
2011-03-22,11850,11900,11750,11900,46,0.012765957446808418
2011-03-23,11400,12200,11400,11850,89,-0.004201680672268893
2011-03-24,11850,12350,11850,12200,4529,0.029535864978903037
2011-03-25,12350,12350,12050,12200,631,0.0
2011-03-28,12200,12399,11850,12150,571,-0.004098360655737654
2011-03-29,11850,12700,11850,12700,749,0.04526748971193406
2011-03-30,12400,12800,12350,12450,382,-0.019685039370078705
2011-03-31,12400,12600,12350,12450,189,0.0
2011-04-01,12450,12450,12050,12300,86,-0.012048192771084376
2011-04-04,12500,12500,12150,12300,567,0.0
2011-04-05,12250,12400,12100,12400,826,0.008130081300812941
2011-04-06,12200,12600,12150,12250,160,-0.012096774193548376
2011-04-07,12050,12150,11800,12000,564,-0.020408163265306145
2011-04-08,12200,12200,11950,11950,246,-0.004166666666666652
2011-04-11,11900,12150,11850,12150,237,0.01673640167364021
2011-04-12,12000,12200,11800,11950,104,-0.016460905349794275
