Date,Open,High,Low,Close,Volume,Change
2015-11-30,2359,2423,2099,2116,1151035,
2015-12-01,2126,2129,1984,2062,495937,-0.025519848771266562
2015-12-02,2241,2457,2176,2228,702480,0.08050436469447142
2015-12-03,2193,2426,2183,2309,518626,0.03635547576301623
2015-12-04,2322,2345,2193,2315,112614,0.0025985275010826925
2015-12-07,2322,2342,2217,2251,82698,-0.027645788336933097
2015-12-08,2247,2268,2082,2120,140993,-0.05819635717458904
2015-12-09,2160,2261,2119,2207,74735,0.04103773584905657
2015-12-10,2207,2214,2129,2167,38948,-0.01812415043044857
2015-12-11,2166,2214,2028,2147,55235,-0.00922934933087216
2015-12-14,2126,2187,2058,2126,38882,-0.00978108989287374
2015-12-15,2210,2210,2065,2086,34166,-0.01881467544684856
2015-12-16,2065,2126,2058,2089,53191,0.0014381591562799834
2015-12-17,2126,2146,2085,2126,60001,0.017711823839157592
2015-12-18,2102,2122,2075,2086,53711,-0.01881467544684856
2015-12-21,2099,2106,2052,2066,49542,-0.009587727708533111
2015-12-22,2072,2146,2072,2106,16771,0.019361084220716362
2015-12-23,2106,2129,2082,2096,52772,-0.0047483380816714105
2015-12-24,2048,2133,2048,2076,69071,-0.009541984732824416
2015-12-28,2193,2193,2065,2153,110722,0.037090558766859294
2015-12-29,2079,2149,2079,2116,31891,-0.01718532280538787
2015-12-30,2082,2183,2072,2076,100371,-0.018903591682419618
2016-01-04,2085,2119,2065,2082,46602,0.0028901734104045396
2016-01-05,2035,2106,2035,2089,8922,0.00336215177713739
2016-01-06,2085,2173,2085,2136,64141,0.022498803255146083
2016-01-07,2089,2193,2089,2147,31248,0.005149812734082326
2016-01-08,2092,2183,2092,2133,33124,-0.00652072659524916
2016-01-11,2126,2136,2082,2093,22216,-0.01875293014533519
2016-01-12,2068,2109,2068,2093,38075,0.0
2016-01-13,2126,2149,2082,2116,25842,0.01098901098901095
2016-01-14,2079,2133,2075,2106,5032,-0.00472589792060496
2016-01-15,2146,2146,2079,2113,22180,0.003323836657169954
2016-01-18,2133,2133,2072,2116,8567,0.0014197823000472454
2016-01-19,2116,2116,2065,2096,13520,-0.009451795841209809
2016-01-20,2092,2095,2004,2055,11812,-0.01956106870229013
2016-01-21,2058,2058,1998,2039,43483,-0.007785888077858849
2016-01-22,2011,2045,1964,2042,28049,0.0014713094654241754
2016-01-25,2025,2058,2021,2049,11664,0.00342801175318308
2016-01-26,2014,2045,2014,2018,36448,-0.01512933138116157
2016-01-27,2025,2025,1991,2025,3851,0.003468780971258578
2016-01-28,2025,2048,2021,2028,4667,0.001481481481481417
2016-01-29,2028,2045,2018,2025,8419,-0.0014792899408283544
2016-02-01,2055,2058,2004,2052,17179,0.01333333333333342
2016-02-02,2018,2048,2018,2045,4531,-0.003411306042884976
2016-02-03,2045,2045,1994,2022,8857,-0.011246943765281125
2016-02-04,2025,2041,1991,2022,9861,0.0
2016-02-05,2008,2031,2008,2022,23609,0.0
2016-02-11,1964,2021,1964,2012,5243,-0.004945598417408492
2016-02-12,2075,2075,1957,1971,11952,-0.020377733598409553
2016-02-15,2052,2544,1923,2099,362435,0.06494165398274987
2016-02-16,2153,2156,2092,2106,61411,0.0033349213911386677
2016-02-17,2092,2146,2072,2079,64222,-0.012820512820512775
2016-02-18,2099,2099,2058,2086,98092,0.0033670033670034627
2016-02-19,2062,2193,2045,2126,50538,0.019175455417066223
2016-02-22,2126,2133,2102,2120,21308,-0.002822201317027262
2016-02-23,2119,2126,2085,2093,15390,-0.012735849056603743
2016-02-24,2068,2106,2068,2096,67021,0.0014333492594362784
2016-02-25,2106,2129,2089,2116,19961,0.009541984732824416
2016-02-26,2129,2160,2119,2126,17090,0.004725897920604849
2016-02-29,2126,2156,2119,2130,53187,0.0018814675446847673
2016-03-02,2126,2153,2126,2133,12646,0.0014084507042253502
2016-03-03,2133,2193,2129,2160,39197,0.012658227848101333
2016-03-04,2160,2170,2129,2160,48874,0.0
2016-03-07,2180,2187,2139,2150,24770,-0.00462962962962965
2016-03-08,2187,2187,2129,2140,30244,-0.0046511627906976605
2016-03-09,2170,2214,2143,2214,64522,0.03457943925233642
2016-03-10,2214,2349,2183,2309,104558,0.04290876242095765
2016-03-11,2342,2399,2308,2363,173883,0.023386747509744454
2016-03-14,2382,2423,2305,2373,50879,0.004231908590774491
2016-03-15,2376,2376,2335,2356,25360,-0.0071639275179098405
2016-03-16,2355,2355,2284,2292,38450,-0.02716468590831922
2016-03-17,2352,2352,2264,2319,46650,0.011780104712041828
2016-03-18,2305,2315,2261,2309,46942,-0.00431220353600692
2016-03-21,2271,2365,2271,2329,36526,0.008661758336942382
2016-03-22,2359,2389,2335,2369,27739,0.017174753112924046
2016-03-23,2386,2386,2349,2373,27775,0.0016884761502744539
2016-03-24,2372,2392,2308,2363,79791,-0.004214075010535168
2016-03-25,2359,2359,2230,2359,102256,-0.0016927634363097521
2016-03-28,2365,2365,2325,2336,18915,-0.009749894022891059
2016-03-29,2328,2352,2268,2305,20547,-0.013270547945205435
2016-03-30,2328,2328,2281,2305,24758,0.0
2016-03-31,2305,2305,2264,2288,17267,-0.007375271149674623
2016-04-01,2288,2588,2227,2498,875146,0.09178321678321688
2016-04-04,2436,2484,2413,2430,163488,-0.027221777421937543
2016-04-05,2430,2463,2409,2423,144301,-0.0028806584362139898
2016-04-06,2423,2426,2403,2417,97344,-0.0024762690879075455
2016-04-07,2396,2409,2322,2376,161274,-0.016963177492759662
2016-04-08,2325,2359,2311,2322,60346,-0.022727272727272707
2016-04-11,2325,2328,2281,2322,83354,0.0
2016-04-12,2328,2497,2311,2383,316459,0.02627045650301474
2016-04-14,2524,3071,2473,2592,3333114,0.08770457406630294
2016-04-15,2625,2733,2558,2727,735491,0.05208333333333326
2016-04-18,2743,2889,2673,2680,721833,-0.01723505683901727
2016-04-19,2625,2801,2608,2727,285880,0.01753731343283582
2016-04-20,2733,2750,2669,2700,264239,-0.00990099009900991
2016-04-21,2716,2720,2625,2636,211893,-0.02370370370370367
2016-04-22,2635,2693,2598,2693,185476,0.021623672230652424
2016-04-25,2679,2693,2592,2602,270350,-0.033791310805792785
2016-04-26,2598,2622,2561,2599,129315,-0.0011529592621061235
2016-04-27,2629,2676,2595,2619,124058,0.0076952674105426055
2016-04-28,2619,2716,2605,2643,137216,0.009163802978235935
2016-04-29,2642,2713,2642,2703,173131,0.022701475595913845
2016-05-02,2713,2757,2659,2660,189048,-0.015908250092489862
2016-05-03,2662,2673,2605,2673,96589,0.004887218045112718
2016-05-04,2673,2700,2635,2666,79746,-0.0026187803965581624
2016-05-09,2673,2706,2406,2484,265108,-0.0682670667666917
2016-05-10,2484,2538,2392,2403,139752,-0.03260869565217395
2016-05-11,2406,2450,2406,2437,40619,0.014148980441115233
2016-05-12,2457,2531,2409,2450,121634,0.005334427574887224
2016-05-13,2450,2592,2436,2555,151921,0.04285714285714293
2016-05-16,2588,2686,2376,2379,310422,-0.06888454011741685
2016-05-17,2386,2433,2335,2433,114449,0.022698612862547263
2016-05-18,2406,2470,2349,2450,69178,0.006987258528565521
2016-05-19,2430,2477,2227,2329,229284,-0.04938775510204085
2016-05-20,2328,2352,2241,2261,297527,-0.029197080291970767
2016-05-23,2278,2295,2234,2261,67794,0.0
2016-05-24,2234,2274,2153,2194,182303,-0.029632905793896547
2016-05-25,2193,2230,2092,2150,144835,-0.020054694621695512
2016-05-26,2149,2227,2085,2217,114202,0.03116279069767436
2016-05-27,2217,2224,2173,2214,40041,-0.0013531799729363803
2016-05-30,2227,2241,2187,2228,97645,0.006323396567299078
2016-05-31,2227,2281,2210,2238,124278,0.004488330341113178
2016-06-01,2237,2315,2200,2234,114928,-0.0017873100983020196
2016-06-02,2234,2234,2203,2231,30606,-0.0013428827215756778
2016-06-03,2241,2308,2203,2282,59841,0.022859704168534334
2016-06-07,2281,2305,2251,2251,36514,-0.013584574934268234
2016-06-08,2315,2605,2315,2430,1581359,0.07952021323856062
2016-06-09,2446,2460,2332,2423,222565,-0.0028806584362139898
2016-06-10,2406,2487,2389,2403,232149,-0.008254230293025189
2016-06-13,2419,2460,2328,2352,248230,-0.02122347066167296
2016-06-14,2345,2352,2305,2349,84290,-0.0012755102040816757
2016-06-15,2325,2372,2301,2359,39812,0.004257130693912314
2016-06-16,2359,2389,2318,2319,100730,-0.01695633743111491
2016-06-17,2325,2362,2308,2329,86352,0.004312203536006809
2016-06-20,2365,2365,2308,2329,97652,0.0
2016-06-21,2325,2338,2281,2319,66469,-0.004293688278230956
2016-06-22,2318,2328,2278,2295,55044,-0.010349288486416586
2016-06-23,2288,2389,2288,2325,219085,0.013071895424836555
2016-06-24,2335,2372,2122,2207,225046,-0.05075268817204304
2016-06-27,2126,2220,2082,2167,173295,-0.01812415043044857
2016-06-28,2156,2214,2136,2187,72257,0.00922934933087216
2016-06-29,2193,2288,2187,2278,99443,0.04160951074531316
2016-06-30,2305,2308,2244,2288,59905,0.004389815627743543
2016-07-01,2288,2311,2224,2258,130848,-0.013111888111888126
2016-07-04,2261,2288,2234,2285,79948,0.011957484499557136
2016-07-05,2284,2328,2271,2302,39504,0.007439824945295381
2016-07-06,2308,2308,2251,2278,22199,-0.010425716768027837
2016-07-07,2281,2291,2261,2282,37911,0.0017559262510975504
2016-07-08,2281,2318,2227,2275,53496,-0.0030674846625766694
2016-07-11,2268,2288,2207,2217,79683,-0.025494505494505493
2016-07-12,2224,2224,2129,2163,145786,-0.024357239512855178
2016-07-13,2166,2224,2166,2224,60242,0.02820157189089234
2016-07-14,2224,2234,2190,2228,29464,0.0017985611510791255
2016-07-15,2230,2237,2200,2234,24281,0.0026929982046679513
2016-07-18,2237,2322,2227,2312,105072,0.034914950760966956
2016-07-19,2284,2322,2274,2295,62836,-0.007352941176470562
2016-07-20,2295,2318,2278,2292,35779,-0.0013071895424836555
2016-07-21,2295,2376,2268,2342,116665,0.021815008726003393
2016-07-22,2342,2484,2322,2342,239353,0.0
2016-07-25,2379,2379,2338,2363,125707,0.008966695132365476
2016-07-26,2362,2365,2338,2359,115117,-0.0016927634363097521
2016-07-27,2362,2396,2342,2396,169392,0.01568461212378125
2016-07-28,2403,2467,2386,2457,264521,0.025459098497495836
2016-07-29,2494,2578,2453,2484,300269,0.01098901098901095
2016-08-01,2484,2494,2419,2454,133067,-0.012077294685990392
2016-08-02,2457,2470,2332,2390,110821,-0.026079869600652006
2016-08-03,2382,2460,2342,2454,74382,0.02677824267782425
2016-08-04,2453,2457,2409,2457,63225,0.0012224938875304847
2016-08-05,2450,2538,2416,2531,375987,0.03011803011803016
2016-08-08,2565,2716,2551,2646,1011170,0.045436586329514084
2016-08-09,2652,2720,2598,2720,354707,0.027966742252456545
2016-08-10,2720,2774,2662,2761,248527,0.015073529411764763
2016-08-11,2757,2757,2679,2707,167496,-0.019558131111915955
2016-08-12,2730,2747,2673,2687,174514,-0.007388252678241614
2016-08-16,2693,2791,2592,2720,463505,0.012281354670636402
2016-08-17,2720,2733,2656,2687,146842,-0.012132352941176427
2016-08-18,2686,2831,2676,2832,365840,0.05396352809825089
2016-08-19,2831,2851,2700,2795,193118,-0.013064971751412413
2016-08-22,2781,2784,2585,2599,293415,-0.07012522361359574
2016-08-23,2605,2625,2565,2616,111648,0.0065409772989610815
2016-08-24,2619,2666,2598,2633,68249,0.006498470948012258
2016-08-25,2676,2686,2460,2460,255190,-0.0657045195594379
2016-08-26,2453,2500,2406,2481,95628,0.008536585365853666
2016-08-29,2436,2484,2362,2376,107918,-0.042321644498186206
2016-08-30,2365,2389,2335,2336,87627,-0.01683501683501687
2016-08-31,2315,2362,2305,2363,51811,0.011558219178082085
2016-09-01,2372,2477,2274,2275,174085,-0.0372407955988151
2016-09-02,2281,2318,2247,2319,104607,0.019340659340659316
2016-09-05,2359,2362,2325,2349,49098,0.012936610608020649
2016-09-06,2446,2632,2389,2433,529997,0.03575989782886335
2016-09-07,2433,2463,2382,2386,70605,-0.01931771475544597
2016-09-08,2362,2419,2345,2352,58485,-0.014249790444258226
2016-09-09,2349,2372,2298,2329,71432,-0.009778911564625847
2016-09-12,2288,2409,2288,2325,66985,-0.0017174753112924046
2016-09-13,2325,2396,2325,2363,35618,0.01634408602150539
2016-09-19,2362,2443,2362,2427,81916,0.027084214980956478
2016-09-20,2426,2433,2376,2403,48525,-0.00988875154511748
2016-09-21,2396,2453,2365,2403,242112,0.0
2016-09-22,2403,2487,2403,2481,93495,0.03245942571785276
2016-09-23,2480,2480,2386,2386,88428,-0.0382910116888352
2016-09-26,2389,2392,2362,2379,81179,-0.002933780385582563
2016-09-27,2386,2423,2295,2396,135951,0.007145859604875904
2016-09-28,2399,2430,2386,2427,51237,0.012938230383973348
2016-09-29,2450,2450,2355,2396,82977,-0.012772970745776657
2016-09-30,2413,2416,2359,2386,104374,-0.004173622704507496
2016-10-04,2386,2467,2372,2464,101812,0.03269069572506278
2016-10-05,2473,2473,2440,2464,56519,0.0
2016-10-06,2473,2473,2416,2430,48207,-0.01379870129870131
2016-10-07,2430,2460,2386,2420,81707,-0.004115226337448541
2016-10-10,2396,2426,2349,2396,123446,-0.00991735537190086
2016-10-11,2396,2423,2328,2356,166680,-0.016694490818030094
2016-10-12,2355,2355,2274,2298,170870,-0.024617996604414216
2016-10-13,2305,2322,2288,2322,55503,0.010443864229765065
2016-10-14,2322,2332,2295,2332,50755,0.004306632213608941
2016-10-17,2332,2332,2183,2228,353615,-0.044596912521440824
2016-10-18,2207,2257,2197,2255,75335,0.012118491921005337
2016-10-19,2257,2268,2230,2261,60369,0.002660753880266098
2016-10-20,2268,2268,2160,2187,174759,-0.032728881026094614
2016-10-21,2187,2193,2139,2167,115529,-0.009144947416552363
2016-10-24,2183,2183,2149,2184,122396,0.007844946931241381
2016-10-25,2183,2214,2173,2214,165761,0.013736263736263687
2016-10-26,2207,2217,2160,2217,133984,0.0013550135501354532
2016-10-27,2224,2234,2207,2228,106714,0.004961659900766913
2016-10-28,2234,2234,2214,2228,37879,0.0
2016-10-31,2227,2237,2214,2228,63605,0.0
2016-11-01,2230,2241,2190,2214,46455,-0.006283662477558294
2016-11-02,2214,2214,2122,2153,55092,-0.027551942186088474
2016-11-03,2112,2180,2106,2170,61015,0.007895959126799745
2016-11-04,2173,2173,2126,2153,26243,-0.007834101382488523
2016-11-07,2153,2197,2139,2163,24893,0.004644681839294007
2016-11-08,2166,2180,2095,2120,66450,-0.01987979657882566
2016-11-09,2119,2119,1930,1971,151442,-0.07028301886792454
2016-11-10,1994,2082,1994,2076,66712,0.05327245053272445
2016-11-11,2072,2082,2048,2072,71378,-0.0019267822736031004
2016-11-14,2072,2095,2011,2035,118410,-0.017857142857142905
2016-11-15,2035,2055,1977,2012,115504,-0.011302211302211318
2016-11-16,2011,2062,2011,2042,80946,0.01491053677932408
2016-11-17,2038,2065,2031,2059,62250,0.008325171400587639
2016-11-18,2062,2062,2031,2042,39691,-0.00825643516270036
2016-11-21,2028,2041,2011,2039,29744,-0.0014691478942213676
2016-11-22,2038,2048,1994,2005,49453,-0.016674840608141284
2016-11-23,2011,2011,1954,1968,77272,-0.01845386533665838
2016-11-24,1977,1987,1950,1951,83755,-0.008638211382113847
2016-11-25,1957,1977,1947,1964,89351,0.0066632496155818455
2016-11-28,1971,2045,1957,2045,31388,0.04124236252545832
2016-11-29,2011,2011,1947,1971,96808,-0.03618581907090468
2016-11-30,1971,1984,1917,1920,105673,-0.025875190258751957
2016-12-01,1923,1933,1886,1907,120257,-0.0067708333333332815
2016-12-02,1893,1906,1876,1877,94333,-0.015731515469323498
2016-12-05,1859,1876,1755,1769,192106,-0.05753862546616939
2016-12-06,1768,1798,1758,1775,226420,0.0033917467495760967
2016-12-07,1775,1788,1728,1745,142300,-0.016901408450704203
2016-12-08,1748,2133,1748,1920,2495773,0.10028653295128942
2016-12-09,1923,2065,1920,2025,423504,0.0546875
2016-12-12,2055,2092,2031,2069,317281,0.02172839506172841
2016-12-13,2055,2106,2028,2066,165085,-0.0014499758337360724
2016-12-14,2079,2082,2018,2066,129660,0.0
2016-12-15,2085,2099,2038,2069,74004,0.0014520813165537216
2016-12-16,2068,2116,2062,2089,59661,0.009666505558240779
2016-12-19,2092,2112,2065,2089,77766,0.0
2016-12-20,2106,2106,2058,2059,56060,-0.014360938247965582
2016-12-21,2058,2072,2038,2055,49981,-0.0019426906265177513
2016-12-22,2055,2146,2025,2042,95072,-0.006326034063260377
2016-12-23,2031,2052,2011,2025,3429180,-0.008325171400587639
2016-12-26,2028,2075,2028,2062,58667,0.018271604938271624
