Date,Open,High,Low,Close,Volume,Change
2011-01-03,2202,2479,2173,2493,3597917,0.15150115473441117
2011-01-04,2487,2806,2461,2513,4440457,0.008022462896109195
2011-01-05,2530,2875,2530,2889,4075919,0.14962196577795472
2011-01-06,3272,3307,3092,3316,6918952,0.14780200761509166
2011-01-07,3653,3800,3653,3811,2701787,0.1492762364294331
2011-01-10,3798,3979,3454,3858,25071852,0.01233272107058525
2011-01-11,3797,4423,3650,4135,21812958,0.07179885951270082
2011-01-12,4261,4324,3668,3775,9823314,-0.08706166868198306
2011-01-13,3766,4097,3668,3775,13235249,0.0
2011-01-14,3764,3895,3307,3379,8684340,-0.10490066225165562
2011-01-17,3489,3568,3342,3431,5925736,0.015389168393015629
2011-01-18,3310,3457,3171,3201,3821047,-0.06703584960652875
2011-01-19,3176,3617,3130,3379,11052347,0.05560762261793184
2011-01-20,3421,3799,3388,3431,9615677,0.015389168393015629
2011-01-21,3420,3752,3269,3581,5353606,0.043719032352083964
2011-01-24,3607,4097,3590,4104,12533055,0.14604858977939128
2011-01-25,3930,4061,3489,3494,7658083,-0.148635477582846
2011-01-26,3539,3607,3322,3478,2903491,-0.004579278763594763
2011-01-27,3620,3767,3473,3478,3934943,0.0
2011-01-28,3472,3897,3472,3629,6095842,0.04341575618171367
2011-01-31,3637,3914,3557,3676,2803965,0.01295122623312217
2011-02-01,3696,3815,3453,3581,1823373,-0.025843307943416716
2011-02-07,3686,4097,3590,4104,8591869,0.14604858977939128
2011-02-08,4213,4360,3982,4155,9635541,0.01242690058479523
2011-02-09,4146,4722,4062,4349,7528795,0.046690734055355065
2011-02-10,4425,4488,4098,4250,3203637,-0.022763853759484975
2011-02-11,4344,4458,3782,3842,4211408,-0.09599999999999997
2011-02-14,3966,4143,3866,4040,3526153,0.05153565851119213
2011-02-15,4028,4599,3995,4270,8135214,0.05693069306930698
2011-02-16,4260,4273,3844,3926,3523319,-0.08056206088992979
2011-02-17,3895,3911,3340,3379,3380155,-0.13932755985736123
2011-02-18,3374,3633,3318,3581,2632176,0.059781000295945574
2011-02-21,3670,4097,3434,4104,5469543,0.14604858977939128
2011-02-22,4097,4356,3765,3842,7929900,-0.06384015594541914
2011-02-23,3816,4325,3767,4052,7431377,0.05465903175429454
2011-02-24,3833,3998,3434,3478,4623518,-0.14165844027640673
2011-02-25,3505,3698,3455,3565,2164640,0.02501437607820578
2011-02-28,3652,3652,3291,3368,1645333,-0.055259467040673194
2011-03-02,3276,3540,3263,3352,1165029,-0.004750593824228044
2011-03-03,3419,3503,3340,3379,1321960,0.008054892601431884
2011-03-04,3422,3590,3376,3478,1407826,0.029298609055933733
2011-03-07,3474,3519,3355,3411,1015170,-0.01926394479585969
2011-03-08,3435,3474,3343,3411,980582,0.0
2011-03-09,3456,3653,3410,3494,2121777,0.024333040164174813
2011-03-10,3517,3815,3505,3645,2975883,0.04321694333142534
2011-03-11,3668,3717,3504,3581,1209141,-0.017558299039780567
2011-03-14,3652,4012,3555,3858,6780208,0.077352694777995
2011-03-15,3844,4272,3307,3728,11347345,-0.03369621565578018
2011-03-16,3816,4047,3686,3755,4819785,0.0072424892703861765
2011-03-17,3767,3868,3518,3546,2526122,-0.055659121171770964
2011-03-18,3618,3698,3539,3593,1471419,0.013254371122391362
2011-03-21,3668,3766,3619,3708,1319381,0.03200667965488457
2011-03-22,3699,4032,3654,3696,5202121,-0.003236245954692518
2011-03-23,3781,3844,3667,3728,1877985,0.008658008658008587
