Date,Open,High,Low,Close,Volume,Change
2011-01-03,827,837,823,830,5184,-0.004796163069544335
2011-01-04,831,834,826,834,1411,0.004819277108433662
2011-01-05,810,834,810,830,8729,-0.004796163069544335
2011-01-06,833,838,821,833,4225,0.0036144578313253017
2011-01-07,835,835,827,830,259,-0.0036014405762304635
2011-01-10,834,845,821,845,2429,0.01807228915662651
2011-01-11,840,939,840,860,9914,0.01775147928994092
2011-01-12,860,860,846,855,5790,-0.005813953488372103
2011-01-13,876,885,855,861,8875,0.007017543859649145
2011-01-14,851,879,840,860,3714,-0.0011614401858304202
2011-01-17,845,860,838,855,2566,-0.005813953488372103
2011-01-18,850,856,839,849,3298,-0.007017543859649145
2011-01-19,841,850,841,850,2027,0.0011778563015312216
2011-01-20,842,850,838,844,1280,-0.007058823529411784
2011-01-21,845,845,821,840,1698,-0.004739336492891044
2011-01-24,837,840,830,840,1009,0.0
2011-01-25,840,840,814,816,5313,-0.02857142857142858
2011-01-26,816,828,812,828,2105,0.014705882352941124
2011-01-27,818,828,817,817,4199,-0.01328502415458932
2011-01-28,839,839,817,828,6942,0.01346389228886169
2011-01-31,820,820,803,819,2005,-0.010869565217391353
2011-02-01,825,825,819,825,1552,0.0073260073260073
2011-02-07,825,836,818,820,9163,-0.0060606060606061
2011-02-08,825,825,805,818,3340,-0.0024390243902439046
2011-02-09,828,828,814,825,638,0.008557457212713837
2011-02-10,828,828,812,819,3356,-0.0072727272727273196
2011-02-11,807,824,802,816,1754,-0.00366300366300365
2011-02-14,816,820,807,807,722,-0.011029411764705843
2011-02-15,843,843,808,810,13637,0.0037174721189590088
2011-02-16,828,845,822,840,3156,0.03703703703703698
2011-02-17,820,838,810,819,3851,-0.025000000000000022
2011-02-18,819,830,819,830,4911,0.013431013431013383
2011-02-21,830,854,830,848,4023,0.02168674698795181
2011-02-22,823,844,823,839,2047,-0.010613207547169767
2011-02-23,821,879,820,836,4552,-0.0035756853396901045
2011-02-24,847,850,820,843,1135,0.00837320574162681
2011-02-25,843,875,830,854,688,0.013048635824436605
2011-02-28,839,874,839,863,1521,0.01053864168618257
2011-03-02,869,869,850,859,877,-0.004634994206257237
2011-03-03,858,865,843,861,2598,0.002328288707799775
2011-03-04,850,940,846,890,12188,0.03368176538908241
2011-03-07,917,945,890,935,14372,0.050561797752809
2011-03-08,965,1070,935,978,201661,0.04598930481283414
