Date,Open,High,Low,Close,Volume,Change
2016-02-05,29950,30500,24000,24000,939179,
2016-02-11,22100,22400,19950,20350,317734,-0.15208333333333335
2016-02-12,20200,21250,18600,20050,133677,-0.014742014742014753
2016-02-15,20450,20600,19300,19550,84112,-0.02493765586034913
2016-02-16,19850,23150,19600,20150,446387,0.03069053708439906
2016-02-17,20450,21450,19400,21150,144624,0.04962779156327546
2016-02-18,21450,22000,20950,22000,88844,0.04018912529550822
2016-02-19,21950,24700,21650,23250,227769,0.05681818181818188
2016-02-22,23350,23950,22650,22850,76417,-0.017204301075268824
2016-02-23,23250,24200,22600,23450,125736,0.026258205689277947
2016-02-24,23450,23700,22050,22250,80792,-0.05117270788912576
2016-02-25,22000,22900,21200,21400,85605,-0.038202247191011285
2016-02-26,21600,22400,21000,21800,51859,0.01869158878504673
2016-02-29,21900,22700,21100,21350,49706,-0.020642201834862428
2016-03-02,21350,22050,21250,21650,67463,0.014051522248243575
2016-03-03,21850,22000,21150,21500,65500,-0.006928406466512715
2016-03-04,21500,21500,20700,20800,143154,-0.032558139534883734
2016-03-07,21050,21150,20100,20400,142210,-0.019230769230769273
2016-03-08,20500,20700,19900,20000,201325,-0.019607843137254943
2016-03-09,20000,20150,19700,20000,372728,0.0
2016-03-10,20100,25750,20050,23400,1705513,0.16999999999999993
2016-03-11,23600,26350,23100,24900,999557,0.0641025641025641
2016-03-14,24650,24800,23350,23800,307891,-0.04417670682730923
2016-03-15,23650,24750,23250,24500,329477,0.02941176470588225
2016-03-16,24400,25350,23000,23350,251931,-0.04693877551020409
2016-03-17,23450,25750,23250,24300,549625,0.04068522483940051
2016-03-18,24050,24750,23600,24750,157805,0.0185185185185186
2016-03-21,24800,24900,23750,23800,145705,-0.03838383838383841
2016-03-22,24000,24800,23500,24300,192600,0.021008403361344463
2016-03-23,24700,26600,24400,26000,515424,0.06995884773662553
2016-03-24,26100,26650,25350,25800,164253,-0.007692307692307665
2016-03-25,25800,25900,24300,24500,201250,-0.050387596899224785
2016-03-28,24400,24800,23700,24350,93966,-0.006122448979591799
2016-03-29,24300,24850,23800,23850,111704,-0.02053388090349073
2016-03-30,23900,24100,23500,23800,108491,-0.002096436058700246
2016-03-31,24100,24150,23500,23750,67695,-0.0021008403361344463
2016-04-01,23800,24500,23700,24500,106800,0.03157894736842115
2016-04-04,24700,25450,24400,24600,127071,0.004081632653061273
2016-04-05,24300,24550,23600,24000,85873,-0.024390243902439046
2016-04-06,24000,24000,22450,23150,163984,-0.03541666666666665
