Date,Open,High,Low,Close,Volume,Change
2011-01-03,7730,7852,7699,7822,112807,0.01995044986308514
2011-01-04,7852,7914,7791,7853,149039,0.003963180772180941
2011-01-05,7852,8159,7791,8098,248798,0.031198268177766497
2011-01-06,8159,8190,8006,8037,199354,-0.007532724129414636
2011-01-07,8036,8098,7883,7883,177962,-0.019161378623864578
2011-01-10,7883,8251,7883,8190,307354,0.038944564252188174
2011-01-11,8251,8251,8067,8129,177868,-0.007448107448107422
2011-01-12,8190,8190,7883,7883,242945,-0.030262024849304958
2011-01-13,7883,8006,7822,7945,160495,0.007865026005327902
2011-01-14,7944,7944,7822,7822,140851,-0.015481434864694776
2011-01-17,7914,7975,7730,7730,154767,-0.011761697775504953
2011-01-18,7668,7730,7607,7730,168891,0.0
2011-01-19,7760,7760,7607,7638,120584,-0.011901681759379001
2011-01-20,7638,7791,7576,7669,115989,0.004058654097931491
2011-01-21,7668,7730,7423,7454,179520,-0.028034945886034723
2011-01-24,7453,7607,7331,7423,108374,-0.004158840890796878
2011-01-25,7484,7576,7392,7485,109345,0.008352418159773611
2011-01-26,7576,7668,7515,7607,110463,0.01629926519706082
2011-01-27,7730,7975,7730,7761,252092,0.0202445116340213
2011-01-28,7699,7791,7607,7638,189886,-0.01584847313490534
2011-01-31,7484,7515,7361,7423,147883,-0.02814873003404028
2011-02-01,7484,7515,7392,7485,107108,0.008352418159773611
2011-02-07,7546,7576,7423,7423,125090,-0.008283233132932555
2011-02-08,7423,7515,7361,7454,88524,0.004176209079886917
2011-02-09,7453,7515,7116,7209,173057,-0.03286825865307219
2011-02-10,7208,7239,6625,6871,398695,-0.046885837148009424
2011-02-11,6932,7085,6717,6748,179156,-0.01790132440692771
2011-02-14,6748,6840,6625,6779,128975,0.004593953764078229
2011-02-15,6717,6779,6595,6595,134679,-0.027142646408024773
2011-02-16,6564,7116,6441,6933,413701,0.05125094768764216
2011-02-17,6871,6932,6564,6687,139578,-0.03548247511899616
2011-02-18,6625,6717,6595,6656,137330,-0.004635860625093469
2011-02-21,6656,6687,6503,6503,132291,-0.022986778846153855
2011-02-22,6441,6472,6257,6258,152086,-0.03767491926803013
2011-02-23,6196,6411,6196,6350,80841,0.014701182486417386
2011-02-24,6257,6656,6257,6503,124984,0.024094488188976415
2011-02-25,6472,6533,6380,6411,55374,-0.014147316623096984
2011-02-28,6411,6441,6257,6288,67376,-0.019185774450163784
2011-03-02,6165,6380,6165,6380,80625,0.014631043256997378
2011-03-03,6319,6472,6319,6411,82774,0.004858934169279072
2011-03-04,6441,6472,6380,6442,72799,0.004835439089065696
2011-03-07,6380,6564,6380,6472,102150,0.004656938838869973
2011-03-08,6441,6564,6441,6503,87438,0.004789864029666191
2011-03-09,6533,6564,6472,6534,57445,0.004767030601261046
2011-03-10,6533,6871,6503,6840,282880,0.04683195592286493
2011-03-11,6748,6809,6595,6656,143324,-0.026900584795321647
2011-03-14,6411,6472,6073,6196,328462,-0.06911057692307687
2011-03-15,6196,6196,5613,5791,394139,-0.06536475145255005
2011-03-16,5773,5895,5680,5779,201820,-0.00207218097047146
2011-03-17,5570,5674,5558,5669,167242,-0.01903443502336044
2011-03-18,5779,5981,5723,5933,107739,0.046569059798906354
2011-03-21,5950,6257,5920,6092,143983,0.026799258385302505
2011-03-22,6196,6257,5969,5988,151000,-0.017071569271175258
2011-03-23,5987,6055,5938,5975,116012,-0.0021710086840347476
2011-03-24,5975,6104,5975,6000,101527,0.004184100418409997
2011-03-25,6079,6079,5969,6049,93995,0.008166666666666655
2011-03-28,6073,6098,5920,5951,108829,-0.016201024962803734
2011-03-29,5957,5993,5938,5988,63448,0.006217442446647681
2011-03-30,6042,6073,5963,6018,77149,0.005010020040080221
2011-03-31,6030,6165,6018,6123,103953,0.017447657028913266
2011-04-01,6122,6257,6061,6258,129567,0.02204801567858894
2011-04-04,6257,6349,6196,6258,107022,0.0
2011-04-05,6257,6380,6226,6319,103912,0.009747523170341887
2011-04-06,6319,6349,6196,6258,73198,-0.009653426175027735
2011-04-07,6319,6503,6134,6258,309639,0.0
2011-04-08,6226,6319,6165,6196,112369,-0.009907318632150885
2011-04-11,6196,6288,6116,6117,106474,-0.012750161394448067
2011-04-12,6165,6165,5987,5988,137939,-0.02108876900441392
2011-04-13,5969,6085,5865,6086,139160,0.016366065464261892
2011-04-14,6012,6085,6000,6018,63188,-0.011173184357541888
2011-04-15,5999,6085,5999,6037,89838,0.003157195081422426
2011-04-18,6085,6085,5907,5933,145921,-0.01722709955275803
2011-04-19,5901,5901,5736,5822,168148,-0.01870891623124893
2011-04-20,5957,5957,5785,5785,175661,-0.006355204397114345
2011-04-21,5785,5834,5674,5699,174742,-0.014866032843560917
2011-04-22,5674,5705,5490,5521,307869,-0.031233549745569356
2011-04-25,5521,5631,5490,5558,129185,0.0067016844774496764
2011-04-26,5533,5539,5122,5166,508049,-0.07052896725440805
2011-04-27,5184,5245,4791,5153,485749,-0.0025164537359659844
2011-04-28,5165,5184,4963,5018,161522,-0.026198331069280045
2011-04-29,5018,5018,4858,4945,143390,-0.014547628537265878
2011-05-02,4938,5202,4938,5153,109567,0.042062689585439905
2011-05-03,5159,5233,5073,5080,64930,-0.014166504948573633
2011-05-04,5079,5165,5073,5092,57158,0.0023622047244094
2011-05-06,5092,5092,4981,5025,45601,-0.013157894736842146
2011-05-09,4926,5061,4926,4951,56315,-0.014726368159204029
2011-05-11,4944,5000,4895,4969,69626,0.0036356291658250495
2011-05-12,4907,5042,4907,5000,50542,0.006238679814852155
2011-05-13,5018,5202,5018,5080,67720,0.016000000000000014
2011-05-16,5030,5177,4969,5141,67247,0.012007874015748099
2011-05-17,5184,5184,5030,5037,65695,-0.02022952732931338
2011-05-18,5030,5061,4938,4939,67972,-0.019456025411951572
2011-05-19,4950,5000,4662,4675,120852,-0.053452115812917644
2011-05-20,4662,4803,4662,4693,74091,0.0038502673796791953
2011-05-23,4680,4822,4662,4699,51323,0.0012784998934582958
2011-05-24,4662,4748,4662,4706,48614,0.001489678655032911
2011-05-25,4723,4748,4460,4491,117815,-0.045686357841054015
2011-05-26,4490,4576,4447,4466,110390,-0.005566688933422381
2011-05-27,4472,4619,4472,4521,95960,0.012315270935960632
2011-05-30,4552,4552,4411,4417,70218,-0.023003760230037584
2011-05-31,4349,4398,4288,4362,174577,-0.012451890423364254
2011-06-01,4386,4466,4355,4423,81256,0.013984410820724547
2011-06-02,4355,4398,4325,4356,85227,-0.01514808953199187
2011-06-03,4404,4404,4288,4288,88951,-0.015610651974288348
2011-06-07,4239,4288,4141,4178,113497,-0.025652985074626877
2011-06-08,4184,4319,4177,4233,99481,0.013164193393968349
2011-06-09,4208,4478,4208,4429,118951,0.046302858492794696
2011-06-10,4478,4490,4331,4331,78687,-0.02212689094603748
2011-06-13,4331,4331,4153,4196,104360,-0.031170630339413585
2011-06-14,4196,4251,4147,4233,54987,0.008817921830314601
2011-06-15,4233,4398,4214,4307,101003,0.017481691471769478
2011-06-16,4276,4386,4220,4307,71341,0.0
2011-06-17,4312,4723,4312,4613,382257,0.07104713257487805
2011-06-20,4693,4693,4503,4509,123934,-0.022544981573813128
2011-06-21,4564,4607,4423,4515,97218,0.0013306719893546592
2011-06-22,4582,4822,4576,4730,235276,0.04761904761904767
2011-06-23,4699,4711,4625,4650,125053,-0.016913319238900604
2011-06-24,4656,5085,4631,4834,332525,0.03956989247311826
2011-06-27,4822,5030,4785,4963,117894,0.026685974348365837
2011-06-28,4938,4987,4852,4883,91699,-0.0161192826919202
2011-06-29,4920,4963,4723,4736,106544,-0.03010444398935086
2011-06-30,4773,4791,4613,4718,86391,-0.0038006756756756577
2011-07-01,4717,4846,4699,4779,68556,0.012929207291225042
2011-07-04,4809,4822,4723,4804,96933,0.005231219920485364
2011-07-05,4779,4840,4779,4834,66726,0.0062447960033304994
2011-07-06,4803,5000,4803,4920,171704,0.017790649565577077
2011-07-07,4938,5098,4938,4982,137743,0.012601626016260248
2011-07-08,5030,5030,4920,4933,80355,-0.009835407466880719
2011-07-11,4907,4963,4797,4822,97162,-0.02250152037299813
2011-07-12,4711,4773,4656,4669,98464,-0.031729572791372895
2011-07-13,4650,4723,4607,4669,54344,0.0
2011-07-14,4717,4717,4588,4589,74832,-0.017134289997858265
2011-07-15,4539,4748,4539,4663,64492,0.01612551754194813
2011-07-18,4674,5006,4668,4957,187327,0.06304953892343979
2011-07-19,4944,5073,4944,5012,172644,0.011095420617308838
2011-07-20,5067,5067,4920,5012,119051,0.0
2011-07-21,4981,5116,4963,5006,125006,-0.0011971268954509284
2011-07-22,5049,5104,4993,5018,122161,0.00239712345185783
2011-07-25,5061,5061,4907,4920,100989,-0.019529693104822665
2011-07-26,4963,5012,4871,4871,87997,-0.00995934959349598
2011-07-27,4871,5386,4871,5276,539024,0.08314514473414092
2011-07-28,5208,5392,5208,5288,226517,0.0022744503411675776
2011-07-29,5294,5644,5239,5442,350183,0.029122541603630925
2011-08-01,5441,5687,5417,5577,234929,0.02480705622932744
2011-08-02,5496,5625,5435,5460,139658,-0.020979020979020935
2011-08-03,5349,5386,5220,5356,168768,-0.01904761904761909
2011-08-04,5453,5662,5361,5411,199721,0.01026885735623595
2011-08-05,5042,5171,4619,4969,159889,-0.08168545555350215
2011-08-08,4901,5018,4294,4509,190702,-0.09257395854296635
2011-08-09,4177,4349,3865,4270,243181,-0.05300510090929256
2011-08-10,4588,4595,4447,4540,117728,0.06323185011709609
2011-08-11,4239,4858,4233,4840,145216,0.06607929515418509
2011-08-12,4846,5098,4846,4877,159086,0.007644628099173545
2011-08-16,5055,5171,5006,5147,159381,0.05536190280910391
2011-08-17,5147,5294,5104,5239,119595,0.017874489994171405
2011-08-18,5337,5668,5190,5564,675795,0.06203473945409432
2011-08-19,5337,6055,5220,5620,1091707,0.010064701653486718
2011-08-22,5797,5877,5527,5626,434373,0.001067615658362886
2011-08-23,5748,5865,5613,5675,439989,0.008709562744400934
2011-08-24,5680,5779,5466,5571,368954,-0.01832599118942735
2011-08-25,5650,5699,5453,5546,204711,-0.004487524681385802
2011-08-26,5546,6104,5546,5975,841675,0.07735304724125491
2011-08-29,6104,6165,5987,6000,383903,0.004184100418409997
2011-08-30,6110,6110,5920,6074,254349,0.012333333333333307
2011-08-31,6196,6625,6104,6288,913028,0.035232136977280115
2011-09-01,6319,6411,6012,6074,418774,-0.034033078880407075
2011-09-02,6134,6257,5957,6258,276323,0.030293052354297023
2011-09-05,6134,6349,6042,6104,273438,-0.02460850111856827
2011-09-06,5889,6079,5680,5748,393415,-0.05832241153342066
2011-09-07,5889,6104,5834,6092,208212,0.059846903270702745
2011-09-08,6134,6226,5950,6196,169922,0.01707156927117537
2011-09-09,6226,6226,6018,6043,136284,-0.02469335054874111
