Date,Open,High,Low,Close,Volume,Change
2011-06-14,234205,268940,234205,268980,102175,
2011-06-15,272185,288920,237429,257395,259507,-0.043070116737303876
2011-06-16,267675,295980,267000,296005,125812,0.15000291380951447
2011-06-17,314635,337160,284390,302430,195914,0.021705714430499512
2011-06-20,308850,312690,276665,276695,62869,-0.08509407135535496
2011-06-21,276660,285670,258010,265760,48440,-0.039520049151592906
2011-06-22,266370,275380,251575,252885,36670,-0.048445966285370234
2011-06-23,249005,266380,237430,256750,54515,0.01528362694505403
2011-06-24,253515,258650,245140,249665,18550,-0.027594936708860707
2011-06-27,246410,249630,230985,232295,20666,-0.06957322812568845
2011-06-28,234209,235490,207820,215570,46291,-0.07199896683096929
2011-06-29,216175,220685,209735,211700,29347,-0.01795240525119446
2011-06-30,212965,220700,207835,216215,28061,0.021327350023618408
2011-07-01,221330,241924,216169,226505,72432,0.04759151770228698
2011-07-04,229705,247070,227120,237450,54595,0.048321229111940145
2011-07-05,236130,237425,224560,231645,24040,-0.02444725205306375
2011-07-06,229045,243849,227765,234235,21880,0.011180901810960764
2011-07-07,235495,245155,233554,243875,21839,0.041155250069374816
2011-07-08,244500,245135,225185,227795,24360,-0.06593541773449518
2011-07-11,227120,227120,218745,225855,12569,-0.008516429245593593
2011-07-12,219390,236120,218739,229075,15888,0.014256934759026896
2011-07-13,229055,247080,226495,238730,26193,0.04214776819818833
2011-07-14,237420,250295,227125,249665,21211,0.04580488417877948
2011-07-15,253529,262530,243860,250960,22740,0.005186950513688338
2011-07-18,250930,259309,250930,254180,12465,0.012830729996812229
2011-07-19,254780,265100,250930,260615,24677,0.025316704697458503
2011-07-20,263160,263805,257370,260615,12300,0.0
2011-07-21,263795,264455,253525,259970,12314,-0.00247491510465625
2011-07-22,260580,263155,245139,245170,9502,-0.05692964572835324
2011-07-25,245785,248995,238064,246445,12674,0.0052004731410857374
2011-07-26,246435,247095,236130,240655,15318,-0.02349408590151958
2011-07-27,243860,276680,243215,276050,28820,0.14707776692775965
2011-07-28,270230,279255,265095,276695,18003,0.002336533236732441
2011-07-29,276670,277300,265095,269625,11549,-0.025551600137335373
2011-08-01,279265,290190,270910,281205,23615,0.04294853963838663
2011-08-02,276680,280535,260580,274120,11957,-0.025195142333884535
2011-08-03,267670,270230,256720,263185,16519,-0.03989128848679413
2011-08-04,266385,266385,243209,250315,13468,-0.04890096320079029
2011-08-05,225830,234840,212949,223285,19623,-0.10798394023530355
2011-08-08,213610,218745,189805,189830,29979,-0.14983093356024813
2011-08-09,167940,189805,161500,184040,21874,-0.030500974556181837
2011-08-10,193040,211055,184015,211055,27311,0.14678874157791788
2011-08-11,195580,212960,191750,207205,23668,-0.01824169055459479
2011-08-12,216835,223910,202675,208485,20630,0.00617745710769535
2011-08-16,216835,218760,210405,212350,10366,0.018538503969110387
2011-08-17,215540,221980,213600,217495,12355,0.024228867435837076
2011-08-18,216835,226494,203320,208485,27684,-0.041426239683670874
2011-08-19,195590,195590,177575,177605,16241,-0.14811617142720102
2011-08-22,173715,182065,162140,167300,9308,-0.05802201514596994
2011-08-23,173710,182090,171135,180175,7095,0.07695756126718467
2011-08-24,184650,185310,171140,171165,8760,-0.05000693769945885
2011-08-25,176945,179520,166005,167950,5806,-0.018783045599275572
2011-08-26,165990,192355,165990,176955,23634,0.053617147960702605
2011-08-29,180150,182090,175660,177605,12683,0.00367325026136589
2011-08-30,180795,191745,178880,184040,18489,0.03623208806058398
2011-08-31,184645,188525,180780,184675,9030,0.0034503368832863313
2011-09-01,187220,189150,179500,180175,10596,-0.02436713144713687
2011-09-02,176945,181430,173725,177605,10224,-0.01426391008741501
2011-09-05,185945,189160,178225,178250,31867,0.0036316545142309753
2011-09-06,175650,177565,169860,173740,10067,-0.025301542776998587
2011-09-07,176930,184650,176295,180175,12684,0.03703810291239784
2011-09-08,182720,184645,174355,184675,12249,0.024975718051893914
2011-09-09,187875,198805,187230,195625,34886,0.05929335318803308
2011-09-14,194295,194295,177565,180175,19181,-0.07897763578274763
2011-09-15,184650,191090,167930,180175,19351,0.0
2011-09-16,180780,185305,179500,183395,10212,0.01787151380602192
2011-09-19,181440,184015,173725,176310,9052,-0.038632459990730394
2011-09-20,172445,176945,171150,175030,8524,-0.007259939878622834
2011-09-21,176295,184645,175645,184675,10338,0.055104839170427855
2011-09-22,180155,196230,178875,193685,41185,0.048788412075267296
2011-09-23,183355,188515,177590,179530,16019,-0.07308258254382116
2011-09-26,187870,191090,167930,172460,35192,-0.03938060491282791
2011-09-27,178880,183355,176305,182750,15089,0.059666009509451445
2011-09-28,186590,191745,178210,180175,18347,-0.014090287277701785
2011-09-29,175660,182735,171135,180825,15512,0.0036076037186068
2011-09-30,181425,185925,177575,185320,10956,0.024858288400387174
2011-10-04,171785,175665,168565,171165,12425,-0.07638139434491686
2011-10-05,175655,177585,154415,154440,14106,-0.09771273332749097
2011-10-06,160200,171140,159555,167300,10374,0.08326858326858333
2011-10-07,171140,175650,169210,172460,7958,0.03084279736999407
2011-10-10,172440,175660,169855,175665,5900,0.018584019482778658
2011-10-11,180785,180785,170495,170520,9577,-0.029288702928870314
2011-10-12,169850,195585,168560,194975,21423,0.1434142622566268
2011-10-13,193020,214280,191105,202060,48673,0.03633799205026289
2011-10-14,203319,212335,194940,211700,23387,0.04770860140552302
2011-10-17,218750,218750,209115,211700,19906,0.0
2011-10-18,204600,218115,202685,215570,21544,0.018280585734530064
2011-10-19,219405,239990,219405,222650,45598,0.032843159994433435
2011-10-20,222630,225850,200115,200120,22785,-0.1011902088479677
2011-10-21,209745,229705,203960,229720,48594,0.1479112532480511
2011-10-24,235495,249010,230995,239375,47652,0.0420294271286783
2011-10-25,241279,242560,223900,229075,29058,-0.04302872062663188
2011-10-26,226485,237410,223900,235510,15690,0.02809123649459777
2011-10-27,238070,239355,223280,230370,19620,-0.02182497558490082
2011-10-28,232270,232270,209745,228440,23718,-0.008377826973998359
2011-10-31,226500,229695,220065,222650,19593,-0.02534582384871298
2011-11-01,218755,229705,215534,226505,19028,0.017314170222322067
2011-11-02,215525,225185,212330,221360,25382,-0.022714730359153168
2011-11-03,221320,221320,207835,209775,15591,-0.05233556198048428
2011-11-04,212330,224550,211034,224575,17937,0.07055178167083787
2011-11-07,226495,239350,223274,239375,42836,0.06590225982411213
2011-11-08,241290,243864,230335,234865,33182,-0.01884073107049611
2011-11-09,239360,243214,236775,241305,55393,0.027420007238200705
2011-11-10,231635,232930,216170,220065,31957,-0.08802138372598989
2011-11-11,225830,228415,214890,225225,27969,0.023447617749301264
2011-11-14,230339,236134,226500,230370,19844,0.022843822843822803
2011-11-15,227135,229050,216170,220065,16685,-0.04473238702956117
2011-11-16,221335,224555,207820,208485,19688,-0.052620816576920415
2011-11-17,212955,221330,207820,221360,10510,0.061755042329184384
2011-11-18,213614,217465,212955,214920,6418,-0.029092880375858332
2011-11-21,212955,215529,209115,211700,6223,-0.01498231900241953
2011-11-22,205895,216835,205235,211700,6523,0.0
2011-11-23,211680,219400,203325,203985,16665,-0.03644307982994799
2011-11-24,202015,211675,200735,210425,10749,0.03157094884427769
2011-11-25,211680,213620,194315,198840,13218,-0.05505524533681838
2011-11-28,201385,205895,198165,205265,7819,0.03231241198953927
2011-11-29,206530,209130,204605,205910,7109,0.0031422794923634534
2011-11-30,205895,220685,202015,218140,28149,0.05939488125880232
2011-12-01,222610,223905,216170,221360,22204,0.01476116255615656
2011-12-02,220685,221965,212330,221360,20679,0.0
