Date,Open,High,Low,Close,Volume,Change
2011-01-03,2920,2920,2810,2820,43126,0.0071428571428571175
2011-01-04,2820,2830,2770,2815,29186,-0.0017730496453900457
2011-01-05,2780,2840,2775,2820,13781,0.001776198934280604
2011-01-06,2850,2915,2820,2840,63561,0.007092198581560183
2011-01-07,2895,3120,2850,2985,149803,0.051056338028169
2011-01-10,3350,3430,3220,3430,250568,0.14907872696817415
2011-01-11,3940,3940,3570,3940,1727505,0.14868804664723023
2011-01-12,4295,4530,4240,4530,338173,0.14974619289340096
2011-01-13,4535,5100,3855,3855,3058349,-0.14900662251655628
2011-01-14,3770,3815,3340,3540,980958,-0.08171206225680938
2011-01-17,3520,3520,3245,3320,443646,-0.062146892655367214
2011-01-18,3280,3420,3280,3290,229016,-0.009036144578313254
2011-01-19,3485,3525,3280,3290,379796,0.0
2011-01-20,3350,3505,3335,3505,366350,0.06534954407294835
2011-01-21,3565,3565,3225,3270,399446,-0.06704707560627676
2011-01-24,3340,3415,3275,3340,142931,0.021406727828746197
2011-01-25,3475,3500,3065,3085,258105,-0.07634730538922152
2011-01-26,3130,3175,2980,3085,161108,0.0
2011-01-27,3100,3140,2980,3000,80448,-0.027552674230145846
2011-01-28,3020,3150,3000,3000,119240,0.0
2011-01-31,2990,3040,2865,2920,98935,-0.026666666666666616
2011-02-01,2925,2935,2795,2840,60190,-0.0273972602739726
2011-02-07,2860,2920,2860,2860,29817,0.007042253521126751
2011-02-08,2860,2970,2800,2850,46311,-0.0034965034965035446
2011-02-09,2830,2880,2800,2880,55498,0.010526315789473717
2011-02-10,2890,2930,2770,2795,48911,-0.02951388888888884
2011-02-11,2790,2845,2675,2680,70465,-0.04114490161001794
2011-02-14,2650,2720,2650,2720,41552,0.014925373134328401
2011-02-15,2770,3125,2725,3125,443746,0.14889705882352944
2011-02-16,3335,3590,3310,3590,691085,0.14880000000000004
2011-02-17,3790,3850,3055,3055,1671623,-0.14902506963788298
2011-02-18,3050,3075,2860,2980,359308,-0.02454991816693941
2011-02-21,3030,3425,3015,3280,1767788,0.10067114093959728
2011-02-22,3220,3340,3095,3170,494817,-0.03353658536585369
2011-02-23,3200,3220,2955,3010,210015,-0.050473186119873836
2011-02-24,3075,3075,2820,2905,186218,-0.03488372093023251
2011-02-25,3155,3155,2900,2930,204278,0.008605851979345935
2011-02-28,2985,3310,2905,2995,561858,0.022184300341296925
2011-03-02,2990,3090,2920,2980,96545,-0.005008347245408995
2011-03-03,3050,3370,3000,3195,719394,0.07214765100671139
2011-03-04,3220,3425,3085,3090,569615,-0.032863849765258246
2011-03-07,3140,3345,3110,3300,635922,0.06796116504854366
2011-03-08,3455,3795,3455,3795,643892,0.1499999999999999
2011-03-09,4100,4250,3500,3500,2877616,-0.07773386034255603
2011-03-10,3440,3735,3390,3485,1070946,-0.004285714285714337
2011-03-11,3495,3670,3350,3500,936645,0.004304160688665792
2011-03-14,3500,4025,3500,4025,1454563,0.1499999999999999
2011-03-15,4345,4350,3425,3640,1376339,-0.09565217391304348
2011-03-16,3690,4185,3640,3700,1510274,0.016483516483516425
2011-03-17,3790,4095,3500,3730,1110611,0.008108108108108025
2011-03-18,3900,3905,3530,3640,364593,-0.024128686327077764
2011-03-21,3655,3700,3530,3580,263608,-0.016483516483516536
2011-03-22,3950,4115,3950,4115,1285630,0.1494413407821229
2011-03-23,4150,4240,3810,3930,1187137,-0.04495747266099637
2011-03-24,3950,4040,3720,3850,433883,-0.020356234096692072
2011-03-25,3920,3980,3715,3815,402090,-0.009090909090909038
2011-03-28,3920,4385,3850,3850,1395695,0.00917431192660545
2011-03-29,3870,3880,3705,3720,401416,-0.03376623376623378
2011-03-30,3740,3805,3700,3790,288264,0.018817204301075252
2011-03-31,3860,4355,3800,4000,2384544,0.0554089709762533
2011-04-01,4050,4600,3870,4600,847162,0.1499999999999999
2011-04-04,4670,5170,4385,4810,2084923,0.04565217391304355
2011-04-05,4890,5450,4740,4925,2379211,0.023908523908523938
2011-04-06,4850,5180,4525,4525,1204581,-0.08121827411167515
2011-04-07,4485,4675,4395,4545,625415,0.0044198895027625085
2011-04-08,4545,4665,4190,4240,570446,-0.0671067106710671
2011-04-11,4240,4255,4065,4065,236565,-0.041273584905660354
2011-04-12,4130,4145,3835,3900,335230,-0.040590405904059046
2011-04-13,3880,3995,3765,3850,234421,-0.012820512820512775
2011-04-14,3880,3890,3540,3570,304405,-0.07272727272727275
2011-04-15,3650,3710,3535,3535,313466,-0.009803921568627416
2011-04-18,3750,3785,3535,3540,311360,0.0014144271570013522
2011-04-19,3500,3500,3280,3295,241056,-0.0692090395480226
2011-04-20,3315,3400,3290,3360,141212,0.019726858877086473
2011-04-21,3400,3695,3400,3420,715208,0.017857142857142794
2011-04-22,3420,3445,3220,3330,195549,-0.02631578947368418
2011-04-25,3340,3340,3230,3230,89580,-0.03003003003003002
2011-04-26,3235,3520,3235,3330,252510,0.030959752321981338
2011-04-27,3345,3405,3280,3310,161691,-0.006006006006005982
2011-04-28,3310,3310,3185,3185,118860,-0.03776435045317217
2011-04-29,3210,3210,3075,3140,100529,-0.014128728414442682
2011-05-02,3150,3310,3085,3165,137551,0.0079617834394905
2011-05-03,3100,3230,3100,3190,38353,0.00789889415481837
2011-05-04,3210,3255,3135,3160,38234,-0.009404388714733591
2011-05-06,3160,3235,3050,3125,37085,-0.011075949367088556
2011-05-09,3120,3210,3070,3210,41330,0.02719999999999989
2011-05-11,3200,3205,3100,3150,41462,-0.01869158878504673
2011-05-12,3055,3160,3055,3140,36961,-0.0031746031746031633
2011-05-13,3125,3150,3045,3080,38593,-0.019108280254777066
2011-05-16,3060,3230,3060,3140,67437,0.01948051948051943
2011-05-17,3130,3140,3070,3085,26196,-0.017515923566879033
2011-05-18,3085,3135,3075,3080,22577,-0.0016207455429497752
2011-05-19,3125,3130,2900,3005,54599,-0.024350649350649345
2011-05-20,2995,3035,2950,3000,27487,-0.0016638935108153063
2011-05-23,2995,3055,2950,2950,26341,-0.01666666666666672
2011-05-24,2900,2930,2860,2860,60335,-0.03050847457627115
2011-05-25,2835,2890,2800,2850,39001,-0.0034965034965035446
2011-05-26,2860,2945,2855,2885,17791,0.012280701754386003
2011-05-27,2885,3000,2885,2920,56471,0.0121317157712304
2011-05-30,2980,3310,2955,3250,323820,0.11301369863013688
2011-05-31,3315,3330,3100,3150,99258,-0.03076923076923077
2011-06-01,3150,3255,3105,3165,83634,0.004761904761904745
2011-06-02,3080,3165,3030,3140,61476,-0.00789889415481837
2011-06-03,3145,3220,3090,3110,35734,-0.009554140127388533
2011-06-07,3055,3085,2955,2960,57591,-0.048231511254019255
2011-06-08,2960,2995,2915,2920,27812,-0.013513513513513487
2011-06-09,2890,2920,2870,2920,33082,0.0
2011-06-10,2925,2945,2800,2850,40922,-0.023972602739726012
2011-06-13,2860,2860,2800,2850,19842,0.0
2011-06-14,2800,2855,2800,2850,27899,0.0
2011-06-15,2855,2890,2825,2850,16291,0.0
2011-06-16,2830,2865,2800,2840,27698,-0.0035087719298245723
2011-06-17,2850,2850,2790,2800,36442,-0.014084507042253502
2011-06-20,2810,2855,2800,2855,14660,0.019642857142857073
2011-06-21,2855,2855,2795,2820,23346,-0.012259194395796813
2011-06-22,2835,3215,2825,3080,331430,0.09219858156028371
2011-06-23,3055,3230,3015,3085,307567,0.0016233766233766378
2011-06-24,3085,3125,2950,2990,77089,-0.030794165316045397
2011-06-27,3000,3000,2870,2895,90958,-0.0317725752508361
2011-06-28,2915,2920,2835,2855,75624,-0.013816925734024155
2011-06-29,2860,2870,2790,2820,89020,-0.012259194395796813
2011-06-30,2845,2875,2805,2875,73764,0.019503546099290725
2011-07-01,2875,3075,2855,2925,261383,0.017391304347825987
2011-07-04,2940,2990,2915,2950,52693,0.008547008547008517
2011-07-05,2950,2995,2925,2950,51112,0.0
2011-07-06,2950,3055,2950,2980,54952,0.01016949152542379
2011-07-07,2965,3030,2960,2970,36535,-0.003355704697986628
2011-07-08,2980,3000,2900,2940,69636,-0.010101010101010055
2011-07-11,2905,2980,2905,2970,29242,0.010204081632652962
2011-07-12,2970,3070,2915,3000,88302,0.010101010101010166
2011-07-13,2970,3220,2970,3215,227235,0.07166666666666677
2011-07-14,3230,3415,3080,3085,380050,-0.04043545878693622
2011-07-15,3065,3170,3050,3110,75752,0.008103727714748876
2011-07-18,3120,3185,3100,3145,51305,0.0112540192926045
2011-07-19,3130,3150,3085,3085,46403,-0.019077901430842648
2011-07-20,3110,3365,3085,3205,174673,0.03889789303079416
2011-07-21,3225,3290,3155,3285,78145,0.024960998439937487
2011-07-22,3285,3360,3210,3210,63673,-0.022831050228310557
2011-07-25,3250,3250,3125,3195,53569,-0.004672897196261627
2011-07-26,3205,3215,3120,3170,46000,-0.007824726134585291
2011-07-27,3185,3195,3105,3185,50842,0.004731861198738141
2011-07-28,3180,3305,3130,3240,92192,0.017268445839874413
2011-07-29,3330,3545,3275,3400,375610,0.04938271604938271
2011-08-01,3380,3445,3325,3380,90887,-0.00588235294117645
2011-08-02,3410,3425,3215,3250,85736,-0.038461538461538436
2011-08-03,3200,3270,3140,3225,58487,-0.007692307692307665
2011-08-04,3260,3520,3260,3350,156180,0.03875968992248069
2011-08-05,3100,3395,3100,3280,99472,-0.020895522388059695
2011-08-08,3550,3690,2790,2870,438105,-0.125
