Date,Open,High,Low,Close,Volume,Change
2011-01-03,97600,97600,94800,96500,3335,-0.0041279669762641635
2011-01-04,98300,98300,94100,94100,2940,-0.024870466321243567
2011-01-05,94200,96800,93000,96800,3105,0.02869287991498415
2011-01-06,97000,97000,94600,96800,2189,0.0
2011-01-07,96800,98500,95000,95000,3388,-0.018595041322314043
2011-01-10,95000,95000,91500,91500,7280,-0.0368421052631579
2011-01-11,91600,91900,87300,89000,13189,-0.02732240437158473
2011-01-12,90100,91100,89200,90500,11754,0.016853932584269593
2011-01-13,92600,92600,89300,89500,3101,-0.011049723756906049
2011-01-14,90900,90900,88900,89500,3133,0.0
2011-01-17,90900,90900,85700,86000,10101,-0.03910614525139666
2011-01-18,86100,86900,85900,86300,5815,0.0034883720930232176
2011-01-19,86300,88700,86300,87000,7150,0.008111239860950192
2011-01-20,87200,87400,85100,87200,12568,0.0022988505747125743
2011-01-21,89700,89800,86100,87200,14856,0.0
2011-01-24,86700,87000,86200,86800,5112,-0.004587155963302725
2011-01-25,87900,88800,86000,87600,7005,0.009216589861751112
2011-01-26,87500,87900,86400,87700,4785,0.0011415525114155667
2011-01-27,90000,90000,87400,87500,6130,-0.0022805017103763037
2011-01-28,87400,88800,87100,88500,8217,0.011428571428571344
2011-01-31,88500,88800,87000,88500,8037,0.0
2011-02-01,89000,89900,88100,89200,1502,0.00790960451977396
2011-02-07,89300,89900,89000,89800,2459,0.006726457399103047
2011-02-08,89800,89800,88500,89000,2213,-0.008908685968819552
2011-02-09,89000,89000,86500,87000,3359,-0.022471910112359605
2011-02-10,87000,88200,87000,87300,1571,0.0034482758620688614
2011-02-11,88700,88800,86300,87400,4533,0.001145475372279492
2011-02-14,87000,87200,82000,86200,2677,-0.013729977116704761
2011-02-15,85600,87300,84100,85600,2914,-0.00696055684454755
2011-02-16,85400,86000,84600,85800,1928,0.002336448598130758
2011-02-17,85800,86000,84700,85500,1366,-0.0034965034965035446
2011-02-18,85500,86200,84800,86000,1624,0.005847953216374213
2011-02-21,86000,86000,85000,85800,440,-0.0023255813953488857
2011-02-22,86000,86000,83000,83600,3818,-0.02564102564102566
2011-02-23,83000,84000,83000,83600,310,0.0
2011-02-24,83500,83900,82000,82000,1711,-0.019138755980861233
2011-02-25,82000,85000,82000,84500,1598,0.030487804878048808
2011-02-28,84500,85600,83300,85500,945,0.01183431952662728
2011-03-02,85500,86000,84600,85800,180,0.0035087719298245723
2011-03-03,84400,86800,84400,85800,1166,0.0
2011-03-04,87500,87500,85600,85800,7631,0.0
2011-03-07,87400,87400,83100,85400,2803,-0.004662004662004615
2011-03-08,84100,87000,84100,86000,5993,0.007025761124121788
2011-03-09,86900,86900,84200,86000,1650,0.0
2011-03-10,86000,86000,85300,85800,534,-0.0023255813953488857
2011-03-11,85800,85900,84500,85900,1527,0.0011655011655011815
2011-03-14,85900,87500,84500,85800,1479,-0.0011641443538998875
2011-03-15,84800,86600,81500,82000,25776,-0.044289044289044344
2011-03-16,83700,83800,82000,83100,9778,0.013414634146341475
2011-03-17,82000,83700,81700,83400,4256,0.0036101083032491488
2011-03-18,83200,84900,83000,84800,3724,0.01678657074340517
2011-03-21,85000,85800,83500,85800,6973,0.011792452830188704
2011-03-22,87400,87400,84600,86100,8815,0.0034965034965035446
2011-03-23,86500,86500,85000,85800,2570,-0.0034843205574912606
2011-03-24,86000,86000,85100,85100,3180,-0.00815850815850816
2011-03-25,85200,86800,84400,86400,5339,0.01527614571092828
2011-03-28,86000,86000,84900,85300,2619,-0.01273148148148151
2011-03-29,85300,87400,85200,85800,2241,0.0058616647127784915
2011-03-30,85800,86200,85200,85600,3873,-0.002331002331002363
2011-03-31,85400,86000,85200,85700,2306,0.001168224299065379
2011-04-01,85700,86000,85100,85800,2572,0.001166861143523823
2011-04-04,86000,86400,85300,85600,5083,-0.002331002331002363
2011-04-05,85800,86900,85800,86400,2860,0.009345794392523255
2011-04-06,87200,87900,86400,87300,5652,0.01041666666666674
2011-04-07,86800,86900,85800,86500,3478,-0.009163802978235935
2011-04-08,86200,86700,85900,85900,3836,-0.006936416184971095
2011-04-11,85900,85900,85100,85500,2219,-0.00465657741559955
2011-04-12,85900,85900,84500,85700,1455,0.002339181286549641
2011-04-13,85300,85900,84500,85800,2504,0.001166861143523823
2011-04-14,85800,86000,84600,85500,6737,-0.0034965034965035446
2011-04-15,85500,87800,85200,87100,6855,0.01871345029239757
2011-04-18,87100,91000,85800,90400,6152,0.03788748564867972
2011-04-19,90000,90000,86500,87000,15910,-0.03761061946902655
2011-04-20,88300,88500,87100,88400,2126,0.016091954022988464
2011-04-21,88000,89100,87100,89000,3492,0.006787330316742057
2011-04-22,89000,89200,87700,88200,1353,-0.008988764044943864
2011-04-25,87600,88200,86300,87500,4640,-0.007936507936507908
2011-04-26,87500,87800,87000,87700,1326,0.0022857142857142243
2011-04-27,88300,89700,87900,88200,4432,0.005701254275940704
2011-04-28,88400,88400,87500,87600,1681,-0.006802721088435382
2011-04-29,87300,88400,87100,88100,1173,0.005707762557077611
2011-05-02,88200,90000,88200,89500,3301,0.015891032917139558
2011-05-03,92800,92800,90100,91200,4355,0.018994413407821265
2011-05-04,90800,91400,90000,90900,4994,-0.003289473684210509
2011-05-06,89700,91300,87600,91200,5844,0.0033003300330032292
2011-05-09,92100,92100,89200,89400,2702,-0.019736842105263164
2011-05-11,91000,91000,89400,90300,544,0.010067114093959662
2011-05-12,90100,90600,89400,90500,669,0.00221483942414169
2011-05-13,90700,90800,90000,90600,700,0.0011049723756906271
2011-05-16,90900,90900,89500,90500,465,-0.001103752759381904
2011-05-17,90500,90600,89400,90500,11068,0.0
2011-05-18,91400,91700,90500,91000,3555,0.005524861878453136
2011-05-19,91000,91000,89700,90400,2143,-0.00659340659340657
2011-05-20,91000,91800,88000,89300,8317,-0.012168141592920345
2011-05-23,91100,91100,89600,90200,3779,0.010078387458006821
2011-05-24,90200,90900,89000,90900,4825,0.0077605321507761005
2011-05-25,90900,91000,90100,90700,3760,-0.002200220022002153
2011-05-26,91000,91000,89700,90800,7982,0.0011025358324145973
2011-05-27,90800,90800,89000,89300,1919,-0.016519823788546217
2011-05-30,89400,89900,89200,89300,712,0.0
2011-05-31,89300,91300,89300,91300,2801,0.022396416573348343
2011-06-01,93000,93000,89500,89600,1633,-0.018619934282584905
2011-06-02,89000,90900,88200,88700,1628,-0.010044642857142905
2011-06-03,88500,89300,87900,89300,2640,0.006764374295377573
2011-06-07,89600,89600,87900,89000,1439,-0.0033594624860022737
2011-06-08,89000,89400,87200,87400,2550,-0.017977528089887618
2011-06-09,87000,87000,86000,86200,1576,-0.013729977116704761
2011-06-10,86000,86000,84500,85100,3272,-0.012761020881670526
2011-06-13,84500,85500,82800,85300,4394,0.00235017626321965
2011-06-14,83700,86500,83700,85000,2613,-0.003516998827667095
2011-06-15,85200,85500,84100,85100,588,0.0011764705882353343
2011-06-16,85000,87400,84200,86500,1041,0.016451233842538215
2011-06-17,88000,89900,85900,89800,1411,0.03815028901734108
2011-06-20,89500,89800,88400,88500,1482,-0.014476614699331813
2011-06-21,88500,88500,88400,88400,101,-0.001129943502824804
2011-06-22,87400,90300,87400,90200,1866,0.020361990950226172
2011-06-23,90200,90900,88000,90200,4654,0.0
2011-06-24,90200,90800,88500,88500,834,-0.018847006651884657
2011-06-27,90200,90200,87100,87500,1043,-0.011299435028248594
2011-06-28,86900,89900,86800,89600,1390,0.02400000000000002
2011-06-29,90700,90700,87100,90000,426,0.0044642857142858094
2011-06-30,90800,90800,90000,90000,512,0.0
2011-07-01,90000,90000,88200,89000,766,-0.011111111111111072
2011-07-04,90500,90500,88900,89500,643,0.00561797752808979
2011-07-05,89500,89800,88200,88400,690,-0.012290502793296132
2011-07-06,88200,88900,88200,88400,1634,0.0
2011-07-07,88100,89500,88100,89300,1458,0.010180995475113086
2011-07-08,89900,89900,89000,89500,1047,0.002239641657334923
2011-07-11,89500,90000,89200,89500,1234,0.0
2011-07-12,89500,89500,87400,87600,947,-0.021229050279329642
2011-07-13,87600,88300,87000,88000,3694,0.004566210045662045
2011-07-14,88100,89600,88000,88300,480,0.003409090909090917
2011-07-15,88800,89000,88100,89000,2798,0.007927519818799578
2011-07-18,89100,90900,89100,90000,2084,0.011235955056179803
2011-07-19,89100,90500,88000,88700,8491,-0.014444444444444482
2011-07-20,88500,89600,88100,88300,2386,-0.00450958286358516
2011-07-21,88300,89000,87900,88500,2422,0.0022650056625141968
2011-07-22,88600,89600,88500,88600,2073,0.001129943502824915
2011-07-25,88600,89000,88000,88300,1843,-0.003386004514672636
2011-07-26,88300,88800,87600,87900,695,-0.0045300113250282825
2011-07-27,87900,90500,87500,89900,2651,0.022753128555176305
2011-07-28,89300,89800,88600,89000,2920,-0.010011123470522798
2011-07-29,89000,89700,88900,89300,4762,0.003370786516853963
2011-08-01,89600,90300,89600,90000,4594,0.007838745800671898
2011-08-02,90000,90000,88000,88400,2907,-0.01777777777777778
2011-08-03,88400,88700,87800,88400,4322,0.0
2011-08-04,89700,89800,88400,89000,7293,0.006787330316742057
2011-08-05,88000,90900,84100,90000,6577,0.011235955056179803
2011-08-08,88500,90000,80300,85700,10273,-0.04777777777777781
2011-08-09,86900,86900,78800,81400,12423,-0.05017502917152861
2011-08-10,85400,85400,81400,82400,8591,0.01228501228501222
2011-08-11,80000,82100,79500,81900,2009,-0.0060679611650485965
2011-08-12,83600,84500,82100,83000,4842,0.013431013431013383
2011-08-16,85000,87000,83500,85600,3867,0.031325301204819356
2011-08-17,84300,87000,84300,86800,653,0.014018691588784993
2011-08-18,86500,86500,85100,86300,3577,-0.005760368663594417
2011-08-19,86000,86300,83200,84900,6244,-0.016222479721900385
2011-08-22,84500,84600,83900,84500,2927,-0.004711425206124886
2011-08-23,84500,84500,82500,84100,5134,-0.004733727810650845
2011-08-24,84100,84100,82100,83000,3110,-0.013079667063020217
2011-08-25,84800,87400,81200,84000,10482,0.012048192771084265
2011-08-26,82600,84200,82300,84000,21806,0.0
2011-08-29,86200,86200,82900,84000,996,0.0
2011-08-30,83500,83800,82200,82200,5230,-0.021428571428571463
2011-08-31,82200,83300,82200,82900,802,0.008515815085158085
2011-09-01,82900,84700,82500,82900,1881,0.0
2011-09-02,82900,83200,81500,82900,5310,0.0
2011-09-05,82800,82800,80900,81300,3333,-0.0193003618817853
2011-09-06,81000,82400,80000,82100,1403,0.009840098400984099
2011-09-07,82100,83000,81500,82900,1506,0.00974421437271622
2011-09-08,82900,83300,82000,82900,2797,0.0
2011-09-09,84000,84000,81000,82100,1863,-0.00965018094089265
2011-09-14,82100,82100,80500,80700,1811,-0.01705237515225333
2011-09-15,80700,82000,80700,81300,2655,0.0074349442379182396
2011-09-16,81300,82400,80600,80600,1215,-0.008610086100861003
2011-09-19,80600,81300,80600,80600,1932,0.0
2011-09-20,80000,80600,78300,80600,8805,0.0
2011-09-21,80600,81900,78800,80000,6016,-0.007444168734491274
2011-09-22,80000,80000,78800,79500,2445,-0.006249999999999978
2011-09-23,78800,79300,75400,76400,5705,-0.03899371069182389
2011-09-26,76400,76800,70600,72700,4289,-0.048429319371727786
2011-09-27,72800,78000,72800,78000,5929,0.07290233837689142
2011-09-28,78900,78900,75300,78000,1428,0.0
2011-09-29,76100,78300,76000,78000,3501,0.0
2011-09-30,78000,78000,76200,77700,3110,-0.0038461538461538325
2011-10-04,77200,77700,74000,77500,4239,-0.002574002574002532
2011-10-05,77000,77700,74400,77500,11371,0.0
2011-10-06,77500,77600,75500,76800,1425,-0.00903225806451613
2011-10-07,76900,76900,75100,76800,4355,0.0
2011-10-10,76000,76900,75400,76800,2519,0.0
2011-10-11,76800,77500,74300,74300,7805,-0.03255208333333337
2011-10-12,75000,75000,73700,74500,3271,0.0026917900403768957
2011-10-13,76000,76600,75200,75500,7250,0.01342281879194629
2011-10-14,75400,77000,74900,76900,2043,0.018543046357615944
2011-10-17,78000,80000,77800,80000,6427,0.04031209362808852
2011-10-18,77600,79700,77600,79300,1240,-0.008750000000000036
2011-10-19,79300,82400,78000,81500,2439,0.027742749054224358
2011-10-20,81500,81600,80500,81000,6147,-0.006134969325153339
2011-10-21,81000,87100,80300,82900,12302,0.023456790123456805
2011-10-24,83000,83100,81500,82000,4123,-0.010856453558504175
2011-10-25,82000,83000,81000,82500,1426,0.0060975609756097615
