Date,Open,High,Low,Close,Volume,Change
2011-01-03,111000,111500,110000,111500,15,0.013636363636363669
2011-01-04,112000,112000,108000,110000,40,-0.013452914798206317
2011-01-05,110000,111000,108500,111000,67,0.009090909090909038
2011-01-06,109000,111000,109000,111000,154,0.0
2011-01-07,112000,112000,110000,111000,165,0.0
2011-01-10,109000,110000,109000,109500,233,-0.013513513513513487
2011-01-11,111500,111500,109000,109500,53,0.0
2011-01-12,109500,110000,108500,109000,115,-0.004566210045662156
2011-01-13,109500,110000,107000,107000,591,-0.01834862385321101
2011-01-14,108500,108500,104000,106000,163,-0.009345794392523366
2011-01-17,105500,106000,103500,104000,367,-0.018867924528301883
2011-01-18,102000,104000,101000,104000,171,0.0
2011-01-19,104500,107000,101500,103500,351,-0.004807692307692291
2011-01-20,105000,105000,101500,104000,18,0.004830917874396157
2011-01-21,105500,105500,103000,103000,110,-0.009615384615384581
2011-01-24,104000,104000,101500,102500,142,-0.004854368932038833
2011-01-25,104500,104500,102000,103000,118,0.004878048780487809
2011-01-26,104000,104000,102000,102000,40,-0.009708737864077666
2011-01-27,103000,103000,100500,101500,34,-0.004901960784313708
2011-01-28,102000,102500,101000,102000,50,0.0049261083743843415
2011-01-31,101500,102500,101500,102000,52,0.0
2011-02-01,103000,103000,101000,102500,45,0.004901960784313708
2011-02-07,103500,103500,101500,102000,124,-0.004878048780487809
2011-02-08,103000,103000,101000,102000,119,0.0
2011-02-09,102000,102000,100500,102000,6,0.0
2011-02-10,103000,104000,102000,102000,8,0.0
2011-02-11,102000,103000,100500,101500,199,-0.004901960784313708
2011-02-14,100000,103000,100000,102500,62,0.009852216748768461
2011-02-15,102500,103000,102000,102000,19,-0.004878048780487809
2011-02-16,102000,105000,101500,104000,178,0.019607843137254832
2011-02-17,104500,104500,102000,102500,3,-0.014423076923076872
2011-02-18,100500,104000,100500,104000,109,0.014634146341463428
2011-02-21,104000,104000,104000,104000,30,0.0
2011-02-22,102000,102500,100500,101500,9,-0.024038461538461564
2011-02-23,100000,102000,100000,102000,65,0.0049261083743843415
2011-02-24,103000,103000,101500,101500,32,-0.004901960784313708
2011-02-25,101000,101000,99500,101000,14,-0.0049261083743842304
2011-02-28,103000,103000,100000,102000,56,0.00990099009900991
2011-03-02,101000,101000,101000,101000,50,-0.009803921568627416
2011-03-03,100000,102000,99100,101000,87,0.0
2011-03-04,102500,102500,100000,102500,18,0.014851485148514865
2011-03-07,100000,102000,99800,102000,65,-0.004878048780487809
2011-03-08,99700,101500,99700,101500,3,-0.004901960784313708
2011-03-09,100000,101500,99400,99800,31,-0.016748768472906406
2011-03-10,100000,100500,100000,100000,16,0.002004008016031955
2011-03-11,100500,100500,100500,100500,6,0.004999999999999893
2011-03-14,100500,100500,98000,99900,28,-0.005970149253731294
2011-03-15,101500,101500,99000,100500,11,0.006006006006006093
2011-03-16,100000,100000,99900,99900,10,-0.005970149253731294
2011-03-17,99900,99900,97400,99700,13,-0.002002002002001957
2011-03-18,99300,99600,99200,99600,57,-0.0010030090270812808
2011-03-21,99000,99100,98900,98900,55,-0.007028112449799173
2011-03-22,99000,100500,99000,100000,46,0.011122345803842304
2011-03-23,97100,101500,97100,98100,44,-0.019000000000000017
2011-03-24,99500,101000,99400,100500,28,0.024464831804281273
2011-03-25,100500,104500,100500,103500,75,0.029850746268656803
2011-03-28,101500,101500,100000,100000,91,-0.033816425120772986
2011-03-29,102000,102000,99900,100000,25,0.0
2011-03-30,100000,100000,99800,100000,78,0.0
2011-03-31,101000,101000,100000,100500,20,0.004999999999999893
2011-04-01,103000,103000,100000,101500,75,0.00995024875621886
2011-04-04,99100,99900,98800,98800,165,-0.026600985221674867
2011-04-05,98600,99500,98600,99500,51,0.007085020242914908
2011-04-06,99400,99900,99000,99000,158,-0.005025125628140725
2011-04-07,99000,99000,97500,97500,128,-0.015151515151515138
2011-04-08,99400,102000,96300,101500,450,0.0410256410256411
2011-04-11,99600,99600,98700,99000,145,-0.024630541871921152
2011-04-12,100000,100000,97900,99900,112,0.009090909090909038
2011-04-13,0,0,0,99900,0,0.0
2011-04-14,99000,99900,99000,99700,18,-0.002002002002001957
2011-04-15,99800,99800,98300,98900,113,-0.008024072216649913
2011-04-18,98500,99700,98400,98400,25,-0.005055611729019249
2011-04-19,99600,99600,99600,99600,1,0.012195121951219523
2011-04-20,98000,98100,96500,97700,1260,-0.01907630522088355
2011-04-21,97300,97900,95200,95400,864,-0.023541453428863823
2011-04-22,95800,97700,95200,97700,170,0.024109014675052443
2011-04-25,96900,96900,95300,96000,325,-0.017400204708290734
2011-04-26,96000,96000,95700,95700,39,-0.0031250000000000444
2011-04-27,97300,97300,94000,94000,560,-0.017763845350052265
2011-04-28,94700,95700,94700,95700,67,0.018085106382978777
2011-04-29,96400,96400,95900,95900,36,0.002089864158829613
2011-05-02,95900,98200,95000,97600,73,0.01772679874869665
2011-05-03,97000,97000,95000,95200,246,-0.024590163934426257
2011-05-04,97900,97900,95200,96100,141,0.009453781512605008
2011-05-06,95000,96100,94000,96000,205,-0.0010405827263267886
2011-05-09,94400,95500,94400,95400,34,-0.006249999999999978
2011-05-11,95800,95800,94000,94000,196,-0.014675052410901501
2011-05-12,94500,94500,93000,94300,139,0.0031914893617022155
2011-05-13,94300,95400,94300,95300,921,0.010604453870625585
2011-05-16,98000,98000,90000,93700,123,-0.016789087093389332
2011-05-17,94400,96500,94300,94300,13,0.006403415154749181
2011-05-18,94300,94700,94300,94400,56,0.0010604453870626251
2011-05-19,94400,96300,94400,94600,32,0.0021186440677967155
2011-05-20,94800,96500,94800,96500,108,0.020084566596194398
2011-05-23,95000,95200,94800,94800,61,-0.01761658031088087
2011-05-24,94700,96000,94700,96000,51,0.012658227848101333
2011-05-25,97000,97000,94100,94100,16,-0.019791666666666652
2011-05-26,96400,96400,94500,95500,107,0.014877789585547196
2011-05-27,0,0,0,95300,0,-0.0020942408376963817
2011-05-30,94200,94700,94200,94500,109,-0.008394543546694666
2011-05-31,94500,94500,94200,94200,9,-0.0031746031746031633
2011-06-01,94300,94800,94100,94700,171,0.005307855626327074
2011-06-02,94000,94100,94000,94000,101,-0.007391763463569179
2011-06-03,94200,94500,94200,94500,27,0.005319148936170137
2011-06-07,95300,95300,95300,95300,7,0.00846560846560851
2011-06-08,95000,96500,94700,96500,68,0.012591815320041944
