Date,Open,High,Low,Close,Volume,Change
2011-11-28,7553,8284,6446,6748,2044249,
2011-11-29,6848,7050,6622,6723,371093,-0.003704801422643733
2011-11-30,6899,7125,6294,6446,317424,-0.041201844414695765
2011-12-01,6647,6748,6320,6446,189540,0.0
2011-12-02,6571,6773,6370,6496,269184,0.007756748371082756
2011-12-05,6672,7201,6420,7025,407173,0.08143472906403937
2011-12-06,7000,7050,6748,6874,161574,-0.021494661921708236
2011-12-07,6924,7100,6748,7000,197554,0.018329938900203624
2011-12-08,7050,7679,7050,7327,296775,0.04671428571428571
2011-12-09,7251,7730,7176,7579,140343,0.03439333970247027
2011-12-12,7755,8712,7604,8712,516640,0.14949201741654572
2011-12-13,8913,9996,8737,9367,805168,0.07518365472910937
2011-12-14,9517,9820,8510,8561,284340,-0.0860467599017829
2011-12-15,8410,8888,8007,8561,216728,0.0
2011-12-16,8636,9341,8057,9014,201007,0.05291437916131292
2011-12-19,8888,9115,8133,8511,120849,-0.05580208564455291
2011-12-20,8561,9694,8460,9165,214267,0.07684173422629548
2011-12-21,9417,9442,9089,9165,86556,0.0
2011-12-22,9165,9971,8989,9543,183931,0.04124386252045831
2011-12-23,9643,10374,9467,9996,180239,0.04746934926123858
2011-12-26,9971,10197,9643,9770,56981,-0.022609043617446978
2011-12-27,9820,9971,9089,9971,75750,0.02057318321392021
2011-12-28,9669,9769,9316,9644,45309,-0.032795105806839864
2011-12-29,9643,10046,9316,9543,71673,-0.010472832849440117
2012-01-02,9568,9568,9291,9342,35884,-0.021062558943728438
2012-01-03,9392,9769,9215,9543,84169,0.02151573538856777
2012-01-04,9517,9744,9366,9619,46031,0.007963952635439586
2012-01-05,9719,9769,9442,9568,40721,-0.005302006445576435
2012-01-06,9694,11003,9669,10727,313818,0.12113294314381262
2012-01-09,10726,11179,10575,10802,70246,0.006991703178894415
2012-01-10,10751,11456,10701,11205,96276,0.03730790594334388
2012-01-11,11356,11809,10902,11104,97620,-0.009013833110218639
2012-01-12,11104,11406,10877,11306,60655,0.018191642651296913
2012-01-13,11532,11758,11079,11079,51221,-0.020077834777993964
2012-01-16,11482,11834,11154,11306,89299,0.02048921382796287
2012-01-17,11507,11733,11356,11482,57324,0.015566955598797172
2012-01-18,11557,11683,11205,11205,48789,-0.0241247169482669
2012-01-19,11230,11532,10827,10978,44652,-0.020258813029897405
2012-01-20,10751,11406,10550,11306,62216,0.029877937693568946
2012-01-25,11557,11834,11356,11608,41139,0.026711480629754147
2012-01-26,11633,11834,11431,11683,28353,0.006461061337008855
2012-01-27,11809,11809,11381,11683,18887,0.0
2012-01-30,11733,12086,11582,11784,47542,0.00864503980142084
2012-01-31,11784,12363,11607,12237,61993,0.0384419551934827
2012-02-01,12287,12489,12010,12237,26066,0.0
2012-02-02,12489,12489,12061,12061,24830,-0.014382610116858707
2012-02-03,11733,12061,11330,11356,78836,-0.05845286460492494
2012-02-06,11431,11910,11154,11709,38629,0.03108488904543849
2012-02-07,11708,12061,11431,11809,50864,0.008540438978563492
2012-02-08,11809,11985,11532,11633,25112,-0.014903886865949678
2012-02-09,11633,11633,10827,11583,68197,-0.004298117424568093
2012-02-10,11582,11884,11381,11583,35644,0.0
2012-02-13,11834,11834,11456,11532,25723,-0.004403004403004451
2012-02-14,11356,11834,11356,11658,18003,0.010926118626430892
2012-02-15,11784,11884,11330,11835,36050,0.0151827071538857
2012-02-16,11834,13597,11607,12187,71295,0.029742289818335488
2012-02-17,12161,13269,12035,12817,49645,0.05169442848937389
2012-02-20,12917,13446,12615,13094,55999,0.021611921666536693
2012-02-21,13345,13345,12917,13194,26100,0.007637085688101397
2012-02-22,13219,15057,13017,14151,61649,0.07253296953160526
2012-02-23,13899,14528,13622,13849,56177,-0.02134124796834147
2012-02-24,14100,14100,13496,13698,32902,-0.010903314318723378
2012-02-27,14050,14201,13521,13975,23581,0.020221930208789596
2012-02-28,14100,14553,13874,14353,18982,0.02704830053667262
2012-02-29,14604,14604,14100,14353,13219,0.0
2012-03-02,14125,14453,13899,14050,15680,-0.02111056921897858
2012-03-05,13874,14201,13345,13799,35144,-0.017864768683274024
2012-03-06,13521,14352,13244,13950,26408,0.010942821943619174
2012-03-07,13496,13949,13446,13622,24667,-0.023512544802867352
2012-03-08,13571,14050,13571,13698,20118,0.005579210101306797
2012-03-09,13974,13974,13420,13597,16802,-0.007373339173601945
2012-03-12,13597,13697,13194,13194,22581,-0.029638890931823147
2012-03-13,13219,13294,12514,12942,52054,-0.019099590723055893
2012-03-14,12942,13043,12413,12968,66502,0.0020089630659867463
