Date,Open,High,Low,Close,Volume,Change
2011-01-03,6795,6985,6772,6890,737579,0.02820474556036423
2011-01-04,6914,7032,6724,6962,610543,0.010449927431059436
2011-01-05,6961,7032,6843,6938,477624,-0.0034472852628555373
2011-01-06,6795,7079,6535,7080,1208769,0.020466993369847142
2011-01-07,7079,7079,6795,6890,625577,-0.026836158192090398
2011-01-10,6819,7008,6653,6985,481303,0.013788098693759077
2011-01-11,6985,7032,6843,6938,391556,-0.006728704366499638
2011-01-12,7008,7316,7008,7127,521687,0.02724127990775438
2011-01-13,7127,7221,6985,7080,265468,-0.006594640101024285
2011-01-14,7198,7269,7103,7127,330049,0.006638418079096153
2011-01-17,7387,7458,6985,7009,656039,-0.016556755998316297
2011-01-18,6937,7056,6677,6796,624605,-0.030389499215294657
2011-01-19,6843,6866,6677,6725,295388,-0.010447321954090594
2011-01-20,6701,6701,6464,6606,762856,-0.017695167286245317
2011-01-21,6582,6606,6345,6441,468839,-0.024977293369663922
2011-01-24,6416,6511,6345,6464,248924,0.003570874087874598
2011-01-25,6511,6535,6393,6393,219677,-0.010983910891089077
2011-01-26,6393,6582,6369,6559,196936,0.025965900203347436
2011-01-27,6535,6843,6511,6819,405008,0.03964018905320943
2011-01-28,6985,7008,6748,6748,400019,-0.010412083883267309
2011-01-31,6630,6724,6393,6417,313297,-0.04905157083580325
2011-02-01,6487,6606,6487,6512,151720,0.014804425744117111
2011-02-07,6535,6677,6511,6654,176049,0.02180589680589673
2011-02-08,6795,6937,6772,6819,388734,0.024797114517583374
2011-02-09,6819,6890,6677,6819,275614,0.0
2011-02-10,6866,6914,6748,6843,379742,0.0035195776506820042
2011-02-11,6819,6985,6535,6535,343592,-0.04500949875785476
2011-02-14,6630,6890,6464,6867,424029,0.05080336648814088
2011-02-15,6819,6961,6724,6890,451242,0.0033493519732052945
2011-02-16,6843,7150,6724,6914,772216,0.0034833091436865526
2011-02-17,6937,7221,6819,7151,1093711,0.03427827596181654
2011-02-18,7269,7387,7103,7198,907468,0.006572507341630507
2011-02-21,7269,7387,7103,7388,577409,0.026396221172547918
2011-02-22,7269,7293,6724,6796,897391,-0.08012994044396315
2011-02-23,6653,6914,6582,6630,529878,-0.024426133019423202
2011-02-24,6535,6701,6440,6488,405731,-0.02141779788838616
2011-02-25,6606,6914,6582,6914,376423,0.0656596794081381
2011-02-28,6985,7079,6795,6962,520582,0.006942435637836253
2011-03-02,6890,7056,6866,6962,353035,0.0
2011-03-03,7103,7150,7032,7151,374851,0.027147371444987023
2011-03-04,7198,7245,7056,7104,300653,-0.006572507341630507
2011-03-07,7127,7198,6937,6985,336396,-0.01675112612612617
2011-03-08,6961,7364,6937,7364,654128,0.0542591267000716
2011-03-09,7506,7553,7221,7364,935132,0.0
2011-03-10,7245,7293,7032,7222,493349,-0.019282998370450888
2011-03-11,7056,7293,7008,7246,340918,0.0033231791747438955
2011-03-14,7245,7269,6630,7009,495713,-0.03270770080044161
2011-03-15,7008,7198,6582,6819,525268,-0.027108003994863794
2011-03-16,6795,6937,6582,6748,366871,-0.010412083883267309
2011-03-17,6535,6630,6464,6559,380057,-0.028008298755186734
2011-03-18,6701,6724,6582,6630,221951,0.010824820856838002
2011-03-21,6677,6890,6677,6890,325868,0.03921568627450989
2011-03-22,6937,6937,6535,6559,709889,-0.04804063860667629
2011-03-23,6606,6677,6487,6654,401657,0.01448391523098036
2011-03-24,6701,6724,6582,6606,432968,-0.007213706041478862
2011-03-25,6677,6795,6630,6677,411474,0.010747805025734136
