Date,Open,High,Low,Close,Volume,Change
2011-01-03,1235,1255,1178,1199,126393,-0.0299352750809061
2011-01-04,1198,1203,1170,1203,186939,0.0033361134278564464
2011-01-05,1219,1279,1182,1252,180341,0.040731504571903665
2011-01-06,1239,1296,1227,1297,227981,0.03594249201277955
2011-01-07,1324,1324,1260,1284,211184,-0.010023130300693905
2011-01-10,1288,1308,1223,1293,180777,0.007009345794392496
2011-01-11,1304,1483,1292,1464,3222615,0.13225058004640378
2011-01-12,1430,1442,1348,1383,947998,-0.055327868852458995
2011-01-13,1405,1459,1300,1301,753593,-0.05929139551699203
2011-01-14,1300,1373,1267,1374,394395,0.05611068408916209
2011-01-17,1377,1418,1336,1419,298312,0.03275109170305668
2011-01-18,1393,1418,1361,1362,151466,-0.04016913319238902
2011-01-19,1365,1454,1353,1435,398665,0.05359765051395016
2011-01-20,1434,1544,1381,1383,670368,-0.036236933797909376
2011-01-21,1381,1438,1365,1411,184620,0.02024584237165583
2011-01-24,1471,1580,1430,1500,814358,0.06307583274273565
2011-01-25,1487,1532,1447,1464,218159,-0.02400000000000002
2011-01-26,1528,1682,1475,1626,3914183,0.11065573770491799
2011-01-27,1629,1646,1548,1594,825026,-0.019680196801967975
2011-01-28,1617,1694,1556,1667,728108,0.04579673776662485
2011-01-31,1601,1710,1592,1675,529454,0.004799040191961534
2011-02-01,1710,1710,1585,1634,411292,-0.024477611940298516
2011-02-07,1568,1649,1568,1630,416900,-0.002447980416156681
2011-02-08,1646,1857,1601,1789,2376510,0.09754601226993875
2011-02-09,1784,1914,1601,1618,1465277,-0.09558412520961435
2011-02-10,1634,1694,1577,1683,711605,0.04017305315203945
2011-02-11,1686,1710,1552,1691,562486,0.004753416518122444
2011-02-14,1812,1922,1723,1838,1836592,0.08693081017149606
2011-02-15,1821,1906,1634,1708,1142117,-0.07072905331882484
2011-02-16,1674,1707,1499,1658,1247787,-0.029274004683840782
2011-02-17,1649,1694,1442,1598,658387,-0.03618817852834744
2011-02-18,1535,1625,1504,1545,587138,-0.033166458072590776
2011-02-21,1556,1556,1422,1468,518653,-0.049838187702265335
2011-02-22,1467,1479,1279,1297,941875,-0.11648501362397823
2011-02-23,1296,1320,1255,1297,525091,0.0
2011-02-24,1272,1308,1243,1260,261332,-0.028527370855821133
2011-02-25,1248,1284,1239,1277,150952,0.013492063492063444
2011-02-28,1263,1304,1223,1232,190713,-0.035238841033672696
2011-03-02,1194,1333,1194,1244,481813,0.009740259740259827
2011-03-03,1426,1426,1426,1427,197637,0.14710610932475876
2011-03-04,1637,1637,1507,1549,8167798,0.08549404344779266
2011-03-07,1520,1637,1467,1586,3446202,0.023886378308586087
2011-03-08,1621,1634,1504,1626,1810480,0.02522068095838592
2011-03-09,1625,1719,1560,1687,2981104,0.037515375153751584
2011-03-10,1691,1715,1580,1618,1513701,-0.040901007705986925
2011-03-11,1568,1829,1552,1814,5102907,0.12113720642768855
2011-03-14,1731,1849,1625,1715,1935498,-0.054575523704520346
2011-03-15,1715,1796,1511,1757,1513152,0.02448979591836742
2011-03-16,1748,1784,1634,1663,978542,-0.05350028457598177
2011-03-17,1601,1641,1568,1610,605681,-0.031870114251353
2011-03-18,1649,1678,1568,1594,703039,-0.009937888198757738
2011-03-21,1670,1755,1617,1626,933156,0.020075282308657405
2011-03-22,1625,1691,1605,1691,674196,0.039975399753997554
2011-03-23,1715,1748,1658,1658,1413775,-0.01951507983441747
2011-03-24,1670,1735,1649,1715,618563,0.03437876960192998
2011-03-25,1743,1779,1694,1736,1748512,0.012244897959183598
2011-03-28,1755,1995,1707,1996,4761786,0.14976958525345618
2011-03-29,2186,2231,1930,1964,5678997,-0.01603206412825653
2011-03-30,1942,2089,1833,1907,4340823,-0.029022403258655793
2011-03-31,1947,2191,1926,2191,5808608,0.14892501310959627
2011-04-01,2223,2292,2109,2212,4071559,0.009584664536741228
2011-04-04,2252,2540,2203,2541,4646396,0.14873417721518978
2011-04-05,2540,2540,2333,2451,7621306,-0.0354191263282172
2011-04-06,2487,2755,2479,2590,5269761,0.056711546307629535
2011-04-07,2544,2584,2414,2532,2933062,-0.02239382239382237
2011-04-08,2653,2784,2439,2520,2453663,-0.004739336492891044
2011-04-11,2553,2674,2442,2626,1795051,0.042063492063492136
2011-04-12,2625,3015,2605,3017,4828844,0.1488956587966488
2011-04-13,2942,2984,2780,2854,4896241,-0.05402717931720247
2011-04-14,2828,2955,2788,2878,2767795,0.008409250175192673
2011-04-15,2930,3219,2503,2683,8257783,-0.06775538568450312
2011-04-18,2597,2678,2479,2602,2471865,-0.030190085724934757
2011-04-19,2662,2812,2520,2520,5128977,-0.031514219830899304
2011-04-20,2577,2577,2422,2463,2940866,-0.02261904761904765
2011-04-21,2520,2581,2178,2228,3199560,-0.09541209906617942
2011-04-22,2235,2292,2122,2293,2198972,0.029174147217235102
2011-04-25,2272,2333,2158,2159,1907953,-0.05843872655909288
2011-04-26,2097,2227,2065,2155,1455507,-0.0018527095877721722
2011-04-27,2203,2304,2153,2276,1795047,0.05614849187935045
2011-04-28,2223,2357,2219,2301,1446409,0.010984182776801354
2011-04-29,2304,2390,2264,2375,1132945,0.03215993046501531
2011-05-02,2366,2467,2361,2378,1180597,0.001263157894736855
2011-05-03,2390,2426,2292,2382,609280,0.001682085786375076
2011-05-04,2385,2430,2337,2358,503151,-0.010075566750629705
2011-05-06,2357,2463,2304,2463,557629,0.04452926208651409
2011-05-09,2499,2800,2483,2683,2715226,0.08932196508323176
2011-05-11,2861,3084,2861,3012,7082955,0.12262392843831527
2011-05-12,2869,2922,2560,2562,4457750,-0.149402390438247
2011-05-13,2650,2658,2292,2513,3285899,-0.01912568306010931
2011-05-16,2447,2723,2447,2594,2229639,0.03223239156386781
2011-05-17,2593,2755,2430,2508,2306132,-0.033153430994602884
2011-05-18,2508,2589,2487,2537,1236084,0.011562998405103775
2011-05-19,2499,2536,2158,2159,3241849,-0.1489948758376035
2011-05-20,2195,2255,1995,2188,1908698,0.013432144511347888
2011-05-23,2247,2247,2072,2114,1067970,-0.03382084095063986
2011-05-24,2040,2182,2016,2155,596617,0.01939451277199611
2011-05-25,2153,2195,2068,2089,632365,-0.030626450116009285
2011-05-26,2089,2178,2068,2089,602911,0.0
2011-05-27,2129,2402,2109,2350,1856969,0.12494016275730013
2011-05-30,2349,2597,2276,2415,2411911,0.027659574468085202
2011-05-31,2390,2454,2369,2435,590932,0.008281573498964745
2011-06-01,2447,2467,2406,2456,463360,0.008624229979466103
2011-06-02,2397,2568,2381,2504,969050,0.019543973941368087
2011-06-03,2479,2528,2235,2415,1545732,-0.035543130990415284
2011-06-07,2414,2479,2227,2321,596646,-0.03892339544513457
2011-06-08,2284,2471,2280,2472,463279,0.06505816458423097
2011-06-09,2496,2496,2378,2378,406921,-0.03802588996763756
2011-06-10,2471,2487,2397,2419,437175,0.01724137931034475
2011-06-13,2414,2524,2366,2525,712634,0.04381976023150069
2011-06-14,2540,2593,2475,2496,972765,-0.011485148514851495
2011-06-15,2528,2670,2491,2622,1602012,0.05048076923076916
2011-06-16,2581,2641,2548,2634,1053378,0.004576659038901587
2011-06-17,2650,2650,2572,2619,497091,-0.005694760820045608
2011-06-20,2625,2638,2496,2508,712972,-0.04238258877434131
2011-06-21,2553,2581,2503,2504,574569,-0.0015948963317384823
2011-06-22,2544,2589,2511,2590,725991,0.034345047923322714
2011-06-23,2662,2910,2617,2744,4193982,0.05945945945945952
2011-06-24,2740,2878,2686,2821,2125501,0.028061224489795977
2011-06-27,2869,3077,2683,2878,4784964,0.020205600850762062
2011-06-28,2873,2878,2447,2562,3035479,-0.1097984711605281
2011-06-29,2597,2622,2316,2557,2063990,-0.0019516003122560521
2011-06-30,2511,2653,2503,2606,1383841,0.019163081736409904
2011-07-01,2609,2650,2357,2525,2448181,-0.031082118188795138
2011-07-04,2695,2902,2613,2806,10957716,0.11128712871287139
2011-07-05,2897,3003,2683,2748,8870184,-0.02066999287241622
2011-07-06,2861,2873,2711,2773,9448107,0.00909752547307141
2011-07-07,3129,3129,2406,2435,21546937,-0.12188965019834119
2011-07-08,2442,2471,2210,2248,8138496,-0.07679671457905546
2011-07-11,2243,2247,2105,2134,4504786,-0.05071174377224197
2011-07-12,2089,2113,1902,1923,4824717,-0.09887535145267101
2011-07-13,2016,2056,1938,1984,3707308,0.03172126885075399
2011-07-14,1995,1995,1833,1854,2946601,-0.06552419354838712
2011-07-15,1836,1926,1836,1899,2244711,0.024271844660194164
2011-07-18,1902,1935,1853,1858,1649284,-0.021590310689836745
2011-07-19,1865,1902,1829,1838,1529975,-0.01076426264800856
2011-07-20,1861,1930,1824,1902,2993237,0.03482045701849845
2011-07-21,1914,1926,1845,1887,1495073,-0.007886435331230235
