Date,Open,High,Low,Close,Volume,Change
2015-09-02,2362,2440,2356,2401,3395211,
2015-09-03,2423,2423,2395,2407,194925,0.002498958767180426
2015-09-04,2401,2417,2395,2412,145908,0.002077274615704283
2015-09-07,2401,2417,2401,2407,26397,-0.0020729684908789014
2015-09-08,2401,2412,2401,2412,40299,0.002077274615704283
2015-09-09,2401,2412,2401,2412,44309,0.0
2015-09-10,2412,2417,2406,2412,29643,0.0
2015-09-11,2406,2412,2401,2412,87809,0.0
2015-09-14,2412,2412,2378,2390,76032,-0.009121061359867344
2015-09-15,2384,2384,2367,2379,19958,-0.004602510460251064
2015-09-16,2367,2373,2362,2368,21862,-0.004623791509037356
2015-09-17,2362,2373,2356,2357,47121,-0.004645270270270285
2015-09-18,2345,2356,2334,2346,20162,-0.004666949512091678
2015-09-21,2334,2345,2328,2340,37255,-0.002557544757033292
2015-09-22,2340,2345,2334,2340,41255,0.0
2015-09-23,2334,2345,2334,2346,6314,0.002564102564102555
2015-09-24,2334,2340,2334,2340,13272,-0.002557544757033292
2015-09-25,2328,2340,2328,2340,30168,0.0
2015-09-30,2334,2345,2323,2346,8140,0.002564102564102555
2015-10-01,2334,2345,2334,2346,31022,0.0
2015-10-02,2334,2345,2334,2340,10314,-0.002557544757033292
2015-10-05,2334,2340,2323,2323,116022,-0.007264957264957239
2015-10-06,2334,2345,2334,2346,31795,0.00990099009900991
2015-10-07,2345,2356,2345,2357,9372,0.004688832054561054
2015-10-08,2351,2356,2340,2351,93359,-0.002545608824777279
2015-10-12,2351,2351,2345,2346,3678,-0.002126754572522316
2015-10-13,2351,2351,2351,2351,2410,0.002131287297527651
2015-10-14,2351,2356,2345,2357,3995,0.002552105487026779
2015-10-15,2362,2362,2345,2346,21873,-0.004666949512091678
2015-10-16,2340,2356,2340,2346,71463,0.0
2015-10-19,2340,2356,2340,2357,4594,0.004688832054561054
2015-10-20,2345,2356,2334,2357,37524,0.0
2015-10-21,2345,2362,2340,2357,5913,0.0
2015-10-22,2345,2356,2334,2357,15954,0.0
2015-10-23,2340,2340,2334,2334,43445,-0.009758167161646125
2015-10-26,2340,2345,2328,2346,41459,0.005141388174807249
2015-10-27,2334,2334,2328,2334,47975,-0.005115089514066473
2015-10-28,2334,2345,2328,2334,22116,0.0
2015-10-29,2334,2334,2328,2329,15624,-0.002142245072836335
