Date,Open,High,Low,Close,Volume,Change
2011-01-03,22847,22847,21550,21700,5711,-0.011344480386350164
2011-01-04,21550,21848,21201,21201,6496,-0.022995391705069146
2011-01-05,21051,21051,20502,20652,9958,-0.025895004952596556
2011-01-06,20801,21500,20752,21351,8678,0.033846600813480565
2011-01-07,21201,21849,21001,21251,8983,-0.004683621376047942
2011-01-10,21450,21600,21051,21451,4010,0.009411321820149698
2011-01-11,21350,21400,20502,20702,10257,-0.03491678709617263
2011-01-12,20702,20702,20053,20253,10004,-0.021688725726982883
2011-01-13,20153,20153,19604,19655,14278,-0.029526489902730435
2011-01-14,19654,20402,19455,20253,5362,0.03042482828796733
2011-01-17,20003,20203,19754,19854,7117,-0.019700785068878734
2011-01-18,19854,20103,19754,19854,4543,0.0
2011-01-19,19654,20652,19455,19854,9489,0.0
2011-01-20,20003,20003,19405,19455,6214,-0.020096705953460248
2011-01-21,19505,20253,19405,19804,10339,0.017938833204831584
2011-01-24,20003,20003,19205,19206,8493,-0.03019592001615834
2011-01-25,19155,19305,18856,19056,9303,-0.007810059356451071
2011-01-26,19056,19305,18806,18807,5930,-0.013066750629722956
2011-01-27,18706,19205,18557,18906,5050,0.00526399744775885
2011-01-28,18457,19155,18457,18757,8025,-0.00788109594837616
2011-01-31,18656,19205,18507,18757,5405,0.0
2011-02-01,18806,19056,18257,18607,4989,-0.007997014447939432
2011-02-07,18706,19105,18357,18358,4697,-0.013382060514860017
2011-02-08,18656,18656,17459,17460,10533,-0.04891600392199591
2011-02-09,17559,17759,17359,17410,8881,-0.00286368843069873
2011-02-10,17459,17908,17310,17310,6939,-0.005743825387708235
2011-02-11,17359,17659,16511,16562,19676,-0.04321201617562098
2011-02-14,16711,16711,16262,16512,9395,-0.003018959062915161
2011-02-15,16511,16561,16362,16362,6485,-0.00908430232558144
2011-02-16,16262,18158,16262,17759,14258,0.08538076029825215
2011-02-17,17559,17808,17409,17809,5364,0.002815473844248073
2011-02-18,17709,18507,17509,18208,9160,0.02240440226851592
2011-02-21,18307,18307,17509,17559,5803,-0.035643673110720586
2011-02-22,17310,17759,17210,17210,3021,-0.01987584714391477
2011-02-23,17459,17659,17260,17460,3016,0.01452643811737353
2011-02-24,17359,17808,16910,16961,4848,-0.028579610538373434
2011-02-25,16910,17210,16811,16961,5774,0.0
2011-02-28,16910,17160,16711,17111,3444,0.008843818171098361
2011-03-02,17110,17310,16910,17210,2847,0.00578575185553154
2011-03-03,17060,17509,16960,17210,3318,0.0
2011-03-04,17310,17409,16960,17410,18873,0.011621150493899002
2011-03-07,17359,17659,17160,17160,2325,-0.014359563469270586
2011-03-08,17060,17609,17060,17510,8315,0.020396270396270344
2011-03-09,17459,17459,17010,17061,8432,-0.02564249000571106
2011-03-10,17110,17210,16861,16911,12239,-0.008791981712678032
2011-03-11,16711,17210,16611,16711,12879,-0.011826621725504083
2011-03-14,16511,17060,16112,17061,5066,0.020944288193405436
2011-03-15,16861,17210,16362,16562,9150,-0.02924799249750898
2011-03-16,16761,17160,16561,16861,5811,0.018053375196232402
2011-03-17,16711,16811,16462,16612,6276,-0.014767807366111163
2011-03-18,16611,16861,16462,16462,9712,-0.009029617144233115
2011-03-21,16462,16611,16462,16462,5026,0.0
2011-03-22,16462,16960,16462,16961,8408,0.030312234236423263
2011-03-23,16960,17260,16861,16861,6391,-0.005895878780732278
2011-03-24,16861,17260,16511,16961,16140,0.005930846331771544
2011-03-25,16960,17808,16910,17559,21148,0.03525735510877892
2011-03-28,17759,18457,17459,18158,12846,0.03411355999772203
2011-03-29,18158,18806,18008,18557,10919,0.021973785659213485
2011-03-30,18756,18956,18158,18857,8346,0.016166406207899886
2011-03-31,18856,19754,18856,19705,19917,0.0449700376518003
2011-04-01,19505,20752,19505,20203,12317,0.02527277340776446
2011-04-04,20053,20452,19953,20353,23661,0.007424639904964669
2011-04-05,20353,20452,19804,20353,8110,0.0
2011-04-06,20103,20602,20053,20303,8805,-0.002456640298727497
2011-04-07,20303,20802,19953,20553,9500,0.012313451214106319
2011-04-08,20253,20702,20153,20154,6781,-0.019413224346810698
2011-04-11,20003,20353,19854,19954,5028,-0.009923588369554426
2011-04-12,19854,19854,19205,19804,6328,-0.00751728976646282
2011-04-13,19505,20153,19255,20154,6240,0.01767319733387196
2011-04-14,19804,20303,19455,20303,11040,0.007393073335318023
2011-04-15,20103,20402,19305,19854,8038,-0.0221149583805349
2011-04-18,19754,20153,19704,20054,4321,0.010073536818776985
2011-04-19,19953,20153,19654,20054,5026,0.0
2011-04-20,20203,20452,19953,20154,5761,0.0049865363518499795
2011-04-21,20103,20552,20103,20203,9412,0.002431279150540755
2011-04-22,20203,20951,20103,20852,9771,0.03212394198881352
2011-04-25,20702,21050,20402,20802,7606,-0.0023978515250335786
2011-04-26,20652,20901,20303,20752,12101,-0.002403615037015694
2011-04-27,20751,21499,20602,21401,21841,0.03127409406322279
2011-04-28,21300,21500,21151,21301,20651,-0.004672678846782907
2011-04-29,20951,21151,20652,21051,8541,-0.011736538190695311
2011-05-02,20552,21350,20552,21051,4159,0.0
2011-05-03,20752,21300,20652,21051,5625,0.0
2011-05-04,20901,21450,20502,21201,9993,0.00712555223029776
2011-05-06,21200,21200,20702,20852,4845,-0.016461487665676122
2011-05-09,20602,20901,19953,19954,6924,-0.0430654133896029
2011-05-11,19754,20602,19754,20253,5156,0.014984464267816078
2011-05-12,20103,20402,19554,19705,8213,-0.02705771984397376
2011-05-13,19654,20452,19505,20453,5730,0.03795990865262633
2011-05-16,20053,21250,19804,21151,7645,0.03412702293062142
2011-05-17,20802,20951,20602,20602,3955,-0.02595621956408678
2011-05-18,20652,21250,20452,20852,3151,0.012134744199592262
2011-05-19,20802,21101,20552,20702,6299,-0.007193554575100736
2011-05-20,20652,21051,20552,20952,5721,0.012076127910346734
