Date,Open,High,Low,Close,Volume,Change
2012-11-06,10500,12050,10100,12050,2974829,
2012-11-07,13050,13850,12750,13850,729181,0.14937759336099576
2012-11-08,14950,15450,13150,13850,4753390,0.0
2012-11-09,13850,14800,12950,13700,2577551,-0.010830324909747335
2012-11-12,14050,14300,12800,13350,1467768,-0.025547445255474477
2012-11-13,13600,13700,12750,13450,1086033,0.0074906367041198685
2012-11-14,13250,13550,12200,12350,739226,-0.08178438661710041
2012-11-15,12050,12200,11000,11000,782522,-0.10931174089068829
2012-11-16,11400,12650,11300,11900,3111087,0.08181818181818179
2012-11-19,11700,13650,11300,13650,1876537,0.1470588235294117
2012-11-20,13700,14400,13150,13750,1879810,0.0073260073260073
2012-11-21,14150,14300,12000,12050,1956751,-0.12363636363636366
2012-11-22,12300,12450,11750,12000,674755,-0.004149377593360981
2012-11-23,12150,12150,11150,11400,698482,-0.050000000000000044
2012-11-26,11400,12150,11250,12000,701015,0.05263157894736836
2012-11-27,12000,12400,11700,12200,531186,0.016666666666666607
2012-11-28,12250,12250,11550,11850,428282,-0.02868852459016391
2012-11-29,11900,12150,11250,11300,440010,-0.04641350210970463
2012-11-30,11450,11650,11150,11350,271568,0.004424778761061843
2012-12-03,10950,11100,10000,10150,851177,-0.10572687224669608
2012-12-04,10300,11600,10250,11200,655176,0.10344827586206895
2012-12-05,11200,11650,10500,10600,608540,-0.0535714285714286
2012-12-06,10300,11950,10150,11500,1173707,0.08490566037735858
2012-12-07,11500,12150,11200,11850,528631,0.0304347826086957
2012-12-10,11950,12250,11500,11700,291217,-0.012658227848101222
2012-12-11,11550,11750,10700,10700,295752,-0.0854700854700855
2012-12-12,10950,11350,10550,10700,360085,0.0
2012-12-13,10700,11300,10600,11250,284092,0.051401869158878455
2012-12-14,11200,11450,10650,10900,287629,-0.03111111111111109
2012-12-17,10750,10900,10300,10400,273012,-0.04587155963302747
2012-12-18,10450,10700,10200,10550,264722,0.014423076923076872
2012-12-20,10600,10850,10350,10550,118109,0.0
2012-12-21,10550,10650,9840,9990,330387,-0.05308056872037914
2012-12-24,10000,10000,9200,9300,702969,-0.06906906906906907
2012-12-26,9250,9550,8970,9000,653274,-0.032258064516129004
2012-12-27,9150,10000,9000,9930,980053,0.10333333333333328
2012-12-28,9900,10700,9840,10550,693588,0.06243705941591138
2013-01-02,10700,10750,10300,10300,601098,-0.023696682464455
2013-01-03,10400,10450,10000,10250,320345,-0.004854368932038833
2013-01-04,10250,10950,10100,10900,452861,0.06341463414634152
2013-01-07,11050,11400,10950,11250,465071,0.032110091743119185
2013-01-08,11250,11450,11000,11100,202873,-0.013333333333333308
2013-01-09,11100,11350,10600,10750,276105,-0.03153153153153154
2013-01-10,10800,12000,10650,11700,909470,0.08837209302325588
2013-01-11,11800,12250,11550,12050,788129,0.029914529914529808
2013-01-14,12400,13700,12300,13450,1622853,0.11618257261410792
2013-01-15,13400,13500,12900,13350,529444,-0.0074349442379182396
2013-01-16,13400,13950,13100,13400,593943,0.0037453183520599342
2013-01-17,13300,13700,12800,13200,313757,-0.014925373134328401
2013-01-18,13200,13900,13050,13900,376279,0.05303030303030298
2013-01-21,13900,14000,13550,13800,253703,-0.007194244604316502
2013-01-22,13650,13850,13400,13750,341756,-0.0036231884057971175
2013-01-23,13650,14150,13550,13600,238214,-0.010909090909090868
2013-01-24,13600,13700,12800,12800,326638,-0.05882352941176472
2013-01-25,12950,13200,12600,12900,256376,0.0078125
2013-01-28,12800,13050,12550,12750,144134,-0.011627906976744207
2013-01-29,12750,13250,12750,12750,167564,0.0
2013-01-30,12900,13100,12550,12600,160444,-0.0117647058823529
2013-01-31,12750,12750,12100,12500,208139,-0.007936507936507908
2013-02-01,12500,12800,12150,12450,234907,-0.0040000000000000036
2013-02-04,12450,12500,11150,11150,333277,-0.10441767068273089
2013-02-05,11200,11500,10800,11300,181179,0.013452914798206317
2013-02-06,11400,11750,11300,11550,149548,0.022123893805309658
2013-02-07,11600,12500,11600,12400,359844,0.07359307359307365
2013-02-08,12500,12750,12150,12550,247876,0.012096774193548487
2013-02-12,12700,13200,12300,12650,354689,0.007968127490039834
2013-02-13,12750,12900,12550,12800,192504,0.011857707509881354
2013-02-14,12900,12900,12350,12600,248230,-0.015625
2013-02-15,12600,13200,12600,13200,413133,0.04761904761904767
2013-02-18,13200,13450,13050,13450,235341,0.018939393939394034
2013-02-19,13500,13500,13050,13250,221351,-0.014869888475836479
2013-02-20,13350,13400,13050,13300,315801,0.0037735849056603765
2013-02-21,13450,14350,13350,13500,1229771,0.015037593984962516
2013-02-22,13200,13600,12750,13600,573011,0.007407407407407307
2013-02-25,13650,13850,13350,13600,230280,0.0
2013-02-26,13700,14100,13600,13800,284902,0.014705882352941124
2013-02-27,13900,14350,13850,14250,601476,0.032608695652173836
2013-02-28,14400,14550,14100,14250,406903,0.0
2013-03-04,14200,14300,12800,12800,949680,-0.10175438596491226
2013-03-05,12650,12750,11350,11650,3467822,-0.08984375
2013-03-06,11750,11900,11450,11650,1030233,0.0
2013-03-07,11800,11800,11050,11300,932082,-0.030042918454935674
2013-03-08,11200,11300,10550,10750,1241520,-0.04867256637168138
2013-03-11,10750,11350,10400,11300,989215,0.051162790697674376
2013-03-12,11400,11650,11250,11450,565858,0.01327433628318575
2013-03-13,11600,12050,11550,11850,1058900,0.03493449781659397
2013-03-14,12150,12400,12100,12100,886717,0.021097046413502074
2013-03-15,12150,12250,11400,11400,617130,-0.05785123966942152
2013-03-18,11300,11550,11100,11450,285562,0.004385964912280604
2013-03-19,11550,11700,11300,11550,287465,0.008733624454148492
2013-03-20,11450,11500,10900,11000,387173,-0.04761904761904767
2013-03-21,11150,11350,10700,10900,362728,-0.009090909090909038
2013-03-22,10800,11300,10750,11250,274062,0.032110091743119185
2013-03-25,11300,11650,11100,11500,252107,0.022222222222222143
2013-03-26,11400,11550,11200,11250,173571,-0.021739130434782594
2013-03-27,11300,11450,11150,11250,251758,0.0
2013-03-28,11450,11750,11400,11400,436928,0.01333333333333342
2013-03-29,11450,11650,11400,11600,239189,0.01754385964912286
2013-04-01,11800,11800,11500,11600,214091,0.0
2013-04-02,11700,11900,11450,11600,402994,0.0
2013-04-03,11800,12700,11700,12650,1337073,0.09051724137931028
