Date,Open,High,Low,Close,Volume,Change
2015-07-31,3240,4210,2920,4210,22105692,
2015-08-03,5470,5470,4285,4370,33900678,0.03800475059382413
2015-08-04,4310,4830,4110,4390,14292360,0.004576659038901587
2015-08-05,4670,4760,4270,4325,7847088,-0.014806378132118492
2015-08-06,4335,4405,4120,4405,5315720,0.018497109826589586
2015-08-07,4285,4345,3880,3920,2855882,-0.11010215664018164
2015-08-10,3965,4240,3775,3805,3993702,-0.029336734693877542
2015-08-11,3825,3940,3620,3625,1853691,-0.047306176084099816
2015-08-12,3635,3740,3435,3710,2471515,0.02344827586206888
2015-08-13,3680,4820,3640,4820,12437547,0.2991913746630728
2015-08-17,4755,4785,4050,4155,7371733,-0.13796680497925307
2015-08-18,4145,4450,3685,3750,8407402,-0.09747292418772568
2015-08-19,3905,4350,3750,3940,10046220,0.05066666666666664
2015-08-20,4020,4255,3700,3780,3837647,-0.040609137055837574
2015-08-21,3570,3675,3315,3330,2428501,-0.11904761904761907
2015-08-24,3205,3560,3205,3300,2016297,-0.009009009009009028
2015-08-25,3450,3790,3300,3510,3889696,0.06363636363636371
2015-08-26,3525,3680,3505,3630,2338809,0.03418803418803429
2015-08-27,3695,3880,3620,3630,2449211,0.0
2015-08-28,3670,3730,3580,3590,1763153,-0.011019283746556474
2015-08-31,3640,3855,3605,3705,3315672,0.03203342618384397
2015-09-01,3735,3820,3570,3570,1831044,-0.036437246963562764
2015-09-02,3515,3645,3475,3610,1551097,0.011204481792717047
2015-09-03,3660,3810,3590,3600,2788685,-0.0027700831024930483
2015-09-04,3695,3800,3330,3475,2567084,-0.03472222222222221
2015-09-07,3510,3625,3410,3440,1108224,-0.010071942446043147
2015-09-08,3465,3515,3235,3240,854086,-0.05813953488372092
2015-09-09,3300,3425,3285,3365,742681,0.03858024691358031
2015-09-10,3390,3450,3355,3445,826145,0.023774145616641817
2015-09-11,3445,3445,3315,3350,493962,-0.027576197387518153
2015-09-14,3385,3385,3200,3285,625761,-0.0194029850746269
2015-09-15,3300,3300,3150,3160,790513,-0.03805175038051756
2015-09-16,3205,3240,3030,3100,845936,-0.01898734177215189
2015-09-17,3135,3235,3085,3155,650653,0.01774193548387104
2015-09-18,3210,3330,3180,3330,1026909,0.05546751188589538
2015-09-21,3310,3315,3255,3290,525603,-0.012012012012011963
2015-09-22,3350,3370,3265,3345,599869,0.016717325227963542
2015-09-23,3295,3340,3200,3200,444936,-0.0433482810164425
2015-09-24,3195,3295,3185,3210,310526,0.0031250000000000444
2015-09-25,3210,3235,3105,3135,356512,-0.02336448598130836
2015-09-30,3030,3155,3000,3145,393130,0.0031897926634769647
2015-10-01,3160,3235,3130,3155,487049,0.0031796502384737746
2015-10-02,3170,3220,3145,3155,419814,0.0
2015-10-05,3175,3300,3155,3155,402083,0.0
2015-10-06,3180,3300,3160,3300,599752,0.045958795562599075
2015-10-07,3355,3375,3240,3295,638141,-0.0015151515151514694
2015-10-08,3310,3310,3185,3195,315510,-0.030349013657056112
2015-10-12,3200,3235,3110,3125,365779,-0.021909233176838794
2015-10-13,3125,3155,3070,3125,221387,0.0
2015-10-14,3130,3160,3070,3070,196052,-0.01759999999999995
2015-10-15,3070,3120,3055,3070,257868,0.0
2015-10-16,3100,3140,3080,3095,291737,0.008143322475570036
2015-10-19,3125,3210,3100,3145,335241,0.016155088852988664
2015-10-20,3175,3345,3135,3345,966171,0.06359300476947527
2015-10-21,3355,3360,3275,3300,484818,-0.013452914798206317
2015-10-22,3300,3330,3145,3145,407861,-0.046969696969696995
2015-10-23,3170,3245,3170,3200,238327,0.01748807631160565
2015-10-26,3215,3335,3215,3290,431567,0.028124999999999956
2015-10-27,3265,3290,3160,3195,411783,-0.028875379939209744
2015-10-28,3195,3310,3180,3245,352936,0.015649452269170583
2015-10-29,3255,3300,3240,3245,270172,0.0
2015-10-30,3250,3270,3205,3215,213209,-0.009244992295839749
2015-11-02,3225,3240,3045,3075,688096,-0.043545878693623585
2015-11-03,3105,3105,2930,2950,553033,-0.04065040650406504
2015-11-04,2970,3085,2880,2925,417570,-0.008474576271186418
2015-11-05,2900,3000,2895,2945,296325,0.006837606837606813
2015-11-06,2930,2945,2850,2850,414677,-0.032258064516129004
2015-11-09,2850,2865,2775,2775,255465,-0.02631578947368418
2015-11-10,2820,2820,2550,2630,528339,-0.052252252252252274
2015-11-11,2615,2730,2615,2655,184149,0.009505703422053147
2015-11-12,2655,2820,2650,2720,338423,0.024482109227871973
2015-11-13,2670,2860,2580,2840,411067,0.044117647058823595
2015-11-16,2800,2960,2760,2875,334679,0.012323943661971759
2015-11-17,2875,2915,2810,2850,177789,-0.008695652173912993
2015-11-18,2830,2885,2750,2750,179206,-0.03508771929824561
2015-11-19,2760,2795,2695,2705,194311,-0.016363636363636358
2015-11-20,2700,2725,2670,2710,175962,0.001848428835489857
2015-11-23,2735,2770,2695,2750,208279,0.014760147601476037
2015-11-24,2730,2795,2730,2765,248079,0.005454545454545379
2015-11-25,2760,2800,2720,2725,142124,-0.01446654611211573
2015-11-26,2695,2755,2680,2680,229767,-0.016513761467889854
2015-11-27,2680,2735,2670,2705,164670,0.009328358208955168
2015-11-30,2730,2850,2700,2770,405666,0.02402957486136792
2015-12-01,2770,2820,2770,2810,126517,0.014440433212996373
2015-12-02,2810,2875,2780,2810,368023,0.0
2015-12-03,2785,2865,2785,2820,143897,0.003558718861210064
2015-12-04,2805,2850,2780,2800,148015,-0.007092198581560294
2015-12-07,2800,2835,2785,2805,96313,0.0017857142857142794
2015-12-08,2780,2805,2680,2710,253935,-0.033868092691622054
2015-12-09,2710,2845,2710,2805,414379,0.035055350553505615
2015-12-10,2830,2885,2790,2795,259935,-0.0035650623885917776
2015-12-11,2800,2820,2775,2810,126776,0.005366726296958779
2015-12-14,2870,2985,2800,2815,720419,0.001779359430605032
2015-12-15,2835,2890,2780,2805,406174,-0.003552397868561319
2015-12-16,2795,2830,2780,2815,193658,0.0035650623885918886
2015-12-17,2820,2860,2810,2815,173661,0.0
2015-12-18,2805,2995,2790,2950,1037845,0.047957371225577194
2015-12-21,3020,3060,2910,2935,601127,-0.005084745762711895
2015-12-22,2960,3170,2935,3015,2642944,0.027257240204429323
2015-12-23,3050,3050,2930,2955,637084,-0.01990049751243783
2015-12-24,2980,3150,2935,3065,651934,0.0372250423011844
2015-12-28,3110,3190,3050,3050,833500,-0.004893964110929905
2015-12-29,3100,3110,3020,3020,318803,-0.00983606557377048
2015-12-30,3040,3065,2965,3045,315338,0.008278145695364225
2016-01-04,3080,3150,3005,3005,634639,-0.013136288998357948
2016-01-05,2950,3040,2945,3005,269253,0.0
2016-01-06,3030,3145,2995,3085,1035415,0.0266222961730449
2016-01-07,3085,3095,3000,3010,303402,-0.024311183144246407
2016-01-08,2990,3030,2930,3030,343597,0.006644518272425293
2016-01-11,3015,3025,2965,2990,163668,-0.01320132013201325
2016-01-12,2980,3015,2945,2960,208058,-0.010033444816053505
2016-01-13,2970,2995,2930,2960,177807,0.0
2016-01-14,2900,2950,2835,2870,287414,-0.030405405405405372
2016-01-15,2875,2920,2795,2830,169847,-0.013937282229965153
2016-01-18,2750,2800,2720,2760,208231,-0.02473498233215543
2016-01-19,2760,2795,2730,2770,155409,0.0036231884057971175
2016-01-20,2775,2805,2610,2665,285339,-0.03790613718411551
2016-01-21,2630,2690,2600,2615,157023,-0.018761726078799223
2016-01-22,2615,2650,2585,2600,156370,-0.005736137667303964
2016-01-25,2625,2675,2615,2655,137728,0.02115384615384608
2016-01-26,2615,2655,2590,2605,190209,-0.01883239171374762
2016-01-27,2610,2660,2595,2610,173361,0.0019193857965451588
2016-01-28,2580,2625,2580,2620,97049,0.003831417624521105
2016-01-29,2620,2635,2595,2605,139960,-0.005725190839694694
2016-02-01,2620,2660,2615,2655,111184,0.019193857965451144
2016-02-02,2655,2670,2630,2650,64510,-0.0018832391713747842
2016-02-03,2625,2655,2620,2625,70484,-0.009433962264150941
2016-02-04,2625,2675,2595,2610,156582,-0.005714285714285672
2016-02-05,2615,2635,2595,2600,117034,-0.003831417624521105
2016-02-11,2540,2680,2500,2585,207633,-0.005769230769230749
2016-02-12,2550,2640,2405,2480,309639,-0.04061895551257255
2016-02-15,2445,2505,2445,2500,112062,0.008064516129032251
2016-02-16,2495,2515,2455,2495,144437,-0.0020000000000000018
2016-02-17,2495,2515,2425,2425,160248,-0.028056112224448926
2016-02-18,2475,2490,2430,2460,106778,0.014432989690721598
2016-02-19,2460,2555,2450,2510,220281,0.020325203252032464
2016-02-22,2515,2645,2510,2635,224731,0.04980079681274896
2016-02-23,2615,2665,2560,2605,175575,-0.011385199240986688
2016-02-24,2595,2630,2545,2550,138542,-0.021113243761996192
2016-02-25,2550,2580,2510,2535,135238,-0.00588235294117645
2016-02-26,2540,2645,2540,2600,187148,0.02564102564102555
2016-02-29,2600,2660,2585,2625,118169,0.009615384615384581
2016-03-02,2630,2630,2595,2605,147134,-0.007619047619047636
2016-03-03,2600,2625,2575,2600,85690,-0.0019193857965451588
2016-03-04,2600,2720,2590,2685,420224,0.0326923076923078
2016-03-07,2720,2760,2680,2710,253956,0.009310986964618184
2016-03-08,2710,2710,2630,2685,95729,-0.009225092250922495
2016-03-09,2690,2730,2690,2705,288298,0.007448789571694592
2016-03-10,2705,2745,2690,2700,156927,-0.001848428835489857
2016-03-11,2685,2700,2655,2655,172529,-0.01666666666666672
2016-03-14,2660,2700,2655,2685,109447,0.011299435028248483
2016-03-15,2685,2750,2670,2670,236186,-0.005586592178770999
2016-03-16,2675,2710,2650,2700,222120,0.011235955056179803
2016-03-17,2700,2805,2700,2775,578754,0.02777777777777768
2016-03-18,2790,2940,2785,2830,633189,0.01981981981981984
2016-03-21,2840,2845,2795,2810,138652,-0.007067137809187329
2016-03-22,2810,2835,2740,2760,136944,-0.017793594306049876
2016-03-23,2760,2795,2735,2780,170294,0.007246376811594235
2016-03-24,2780,2780,2735,2765,108667,-0.0053956834532373765
2016-03-25,2760,2780,2740,2765,144520,0.0
2016-03-28,2765,3040,2760,2900,876067,0.0488245931283906
2016-03-29,2895,2970,2870,2880,448087,-0.006896551724137945
2016-03-30,2870,2905,2820,2825,205639,-0.01909722222222221
2016-03-31,2850,3105,2830,3035,1901164,0.07433628318584073
