Date,Open,High,Low,Close,Volume,Change
2011-01-03,1108,1108,1068,1076,124536,-0.009208103130755041
2011-01-04,1096,1188,1068,1124,545768,0.044609665427509215
2011-01-05,1146,1192,1108,1162,695262,0.03380782918149472
2011-01-06,1178,1202,1132,1152,407649,-0.008605851979345935
2011-01-07,1188,1222,1154,1208,748621,0.04861111111111116
2011-01-10,1194,1210,1174,1180,318706,-0.023178807947019875
2011-01-11,1172,1186,1130,1146,177573,-0.028813559322033888
2011-01-12,1160,1164,1144,1146,120633,0.0
2011-01-13,1138,1144,1114,1120,195289,-0.022687609075043635
2011-01-14,1134,1134,1060,1088,163772,-0.02857142857142858
2011-01-17,1092,1130,1088,1112,117360,0.022058823529411686
2011-01-18,1112,1136,1100,1100,127296,-0.010791366906474864
2011-01-19,1130,1160,1094,1138,236452,0.034545454545454435
2011-01-20,1148,1160,1108,1146,166720,0.007029876977152849
2011-01-21,1182,1200,1140,1160,339844,0.01221640488656206
2011-01-24,1200,1334,1200,1334,3989153,0.1499999999999999
2011-01-25,1388,1518,1328,1406,5921617,0.05397301349325345
2011-01-26,1432,1472,1340,1408,3746456,0.0014224751066855834
2011-01-27,1454,1500,1282,1292,3984077,-0.08238636363636365
2011-01-28,1300,1324,1236,1264,1831893,-0.021671826625387025
2011-01-31,1236,1270,1208,1226,753022,-0.030063291139240556
2011-02-01,1246,1280,1212,1230,925131,0.0032626427406199365
2011-02-07,1260,1280,1220,1230,571668,0.0
2011-02-08,1240,1340,1236,1308,1852441,0.06341463414634152
2011-02-09,1328,1338,1230,1232,931731,-0.05810397553516822
2011-02-10,1234,1254,1132,1144,877326,-0.0714285714285714
2011-02-11,1144,1172,1064,1076,499311,-0.05944055944055948
2011-02-14,1088,1104,1058,1072,252768,-0.0037174721189591198
2011-02-15,1074,1096,1052,1088,254271,0.014925373134328401
2011-02-16,1084,1108,1068,1088,284364,0.0
2011-02-17,1100,1136,1068,1068,289921,-0.018382352941176516
2011-02-18,1068,1090,1044,1056,211902,-0.011235955056179803
2011-02-21,1068,1068,1028,1030,380777,-0.024621212121212155
2011-02-22,1030,1036,990,1002,220766,-0.027184466019417486
2011-02-23,992,1010,976,994,180150,-0.007984031936127733
2011-02-24,994,1004,970,974,157938,-0.02012072434607648
2011-02-25,980,992,952,964,224852,-0.010266940451745366
2011-02-28,980,1048,978,990,375526,0.026970954356846377
2011-03-02,974,1000,960,984,173460,-0.0060606060606061
2011-03-03,1000,1012,982,1006,168829,0.022357723577235866
2011-03-04,1046,1060,1018,1034,314276,0.027833001988071482
2011-03-07,1022,1040,1014,1018,112606,-0.015473887814313358
2011-03-08,1038,1082,1026,1052,326376,0.03339882121807469
2011-03-09,1068,1070,1026,1028,216079,-0.02281368821292773
2011-03-10,1032,1056,1016,1046,173630,0.017509727626459082
2011-03-11,1040,1062,1014,1038,114118,-0.007648183556405397
2011-03-14,1028,1036,956,980,269736,-0.055876685934489356
2011-03-15,964,990,842,904,330192,-0.07755102040816331
2011-03-16,896,928,878,902,212999,-0.0022123893805309214
2011-03-17,880,902,852,902,214036,0.0
2011-03-18,916,952,904,924,126038,0.024390243902439046
2011-03-21,928,964,928,942,130529,0.01948051948051943
