Date,Open,High,Low,Close,Volume,Change
2011-01-03,4735,4835,4620,4780,329810,0.011640211640211673
2011-01-04,4880,4880,4635,4795,562699,0.003138075313807498
2011-01-05,4780,5080,4590,4795,1661721,0.0
2011-01-06,4795,4935,4620,4640,1252598,-0.03232533889468192
2011-01-07,4635,4680,4520,4625,496321,-0.003232758620689613
2011-01-10,4620,4720,4590,4710,368504,0.018378378378378413
2011-01-11,4705,4850,4695,4795,569935,0.018046709129511784
2011-01-12,4810,4810,4605,4665,413940,-0.027111574556829998
2011-01-13,4665,4765,4605,4665,509332,0.0
2011-01-14,4635,4765,4590,4680,279142,0.003215434083601254
2011-01-17,4680,5310,4605,4880,2134091,0.042735042735042805
2011-01-18,4935,5165,4850,4995,1162370,0.023565573770491843
2011-01-19,5165,5165,4695,4810,823555,-0.03703703703703709
2011-01-20,4795,4825,4680,4770,448543,-0.008316008316008316
2011-01-21,4735,4895,4720,4795,311239,0.00524109014675056
2011-01-24,4810,4895,4680,4680,319899,-0.023983315954118845
2011-01-25,4680,4810,4550,4695,407871,0.0032051282051281937
2011-01-26,4665,4780,4450,4525,435251,-0.03620873269435565
2011-01-27,4520,4735,4465,4510,220451,-0.0033149171270717703
2011-01-28,4520,4650,4275,4350,451275,-0.03547671840354771
2011-01-31,4220,4450,4220,4320,196648,-0.006896551724137945
2011-02-01,4365,4480,4320,4425,247849,0.02430555555555558
2011-02-07,4420,4535,4390,4495,187392,0.01581920903954792
2011-02-08,4490,4580,4450,4465,123234,-0.006674082313681828
2011-02-09,4520,4535,4390,4510,212750,0.010078387458006821
2011-02-10,4450,4565,4405,4540,223268,0.006651884700665134
2011-02-11,4520,4580,4335,4335,245191,-0.045154185022026394
2011-02-14,4365,4665,4350,4380,102023,0.01038062283737018
2011-02-15,4390,4450,4290,4380,221236,0.0
2011-02-16,4335,4405,4290,4320,267872,-0.013698630136986356
2011-02-17,3675,3675,3675,3675,11170,-0.14930555555555558
2011-02-18,3125,3125,3125,3130,14074,-0.14829931972789112
2011-02-21,2695,2785,2670,2670,3619506,-0.14696485623003197
2011-02-22,2440,2595,2380,2500,6368315,-0.06367041198501877
2011-02-23,2495,2855,2495,2540,5357184,0.016000000000000014
2011-02-24,2595,2710,2265,2400,3898459,-0.055118110236220486
2011-02-25,2425,2495,2150,2440,1677656,0.016666666666666607
2011-02-28,2440,2540,2250,2270,1816799,-0.069672131147541
2011-03-02,2265,2395,2250,2285,612683,0.0066079295154184425
2011-03-03,2295,2565,2265,2515,1986563,0.10065645514223198
2011-03-04,2495,2540,2410,2540,637080,0.00994035785288272
2011-03-07,2540,2580,2380,2440,454499,-0.03937007874015752
2011-03-08,2440,2525,2250,2370,793434,-0.02868852459016391
2011-03-09,2425,2425,2295,2295,218379,-0.03164556962025311
2011-03-10,2325,2410,2265,2295,448637,0.0
2011-03-11,2295,2625,2280,2515,1038184,0.0958605664488017
2011-03-14,2495,2510,2365,2485,405849,-0.011928429423459286
2011-03-15,2465,2495,2135,2340,516020,-0.05835010060362178
2011-03-16,2455,2540,2195,2285,2548176,-0.023504273504273532
2011-03-17,2280,2325,1950,1955,1079419,-0.1444201312910285
2011-03-18,1735,2135,1735,2025,987041,0.03580562659846542
2011-03-21,1965,2110,1935,2040,523614,0.007407407407407307
2011-03-22,2110,2110,1920,1980,355323,-0.02941176470588236
2011-03-23,1765,1820,1690,1695,1065623,-0.14393939393939392
2011-03-24,1790,1935,1790,1940,316520,0.14454277286135686
2011-03-25,1935,2005,1805,1970,501628,0.015463917525773141
2011-03-28,1920,1980,1880,1880,333206,-0.045685279187817285
2011-03-29,1920,1920,1865,1895,329751,0.007978723404255428
2011-03-30,1865,1895,1850,1880,324840,-0.0079155672823219
2011-03-31,1895,1995,1865,1995,132483,0.061170212765957466
2011-04-01,2035,2035,1935,1940,145426,-0.027568922305764465
2011-04-04,1950,1965,1920,1955,74190,0.0077319587628865705
2011-04-05,1965,1965,1905,1940,60311,-0.007672634271099765
2011-04-06,1935,1935,1850,1865,187915,-0.03865979381443296
2011-04-07,1865,1905,1820,1880,137602,0.008042895442359255
2011-04-08,1850,1895,1850,1880,71907,0.0
2011-04-11,1895,1895,1790,1840,124825,-0.021276595744680882
2011-04-12,1835,1835,1765,1765,159347,-0.040760869565217406
2011-04-13,1935,1935,1735,1780,363237,0.008498583569405138
2011-04-14,1735,1750,1720,1735,191199,-0.0252808988764045
2011-04-15,1750,1750,1650,1710,204041,-0.014409221902017322
2011-04-18,1705,1705,1590,1595,399002,-0.06725146198830412
2011-04-19,1560,1665,1560,1610,243329,0.00940438871473348
2011-04-20,1605,1650,1575,1580,275129,-0.018633540372670843
2011-04-21,1605,1665,1550,1550,483946,-0.01898734177215189
2011-04-22,1575,1575,1435,1435,592603,-0.0741935483870968
2011-04-25,1650,1650,1375,1380,2173181,-0.0383275261324042
2011-04-26,1345,1345,1290,1290,893987,-0.06521739130434778
2011-04-27,1260,1435,1260,1410,869172,0.09302325581395343
2011-04-28,1345,1405,1260,1290,634890,-0.08510638297872342
2011-04-29,0,0,0,1290,0,0.0
2011-05-02,0,0,0,1290,0,0.0
2011-05-03,0,0,0,1290,0,0.0
2011-05-04,0,0,0,1290,0,0.0
2011-05-06,0,0,0,1290,0,0.0
2011-05-09,0,0,0,1290,0,0.0
2011-05-11,0,0,0,1290,0,0.0
2011-05-12,0,0,0,1290,0,0.0
2011-05-13,0,0,0,1290,0,0.0
