Date,Open,High,Low,Close,Volume,Change
2015-12-22,4937,5170,4075,4096,5256077,
2015-12-23,4094,4399,4043,4199,1076043,0.025146484375
2015-12-24,4270,4373,4204,4244,368564,0.010716837342224395
2015-12-28,4308,4308,4133,4244,178282,0.0
2015-12-29,4244,4522,4153,4406,224558,0.038171536286522256
2015-12-30,4438,4535,4321,4433,208424,0.006128007262823365
2016-01-04,4412,4438,4244,4329,231715,-0.02346041055718473
2016-01-05,4237,4522,4224,4329,414479,0.0
2016-01-06,4386,4774,4360,4556,1171201,0.052437052437052545
2016-01-07,4567,4664,4373,4594,554731,0.008340649692712976
2016-01-08,4431,4554,4412,4536,382485,-0.012625163256421379
2016-01-11,4535,4541,4360,4380,178671,-0.03439153439153442
2016-01-12,4386,4477,4230,4257,252919,-0.02808219178082194
2016-01-13,4282,4347,4257,4302,89164,0.010570824524312794
2016-01-14,4217,4444,4159,4348,232081,0.010692701069270116
2016-01-15,4380,4412,4166,4173,219624,-0.0402483900643974
2016-01-18,4172,4230,4017,4219,67438,0.011023244668104448
2016-01-19,4217,4270,4133,4160,122464,-0.013984356482578786
2016-01-20,4159,4710,4159,4536,1201217,0.09038461538461529
2016-01-21,4548,4911,4438,4626,836197,0.01984126984126977
2016-01-22,4697,5105,4664,4905,1016332,0.060311284046692615
2016-01-25,4898,5001,4736,4899,301848,-0.0012232415902140303
2016-01-26,4814,4976,4814,4827,161404,-0.014696876913655843
2016-01-27,4865,5151,4794,4990,444085,0.03376838616117661
2016-01-28,4956,5164,4872,5119,186229,0.02585170340681353
2016-01-29,5086,5338,5066,5087,460359,-0.006251220941590141
2016-02-01,5086,5274,4911,4990,206385,-0.01906821309219575
2016-02-02,4988,4995,4859,4990,163899,0.0
2016-02-03,5014,5118,4885,4957,122608,-0.0066132264529058515
2016-02-04,4963,5280,4853,5177,275966,0.04438168246923535
2016-02-05,5177,5604,5151,5352,375623,0.03380336101989578
2016-02-11,5138,5287,5131,5151,195049,-0.03755605381165916
2016-02-12,5060,5144,4561,4802,232015,-0.06775383420695014
2016-02-15,4885,5118,4846,5119,95514,0.06601416076634736
2016-02-16,5170,5371,5131,5281,192502,0.031646806016800255
2016-02-17,5280,5365,5183,5281,90636,0.0
2016-02-18,5280,5507,5280,5313,170584,0.006059458435902387
2016-02-19,5300,5442,5235,5287,133105,-0.004893657067570056
2016-02-22,5248,5423,5248,5294,75811,0.001324002269718072
2016-02-23,5300,5351,5105,5184,94406,-0.02077823951643365
2016-02-24,5397,5520,5241,5287,303051,0.019868827160493874
2016-02-25,5306,5365,5222,5249,101254,-0.007187440892755803
2016-02-26,5248,5423,5241,5340,186305,0.0173366355496285
2016-02-29,5384,5416,5164,5255,303935,-0.015917602996254665
2016-03-02,5312,5312,5131,5249,246672,-0.0011417697431017615
2016-03-03,5287,5287,5131,5132,137717,-0.022289959992379482
2016-03-04,5131,5170,4963,5016,219159,-0.02260327357755265
2016-03-07,5073,5124,5028,5073,99838,0.011363636363636465
2016-03-08,5092,5124,4963,5016,158534,-0.011235955056179803
2016-03-09,4976,5028,4918,5022,118145,0.0011961722488038617
2016-03-10,4995,5092,4982,5073,105476,0.010155316606929476
2016-03-11,5073,5073,5001,5016,60855,-0.011235955056179803
2016-03-14,5099,5099,4918,4925,99179,-0.01814194577352468
2016-03-15,4918,5021,4794,4840,155991,-0.017258883248730927
2016-03-16,4904,5144,4885,5003,279642,0.033677685950413316
2016-03-17,5066,5131,5008,5041,88121,0.007595442734359414
2016-03-18,5008,5131,4969,5119,154136,0.015473120412616614
2016-03-21,5144,5183,5073,5119,92691,0.0
2016-03-22,5118,5151,4969,5009,105033,-0.021488571986716165
2016-03-23,5014,5086,4943,5028,66538,0.0037931722898782994
2016-03-24,5066,5066,4911,4937,69023,-0.018098647573587923
2016-03-25,4976,5014,4904,5016,59856,0.0160016204172575
2016-03-28,4976,5255,4924,5158,217097,0.028309409888357173
2016-03-29,5183,5416,5164,5391,342558,0.045172547499030546
2016-03-30,5384,5721,5319,5624,379937,0.043220181784455525
2016-03-31,5669,5779,5514,5527,293083,-0.017247510668563337
2016-04-01,5572,5715,5552,5631,199829,0.018816717930161042
2016-04-04,5630,5902,5578,5851,213477,0.03906943704492982
2016-04-05,5857,5863,5682,5747,122916,-0.01777473936079299
2016-04-06,5760,5798,5546,5664,126487,-0.014442317730990029
2016-04-07,5662,5727,5507,5508,143159,-0.02754237288135597
2016-04-08,5539,5565,5461,5508,73271,0.0
2016-04-11,5507,5734,5442,5709,112231,0.036492374727668864
2016-04-12,5708,5753,5546,5631,97611,-0.01366263794009459
2016-04-14,5669,6025,5637,5891,309638,0.04617297105309892
2016-04-15,5935,6155,5844,6143,275886,0.04277711763707348
2016-04-18,6168,6252,5895,6065,156962,-0.01269737913071789
2016-04-19,6109,6245,6025,6091,119753,0.004286892003297682
2016-04-20,6135,6135,5889,5929,133418,-0.02659661796092594
2016-04-21,5961,6077,5902,6065,79671,0.02293810086017878
2016-04-22,6077,6673,6025,6357,513239,0.04814509480626539
2016-04-25,6479,6609,6323,6395,303469,0.005977662419380136
2016-04-26,6472,6512,6343,6473,179541,0.012197028928850662
2016-04-27,6466,6641,6356,6415,310485,-0.008960296616715602
2016-04-28,6427,6512,6356,6467,106819,0.008106001558846554
2016-04-29,6512,6576,6226,6408,141370,-0.009123241070047916
2016-05-02,6408,6433,6103,6149,141541,-0.040418227215979985
2016-05-03,6272,6376,6162,6188,123338,0.00634249471458781
2016-05-04,6109,6175,6071,6111,80428,-0.012443438914027105
2016-05-09,6084,6479,6084,6350,246634,0.03910980199640002
2016-05-10,6369,6395,6220,6272,118049,-0.012283464566929081
2016-05-11,6343,6343,6213,6253,84382,-0.003029336734693855
2016-05-12,6213,6343,6213,6266,61528,0.0020790020790020236
2016-05-13,6317,6512,6272,6480,213586,0.03415256942227907
2016-05-16,6512,6576,6349,6454,139470,-0.004012345679012319
2016-05-17,6265,6317,5889,6247,419311,-0.03207313294081193
2016-05-18,6246,6252,5961,6046,116243,-0.03217544421322238
2016-05-19,6155,6433,6045,6091,128422,0.007442937479325229
2016-05-20,6090,6135,6025,6091,46448,0.0
2016-05-23,6187,6187,5895,5897,108366,-0.03185027089147918
2016-05-24,5895,5935,5682,5851,160889,-0.007800576564354733
2016-05-25,5895,5999,5850,5897,104572,0.007861903948042981
2016-05-26,5895,5909,5747,5871,69006,-0.004409021536374458
2016-05-27,5818,5929,5785,5832,84914,-0.006642820643842584
2016-05-30,5831,5954,5747,5877,55064,0.007716049382715973
2016-05-31,5889,6006,5844,5916,60365,0.0066360387953037225
2016-06-01,5922,6039,5895,5961,67237,0.00760649087221088
2016-06-02,5954,6045,5929,6046,45759,0.014259352457641317
2016-06-03,6077,6077,5895,5935,55688,-0.018359245782335387
2016-06-07,5993,6175,5961,6078,119417,0.024094355518112787
2016-06-08,5999,6058,5941,5968,92549,-0.018098058571898612
2016-06-09,5915,5967,5870,5891,87843,-0.01290214477211793
2016-06-10,5863,5948,5863,5897,47529,0.0010185028008826702
2016-06-13,5902,5999,5895,5948,88180,0.008648465321349885
2016-06-14,5980,6025,5902,5955,43789,0.0011768661735036545
2016-06-15,5909,5967,5895,5929,58173,-0.004366078925272854
2016-06-16,5948,5948,5702,5709,57487,-0.03710575139146566
2016-06-17,5688,5798,5507,5520,123632,-0.03310562270099837
2016-06-20,5539,5695,5539,5696,50596,0.03188405797101446
2016-06-21,5772,5772,5604,5637,20414,-0.010358146067415697
2016-06-22,5598,5727,5572,5586,26700,-0.009047365620010628
2016-06-23,5585,5585,5332,5397,92230,-0.03383458646616544
2016-06-24,5410,5611,4988,5242,107374,-0.02871965906985363
2016-06-27,5001,5358,5001,5300,52436,0.01106447920640985
2016-06-28,5196,5371,5196,5359,26346,0.011132075471698144
2016-06-29,5378,5598,5378,5476,36908,0.021832431423773002
2016-06-30,5604,5604,5410,5501,28162,0.004565376186997705
2016-07-01,5539,5539,5461,5527,20685,0.004726413379385619
2016-07-04,5507,5558,5416,5456,33806,-0.012846028586936842
2016-07-05,5416,5662,5416,5657,59776,0.0368401759530792
2016-07-06,5649,5649,5501,5573,51681,-0.014848859819692417
2016-07-07,5572,5863,5572,5832,89675,0.04647407141575455
2016-07-08,5870,5883,5695,5787,67097,-0.007716049382716084
2016-07-11,5785,5838,5715,5806,36317,0.003283221012614579
2016-07-12,5863,5863,5675,5677,79510,-0.022218394764037197
2016-07-13,5675,5785,5669,5774,42146,0.017086489342962752
2016-07-14,5766,5812,5702,5754,25646,-0.003463803255975062
2016-07-15,5753,5785,5649,5650,28368,-0.018074383037886665
