Date,Open,High,Low,Close,Volume,Change
2013-07-01,7332,7332,6256,6256,14700,
2013-07-02,5321,5321,5321,5321,12000,-0.1494565217391305
2013-07-03,4527,4527,4527,4527,5400,-0.14922007141514748
2013-07-04,3855,3855,3855,3855,38000,-0.14844267726971505
2013-07-05,3283,3283,3283,3283,26000,-0.14837872892347603
2013-07-08,2792,2792,2792,2792,21400,-0.14955833079500458
2013-07-09,2374,2791,2374,2691,4200,-0.03617478510028649
2013-07-10,2286,3094,2286,3094,11300,0.1497584541062802
2013-07-11,3094,3364,3094,3364,21400,0.08726567550096953
2013-07-12,3296,3363,3296,3296,39500,-0.02021403091557672
2013-07-15,3363,3633,3363,3633,33300,0.10224514563106801
2013-07-16,3699,3699,3666,3666,51000,0.009083402146985886
2013-07-17,3699,3834,3699,3834,29800,0.04582651391162029
2013-07-18,3901,3969,3901,3969,10000,0.035211267605633756
2013-07-19,3766,4036,3766,4036,15000,0.01688082640463584
2013-07-22,4103,4103,4036,4036,17100,0.0
2013-07-23,3834,4104,3834,4104,5900,0.01684836471754214
2013-07-24,4036,4036,4036,4036,3000,-0.016569200779727122
2013-07-25,4036,4036,4036,4036,1500,0.0
2013-07-26,0,0,0,4036,0,0.0
2013-07-29,4171,4171,4171,4171,100,0.033448959365708575
2013-07-30,4204,4204,4063,4137,2500,-0.008151522416686596
2013-07-31,4171,4171,4171,4171,100,0.008218515832729034
2013-08-01,4171,4171,4171,4171,4000,0.0
2013-08-02,4171,4171,4171,4171,100,0.0
2013-08-05,4103,4204,4103,4204,8400,0.007911771757372232
2013-08-06,4204,4204,4137,4171,2700,-0.007849666983824943
2013-08-07,4164,4164,4164,4164,2000,-0.0016782546152002142
2013-08-08,4036,4373,4036,4373,13400,0.050192122958693464
2013-08-09,4709,4709,4372,4709,9000,0.07683512462840159
2013-08-12,4708,5045,4708,5045,4900,0.0713527288171587
2013-08-13,0,0,0,5045,0,0.0
2013-08-14,5045,5045,5045,5045,8800,0.0
2013-08-16,5180,5180,5180,5180,100,0.026759167492566904
2013-08-19,4998,4998,4998,4998,100,-0.03513513513513511
2013-08-20,0,0,0,4944,0,-0.010804321728691502
2013-08-21,4978,4978,4978,4978,5200,0.006877022653721587
2013-08-22,0,0,0,4924,0,-0.01084773001205308
2013-08-23,4843,4843,4843,4843,13000,-0.0164500406173842
2013-08-26,4910,4910,4709,4709,9000,-0.027668800330373777
